Quiz Title (English)
Social Reforms & Early Agitations (1889–1920)

Quiz Title (Hindi)
सामाजिक-राजनीतिक जागरण: सामाजिक सुधार और प्रारंभिक आंदोलन (1889-1920)

Quiz Description (English)
Master the history of early agitations in Chhattisgarh with this CGPSC Prelims quiz. Evaluate your knowledge of the Kandel Canal Satyagraha, the historic BNC Mill strikes, and early social reforms to boost your exam readiness.

Quiz Description (Hindi)
इस सीजीपीएससी प्रीलिम्स क्विज़ के साथ छत्तीसगढ़ में प्रारंभिक आंदोलनों के इतिहास में महारत हासिल करें। अपनी परीक्षा की तैयारी को मजबूत करने के लिए कंडेल नहर सत्याग्रह, ऐतिहासिक बीएनसी मिल हड़ताल और प्रारंभिक सामाजिक सुधारों के अपने ज्ञान का मूल्यांकन करें।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Consider the following statements about the Kandel Canal Satyagraha (1920):\n\n1. It was launched against the Rs. 4050 fine imposed on villagers for alleged water theft.\n\n2. The Kandel canal was constructed by the British officer Mr. Harriet.\n\nChoose the correct answer:","कंडेल नहर सत्याग्रह (1920) के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह कथित जल चोरी के लिए ग्रामीणों पर लगाए गए 4050 रुपये के जुर्माने के खिलाफ शुरू किया गया था।\n\n2. कंडेल नहर का निर्माण ब्रिटिश अधिकारी मिस्टर हैरियट द्वारा किया गया था।\n\nसही उत्तर चुनिए:","Only 1 is correct","केवल 1 सही है","Only 2 is correct","केवल 2 सही है","Both 1 and 2 are correct","1 और 2 दोनों सही हैं","Neither 1 nor 2 is correct","न तो 1 और न ही 2 सही है","3","Both statements are true. The Kandel Canal Satyagraha of July 1920 protested the unjustified fine of Rs. 4050 levied on villagers for using water from the canal built by the British officer Mr. Harriet.","दोनों कथन सत्य हैं। जुलाई 1920 के कंडेल नहर सत्याग्रह ने ब्रिटिश अधिकारी मिस्टर हैरियट द्वारा निर्मित नहर से पानी का उपयोग करने के लिए ग्रामीणों पर लगाए गए 4050 रुपये के अनुचित जुर्माने का विरोध किया।"
"In 1879-80, the first major 'Anti-Forced Labour' (Begar-virodhi) movement in the Rajnandgaon princely state was led by whom?","1879-80 में, राजनांदगांव रियासत में प्रथम प्रमुख 'बेगार-विरोधी' (मजबूर श्रम विरोधी) आंदोलन का नेतृत्व किसने किया था?","Sewta Thakur","सेवता ठाकुर","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा","Narayanrao Meghawale","नारायणराव मेघावाले","1","The Anti-Forced Labour (Begar-virodhi) movement in the Rajnandgaon princely state was famously led by Sewta Thakur in 1879-80, setting an early precedent for peasantry and labour rights in the region.","राजनांदगांव रियासत में बेगार-विरोधी आंदोलन का नेतृत्व 1879-80 में प्रसिद्ध रूप से सेवता ठाकुर ने किया था, जिसने क्षेत्र में किसानों और मजदूर अधिकारों के लिए एक प्रारंभिक मिसाल कायम की।"
"In 1891, nearly 20,000 peasants and merchants gathered in Bilaspur to submit a memorandum to the Chief Commissioner. What was their primary demand?","1891 में, मुख्य आयुक्त को एक ज्ञापन सौंपने के लिए बिलासपुर में लगभग 20,000 किसान और व्यापारी एकत्र हुए। उनकी मुख्य मांग क्या थी?","Abolition of canal and forest tax","नहर और वन कर का उन्मूलन","Exemption from agricultural loans","कृषि ऋण से छूट","Removal of the Zamindari system","जमींदारी व्यवस्था को हटाना","Protest against the Vernacular Press Act","वर्नाक्यूलर प्रेस एक्ट का विरोध","1","During the 1891 agitation in Bilaspur, a massive gathering of nearly 20,000 peasants and merchants submitted a memorandum to the Chief Commissioner explicitly demanding the abolition of the newly imposed canal and forest taxes.","बिलासपुर में 1891 के आंदोलन के दौरान, लगभग 20,000 किसानों और व्यापारियों की एक विशाल सभा ने मुख्य आयुक्त को एक ज्ञापन सौंपा जिसमें नव-लगाए गए नहर और वन करों को समाप्त करने की स्पष्ट मांग की गई थी।"
"The CP Mill, which later became the Bengal Nagpur Cotton (BNC) Mill, was established in Rajnandgaon in 1890 with the joint collaboration of King Balram Das and which British company?","सीपी मिल, जो बाद में बंगाल नागपुर कॉटन (BNC) मिल बन गई, की स्थापना 1890 में राजनांदगांव में राजा बलराम दास और किस ब्रिटिश कंपनी के संयुक्त सहयोग से की गई थी?","Shaw Wallace Company","शॉ वालिस कंपनी","Macbeth Brothers","मैकबेथ ब्रदर्स","Brooke Bond Company","ब्रुक बॉन्ड कंपनी","Lipton Brothers","लिप्टन ब्रदर्स","2","The Central Provinces (CP) Mill was established in Rajnandgaon on 23 June 1890 in a joint venture between the English company Macbeth Brothers and the local ruler King Balram Das.","सेंट्रल प्रोविंसेस (CP) मिल की स्थापना 23 जून 1890 को राजनांदगांव में अंग्रेजी कंपनी मैकबेथ ब्रदर्स और स्थानीय शासक राजा बलराम दास के संयुक्त उद्यम में की गई थी।"
"In 1897, the CP Mill of Rajnandgaon was sold due to heavy losses and renamed as the Bengal Nagpur Cotton (BNC) Mill. Which company purchased it?","1897 में, राजनांदगांव की सीपी मिल भारी नुकसान के कारण बेच दी गई और इसका नाम बदलकर बंगाल नागपुर कॉटन (BNC) मिल कर दिया गया। इसे किस कंपनी ने खरीदा था?","Macbeth Brothers","मैकबेथ ब्रदर्स","Shaw Wallace Company","शॉ वालिस कंपनी","Tata Sons","टाटा संस","East India Cotton Company","ईस्ट इंडिया कॉटन कंपनी","2","Due to continuous losses, the CP Mill was sold in 1897. It was purchased by the Kolkata-based M/s Shaw Wallace Company, which then renamed it the Bengal Nagpur Cotton (BNC) Mill.","लगातार घाटे के कारण 1897 में सीपी मिल को बेच दिया गया था। इसे कोलकाता स्थित मेसर्स शॉ वालिस कंपनी ने खरीदा था, जिसने फिर इसका नाम बंगाल नागपुर कॉटन (BNC) मिल रख दिया।"
"Consider the following demands made during the first BNC Mill Workers' Strike in 1920:\n\n1. Fixing the working hours to 8 hours a day.\n\n2. Increase in the wages of the labourers.\n\n3. Providing a 20% festival bonus to all workers.\n\nWhich of the above demands are correct?","1920 में पहली BNC मिल मजदूर हड़ताल के दौरान की गई निम्नलिखित मांगों पर विचार कीजिए:\n\n1. काम के घंटे प्रतिदिन 8 घंटे तय करना।\n\n2. मजदूरों के वेतन में वृद्धि।\n\n3. सभी कर्मचारियों को 20% उत्सव बोनस प्रदान करना।\n\nउपरोक्त में से कौन सी मांगें सही हैं?","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","During the first BNC Mill strike (1920), the core demands were increasing salaries, improving working conditions, and fixing working hours to 8 hours (down from 12-13 hours). A 20% festival bonus was not part of these historical demands.","पहली BNC मिल हड़ताल (1920) के दौरान, मुख्य मांगें वेतन बढ़ाना, काम करने की स्थिति में सुधार करना और काम के घंटे 8 घंटे तय करना (12-13 घंटे से कम करना) थीं। 20% उत्सव बोनस इन ऐतिहासिक मांगों का हिस्सा नहीं था।"
"The first BNC Mill strike of 1920, renowned as the first and longest successful labour strike in Chhattisgarh's history, lasted for approximately how many days?","1920 की पहली BNC मिल हड़ताल, जिसे छत्तीसगढ़ के इतिहास में पहली और सबसे लंबी सफल मजदूर हड़ताल के रूप में जाना जाता है, लगभग कितने दिनों तक चली थी?","21 days","21 दिन","36 days","36 दिन","45 days","45 दिन","52 days","52 दिन","2","Led by Thakur Pyarelal Singh, the first BNC Mill strike of 1920 continued continuously for 36 days before concluding with an agreement, making it the longest strike in regional history at that time.","ठाकुर प्यारेलाल सिंह के नेतृत्व में, 1920 की पहली BNC मिल हड़ताल एक समझौते के साथ समाप्त होने से पहले 36 दिनों तक लगातार जारी रही, जिससे यह उस समय के क्षेत्रीय इतिहास की सबसे लंबी हड़ताल बन गई।"
"Which prominent national labour leader visited Rajnandgaon in 1920 and successfully mediated the agreement between the striking BNC Mill workers and the management?","किस प्रमुख राष्ट्रीय मजदूर नेता ने 1920 में राजनांदगांव का दौरा किया और हड़ताली BNC मिल के मजदूरों और प्रबंधन के बीच सफलतापूर्वक समझौते की मध्यस्थता की?","N.M. Joshi","एन.एम. जोशी","V.V. Giri","वी.वी. गिरि","Lala Lajpat Rai","लाला लाजपत राय","Ramchandra Sakharam Ruikar","रामचंद्र सखाराम रुईकर","2","V.V. Giri, a towering national labour leader (and later President of India), visited Rajnandgaon during the 1920 strike. He provided his skilled leadership to successfully mediate an agreement favorable to the workers.","वी.वी. गिरि, एक कद्दावर राष्ट्रीय मजदूर नेता (और बाद में भारत के राष्ट्रपति), ने 1920 की हड़ताल के दौरान राजनांदगांव का दौरा किया था। उन्होंने मजदूरों के पक्ष में सफलतापूर्वक समझौता कराने के लिए अपना कुशल नेतृत्व प्रदान किया।"
"Assertion (A): Following the successful 1920 BNC Mill strike, Thakur Pyarelal Singh was expelled from the Rajnandgaon princely state.\n\nReason (R): The administration vented its frustration on him, though the expulsion was later cancelled upon his appeal to the Governor of the Central Provinces.\n\nCodes:","कथन (A): 1920 की सफल BNC मिल हड़ताल के बाद, ठाकुर प्यारेलाल सिंह को राजनांदगांव रियासत से निष्कासित कर दिया गया था।\n\nकारण (R): प्रशासन ने अपनी हताशा उन पर निकाली, हालांकि मध्य प्रांत के गवर्नर से उनकी अपील पर निष्कासन को बाद में रद्द कर दिया गया था।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is not the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","1","The assertion is correct; Thakur Pyarelal was expelled post-strike. The reason directly explains this action—the administration, embarrassed by the strike's success, punitively expelled him, an order he successfully overturned via the CP Governor.","कथन सही है; हड़ताल के बाद ठाकुर प्यारेलाल को निष्कासित कर दिया गया था। कारण इस कार्रवाई की सीधे व्याख्या करता है - हड़ताल की सफलता से शर्मिंदा प्रशासन ने दंडात्मक रूप से उन्हें निष्कासित कर दिया था, जिसे उन्होंने सीपी गवर्नर के माध्यम से सफलतापूर्वक पलट दिया था।"
"During which labour movement in Chhattisgarh did a worker named 'Jarhu Gond' tragically die from a police bullet?","छत्तीसगढ़ में किस मजदूर आंदोलन के दौरान 'झरहू गोंड' नामक मजदूर की पुलिस की गोली लगने से दुखद मृत्यु हो गई थी?","First BNC Mill Strike (1920)","प्रथम BNC मिल हड़ताल (1920)","Second BNC Mill Strike (1924)","द्वितीय BNC मिल हड़ताल (1924)","Third BNC Mill Strike (1937)","तृतीय BNC मिल हड़ताल (1937)","Bengal Nagpur Railway Strike (1922)","बंगाल नागपुर रेलवे हड़ताल (1922)","2","During the Second BNC Mill Strike in 1924, escalating tensions and police suppression led to a tragic firing incident in which a striking labourer named Jarhu Gond was killed.","1924 में द्वितीय BNC मिल हड़ताल के दौरान, बढ़ते तनाव और पुलिस दमन के कारण गोलीबारी की एक दुखद घटना हुई जिसमें झरहू गोंड नामक एक हड़ताली मजदूर मारा गया था।"
