Quiz Title (English): Chhattisgarh Current Affairs (February 2026) Part-3
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (फरवरी 2026) भाग 3
Quiz Description (English): Boost your CGPSC Prelims preparation with Part 3 of the February 2026 Chhattisgarh Current Affairs master quiz. This section heavily focuses on the latest ecological initiatives, dynamic government data, key infrastructure projects, and notable personalities in the news.
Quiz Description (Hindi): सीजीपीएससी प्रारंभिक परीक्षा की तैयारी को फरवरी 2026 छत्तीसगढ़ करेंट अफेयर्स के भाग 3 के साथ सशक्त बनाएं। इस खंड में नवीनतम पारिस्थितिक पहलों, डायनामिक सरकारी डेटा, प्रमुख बुनियादी ढांचा परियोजनाओं और चर्चा में रहे उल्लेखनीय व्यक्तित्वों पर विशेष ध्यान दिया गया है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"The state government has recently renamed the 'Dr. Khoobchand Baghel Swasthya Sahayata Yojana'. What is its new name, and how much budget provision has been made for it in the financial year 2026-27?","राज्य सरकार ने हाल ही में 'डॉ. खूबचंद बघेल स्वास्थ्य सहायता योजना' का नाम बदल दिया है। इसका नया नाम क्या है, और वित्तीय वर्ष 2026-27 में इसके लिए कितनी बजट राशि का प्रावधान किया गया है?","Minimata Ayushman Yojana; Rs 150 crore","मिनीमाता आयुष्मान योजना; 150 करोड़ रुपये","Shaheed Veer Narayan Singh Ayushman Bharat Yojana; Rs 100 crore","शहीद वीर नारायण सिंह आयुष्मान भारत योजना; 100 करोड़ रुपये","Swami Vivekanand Swasthya Yojana; Rs 200 crore","स्वामी विवेकानंद स्वास्थ्य योजना; 200 करोड़ रुपये","Pt. Deendayal Upadhyay Swasthya Yojana; Rs 50 crore","पं. दीनदयाल उपाध्याय स्वास्थ्य योजना; 50 करोड़ रुपये","2","The Dr. Khoobchand Baghel Swasthya Sahayata Yojana has been officially renamed as the 'Shaheed Veer Narayan Singh Ayushman Bharat Yojana'. The state budget for 2026-27 allocates a provision of Rs 100 crore for its implementation.","'डॉ. खूबचंद बघेल स्वास्थ्य सहायता योजना' का नाम बदलकर आधिकारिक तौर पर 'शहीद वीर नारायण सिंह आयुष्मान भारत योजना' कर दिया गया है। बजट 2026-27 में इसके लिए 100 करोड़ रुपये का प्रावधान किया गया है।"
"Consider the following statements regarding 'Chhattisgarh Anjor Vision 2047':\n\n1. It targets to make the state's GSDP Rs 75 lakh crore by 2047.\n\n2. It aims for an 11-fold increase in the GSDP of the agricultural sector.\n\n3. The target for the Maternal Mortality Rate (MMR) is to reduce it to exactly 110.\n\nWhich of the statements is/are correct?","'छत्तीसगढ़ अंजोर विज़न 2047' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका लक्ष्य 2047 तक राज्य के GSDP को 75 लाख करोड़ रुपये करना है।\n\n2. इसका उद्देश्य कृषि क्षेत्र के GSDP में 11 गुना वृद्धि करना है।\n\n3. मातृ मृत्यु दर (MMR) का लक्ष्य इसे घटाकर ठीक 110 तक लाना है।\n\nउपरोक्त में से कौन सा/से कथन सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. Anjor Vision 2047 targets a Rs 75 lakh crore GSDP and an 11-fold agricultural growth. Statement 3 is incorrect as aiming for an MMR of 110 by 2047 is not the true vision target (it is already much lower).","कथन 1 और 2 सही हैं। अंजोर विज़न 2047 का लक्ष्य 75 लाख करोड़ का GSDP और कृषि में 11 गुना वृद्धि है। कथन 3 गलत है क्योंकि 2047 तक 110 मातृ मृत्यु दर का लक्ष्य रखना तार्किक नहीं है (यह पहले से ही कम है)।"
"Where has Chhattisgarh's first floating solar power plant been established?","छत्तीसगढ़ का पहला फ्लोटिंग (तैरता हुआ) सौर ऊर्जा संयंत्र कहाँ स्थापित किया गया है?","Copra Reservoir, Bilaspur","कोपरा जलाशय, बिलासपुर","Gangrel Dam, Dhamtari","गंगरेल बांध, धमतरी","Maroda Reservoir, Bhilai","मरोदा जलाशय, भिलाई","Hasdeo Bango Dam, Korba","हसदेव बांगो बांध, कोरबा","3","Chhattisgarh's first floating solar power plant has been installed at the Maroda Reservoir in Bhilai, an innovative step towards clean and renewable energy.","स्वच्छ और नवीकरणीय ऊर्जा की दिशा में एक अभिनव कदम उठाते हुए, छत्तीसगढ़ का पहला फ्लोटिंग (तैरता हुआ) सौर ऊर्जा संयंत्र भिलाई के मरोदा जलाशय में स्थापित किया गया है।"
"Match the newly appointed officials of various state boards/commissions:\n\nList-I\n(a) CG Handloom Development Board\n(b) State Seed & Agriculture Development Ltd\n(c) CG Antyavasayi Sahakari Vitta Nigam\n(d) State Chief Information Commissioner\n\nList-II\n(i) Chandrahas Chandrakar\n(ii) Shalini Rajput\n(iii) Surendra Kumar Besra\n(iv) Amitabh Jain\n\nCodes:","विभिन्न राज्य बोर्डों/आयोगों के नवनियुक्त अधिकारियों को सुमेलित कीजिए:\n\nसूची-I\n(a) छ.ग. हथकरघा विकास बोर्ड\n(b) राज्य बीज एवं कृषि विकास लिमिटेड\n(c) छ.ग. अंत्यावसायी सहकारी वित्त निगम\n(d) राज्य मुख्य सूचना आयुक्त\n\nसूची-II\n(i) चंद्रहास चंद्राकर\n(ii) शालिनी राजपूत\n(iii) सुरेंद्र कुमार बेसरा\n(iv) अमिताभ जैन\n\nकूट:","a-ii, b-i, c-iii, d-iv","a-ii, b-i, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-ii, b-iii, c-i, d-iv","a-ii, b-iii, c-i, d-iv","1","Shalini Rajput heads the Handloom Board, Chandrahas Chandrakar heads the Seed & Agri Dev Ltd, Surendra Kumar Besra heads the Antyavasayi Nigam, and Ex-CS Amitabh Jain is the new Chief Information Commissioner.","शालिनी राजपूत हथकरघा बोर्ड की अध्यक्ष हैं, चंद्रहास चंद्राकर बीज एवं कृषि विकास के, सुरेंद्र कुमार बेसरा अंत्यावसायी निगम के और पूर्व मुख्य सचिव अमिताभ जैन मुख्य सूचना आयुक्त हैं।"
"Recently, the existence of a 2700 kg gold reserve was confirmed in the 'Baghmar' area. In which district is this geographically located?","हाल ही में 'बाघमारा' क्षेत्र में 2700 किलो सोने के भंडार के होने की पुष्टि हुई है। यह भौगोलिक दृष्टि से किस जिले में स्थित है?","Mahasamund","महासमुंद","Balodabazar","बलौदाबाजार","Kanker","कांकेर","Jashpur","जशपुर","2","Recent geological surveys have confirmed the existence of a massive 2700 kg gold reserve in the Baghmar area, which is located in the Balodabazar district.","हालिया भूवैज्ञानिक सर्वेक्षणों ने बाघमारा क्षेत्र में 2700 किलोग्राम सोने के विशाल भंडार की पुष्टि की है, जो बलौदाबाजार जिले के अंतर्गत आता है।"
"Consider the following statements about the 26th Central Zonal Council meeting held recently in Chhattisgarh:\n\n1. It was organised in the Bastar division at Jagdalpur.\n\n2. It was chaired by the Chief Minister of Chhattisgarh, Vishnu Deo Sai.\n\n3. Four states including Chhattisgarh participated in this meeting.\n\nWhich of the above statements is/are correct?","हाल ही में छत्तीसगढ़ में आयोजित 26वीं मध्य क्षेत्रीय परिषद की बैठक के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका आयोजन बस्तर संभाग के जगदलपुर में किया गया था।\n\n2. इसकी अध्यक्षता छत्तीसगढ़ के मुख्यमंत्री विष्णु देव साय ने की थी।\n\n3. इस बैठक में छत्तीसगढ़ सहित चार राज्यों ने भाग लिया था।\n\nउपरोक्त में से कौन सा/से कथन सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","3","Statements 1 and 3 are correct. The 26th Central Zonal Council meeting was held in Jagdalpur with 4 states participating. Statement 2 is incorrect; such zonal meetings are always chaired by the Union Home Minister (Amit Shah).","कथन 1 और 3 सही हैं। 26वीं मध्य क्षेत्रीय परिषद की बैठक जगदलपुर में 4 राज्यों की भागीदारी के साथ हुई। कथन 2 गलत है; क्षेत्रीय परिषदों की अध्यक्षता हमेशा केंद्रीय गृह मंत्री (अमित शाह) करते हैं।"
"Assertion (A): Koriya district's '5% Model' has been declared a national model for water conservation.\n\nReason (R): Under this model, every farmer dedicates 5% of their agricultural land to excavate a pond for rainwater harvesting.\n\nCodes:","कथन (A): कोरिया जिले के '5% मॉडल' को जल संरक्षण के लिए एक राष्ट्रीय मॉडल घोषित किया गया है।\n\nकारण (R): इस मॉडल के तहत, प्रत्येक किसान अपनी कृषि भूमि का 5% हिस्सा वर्षा जल संचयन हेतु तालाब खोदने के लिए समर्पित करता है।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","The central government has recognised Koriya district's '5% Model' as a national water policy model. In this, farmers actively dedicate 5% of their farmland to rainwater harvesting ponds.","केंद्र सरकार ने कोरिया जिले के '5% मॉडल' को राष्ट्रीय जल नीति मॉडल के रूप में मान्यता दी है। इसमें किसान सक्रिय रूप से अपनी कृषि भूमि का 5% हिस्सा जल संरक्षण तालाबों के लिए समर्पित करते हैं।"
"Kiran Pista, who recently gained fame for becoming the first woman from Chhattisgarh to play in a European club, is associated with which sport?","किरण पिस्ता, जिन्होंने हाल ही में यूरोपीय क्लब में खेलने वाली छत्तीसगढ़ की पहली महिला बनकर प्रसिद्धि प्राप्त की, किस खेल से जुड़ी हैं?","Hockey","हॉकी","Basketball","बास्केटबॉल","Volleyball","वॉलीबॉल","Football","फुटबॉल","4","Kiran Pista is an exceptionally talented football player who has made state history by becoming the first female footballer from Chhattisgarh to secure a spot in a European club.","किरण पिस्ता एक बेहद प्रतिभाशाली फुटबॉल खिलाड़ी हैं जिन्होंने यूरोपीय क्लब में जगह बनाने वाली छत्तीसगढ़ की पहली महिला फुटबॉलर बनकर राज्य का इतिहास रच दिया है।"
"Where is the state's second Jungle Warfare College proposed to be established to train forces in anti-Naxal operations?","सुरक्षा बलों को नक्सल विरोधी अभियानों में प्रशिक्षित करने के लिए राज्य का दूसरा जंगल वारफेयर कॉलेज कहाँ स्थापित किए जाने का प्रस्ताव है?","Chhindgarh, Sukma","छिंदगढ़, सुकमा","Karregutta, Bijapur","कर्रे गुट्टा, बीजापुर","Orchha, Narayanpur","ओरछा, नारायणपुर","Kuakonda, Dantewada","कुआकोंडा, दंतेवाड़ा","2","To strengthen the anti-Naxal operations, the state government is establishing its second Jungle Warfare College in the dense forests of Karregutta hills in Bijapur district.","नक्सल विरोधी अभियानों को मजबूत करने के लिए, राज्य सरकार बीजापुर जिले की कर्रे गुट्टा पहाड़ियों के घने जंगलों में अपना दूसरा जंगल वारफेयर कॉलेज स्थापित कर रही है।"
"What is the primary objective of 'Project Dhadkan' launched by the Chhattisgarh government in 2026?","छत्तीसगढ़ सरकार द्वारा 2026 में शुरू किए गए 'प्रोजेक्ट धड़कन' का प्राथमिक उद्देश्य क्या है?","Monitoring blood pressure in elderly citizens","बुजुर्ग नागरिकों के रक्तचाप की निगरानी करना","Free pacemakers for BPL families","बीपीएल परिवारों के लिए मुफ्त पेसमेकर","Screening and free surgery for congenital heart diseases in children up to 18 years","18 वर्ष तक के बच्चों में जन्मजात हृदय रोगों की जांच और मुफ्त सर्जरी","Preventing sudden cardiac arrests in tribal areas","आदिवासी क्षेत्रों में अचानक कार्डियक अरेस्ट को रोकना","3","'Project Dhadkan' is a specific health initiative aimed at the early screening, free consultation, and free surgical treatment of congenital heart diseases in children up to 18 years.","'प्रोजेक्ट धड़कन' एक विशेष स्वास्थ्य पहल है जिसका उद्देश्य 18 वर्ष तक के बच्चों में जन्मजात हृदय रोगों की प्रारंभिक जांच, मुफ्त परामर्श और मुफ्त शल्य चिकित्सा उपचार सुनिश्चित करना है।"
