Quiz Title: Mauryan & Satavahana Footprints in Chhattisgarh
क्विज़ शीर्षक: छत्तीसगढ़ में मौर्य एवं सातवाहन काल के साक्ष्य
Quiz Description: This quiz tests your knowledge of the epigraphical and numismatic footprints of the Mauryan and Satavahana empires in Chhattisgarh. It covers key discoveries like the Jogimara and Sitabengra caves, the Kirari wooden pillar, Gunji edicts, and punch-marked coins crucial for CGPSC Prelims.
क्विज़ विवरण: यह क्विज़ छत्तीसगढ़ में मौर्य और सातवाहन साम्राज्यों के पुरालेखीय और मुद्राशास्त्र संबंधी पदचिह्नों के आपके ज्ञान का परीक्षण करता है। इसमें जोगीमारा और सीताबेंगरा गुफाओं, किरारी काष्ठ स्तंभ, गुंजी शिलालेखों और सीजीपीएससी प्रारंभिक परीक्षा के लिए महत्वपूर्ण आहत सिक्कों जैसी प्रमुख खोजों को शामिल किया गया है।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding Mauryan coins found in Chhattisgarh:\n\n1. 259 punch-marked coins were found in Akaltara.\n\n2. Dr. Ramendranath Mishra discovered Sonogal series coins in Arang and Gujra.\n\n3. The punch-marked coins found here are exclusively made of gold.\n\nChoose the correct answer:","छत्तीसगढ़ में पाए गए मौर्यकालीन सिक्कों के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. अकलतरा में 259 आहत सिक्के (पंचमार्क मुद्रा) पाए गए थे।\n\n2. डॉ. रमेन्द्रनाथ मिश्र ने आरंग और गुजरा में सोनोगल श्रेणी के सिक्कों की खोज की।\n\n3. यहाँ पाए गए आहत सिक्के विशेष रूप से सोने के बने हैं।\n\nसही उत्तर चुनें:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct as 259 coins were found in Akaltara and Dr. Mishra discovered the Sonogal series in 1969-70. Statement 3 is incorrect because Mauryan punch-marked coins were primarily made of silver and copper, not exclusively gold.","कथन 1 और 2 सही हैं क्योंकि अकलतरा में 259 सिक्के मिले थे और डॉ. मिश्र ने 1969-70 में सोनोगल श्रेणी की खोज की थी। कथन 3 गलत है क्योंकि मौर्यकालीन आहत सिक्के मुख्य रूप से चांदी और तांबे के बने थे, न कि विशेष रूप से सोने के।"
"Which of the following statements about Jogimara Cave is INCORRECT?","जोगीमारा गुफा के बारे में निम्नलिखित में से कौन सा कथन गलत है?","It is located in the Ramgarh hills of Surguja district.","यह सरगुजा जिले की रामगढ़ पहाड़ियों में स्थित ক্ষমতায় है।","Its inscription is written in the Pali language and Brahmi script.","इसका शिलालेख पाली भाषा और ब्राह्मी लिपि में लिखा गया है।","It describes the love story of Devadatta and Sutanuka.","यह देवदत्त और सुतनुका की प्रेम कहानी का वर्णन करता है।","It is recognized as the world's oldest theatrical stage.","इसे दुनिया के सबसे पुराने रंगमंच (नाट्यशाला) के रूप में मान्यता प्राप्त है।","4","The Jogimara cave contains Mauryan inscriptions detailing the love story of Devadatta and Sutanuka. However, the Sitabengra cave, not Jogimara, is recognized as the world's oldest theatrical stage (Natyashala).","जोगीमारा गुफा में मौर्यकालीन शिलालेख हैं जो देवदत्त और सुतनुका की प्रेम कहानी का विवरण देते हैं। हालाँकि, जोगीमारा नहीं, बल्कि सीताबेंगरा गुफा को दुनिया के सबसे पुराने रंगमंच (नाट्यशाला) के रूप में मान्यता प्राप्त है।"
"Match the Mauryan evidences with their respective discovery sites in Chhattisgarh:\n\nList-I\n(a) Ashoka's Lat (Pillar)\n(b) Ashokan period statues\n(c) Ancient dockyard (Godi)\n(d) Oldest theatrical stage\n\nList-II\n(i) Kapatpuram\n(ii) Kotadol\n(iii) Sirkatti\n(iv) Sitabengra\n\nCodes:","छत्तीसगढ़ में मौर्यकालीन साक्ष्यों को उनके संबंधित खोज स्थलों के साथ सुमेलित करें:\n\nसूची-I\n(a) अशोक की लाट (स्तंभ)\n(b) अशोक कालीन मूर्तियां\n(c) प्राचीन गोदी (बंदरगाह)\n(d) सबसे पुरानी नाट्यशाला\n\nसूची-II\n(i) कपाटपुरम\n(ii) कोटाडोल\n(iii) सिरकट्टी\n(iv) सीताबेंगरा\n\nकूट:","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","2","According to archaeological findings, Ashoka's Lat was found at Kapatpuram (Surguja). Ashokan statues were found at Kotadol (MCB). The ancient dockyard is near Sirkatti on the Pairi river. Sitabengra is the oldest Natyashala.","पुरातात्विक खोजों के अनुसार, अशोक की लाट कपाटपुरम (सरगुजा) में पाई गई थी। अशोक कालीन मूर्तियां कोटाडोल (एमसीबी) में मिली थीं। प्राचीन गोदी पैरी नदी पर सिरकट्टी के पास है। सीताबेंगरा सबसे पुरानी नाट्यशाला है।"
"Match the Satavahana rulers with their numismatic findings in Chhattisgarh:\n\nList-I\n(a) Apilak\n(b) Pudumavi\n(c) Satakarni\n(d) Vedasiris\n\nList-II\n(i) Rectangular copper coin\n(ii) Silver coin (Avaksh Chandi)\n(iii) Four lead (Potin) coins\n(iv) Single lead coin\n\nCodes:","छत्तीसगढ़ में सातवाहन शासकों को उनके मुद्राशास्त्र संबंधी निष्कर्षों के साथ सुमेलित करें:\n\nसूची-I\n(a) अपीलक\n(b) पुलमावी\n(c) शातकर्णी\n(d) वेदसिरिस\n\nसूची-II\n(i) आयताकार तांबे का सिक्का\n(ii) चांदी का सिक्का (आवक्ष चांदी)\n(iii) चार सीसे (पोटीन) के सिक्के\n(iv) एकल सीसे का सिक्का\n\nकूट:","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","2","Apilak's rectangular copper coin was found at Balpur. Pudumavi's silver coin was found in Malhar. Four lead (potin) coins of Satakarni and a single lead coin of Vedasiris were also excavated from Malhar.","अपीलक का आयताकार तांबे का सिक्का बालपुर में मिला था। पुलमावी का चांदी का सिक्का मल्हार में मिला था। मल्हार से शातकर्णी के चार सीसे (पोटीन) के सिक्के और वेदसिरिस का एक सीसे का सिक्का भी खोदा गया था।"
"Regarding the Gunji (Damaudarha) rock edict, consider the following statements:\n\n1. It is written in the Prakrit language.\n2. It mentions King Kumar Varadattashri donating 1000 cows to Brahmins to increase his lifespan.\n3. It is located in the Bilaspur district.\n\nChoose the correct statement(s):","गुंजी (दमऊदहरा) शिलालेख के संबंध में, निम्नलिखित कथनों पर विचार करें:\n\n1. यह प्राकृत भाषा में लिखा गया है।\n2. इसमें राजा कुमार वरदत्तश्री द्वारा अपनी आयु बढ़ाने के लिए ब्राह्मणों को 1000 गाय दान करने का उल्लेख है।\n3. यह बिलासपुर जिले में स्थित है।\n\nसही कथन चुनें:","1 and 2","1 और 2","2 and 3","2 और 3","Only 1","केवल 1","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct as the edict is in Prakrit and records Varadattashri's donation of 1000 cows twice. Statement 3 is incorrect because Gunji is located in the Sakti district, not Bilaspur.","कथन 1 और 2 सही हैं क्योंकि यह शिलालेख प्राकृत में है और इसमें वरदत्तश्री द्वारा दो बार 1000 गाय दान करने का उल्लेख है। कथन 3 गलत है क्योंकि गुंजी सक्ती जिले में स्थित है, न कि बिलासपुर में।"
"Roman gold coins, indicating foreign trade during the Satavahana period, were discovered at which of the following places in Chhattisgarh?","सातवाहन काल के दौरान विदेशी व्यापार का संकेत देने वाले रोमन सोने के सिक्के, छत्तीसगढ़ में निम्नलिखित में से किस स्थान पर खोजे गए थे?","Balpur","बालपुर","Malhar","मल्हार","Chakrabeda","चकरबेड़ा","Kirari","किरारी","3","Roman coins were discovered at Chakrabeda in Bilaspur district, which serves as crucial archaeological evidence pointing to foreign trade relations during the Satavahana era.","बिलासपुर जिले के चकरबेड़ा में रोमन सिक्के खोजे गए थे, जो सातवाहन काल के दौरान विदेशी व्यापार संबंधों की ओर इशारा करने वाले महत्वपूर्ण पुरातात्विक साक्ष्य के रूप में कार्य करते हैं।"
"The Kirari Wooden Pillar (Kasht Stambh) of the Satavahana period was discovered in 1921 during the excavation of which local pond?","सातवाहन काल का किरारी काष्ठ स्तंभ 1921 में किस स्थानीय तालाब की खुदाई के दौरान खोजा गया था?","Jalsen Sarovar","जलसेन सरोवर","Hirabandh Talab","हीराबंध तालाब","Dalpat Sagar","दलपत सागर","Vivekananda Sarovar","विवेकानंद सरोवर","2","The historically significant Kirari Wooden Pillar was discovered in April 1921 while removing mud from the Hirabandh pond in Kirari village.","ऐतिहासिक रूप से महत्वपूर्ण किरारी काष्ठ स्तंभ की खोज अप्रैल 1921 में किरारी गांव के हीराबंध तालाब से मिट्टी निकालते समय हुई थी।"
"According to the inscriptions on the Kirari Wooden Pillar, what was the specific designation of the officer responsible for engineering works (Engineer)?","किरारी काष्ठ स्तंभ पर शिलालेखों के अनुसार, इंजीनियरिंग कार्यों (अभियंता) के लिए जिम्मेदार अधिकारी का विशिष्ट पदनाम क्या था?","Ganak","गणक","Mahanasika","महानसिका","Kulputrak","कुलपुत्रक","Bhandagarik","भांडागारिक","3","The Kirari Wooden Pillar lists various Satavahana administrative designations, where 'Kulputrak' specifically referred to an Abhiyanta or Engineer.","किरारी काष्ठ स्तंभ विभिन्न सातवाहन प्रशासनिक पदनामों को सूचीबद्ध करता है, जहाँ 'कुलपुत्रक' विशेष रूप से एक अभियंता या इंजीनियर को संदर्भित करता है।"
"A four-armed Vishnu statue from the Satavahana period, featuring inscriptions by women named Prajavati and Bharadwaji, was found at:","सातवाहन काल की एक चतुर्भुजी विष्णु की मूर्ति, जिसमें प्रजावती और भारद्वाजी नामक महिलाओं के शिलालेख हैं, कहाँ पाई गई थी?","Budhikhar (Bilaspur)","बूढ़ीखार (बिलासपुर)","Gunji (Sakti)","गुंजी (सक्ती)","Navagaon (Bemetara)","नवागांव (बेमेतरा)","Turturiya (Balodabazar)","तुरतुरिया (बलौदाबाजार)","1","A unique four-armed statue of Lord Vishnu was found at Budhikhar in Bilaspur district. Its Brahmi inscription reveals that it was constructed by women named Prajavati and Bharadwaji during the Satavahana period.","बिलासपुर जिले के बूढ़ीखार में भगवान विष्णु की एक अनूठी चतुर्भुजी मूर्ति मिली थी। इसके ब्राह्मी शिलालेख से पता चलता है कि इसका निर्माण सातवाहन काल के दौरान प्रजावती और भारद्वाजी नामक महिलाओं ने करवाया था।"
"According to Hiuen Tsang's travelogue, Ashoka built a Vihara specifically for Buddhist nuns (Bhikshunis) at which place in Chhattisgarh, where a huge Buddha statue is still present?","ह्वेनसांग के यात्रा वृत्तांत के अनुसार, अशोक ने छत्तीसगढ़ में किस स्थान पर विशेष रूप से बौद्ध भिक्षुणियों के लिए एक विहार बनवाया था, जहाँ भगवान बुद्ध की एक विशाल मूर्ति आज भी मौजूद है?","Mainpat","मैनपाट","Sirpur","सिरपुर","Malhar","मल्हार","Turturiya","तुरतुरिया","4","Hiuen Tsang's accounts mention that Mauryan emperor Ashoka built a Vihara for Buddhist nuns (Bhikshunis) at Turturiya in Balodabazar district, where a massive statue of Lord Buddha still exists.","ह्वेनसांग के वृत्तांतों में उल्लेख है कि मौर्य सम्राट अशोक ने बलौदाबाजार जिले के तुरतुरिया में बौद्ध भिक्षुणियों के लिए एक विहार बनवाया था, जहाँ भगवान बुद्ध की एक विशाल मूर्ति आज भी मौजूद है।"
"During the Satavahana period, which ancient city of Chhattisgarh served as their regional capital from the 1st century BCE to the 3rd century CE?","सातवाहन काल के दौरान, छत्तीसगढ़ के किस प्राचीन शहर ने पहली शताब्दी ईसा पूर्व से तीसरी शताब्दी ईस्वी तक उनकी क्षेत्रीय राजधानी के रूप में कार्य किया?","Ratanpur","रतनपुर","Malhar","मल्हार","Sirpur","सिरपुर","Arang","आरंग","2","Malhar served as a prominent regional capital (Kshetriya Rajdhani) for the Satavahana rulers in the Dakshin Kosal region from the 1st century BCE until the 3rd century CE.","मल्हार ने पहली शताब्दी ईसा पूर्व से तीसरी शताब्दी ईस्वी तक दक्षिण कोसल क्षेत्र में सातवाहन शासकों के लिए एक प्रमुख क्षेत्रीय राजधानी के रूप में कार्य किया।"
"Which renowned ancient geographer visited Chhattisgarh during the Satavahana period and referred to them as 'Dakshin-path swami'?","किस प्रसिद्ध प्राचीन भूगोलवेत्ता ने सातवाहन काल के दौरान छत्तीसगढ़ का दौरा किया और उन्हें 'दक्षिण-पथ स्वामी' कहा?","Megasthenes","मेगस्थनीज","Fa-Hien","फाह्यान","Ptolemy","टॉलेमी","Hiuen Tsang","ह्वेनसांग","3","The famous ancient geographer Ptolemy visited Chhattisgarh during the Satavahana era. He described the eastern part of Dakshin Kosal under the Chedi ruler Kharavela and referred to the Satavahanas as 'Dakshin-path swami'.","प्रसिद्ध प्राचीन भूगोलवेत्ता टॉलेमी ने सातवाहन काल के दौरान छत्तीसगढ़ का दौरा किया था। उन्होंने चेदि शासक खारवेल के अधीन दक्षिण कोसल के पूर्वी भाग का वर्णन किया और सातवाहनों को 'दक्षिण-पथ स्वामी' कहा।"
