Quiz Title (English)
Prominent Personalities & Women in the Freedom Struggle

Quiz Title (Hindi)
स्वतंत्रता संग्राम में प्रमुख व्यक्तित्व और महिलाएं

Quiz Description (English)
Assess your knowledge of the iconic freedom fighters, social reformers, and women leaders of Chhattisgarh. This quiz tests crucial facts about Minimata, Dr. Radhabai, Thakur Pyarelal, Madhavrao Sapre, and other luminaries who shaped the region's history.

Quiz Description (Hindi)
छत्तीसगढ़ के प्रतिष्ठित स्वतंत्रता सेनानियों, समाज सुधारकों और महिला नेताओं के बारे में अपने ज्ञान का आकलन करें। यह क्विज़ मिनीमाता, डॉ. राधाबाई, ठाकुर प्यारेलाल, माधवराव सप्रे और क्षेत्र के इतिहास को आकार देने वाली अन्य महान हस्तियों से जुड़े महत्वपूर्ण तथ्यों का परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Consider the following statements regarding Minimata, a prominent figure in Chhattisgarh:\n\n1. Her real name was Meenakshi and she was born in Assam in the year 1920.\n\n2. She holds the distinction of being the first woman Member of Parliament from Chhattisgarh.\n\n3. She was elected to the Lok Sabha from the Raipur constituency in 1952.\n\nWhich of the statements given above are correct?","छत्तीसगढ़ की प्रमुख हस्ती मिनीमाता के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उनका वास्तविक नाम मीनाक्षी था और उनका जन्म वर्ष 1920 में असम में हुआ था।\n\n2. उन्हें छत्तीसगढ़ की पहली महिला सांसद (Member of Parliament) होने का गौरव प्राप्त है।\n\n3. वह 1952 में रायपुर निर्वाचन क्षेत्र से लोकसभा के लिए चुनी गई थीं।\n\nउपरोक्त में से कौन से कथन सही हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are factually correct. Minimata (real name Meenakshi) was born in Assam in 1920, and she became Chhattisgarh's first female MP after being elected from Raipur in 1952.","सभी कथन तथ्यात्मक रूप से सही हैं। मिनीमाता (वास्तविक नाम मीनाक्षी) का जन्म 1920 में असम में हुआ था, और वह 1952 में रायपुर से निर्वाचित होने के बाद छत्तीसगढ़ की पहली महिला सांसद बनीं।"
"Smt. Radhabai, a legendary female freedom fighter of Chhattisgarh, was affectionately given which unique title by the general public due to her selfless service and dedication?","छत्तीसगढ़ की महान महिला स्वतंत्रता सेनानी श्रीमती राधाबाई को उनकी निस्वार्थ सेवा और समर्पण के कारण आम जनता द्वारा प्यार से कौन सी अनूठी उपाधि दी गई थी?","Nagar Mata","नगर माता","Doctor","डॉक्टर","Chhattisgarh Kokila","छत्तीसगढ़ कोकिला","Vidhan Mahila","विधान महिला",2,"Smt. Radhabai was affectionately called 'Doctor' by the people due to her immense sacrifice, dedication, and selfless service toward untouchability eradication and women's upliftment.","श्रीमती राधाबाई को अस्पृश्यता उन्मूलन और महिला उत्थान के प्रति उनके अपार त्याग, समर्पण और निस्वार्थ सेवा के कारण लोगों द्वारा प्यार से 'डॉक्टर' कहा जाता था।"
"Match the following prominent personalities with their respective places of birth:\n\nList-I\n(a) Ghanshyam Singh Gupta\n(b) Yati Yatan Lal\n(c) Thakur Pyarelal Singh\n(d) Barrister Chhedilal\n\nList-II\n(i) Daihan (Rajnandgaon)\n(ii) Akaltara (Janjgir-Champa)\n(iii) Durg\n(iv) Bikaner (Rajasthan)\n\nCodes:","निम्नलिखित प्रमुख हस्तियों को उनके संबंधित जन्म स्थानों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) घनश्याम सिंह गुप्त\n(b) यति यतन लाल\n(c) ठाकुर प्यारेलाल सिंह\n(d) बैरिस्टर छेदीलाल\n\nसूची-II\n(i) दैहान (राजनांदगांव)\n(ii) अकलतरा (जांजगीर-चांपा)\n(iii) दुर्ग\n(iv) बीकानेर (राजस्थान)\n\nकूट:","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-iii, b-i, c-iv, d-ii","a-iii, b-i, c-iv, d-ii","a-iv, b-iii, c-ii, d-i","a-iv, b-iii, c-ii, d-i","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii",1,"Ghanshyam Singh Gupta was born in Durg (1885), Yati Yatan Lal in Bikaner (1894), Thakur Pyarelal Singh in Daihan (1891), and Barrister Chhedilal in Akaltara (1886).","घनश्याम सिंह गुप्त का जन्म दुर्ग (1885) में, यति यतन लाल का बीकानेर (1894) में, ठाकुर प्यारेलाल सिंह का दैहान (1891) में और बैरिस्टर छेदीलाल का जन्म अकलतरा (1886) में हुआ था।"
"Consider the following statements regarding Maharani Prafulla Kumari Devi:\n\n1. She was the first female ruler of Chhattisgarh.\n\n2. Following the death of her father Rudrapratap Deo, she was crowned in 1916 at the age of 12.\n\n3. Her reign officially ended after she died in London due to an appendicitis operation.\n\nWhich of the statements given above is/are NOT correct?","महारानी प्रफुल्ल कुमारी देवी के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. वह छत्तीसगढ़ की पहली महिला शासिका थीं।\n\n2. अपने पिता रुद्रप्रताप देव की मृत्यु के बाद, 1916 में 12 वर्ष की आयु में उनका राज्याभिषेक हुआ था।\n\n3. लंदन में अपेंडिसाइटिस के ऑपरेशन के कारण उनकी मृत्यु के बाद आधिकारिक तौर पर उनका शासन समाप्त हो गया।\n\nउपरोक्त में से कौन सा/से कथन गलत है/हैं?","1 only","केवल 1","2 only","केवल 2","3 only","केवल 3","1 and 3 only","केवल 1 और 3",2,"Statement 2 is incorrect. While she was indeed 12 years old at the time of her coronation, the coronation took place in 1922 (she was born in 1910), not in 1916.","कथन 2 गलत है। यद्यपि राज्याभिषेक के समय उनकी आयु 12 वर्ष थी, लेकिन राज्याभिषेक 1922 में हुआ था (उनका जन्म 1910 में हुआ था), 1916 में नहीं।"
"Who among the following visionary leaders established the 'Chhattisgarh Bhratra Sangh' (Chhattisgarh Brotherhood Association) in Rajnandgaon in 1967 to advocate for the creation of a separate Chhattisgarh state?","निम्नलिखित में से किस दूरदर्शी नेता ने 1967 में राजनांदगांव में एक अलग छत्तीसगढ़ राज्य के निर्माण की वकालत करने के लिए 'छत्तीसगढ़ भ्रातृत्व संघ' की स्थापना की थी?","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा","Dr. Khoobchand Baghel","डॉ. खूबचंद बघेल","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","E. Raghavendra Rao","ई. राघवेंद्र राव",2,"Dr. Khoobchand Baghel (born in Gram Pathri, Raipur) formed the 'Chhattisgarh Bhratra Sangh' in 1967 in Rajnandgaon to spearhead the movement for a separate state.","डॉ. खूबचंद बघेल (ग्राम पथरी, रायपुर में जन्मे) ने एक अलग राज्य के लिए आंदोलन का नेतृत्व करने के उद्देश्य से 1967 में राजनांदगांव में 'छत्तीसगढ़ भ्रातृत्व संघ' की स्थापना की थी।"
"Who is the author of the notable philosophical work 'Gandhi Mimansa', written by a prominent freedom fighter from Raipur?","रायपुर के एक प्रमुख स्वतंत्रता सेनानी द्वारा रचित उल्लेखनीय दार्शनिक कृति 'गांधी मीमांसा' के लेखक कौन हैं?","Madhavrao Sapre","माधवराव सप्रे","Ramdayal Tiwari","रामदयाल तिवारी","Makhanlal Chaturvedi","माखनलाल चतुर्वेदी","Padumlal Punnalal Bakshi","पदुमलाल पुन्नालाल बख्शी",2,"'Gandhi Mimansa' was authored by Pt. Ramdayal Tiwari, an erudite scholar and freedom fighter born in Raipur in 1892, deeply influenced by Gandhian philosophy.","'गांधी मीमांसा' की रचना पं. रामदयाल तिवारी ने की थी, जो 1892 में रायपुर में जन्मे एक विद्वान और स्वतंत्रता सेनानी थे और गांधीवादी दर्शन से गहराई से प्रभावित थे।"
"Consider the following statements regarding Barrister Chhedilal:\n\n1. He was born in Akaltara (Janjgir-Champa) in 1886.\n\n2. He established the 'Seva Samiti' in Bilaspur to awaken national consciousness.\n\n3. He authored a significant historical book titled 'Holland Ki Swadhinta'.\n\nChoose the correct option:","बैरिस्टर छेदीलाल के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उनका जन्म 1886 में अकलतरा (जांजगीर-चांपा) में हुआ था।\n\n2. उन्होंने राष्ट्रीय चेतना जगाने के लिए बिलासपुर में 'सेवा समिति' की स्थापना की।\n\n3. उन्होंने 'हॉलैंड की स्वाधीनता' नामक एक महत्वपूर्ण ऐतिहासिक पुस्तक लिखी।\n\nसही विकल्प चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. Barrister Chhedilal was a prominent leader from Bilaspur who formed the Seva Samiti and authored the famous book 'Holland Ki Swadhinta'.","सभी कथन सही हैं। बैरिस्टर छेदीलाल बिलासपुर के एक प्रमुख नेता थे जिन्होंने सेवा समिति का गठन किया और प्रसिद्ध पुस्तक 'हॉलैंड की स्वाधीनता' लिखी।"
"During the Civil Disobedience Movement (13 June 1932), a group of women courageously staged a sit-in (picketing) in front of Kika Bhai's shop in Raipur. Who among the following was NOT part of this specific arrested group?","सविनय अवज्ञा आंदोलन (13 जून 1932) के दौरान, महिलाओं के एक समूह ने रायपुर में कीका भाई की दुकान के सामने साहसपूर्वक धरना दिया। निम्नलिखित में से कौन इस विशिष्ट गिरफ्तार समूह का हिस्सा नहीं था?","Ketki Bai","केतकी बाई","Mantora Bai","मंतोरा बाई","Dayavati","दयावती","Rukmani Bai","रुक्मणी बाई",3,"Dayavati was not involved in the picketing in Raipur; she was the young girl who famously slapped a British SDO during the Tamora Jungle Satyagraha (Mahasamund).","दयावती रायपुर में धरने में शामिल नहीं थीं; वह वह युवा लड़की थीं जिसने तमोरा जंगल सत्याग्रह (महासमुंद) के दौरान एक ब्रिटिश एसडीओ को तमाचा मारा था।"
"Match the following prominent personalities of Chhattisgarh with their respective popular titles or associated works:\n\nList-I\n(a) Vamanrao Lakhe\n(b) Ghanshyam Singh Gupta\n(c) Smt. Radhabai\n(d) Ramdayal Tiwari\n\nList-II\n(i) Nagar Dai\n(ii) Vidhan Purush\n(iii) Lokpriya\n(iv) Gandhi Mimansa\n\nCodes:","छत्तीसगढ़ की निम्नलिखित प्रमुख हस्तियों को उनकी संबंधित लोकप्रिय उपाधियों या कार्यों से सुमेलित कीजिए:\n\nसूची-I\n(a) वामनराव लाखे\n(b) घनश्याम सिंह गुप्त\n(c) श्रीमती राधाबाई\n(d) रामदयाल तिवारी\n\nसूची-II\n(i) नगर दाई\n(ii) विधान पुरुष\n(iii) लोकप्रिय\n(iv) गांधी मीमांसा\n\nकूट:","a-iii, b-ii, c-i, d-iv","a-iii, b-ii, c-i, d-iv","a-ii, b-iii, c-iv, d-i","a-ii, b-iii, c-iv, d-i","a-iii, b-i, c-ii, d-iv","a-iii, b-i, c-ii, d-iv","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv",1,"Vamanrao Lakhe was given the title 'Lokpriya', Ghanshyam Singh Gupta was known as 'Vidhan Purush', Smt. Radhabai was called 'Nagar Dai', and Ramdayal Tiwari wrote 'Gandhi Mimansa'.","वामनराव लाखे को 'लोकप्रिय' की उपाधि दी गई, घनश्याम सिंह गुप्त को 'विधान पुरुष' के रूप में जाना जाता था, श्रीमती राधाबाई को 'नगर दाई' कहा जाता था, और रामदयाल तिवारी ने 'गांधी मीमांसा' लिखी।"
"Vamanrao Lakhe, a stalwart of the cooperative movement in Chhattisgarh, established the 'Kisan Co-operative Rice Mill' in 1945 at which location?","छत्तीसगढ़ में सहकारी आंदोलन के एक दिग्गज वामनराव लाखे ने 1945 में 'किसान को-ऑपरेटिव राइस मिल' की स्थापना किस स्थान पर की थी?","Durg","दुर्ग","Rajnandgaon","राजनांदगांव","Balodabazar","बलौदाबाजार","Dhamtari","धमतरी",3,"In 1945, Vamanrao Lakhe further strengthened the cooperative movement by establishing the 'Kisan Co-operative Rice Mill' in Balodabazar.","1945 में, वामनराव लाखे ने बलौदाबाजार में 'किसान को-ऑपरेटिव राइस मिल' की स्थापना करके सहकारी आंदोलन को और मजबूत किया।"
