Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"The famous 'Utpiditank' (Repoussé) technique, an ancient metallurgical method of hammering a design from the reverse to create a raised relief, was extensively used by which Sharabhpuriya ruler to mint his coins?","प्रसिद्ध 'उत्पीड़ितांक' (रिपोसे) तकनीक, जो पीछे की ओर से हथौड़े से वार कर उभरा हुआ डिज़ाइन बनाने की एक प्राचीन धातुकर्म विधि है, का उपयोग किस शरभपुरीय शासक द्वारा अपने सिक्के ढालने के लिए बड़े पैमाने पर किया गया था?","Narendra","नरेंद्र","Jayaraj","जयराज","Prasannamatra","प्रसन्नमात्र","Vyaghraja","व्याघ्रराज","3","King Prasannamatra is highly celebrated in numismatic history for extensively minting lightweight gold coins using the 'Utpiditank' (Repoussé) technique, which circulated across a vast geographical area.","राजा प्रसन्नमात्र को 'उत्पीड़ितांक' (रिपोसे) तकनीक का उपयोग करके हल्के सोने के सिक्के बड़े पैमाने पर ढालने के लिए मुद्राशास्त्र के इतिहास में अत्यधिक मनाया जाता है, जो एक विशाल भौगोलिक क्षेत्र में प्रसारित हुए थे।"
"Consider the following features regarding the unique gold coins issued by Prasannamatra:\n\n1. They prominently feature the symbols of Garuda, Shankh, and Chakra.\n2. The inscription 'Sri Prasannamatra' is engraved using the Box-headed (Petika-shirsha) script.\n3. They bear the image of Gaja-Lakshmi at the center.\n\nChoose the correct statement(s):","प्रसन्नमात्र द्वारा जारी किए गए अद्वितीय सोने के सिक्कों के संबंध में निम्नलिखित विशेषताओं पर विचार कीजिए:\n\n1. इनमें गरुड़, शंख और चक्र के प्रतीक प्रमुख रूप से हैं।\n2. 'श्री प्रसन्नमात्र' लेख पेटिका-शीर्ष (बॉक्स-हेडेड) लिपि का उपयोग करके उकेरा गया है।\n3. इनके केंद्र में गज-लक्ष्मी की छवि है।\n\nसही कथन चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2, and 3","1, 2, और 3","1","Statements 1 and 2 correctly describe his coins. Statement 3 is incorrect because while 'Gaja-Lakshmi' was the dynasty's Royal Seal (Rajmudra) used on copper plates, the coins themselves featured Garuda, Shankh, and Chakra.","कथन 1 और 2 उनके सिक्कों का सही वर्णन करते हैं। कथन 3 गलत है क्योंकि 'गज-लक्ष्मी' राजवंश की शाही मुहर (राजमुद्रा) थी जिसका उपयोग ताम्रपत्रों पर किया जाता था, सिक्कों पर गरुड़, शंख और चक्र होते थे।"
"Which specific script was officially and uniformly adopted by the Sharabhpuriya rulers for engraving both their copper plate charters and coins?","शरभपुरीय शासकों द्वारा अपने ताम्रपत्रों और सिक्कों दोनों को उत्कीर्ण करने के लिए आधिकारिक और समान रूप से किस विशिष्ट लिपि को अपनाया गया था?","Northern Nagari","उत्तरी नागरी","Kutila Script","कुटिला लिपि","Petika-shirsha (Box-headed) Brahmi","पेटिका-शीर्ष (बॉक्स-हेडेड) ब्राह्मी","Kharosthi","खरोष्ठी","3","The epigraphical hallmark of the Sharabhpuriyas (and later the Panduvanshis) in Dakshin Kosal is the uniform use of the 'Petika-shirsha' (Box-headed) variety of the Brahmi script across their records.","दक्षिण कोसल में शरभपुरीयों (और बाद में पांडुवंशियों) की पुरालेखीय पहचान उनके अभिलेखों में ब्राह्मी लिपि की 'पेटिका-शीर्ष' (बॉक्स-हेडेड) विविधता का समान उपयोग है।"
"What was the officially adopted Royal Emblem (Rajchinh) of the Sharabhpuriya dynasty, which was mandatorily affixed to the seals of all their copper plate charters?","शरभपुरीय वंश का आधिकारिक रूप से अपनाया गया राजचिह्न (Royal Emblem) क्या था, जिसे अनिवार्य रूप से उनके सभी ताम्रपत्रों की मुहरों पर लगाया जाता था?","Gajashardul (Elephant and Lion)","गजशार्दूल (हाथी और शेर)","Gaja-Lakshmi (Lakshmi bathed by elephants)","गज-लक्ष्मी (हाथियों द्वारा स्नान करती लक्ष्मी)","Nandi with a Trident","नंदी और त्रिशूल","Varaha (Boar)","वराह (सूअर)","2","As devout Vaishnavites, the Sharabhpuriyas used the imagery of 'Gaja-Lakshmi' (Goddess Lakshmi seated on a lotus, being bathed by elephants) as their dynastic Royal Seal on all official charters.","कट्टर वैष्णवों के रूप में, शरभपुरीयों ने सभी आधिकारिक चार्टरों पर अपनी राजवंशीय शाही मुहर के रूप में 'गज-लक्ष्मी' (कमल पर विराजमान देवी लक्ष्मी, जिन्हें हाथियों द्वारा स्नान कराया जा रहा है) की कल्पना का उपयोग किया।"
"Assertion (A): Prasannamatra's repoussé gold coins have been discovered across a vast area, ranging from Cuttack in Odisha to Chanda in Maharashtra.\n\nReason (R): Prasannamatra conquered these extreme eastern and western territories, establishing a massive pan-Deccan empire.\n\nCodes:","कथन (A): प्रसन्नमात्र के रिपोसे सोने के सिक्के ओडिशा के कटक से लेकर महाराष्ट्र के चांदा तक एक विशाल क्षेत्र में खोजे गए हैं।\n\nकारण (R): प्रसन्नमात्र ने इन सुदूर पूर्वी और पश्चिमी क्षेत्रों पर विजय प्राप्त की, जिससे एक विशाल अखिल दक्कन साम्राज्य की स्थापना हुई।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","3","The assertion is a verified numismatic fact. However, the reason is false. The wide distribution of his coins indicates flourishing regional trade and economic prosperity, not necessarily direct military annexation of Cuttack and Chanda.","कथन एक सत्यापित मुद्राशास्त्रीय तथ्य है। हालाँकि, कारण गलत है। उनके सिक्कों का व्यापक वितरण फलते-फूलते क्षेत्रीय व्यापार और आर्थिक समृद्धि को इंगित करता है, न कि आवश्यक रूप से कटक और चांदा का सीधा सैन्य अधिग्रहण।"
"The Devrani-Jethani temple, widely recognized as the oldest standing temple in Chhattisgarh, is historically attributed to the queens of which dynasty?","देवरानी-जेठानी मंदिर, जिसे व्यापक रूप से छत्तीसगढ़ के सबसे पुराने खड़े मंदिर के रूप में मान्यता प्राप्त है, ऐतिहासिक रूप से किस राजवंश की रानियों से जुड़ा है?","Kalchuri Dynasty","कलचुरी वंश","Panduvanshi Dynasty","पांडुवंशी वंश","Sharabhpuriya Dynasty","शरभपुरीय वंश","Somvanshi Dynasty","सोमवंशी वंश","3","Located in Talagaon (Bilaspur), the Devrani-Jethani temple was built during the 5th-6th century AD by two royal women (queens) belonging to the Sharabhpuriya dynasty, making it the state's earliest temple structure.","तालागांव (बिलासपुर) में स्थित देवरानी-जेठानी मंदिर का निर्माण 5वीं-6वीं शताब्दी ई. के दौरान शरभपुरीय वंश की दो शाही महिलाओं (रानियों) द्वारा किया गया था, जिससे यह राज्य की सबसे पुरानी मंदिर संरचना बन गई।"
"Along the banks of which specific river was the ancient 'Prasannapur' city founded by King Prasannamatra, and the famous Devrani-Jethani temple constructed?","राजा प्रसन्नमात्र द्वारा प्राचीन 'प्रसन्नपुर' शहर की स्थापना और प्रसिद्ध देवरानी-जेठानी मंदिर का निर्माण किस विशिष्ट नदी के तट पर किया गया था?","Mahanadi","महानदी","Shivnath","शिवनाथ","Nidila (Lilagar) / Maniyari","निडिला (लीलागर) / मनियारी","Arpa","अरपा","3","Prasannamatra founded Prasannapur (Malhar) on the banks of the Nidila (Lilagar) river. The Devrani-Jethani temple of Tala is situated nearby along the banks of the Maniyari river.","प्रसन्नमात्र ने निडिला (लीलागर) नदी के तट पर प्रसन्नपुर (मल्हार) की स्थापना की। ताला का देवरानी-जेठानी मंदिर पास ही मनियारी नदी के तट पर स्थित है।"
"A highly unique, giant ancient sculpture featuring various animal body parts (such as a snake, peacock, and lizard forming facial features) was discovered in Tala. Which eminent historian identified it as 'Sadashiva'?","ताला में विभिन्न जानवरों के शरीर के अंगों (जैसे सांप, मोर और छिपकली जो चेहरे की विशेषताएं बनाते हैं) वाली एक अत्यंत अनूठी, विशाल प्राचीन मूर्ति की खोज की गई थी। किस प्रख्यात इतिहासकार ने इसे 'सदाशिव' के रूप में पहचाना?","Dr. Ramendranath Mishra","डॉ. रमेन्द्रनाथ मिश्र","Pt. Lochan Prasad Pandey","पं. लोचन प्रसाद पांडेय","Dr. Ajay Mitra Shastri","डॉ. अजय मित्र शास्त्री","Alexander Cunningham","अलेक्जेंडर कनिंघम","3","The famous 11-12 animal-faced 'Rudra-Shiva' statue found in Talagaon was intensely studied by Dr. Ajay Mitra Shastri, who formally identified and classified the enigmatic sculpture as 'Sadashiva'.","तालागांव में पाई गई प्रसिद्ध 11-12 जानवरों के मुख वाली 'रुद्र-शिव' मूर्ति का डॉ. अजय मित्र शास्त्री द्वारा गहराई से अध्ययन किया गया था, जिन्होंने इस रहस्यमय मूर्ति को औपचारिक रूप से 'सदाशिव' के रूप में पहचाना और वर्गीकृत किया।"
"Match the following Sharabhpuriya kings with the historical cities they are credited with founding:\n\nList-I\n(a) Sharabhraj\n(b) Prasannamatra\n(c) Jayaraj (Durgaraj)\n(d) Sudevaraj\n\nList-II\n(i) Prasannapur (Malhar)\n(ii) Sharabhpur\n(iii) Elevated Sirpur as a secondary capital\n(iv) Durg\n\nCodes:","निम्नलिखित शरभपुरीय राजाओं को उन ऐतिहासिक शहरों के साथ सुमेलित करें जिनकी स्थापना का श्रेय उन्हें दिया जाता है:\n\nसूची-I\n(a) शरभराज\n(b) प्रसन्नमात्र\n(c) जयराज (दुर्गराज)\n(d) सुदेवराज\n\nसूची-II\n(i) प्रसन्नपुर (मल्हार)\n(ii) शरभपुर\n(iii) सिरपुर को द्वितीयक राजधानी के रूप में उन्नत किया\n(iv) दुर्ग\n\nकूट:","a-ii, b-i, c-iv, d-iii","a-ii, b-i, c-iv, d-iii","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-iv, b-iii, c-ii, d-i","a-iv, b-iii, c-ii, d-i","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii","1","Sharabhraj founded Sharabhpur. Prasannamatra built Prasannapur on the Lilagar river. According to Pt. Lochan Prasad Pandey, Jayaraj (Durgaraj) founded Durg. Sudevaraj developed Sirpur as a secondary capital, issuing plates from there.","शरभराज ने शरभपुर की स्थापना की। प्रसन्नमात्र ने लीलागर नदी पर प्रसन्नपुर का निर्माण किया। पं. लोचन प्रसाद पांडेय के अनुसार, जयराज (दुर्गराज) ने दुर्ग की स्थापना की। सुदेवराज ने सिरपुर को द्वितीयक राजधानी के रूप में विकसित किया, वहां से ताम्रपत्र जारी किए।"
"Which of the following elements is strictly ABSENT from all officially discovered Sharabhpuriya copper plates (Tamrapatra)?","आधिकारिक तौर पर खोजे गए सभी शरभपुरीय ताम्रपत्रों में से निम्नलिखित में से कौन सा तत्व पूर्णतः अनुपस्थित है?","Name of the scribe/engraver (Utkirnaka)","लेखक/उत्कीर्णक का नाम","Location from where it was issued","स्थान जहाँ से इसे जारी किया गया था","Regnal year of the issuing king","जारीकर्ता राजा का शासन वर्ष","Pictures or illustrations engraved directly on the plate","ताम्रपत्र पर सीधे उकेरे गए चित्र या रेखाचित्र","4","According to historical analysis, while Sharabhpuriya plates contain issue locations, engraver names (Shilpis), and dates (regnal years), they completely lack any pictures/illustrations on the plate surface itself (the image is restricted to the separate seal).","ऐतिहासिक विश्लेषण के अनुसार, जबकि शरभपुरीय ताम्रपत्रों में जारी करने के स्थान, उत्कीर्णक के नाम (शिल्पी) और तिथियां (शासन वर्ष) शामिल हैं, ताम्रपत्र की सतह पर ही किसी भी चित्र/रेखाचित्र का पूरी तरह से अभाव है (छवि अलग मुहर तक सीमित है)।"
