Quiz Title: The Suba System & European Travelers
Quiz Title (Hindi): सूबा शासन और यूरोपीय यात्री
Quiz Description: Test your knowledge on the Maratha Suba System (1787–1818) in Chhattisgarh and the accounts of European travelers for CGPSC Prelims.
Quiz Description (Hindi): सीजीपीएससी प्रीलिम्स के लिए छत्तीसगढ़ में मराठा सूबा शासन (1787-1818) और यूरोपीय यात्रियों के वृत्तांतों पर अपने ज्ञान का परीक्षण करें।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Who among the following Maratha rulers initiated the 'Suba System' in Chhattisgarh in 1787 A.D.?","निम्नलिखित में से किस मराठा शासक ने 1787 ई. में छत्तीसगढ़ में 'सूबा शासन' की शुरुआत की थी?","Bimbaji Bhonsle","बिंबाजी भोंसले","Vyankoji Bhonsle","व्यंकोजी भोंसले","Chimanaji Bhonsle","चिमणाजी भोंसले","Appa Saheb","अप्पा साहेब","2","Vyankoji Bhonsle initiated the Suba System in 1787 A.D. as he decided to rule Chhattisgarh indirectly from Nagpur through appointed Subedars instead of direct governance.","व्यंकोजी भोंसले ने 1787 ई. में सूबा शासन की शुरुआत की क्योंकि उन्होंने प्रत्यक्ष शासन के बजाय नागपुर से नियुक्त सूबेदारों के माध्यम से छत्तीसगढ़ पर अप्रत्यक्ष रूप से शासन करने का निर्णय लिया था।"
"Match the following European travelers with the Subedars during whose reign they visited Chhattisgarh:\n\nList-I (Traveler)\n(a) Forster\n(b) J.T. Blunt\n(c) Colebrooke\n\nList-II (Subedar)\n(i) Keshav Govind\n(ii) Vithal Rao Dinkar\n(iii) Mahipat Rao Dinkar\n\nCodes:","निम्नलिखित यूरोपीय यात्रियों को उन सूबेदारों के साथ सुमेलित कीजिए जिनके शासनकाल में उन्होंने छत्तीसगढ़ की यात्रा की थी:\n\nसूची-I (यात्री)\n(a) फॉरेस्टर\n(b) जे.टी. ब्लंट\n(c) कोलब्रुक\n\nसूची-II (सूबेदार)\n(i) केशव गोविंद\n(ii) विट्ठल राव दिनकर\n(iii) महीपत राव दिनकर\n\nकूट:","a-iii, b-ii, c-i","a-iii, b-ii, c-i","a-ii, b-iii, c-i","a-ii, b-iii, c-i","a-iii, b-i, c-ii","a-iii, b-i, c-ii","a-i, b-ii, c-iii","a-i, b-ii, c-iii","1","Forster visited in 1790 (Mahipat Rao Dinkar), J.T. Blunt in 1795 (Vithal Rao Dinkar), and Colebrooke in 1799 (Keshav Govind).","फॉरेस्टर ने 1790 (महीपत राव दिनकर), जे.टी. ब्लंट ने 1795 (विट्ठल राव दिनकर), और कोलब्रुक ने 1799 (केशव गोविंद) में यात्रा की।"
"Consider the following statements regarding the Pargana system in Chhattisgarh:\n\n1. It was introduced by the second Subedar, Vithal Rao Dinkar.\n2. He divided the existing 36 Garhs into 27 Parganas.\n3. The post of 'Gauntiya' was abolished under this new system.\n\nWhich of the statements given above is/are correct?","छत्तीसगढ़ में परगना प्रणाली के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसे दूसरे सूबेदार विट्ठल राव दिनकर ने लागू किया था।\n2. उन्होंने मौजूदा 36 गढ़ों को 27 परगनों में विभाजित किया।\n3. इस नई प्रणाली के तहत 'गोटिया' का पद समाप्त कर दिया गया था।\n\nउपर्युक्त कथनों में से कौन-सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. Statement 3 is incorrect because the traditional post of 'Gauntiya' (village head) was kept intact and not abolished during the Pargana system reorganization.","कथन 1 और 2 सही हैं। कथन 3 गलत है क्योंकि परगना प्रणाली के पुनर्गठन के दौरान 'गोटिया' (ग्राम प्रमुख) के पारंपरिक पद को बरकरार रखा गया था और इसे समाप्त नहीं किया गया था।"
"Arrange the following Maratha Subedars of Chhattisgarh in their correct chronological order of appointment:\n\n1. Bhawani Kalu\n2. Bikaji Gopal\n3. Keshav Govind\n4. Vithal Rao Dinkar\n\nChoose the correct code:","छत्तीसगढ़ के निम्नलिखित मराठा सूबेदारों को उनकी नियुक्ति के सही कालक्रमानुसार व्यवस्थित कीजिए:\n\n1. भवानी कालू\n2. बीकाजी गोपाल\n3. केशव गोविंद\n4. विट्ठल राव दिनकर\n\nसही कूट चुनिए:","4, 1, 3, 2","4, 1, 3, 2","4, 3, 1, 2","4, 3, 1, 2","1, 4, 3, 2","1, 4, 3, 2","4, 1, 2, 3","4, 1, 2, 3","1","The correct chronological order is Vithal Rao Dinkar (1790-96), Bhawani Kalu (1796-97), Keshav Govind (1797-1808), and Bikaji Gopal (1809-17).","सही कालक्रम है: विट्ठल राव दिनकर (1790-96), भवानी कालू (1796-97), केशव गोविंद (1797-1808), और बीकाजी गोपाल (1809-17)।"
"Who was the first European traveler to visit Chhattisgarh during the Maratha Suba rule in May 1790?","मई 1790 में मराठा सूबा शासन के दौरान छत्तीसगढ़ की यात्रा करने वाले प्रथम यूरोपीय यात्री कौन थे?","J.T. Blunt","जे.टी. ब्लंट","Captain Agnew","कैप्टन एगन्यू","George Forster","जॉर्ज फॉरेस्टर","Colebrooke","कोलब्रुक","3","George Forster was the first European traveler to visit Raipur, Chhattisgarh, on 17th May 1790 during the reign of the first Subedar, Mahipat Rao Dinkar.","जॉर्ज फॉरेस्टर 17 मई 1790 को प्रथम सूबेदार महीपत राव दिनकर के शासनकाल में रायपुर, छत्तीसगढ़ की यात्रा करने वाले पहले यूरोपीय यात्री थे।"
"Assertion (A): The European traveler J.T. Blunt could not successfully complete his journey into the Bastar region in 1795.\n\nReason (R): His journey was obstructed due to the Bhopalpatnam conflict initiated by the local tribal groups against external intrusion.\n\nCodes:","कथन (A): यूरोपीय यात्री जे.टी. ब्लंट 1795 में बस्तर क्षेत्र में अपनी यात्रा सफलतापूर्वक पूरी नहीं कर सके।\n\nकारण (R): बाहरी घुसपैठ के खिलाफ स्थानीय आदिवासी समूहों द्वारा शुरू किए गए भोपालपट्टनम संघर्ष के कारण उनकी यात्रा बाधित हुई थी।\n\nकूट:","Both A and R are true, and R is the correct explanation of A.","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है।","Both A and R are true, but R is NOT the correct explanation of A.","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है।","A is true, but R is false.","A सत्य है, लेकिन R असत्य है।","A is false, but R is true.","A असत्य है, लेकिन R सत्य है।","1","J.T. Blunt faced fierce resistance from the local tribes during the Bhopalpatnam conflict of 1795, which forced him to halt his expedition into Bastar and return.","जे.टी. ब्लंट को 1795 के भोपालपट्टनम संघर्ष के दौरान स्थानीय जनजातियों से भयंकर प्रतिरोध का सामना करना पड़ा, जिसने उन्हें बस्तर में अपने अभियान को रोकने और लौटने के लिए मजबूर किया।"
"Assertion (A): The Subedari system in Chhattisgarh was essentially a contractual and colonial revenue-extracting system.\n\nReason (R): Subedars were appointed strictly based on their administrative merit and experience in the Bhonsle court to ensure public welfare.\n\nCodes:","कथन (A): छत्तीसगढ़ में सूबेदारी व्यवस्था अनिवार्य रूप से एक संविदात्मक और औपनिवेशिक राजस्व-वसूली प्रणाली थी।\n\nकारण (R): सूबेदारों की नियुक्ति जन कल्याण सुनिश्चित करने के लिए भोंसले दरबार में उनकी प्रशासनिक योग्यता और अनुभव के आधार पर सख्ती से की जाती थी।\n\nकूट:","Both A and R are true, and R is the correct explanation of A.","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है।","Both A and R are true, but R is NOT the correct explanation of A.","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है।","A is true, but R is false.","A सत्य है, लेकिन R असत्य है।","A is false, but R is true.","A असत्य है, लेकिन R सत्य है।","3","A is true but R is false. Subedars were not appointed on merit or administrative capability; they were appointed based on who bid the highest amount of revenue (contract) to the Nagpur treasury.","A सत्य है लेकिन R असत्य है। सूबेदारों की नियुक्ति योग्यता या प्रशासनिक क्षमता पर नहीं होती थी; उन्हें नागपुर राजकोष में सबसे अधिक राजस्व (ठेके) की बोली लगाने के आधार पर नियुक्त किया जाता था।"
"Consider the following statements regarding Subedar Keshav Govind:\n\n1. He served as the Subedar of Chhattisgarh for the longest period.\n2. He successfully protected Chhattisgarh from the invasions of the Pindaris.\n3. He expanded the Maratha territory by capturing the Sambalpur estate.\n\nWhich of the statements given above is/are correct?","सूबेदार केशव गोविंद के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उन्होंने सबसे लंबी अवधि तक छत्तीसगढ़ के सूबेदार के रूप में कार्य किया।\n2. उन्होंने पिंडारियों के आक्रमणों से छत्तीसगढ़ की सफलतापूर्वक रक्षा की।\n3. उन्होंने संबलपुर रियासत पर कब्जा करके मराठा क्षेत्र का विस्तार किया।\n\nउपर्युक्त कथनों में से कौन-सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All three statements are correct. Keshav Govind ruled the longest (1797-1808), protected the region from the first Pindari attacks, and annexed Sambalpur to the Maratha empire.","तीनों कथन सही हैं। केशव गोविंद ने सबसे लंबे समय (1797-1808) तक शासन किया, पहले पिंडारी हमलों से क्षेत्र की रक्षा की, और संबलपुर को मराठा साम्राज्य में मिला लिया।"
"Which of the following taxes collected during the Maratha period in Chhattisgarh is INCORRECTLY matched with its definition?","छत्तीसगढ़ में मराठा काल के दौरान एकत्र किए गए निम्नलिखित में से कौन सा कर उसकी परिभाषा के साथ गलत तरीके से सुमेलित है?","Sair — Import-Export tax","सायर — आयात-निर्यात कर","Kalali — Excise tax on liquor","कलाली — आबकारी (शराब) कर","Pandari — Agricultural land tax","पंडरी — कृषि भूमि कर","Sewai — Collection of various irregular fines","सेवई — विभिन्न अनियमित जुर्मानों का संग्रह","3","Pandari was a Non-Agricultural tax levied on non-agriculturists and craftsmen, not an agricultural land tax. The other taxes are correctly matched.","पंडरी गैर-कृषकों और शिल्पकारों पर लगाया जाने वाला एक गैर-कृषि कर था, न कि कृषि भूमि कर। अन्य कर सही ढंग से सुमेलित हैं।"
"Among the eight recognized Maratha Subedars of Chhattisgarh, who had the shortest administrative tenure and attempted to rule through a representative named Kodo Vishnu?","छत्तीसगढ़ के आठ मान्यता प्राप्त मराठा सूबेदारों में से, किसका प्रशासनिक कार्यकाल सबसे छोटा था और जिसने कोदो विष्णु नामक प्रतिनिधि के माध्यम से शासन करने का प्रयास किया था?","Mahipat Rao Dinkar","महीपत राव दिनकर","Binkoji Pindri","बिंकोजी पिंडरी","Bhawani Kalu","भवानी कालू","Yadav Rao Diwakar","यादव राव दिवाकर","3","Bhawani Kalu (1796-1797) ruled for a very short period. He did not come to Chhattisgarh himself but sent his representative Kodo Vishnu, which led to his swift removal from the post.","भवानी कालू (1796-1797) ने बहुत कम समय तक शासन किया। वे स्वयं छत्तीसगढ़ नहीं आए बल्कि अपने प्रतिनिधि कोदो विष्णु को भेजा, जिसके कारण उन्हें तुरंत पद से हटा दिया गया।"
