Quiz Title (English)
Civil Disobedience Movement: Central Leadership & Dictators

Quiz Title (Hindi)
सविनय अवज्ञा आंदोलन: केंद्रीय नेतृत्व और डिक्टेटर (अधिनायक)

Quiz Description (English)
Evaluate your knowledge of the Civil Disobedience Movement in Chhattisgarh, focusing on the Salt Satyagraha, the 'Five Pandavas', the Dictators of Raipur, and key localized protests like the Vanar Sena and Picketing.

Quiz Description (Hindi)
छत्तीसगढ़ में सविनय अवज्ञा आंदोलन पर अपने ज्ञान का मूल्यांकन करें। यह क्विज़ नमक सत्याग्रह, 'पांच पांडवों', रायपुर के डिक्टेटरों (अधिनायकों), और वानर सेना व धरना जैसे प्रमुख स्थानीय विरोध प्रदर्शनों पर केंद्रित है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"During the second phase of the Civil Disobedience Movement (1932), a series of 'Dictators' were appointed to lead the movement in Chhattisgarh. Who was appointed as the First Dictator for the entire province?","सविनय अवज्ञा आंदोलन के द्वितीय चरण (1932) के दौरान, छत्तीसगढ़ में आंदोलन का नेतृत्व करने के लिए 'डिक्टेटरों' (अधिनायकों) की नियुक्ति की गई थी। पूरे प्रांत के लिए प्रथम डिक्टेटर किसे नियुक्त किया गया था?","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","E. Raghavendra Rao","ई. राघवेंद्र राव",2,"Pt. Ravishankar Shukla was appointed as the first dictator for the entire province during the second phase of the Civil Disobedience Movement in 1932.","सविनय अवज्ञा आंदोलन के द्वितीय चरण (1932) के दौरान पूरे प्रांत के लिए पं. रविशंकर शुक्ल को प्रथम डिक्टेटर (अधिनायक) नियुक्त किया गया था।"
"Who was appointed as the Second Dictator of the province, who was subsequently imprisoned along with Satyagrahis Budhram, Ghasiram, Jwalaprasad, and Ramlal on 19 April 1932?","प्रांत का द्वितीय डिक्टेटर किसे नियुक्त किया गया था, जिन्हें बाद में 19 अप्रैल 1932 को सत्याग्रही बुधराम, घासीराम, ज्वालाप्रसाद और रामलाल के साथ कारावास में डाल दिया गया था?","Vamanrao Lakhe","वामनराव लाखे","Shivdas Daga","शिवदास डागा","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा","Shankar Rao Ganodwale","शंकर राव गणोदवाले",3,"Pt. Sundarlal Sharma was the second dictator. He was arrested on 19 April 1932 along with Budhram, Ghasiram, Jwalaprasad, and Ramlal while performing Satyagraha.","पं. सुंदरलाल शर्मा द्वितीय डिक्टेटर थे। 19 अप्रैल 1932 को सत्याग्रह करते समय उन्हें बुधराम, घासीराम, ज्वालाप्रसाद और रामलाल के साथ गिरफ्तार कर लिया गया था।"
"Match the following Dictators of Chhattisgarh with their respective chronological order during the second phase of the Civil Disobedience Movement:\n\nList-I\n(a) Shankar Rao Ganodwale\n(b) Madhavprasad Parganiha\n(c) Brahmdev Dubey\n(d) Laxmi Narayan Tiwari\n\nList-II\n(i) Third Dictator\n(ii) Fifth Dictator\n(iii) Seventh Dictator\n(iv) Eighth (Last) Dictator\n\nCodes:","सविनय अवज्ञा आंदोलन के द्वितीय चरण के दौरान छत्तीसगढ़ के निम्नलिखित डिक्टेटरों को उनके संबंधित कालानुक्रमिक क्रम के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) शंकर राव गणोदवाले\n(b) माधवप्रसाद परगनिहा\n(c) ब्रह्मदेव दुबे\n(d) लक्ष्मी नारायण तिवारी\n\nसूची-II\n(i) तृतीय डिक्टेटर\n(ii) पांचवें डिक्टेटर\n(iii) सातवें डिक्टेटर\n(iv) आठवें (अंतिम) डिक्टेटर\n\nकूट:","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-ii, b-i, c-iv, d-iii","a-ii, b-i, c-iv, d-iii","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-iv, b-iii, c-ii, d-i","a-iv, b-iii, c-ii, d-i",1,"All pairs are correctly matched. 3rd: Shankar Rao Ganodwale, 5th: Madhavprasad Parganiha, 7th: Brahmdev/Baldev Dubey, 8th: Laxmi Narayan Tiwari.","सभी युग्म सही सुमेलित हैं। तृतीय: शंकर राव गणोदवाले, 5वें: माधवप्रसाद परगनिहा, 7वें: ब्रह्मदेव/बलदेव दुबे, 8वें: लक्ष्मी नारायण तिवारी।"
"Who holds the distinction of being the first and only female 'Dictator' (Fourth Dictator) of Chhattisgarh during the Civil Disobedience Movement?","सविनय अवज्ञा आंदोलन के दौरान छत्तीसगढ़ की प्रथम और एकमात्र महिला 'डिक्टेटर' (चतुर्थ डिक्टेटर) होने का गौरव किसे प्राप्त है?","Smt. Radhabai","श्रीमती राधाबाई","Subhadra Kumari Chauhan","सुभद्रा कुमारी चौहान","Minimata","मिनीमाता","Ketki Bai","केतकी बाई",1,"Smt. Radhabai was the fourth and the only female dictator appointed during the Civil Disobedience Movement. She led the movement in the Raipur district.","श्रीमती राधाबाई सविनय अवज्ञा आंदोलन के दौरान नियुक्त चतुर्थ और एकमात्र महिला डिक्टेटर थीं। उन्होंने रायपुर जिले में आंदोलन का नेतृत्व किया था।"
"Which revolutionary leader, appointed as the Sixth Dictator of Raipur in 1932, is uniquely remembered for innovating the 'Letter Bomb' (Patra Bam) strategy?","1932 में रायपुर के छठे डिक्टेटर के रूप में नियुक्त किस क्रांतिकारी नेता को 'पत्र बम' रणनीति का आविष्कार करने के लिए विशेष रूप से याद किया जाता है?","Baliram Dubey (Azad)","बलीराम दुबे (आज़ाद)","Ramnarayan Mishra 'Harshul'","रामनारायण मिश्र 'हर्षुल'","Parasram Soni","परसराम सोनी","Krantikumar Bharatiya","क्रांतिकुमार भारतीय",2,"Ramnarayan Mishra (Harshul) was the 6th dictator who innovated the 'Letter Bomb' strategy in 1932 to target British officials.","रामनारायण मिश्र (हर्षुल) छठे डिक्टेटर थे, जिन्होंने 1932 में ब्रिटिश अधिकारियों को निशाना बनाने के लिए 'पत्र बम' रणनीति का आविष्कार किया था।"
"During the Civil Disobedience Movement in Chhattisgarh, who served as the Eighth and final Dictator?","छत्तीसगढ़ में सविनय अवज्ञा आंदोलन के दौरान, आठवें और अंतिम डिक्टेटर के रूप में किसने कार्य किया?","Brahmdev Dubey","ब्रह्मदेव दुबे","Laxmi Narayan Tiwari","लक्ष्मी नारायण तिवारी","Madhavprasad Parganiha","माधवप्रसाद परगनिहा","Yati Yatan Lal","यति यतन लाल",2,"Laxmi Narayan Tiwari served as the eighth and the final dictator of Raipur during the second phase of the Civil Disobedience Movement.","लक्ष्मी नारायण तिवारी ने सविनय अवज्ञा आंदोलन के द्वितीय चरण के दौरान रायपुर के आठवें और अंतिम डिक्टेटर के रूप में कार्य किया।"
"The Mahakaushal Political Council held in Raipur on 15th April 1930 was originally scheduled to be chaired by Pt. Jawaharlal Nehru. In his absence, who presided over the conference?","15 अप्रैल 1930 को रायपुर में आयोजित महाकौशल राजनीतिक परिषद की अध्यक्षता मूल रूप से पं. जवाहरलाल नेहरू को करनी थी। उनकी अनुपस्थिति में सम्मेलन की अध्यक्षता किसने की?","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Seth Govind Das","सेठ गोविंद दास","Dwarika Prasad Mishra","द्वारिका प्रसाद मिश्र","Dr. Rajendra Prasad","डॉ. राजेंद्र प्रसाद",2,"The Mahakaushal Political Council was presided over by Seth Govind Das because Pt. Nehru was arrested en route before he could reach Raipur.","महाकौशल राजनीतिक परिषद की अध्यक्षता सेठ गोविंद दास ने की थी क्योंकि पं. नेहरू को रायपुर पहुंचने से पहले ही रास्ते में गिरफ्तार कर लिया गया था।"
"Why could Pt. Jawaharlal Nehru not preside over the Mahakaushal Political Council in Raipur scheduled for April 1930?","पं. जवाहरलाल नेहरू अप्रैल 1930 में निर्धारित रायपुर की महाकौशल राजनीतिक परिषद की अध्यक्षता क्यों नहीं कर सके?","He was arrested at Gondia railway station","उन्हें गोंदिया रेलवे स्टेशन पर गिरफ्तार कर लिया गया था","He was arrested at Chhiyuki (Ibadatganj) station","उन्हें छियुकी (इबादतगंज) स्टेशन पर गिरफ्तार कर लिया गया था","He was deported to Burma by the British","उन्हें अंग्रेजों द्वारा बर्मा निर्वासित कर दिया गया था","He was imprisoned in the Bilaspur Central Jail","उन्हें बिलासपुर सेंट्रल जेल में कैद किया गया था",2,"Pt. Nehru was arrested at Chhiyuki (Ibadatganj) station while he was on his way to Raipur, delaying the conference from 13th to 15th April.","रायपुर आते समय पं. नेहरू को छियुकी (इबादतगंज) स्टेशन पर गिरफ्तार कर लिया गया था, जिससे यह सम्मेलन 13 के बजाय 15 अप्रैल तक टल गया था।"
"On 15th April 1930, Pt. Ravishankar Shukla symbolically broke the Salt Law in Raipur. Which chemical process did he use to manufacture salt?","15 अप्रैल 1930 को पं. रविशंकर शुक्ल ने रायपुर में प्रतीकात्मक रूप से नमक कानून तोड़ा। नमक बनाने के लिए उन्होंने किस रासायनिक प्रक्रिया का उपयोग किया?","Evaporating water from the Mahanadi river","महानदी के पानी का वाष्पीकरण करके","Mixing Hydrochloric Acid (HCl) and Soda (NaOH)","हाइड्रोक्लोरिक एसिड (HCl) और सोडा (NaOH) को मिलाकर","Mixing Sodium Chloride and Potassium Iodide","सोडियम क्लोराइड और पोटेशियम आयोडाइड को मिलाकर","Boiling seawater brought from Dandi","दांडी से लाए गए समुद्री जल को उबालकर",2,"Pt. Ravishankar Shukla manufactured salt by mixing Hydrochloric acid (HCl) and Soda (NaOH) at the Mahakaushal Political Council, symbolically breaking the British Salt Law.","पं. रविशंकर शुक्ल ने महाकौशल राजनीतिक परिषद में हाइड्रोक्लोरिक एसिड (HCl) और सोडा (NaOH) को मिलाकर नमक बनाया और प्रतीकात्मक रूप से ब्रिटिश नमक कानून तोड़ा।"
"Which of the following leaders did NOT participate in the symbolic breaking of the Salt Law along with Pt. Ravishankar Shukla in Raipur on 15th April 1930?","निम्नलिखित में से किस नेता ने 15 अप्रैल 1930 को रायपुर में पं. रविशंकर शुक्ल के साथ नमक कानून तोड़ने के प्रतीकात्मक कार्य में भाग नहीं लिया था?","Mahant Laxmi Narayan Das","महंत लक्ष्मी नारायण दास","Seth Govind Das","सेठ गोविंद दास","Dwarika Prasad Mishra","द्वारिका प्रसाद मिश्र","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा",4,"Pt. Sundarlal Sharma was not involved in breaking the salt law on 15th April 1930. The collaborators were Seth Govind Das, Dwarika Prasad Mishra, Mahant Laxminarayan Das, and Gayacharan Trivedi.","15 अप्रैल 1930 को नमक कानून तोड़ने में पं. सुंदरलाल शर्मा शामिल नहीं थे। इसमें सेठ गोविंद दास, द्वारिका प्रसाद मिश्र, महंत लक्ष्मीनारायण दास और गयाचरण त्रिवेदी सहयोगी थे।"
