Quiz Title (English)
SRC, Later Agitations & MP Reorganization Act 2000

Quiz Title (Hindi)
राज्य पुनर्गठन आयोग, बाद के आंदोलन और म.प्र. पुनर्गठन अधिनियम 2000

Quiz Description (English)
This master quiz rigorously tests your knowledge of the later phase of the Chhattisgarh statehood movement (1956–2000). It covers key political organizations, legislative resolutions in the MP Assembly, the precise timeline of the MP Reorganization Act 2000 in Parliament, and the exact geographical statistics of the newly formed state.

Quiz Description (Hindi)
यह मास्टर क्विज छत्तीसगढ़ राज्य निर्माण आंदोलन के बाद के चरण (1956-2000) के आपके ज्ञान का कठोरता से परीक्षण करता है। इसमें प्रमुख राजनीतिक संगठनों, म.प्र. विधानसभा में विधायी प्रस्तावों, संसद में म.प्र. पुनर्गठन अधिनियम 2000 की सटीक समयरेखा और नवगठित राज्य के सटीक भौगोलिक आंकड़ों को शामिल किया गया है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Who among the following founded the 'Chhattisgarh Mukti Morcha' in 1976 to intertwine the demand for a separate state with the rights of laborers and farmers?","पृथक राज्य की मांग को मजदूरों और किसानों के अधिकारों के साथ जोड़ने के लिए 1976 में निम्नलिखित में से किसने 'छत्तीसगढ़ मुक्ति मोर्चा' की स्थापना की थी?","Dr. Khoobchand Baghel","डॉ. खूबचंद बघेल","Shankar Guha Niyogi","शंकर गुहा नियोगी","Chandulal Chandrakar","चंदूलाल चंद्राकर","Pawan Diwan","पवन दीवान","2","Shankar Guha Niyogi founded the Chhattisgarh Mukti Morcha in 1976. This organization played a critical role in mobilizing the working class and peasantry, distinguishing it from purely political statehood outfits.","शंकर गुहा नियोगी ने 1976 में छत्तीसगढ़ मुक्ति मोर्चा की स्थापना की थी। इस संगठन ने श्रमिक वर्ग और किसानों को लामबंद करने में महत्वपूर्ण भूमिका निभाई, जिसने इसे विशुद्ध राजनीतिक राज्य निर्माण संगठनों से अलग कर दिया।"
"In 1983, Shankar Guha Niyogi formed another platform to further intensify the political struggle for statehood. What was the name of this organization?","1983 में, शंकर गुहा नियोगी ने राज्य के लिए राजनीतिक संघर्ष को और तेज करने के लिए एक और मंच का गठन किया। इस संगठन का नाम क्या था?","Chhattisgarh Bhratritva Sangh","छत्तीसगढ़ भ्रातृत्व संघ","Chhattisgarh Sangram Manch","छत्तीसगढ़ संग्राम मंच","Chhattisgarh Rajya Nirman Manch","छत्तीसगढ़ राज्य निर्माण मंच","Shoshan Virodhi Manch","शोषण विरोधी मंच","2","After the Mukti Morcha in 1976, Shankar Guha Niyogi established the 'Chhattisgarh Sangram Manch' in 1983 to provide a sharp political edge to the demand for a separate Chhattisgarh state.","1976 में मुक्ति मोर्चा के बाद, शंकर गुहा नियोगी ने पृथक छत्तीसगढ़ राज्य की मांग को तीव्र राजनीतिक धार प्रदान करने के लिए 1983 में 'छत्तीसगढ़ संग्राम मंच' की स्थापना की थी।"
"Which prominent poet-turned-politician established the 'Prithak Chhattisgarh Party' (also known as Jay Chhattisgarh Party) in 1983?","किस प्रमुख कवि से राजनेता बने व्यक्ति ने 1983 में 'पृथक छत्तीसगढ़ पार्टी' (जिसे जय छत्तीसगढ़ पार्टी भी कहा जाता है) की स्थापना की थी?","Hari Thakur","हरि ठाकुर","Dwarika Prasad Tiwari","द्वारिका प्रसाद तिवारी","Pawan Diwan","पवन दीवान","Daau Anand Kumar","दाऊ आनंद कुमार","3","In 1983, the eminent saint and poet Pawan Diwan founded the 'Prithak Chhattisgarh Party' (Jay Chhattisgarh Party) to mobilize public sentiment for the creation of the state.","1983 में, प्रख्यात संत और कवि पवन दीवान ने राज्य के निर्माण के लिए जनभावना को लामबंद करने के लिए 'पृथक छत्तीसगढ़ पार्टी' (जय छत्तीसगढ़ पार्टी) की स्थापना की थी।"
"The 'Chhattisgarh Rajya Nirman Manch', formed in 1990 to unite intellectuals and the public across party lines for the statehood cause, was established under whose leadership?","राज्य निर्माण के उद्देश्य से पार्टी लाइनों से ऊपर उठकर बुद्धिजीवियों और जनता को एकजुट करने के लिए 1990 में गठित 'छत्तीसगढ़ राज्य निर्माण मंच', किसके नेतृत्व में स्थापित किया गया था?","Vidya Charan Shukla","विद्याचरण शुक्ल","Chandulal Chandrakar","चंदूलाल चंद्राकर","Digvijay Singh","दिग्विजय सिंह","Ravindra Choubey","रवींद्र चौबे","2","The 'Chhattisgarh Rajya Nirman Manch' was established in 1990 under the leadership of veteran leader Chandulal Chandrakar. It became a powerful umbrella platform for the statehood movement.","'छत्तीसगढ़ राज्य निर्माण मंच' की स्थापना 1990 में वयोवृद्ध नेता चंदूलाल चंद्राकर के नेतृत्व में की गई थी। यह राज्य निर्माण आंदोलन के लिए एक शक्तिशाली साझा मंच बन गया।"
"Match the leaders with their respective organizations related to the later phase of the Chhattisgarh statehood movement:\n\nList-I\n(a) Chandulal Chandrakar\n(b) Shankar Guha Niyogi\n(c) Pawan Diwan\n(d) Dr. Khoobchand Baghel\n\nList-II\n(i) Chhattisgarh Sangram Manch\n(ii) Jay Chhattisgarh Party\n(iii) Chhattisgarh Bhratritva Sangh\n(iv) Chhattisgarh Rajya Nirman Manch\n\nCodes:","छत्तीसगढ़ राज्य निर्माण आंदोलन के बाद के चरण से संबंधित नेताओं को उनके संबंधित संगठनों के साथ सुमेलित करें:\n\nसूची-I\n(a) चंदूलाल चंद्राकर\n(b) शंकर गुहा नियोगी\n(c) पवन दीवान\n(d) डॉ. खूबचंद बघेल\n\nसूची-II\n(i) छत्तीसगढ़ संग्राम मंच\n(ii) जय छत्तीसगढ़ पार्टी\n(iii) छत्तीसगढ़ भ्रातृत्व संघ\n(iv) छत्तीसगढ़ राज्य निर्माण मंच\n\nकूट:","a-iv, b-i, c-ii, d-iii","a-iv, b-i, c-ii, d-iii","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-iv, b-ii, c-i, d-iii","a-iv, b-ii, c-i, d-iii","a-ii, b-i, c-iv, d-iii","a-ii, b-i, c-iv, d-iii","1","Correct matching: Chandulal Chandrakar - Rajya Nirman Manch (1990), Shankar Guha Niyogi - Sangram Manch (1983), Pawan Diwan - Jay Chhattisgarh Party (1983), and Dr. Khoobchand Baghel - Bhratritva Sangh (1967).","सही सुमेलन: चंदूलाल चंद्राकर - राज्य निर्माण मंच (1990), शंकर गुहा नियोगी - संग्राम मंच (1983), पवन दीवान - जय छत्तीसगढ़ पार्टी (1983), और डॉ. खूबचंद बघेल - भ्रातृत्व संघ (1967)।"
"In 1994, who presented a Non-Official Resolution (Ashashkiya Sankalp) for a separate Chhattisgarh state in the Madhya Pradesh Legislative Assembly, which was passed unanimously?","1994 में, मध्य प्रदेश विधानसभा में पृथक छत्तीसगढ़ राज्य के लिए एक अशासकीय संकल्प (गैर-आधिकारिक प्रस्ताव) किसने प्रस्तुत किया, जिसे सर्वसम्मति से पारित किया गया था?","Digvijay Singh","दिग्विजय सिंह","Thakur Ramakrishna Singh","ठाकुर रामकृष्ण सिंह","Ravindra Choubey","रवींद्र चौबे","Vidya Charan Shukla","विद्याचरण शुक्ल","3","In 1994, MLA Ravindra Choubey presented a non-official resolution for a separate Chhattisgarh in the Madhya Pradesh Legislative Assembly, which was passed unanimously by the house.","1994 में, विधायक रवींद्र चौबे ने मध्य प्रदेश विधानसभा में पृथक छत्तीसगढ़ के लिए एक अशासकीय संकल्प प्रस्तुत किया, जिसे सदन द्वारा सर्वसम्मति से पारित कर दिया गया।"
"On 9 April 1995, who initiated an 'Akhand Dharna' (continuous sit-in protest) for the formation of Chhattisgarh state, which continued for years?","9 अप्रैल 1995 को, छत्तीसगढ़ राज्य के निर्माण के लिए किसने 'अखंड धरना' (निरंतर धरना प्रदर्शन) शुरू किया, जो वर्षों तक चला?","Chandulal Chandrakar","चंदूलाल चंद्राकर","Daau Anand Kumar","दाऊ आनंद कुमार","Pawan Diwan","पवन दीवान","Keyur Bhushan","केयूर भूषण","2","On 9 April 1995, Daau Anand Kumar initiated an 'Akhand Dharna' demanding the creation of a separate Chhattisgarh state. This continuous protest became a symbol of steadfast regional determination.","9 अप्रैल 1995 को, दाऊ आनंद कुमार ने पृथक छत्तीसगढ़ राज्य के निर्माण की मांग को लेकर 'अखंड धरना' शुरू किया। यह निरंतर विरोध दृढ़ क्षेत्रीय संकल्प का प्रतीक बन गया।"
"Assertion (A): The Madhya Pradesh Legislative Assembly returned the 'Madhya Pradesh Reorganization Bill 1998' to the President of India.\n\nReason (R): The assembly had passed the bill on 1 September 1998 but attached approximately 40 amendments to it.\n\nCodes:","अभिकथन (A): मध्य प्रदेश विधानसभा ने 'मध्य प्रदेश पुनर्गठन विधेयक 1998' को भारत के राष्ट्रपति को वापस कर दिया।\n\nकारण (R): विधानसभा ने 1 सितंबर 1998 को विधेयक पारित किया था लेकिन इसमें लगभग 40 संशोधन जोड़े थे।\n\nकूट:","Both A and R are true and R is the correct explanation of A.","A और R दोनों सत्य हैं और R, A की सही व्याख्या है।","Both A and R are true but R is not the correct explanation of A.","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है।","A is true but R is false.","A सत्य है लेकिन R असत्य है।","A is false but R is true.","A असत्य है लेकिन R सत्य है।","1","Both A and R are true. On 1 September 1998, the MP Assembly debated the 1998 Reorganization Bill sent by the President and returned it after passing it with about 40 amendments.","A और R दोनों सत्य हैं। 1 सितंबर 1998 को, मध्य प्रदेश विधानसभा ने राष्ट्रपति द्वारा भेजे गए 1998 के पुनर्गठन विधेयक पर बहस की और इसे लगभग 40 संशोधनों के साथ पारित करने के बाद वापस कर दिया।"
"A massive 'Chhattisgarh Bandh' was organized on 20 July 1999 to pressure the central government for statehood, resulting in the arrest of 11,278 people. Who was the prominent leader driving this Bandh?","राज्य निर्माण के लिए केंद्र सरकार पर दबाव बनाने हेतु 20 जुलाई 1999 को एक विशाल 'छत्तीसगढ़ बंद' का आयोजन किया गया था, जिसके परिणामस्वरूप 11,278 लोगों की गिरफ्तारी हुई। इस बंद के प्रमुख नेता कौन थे?","Shankar Guha Niyogi","शंकर गुहा नियोगी","Vidya Charan Shukla","विद्याचरण शुक्ल","Digvijay Singh","दिग्विजय सिंह","Ramesh Bais","रमेश बैस","2","The aggressive 'Chhattisgarh Bandh' on 20 July 1999 was prominently led by veteran leader Vidya Charan Shukla. It saw massive public participation and the arrest of 11,278 individuals.","20 जुलाई 1999 को आक्रामक 'छत्तीसगढ़ बंद' का नेतृत्व प्रमुख रूप से वयोवृद्ध नेता विद्याचरण शुक्ल ने किया था। इसमें बड़े पैमाने पर जनभागीदारी देखी गई और 11,278 लोगों को गिरफ्तार किया गया।"
"Who introduced the 'Madhya Pradesh Reorganization Bill, 2000' in the Lok Sabha on 25 July 2000?","25 जुलाई 2000 को लोकसभा में 'मध्य प्रदेश पुनर्गठन विधेयक, 2000' किसने प्रस्तुत किया था?","Atal Bihari Vajpayee","अटल बिहारी वाजपेयी","L.K. Advani","एल.के. आडवाणी","Digvijay Singh","दिग्विजय सिंह","K.R. Narayanan","के.आर. नारायणन","2","The 'Madhya Pradesh Reorganization Bill, 2000' was officially introduced in the Lok Sabha on 25 July 2000 by the then Union Home Minister, L.K. Advani.","'मध्य प्रदेश पुनर्गठन विधेयक, 2000' को 25 जुलाई 2000 को तत्कालीन केंद्रीय गृह मंत्री एल.के. आडवाणी द्वारा आधिकारिक तौर पर लोकसभा में प्रस्तुत किया गया था।"
