TOPIC JUNE 2026 - Chhattisgarh Current Affairs June 2026
छत्तीसगढ़ करेंट अफेयर्स जून 2026
Prepare for CGPSC Prelims and Vyapam exams with this highly targeted June 2026 Chhattisgarh current affairs quiz. Test your deep knowledge of state schemes, archaeological discoveries, and environmental updates.
सीजीपीएससी प्रारंभिक और व्यापम परीक्षाओं की तैयारी के लिए जून 2026 छत्तीसगढ़ करेंट अफेयर्स का यह सटीक क्विज हल करें। राज्य की योजनाओं, पुरातात्विक खोजों और पर्यावरण अपडेट्स के अपने गहन ज्ञान का परीक्षण करें।
"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"During the All India Tiger Estimation Survey 2026, the rare Honey Badger (locally known as Chhindbhalu) was recorded in which tiger reserve of Chhattisgarh?","अखिल भारतीय बाघ गणना सर्वेक्षण 2026 के दौरान, छत्तीसगढ़ के किस टाइगर रिजर्व में दुर्लभ हनी बैजर (स्थानीय रूप से छिंदभालू) को रिकॉर्ड किया गया है?","Udanti Sitanadi Tiger Reserve","उदंती सीतानदी टाइगर रिजर्व","Achanakmar Tiger Reserve","अचानकमार टाइगर रिजर्व","Guru Ghasidas Tiger Reserve","गुरु घासीदास टाइगर रिजर्व","Indravati Tiger Reserve","इंद्रावती टाइगर रिजर्व","1","The rare Honey Badger, scientifically named Mellivora capensis and locally called Chhindbhalu, was recorded in the Udanti Sitanadi Tiger Reserve during the 2026 survey. It is an aggressive, nocturnal creature listed in the IUCN Red List.","दुर्लभ हनी बैजर, जिसका वैज्ञानिक नाम मेलिवोरा कैपेंसिस है और इसे स्थानीय रूप से छिंदभालू कहा जाता है, 2026 के सर्वेक्षण के दौरान उदंती सीतानदी टाइगर रिजर्व में रिकॉर्ड किया गया था। यह एक आक्रामक और रात्रिचर जीव है।"
"Consider the following statements regarding the 1500-year-old copper plates found in Malhar in June 2026:\n\n1. They were discovered under the Gyan Bharatam campaign.\n\n2. The plates belong to Panduvanshi ruler Mahashivgupt Balarjun.\n\n3. The inscription is engraved in Brahmi script and Pali language.\n\n4. The royal seal features Nandi, Trishul, and a fully bloomed lotus.\n\nChoose the correct answer:","जून 2026 में मल्हार में मिले 1500 साल पुराने ताम्रपत्रों के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इन्हें ज्ञान भारतम अभियान के तहत खोजा गया था।\n\n2. ये ताम्रपत्र पांडुवंशीय शासक महाशिवगुप्त बालार्जुन के हैं।\n\n3. यह अभिलेख ब्राह्मी लिपि और पाली भाषा में उत्कीर्ण है।\n\n4. राजमुद्रा में नंदी, त्रिशूल और पूर्ण विकसित कमल का अंकन है।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1, 2 and 4 only","केवल 1, 2 और 4","1, 2, 3 and 4","1, 2, 3 और 4","4","All statements are true. Discovered under the Gyan Bharatam mission from Malhar, these 6th-century plates of Panduvanshi ruler Mahashivgupt Balarjun contain 41 lines in Brahmi script and Pali language. The seal clearly features a Trishul, Nandi, and Lotus.","सभी कथन सत्य हैं। मल्हार से ज्ञान भारतम मिशन के तहत खोजे गए, पांडुवंशीय शासक महाशिवगुप्त बालार्जुन के इन 6वीं शताब्दी के ताम्रपत्रों में ब्राह्मी लिपि और पाली भाषा में 41 पंक्तियाँ हैं। राजमुद्रा में त्रिशूल, नंदी और कमल अंकित हैं।"
"Match the following awardees of the Sangeet Natak Akademi Awards 2026 from Chhattisgarh with their respective fields:\n\nList-I\n(a) Pt. Ramlal Bareth\n(b) Anup Ranjan Pandey\n(c) Ghanshyam Sahu\n(d) Dr. Anand Kumar Pandey\n\nList-II\n(i) Acting\n(ii) Playwriting\n(iii) Akademi Ratna Fellowship (Kathak)\n(iv) Folk Arts (Bastar Band)\n\nCodes:","छत्तीसगढ़ के संगीत नाटक अकादमी पुरस्कार 2026 के निम्नलिखित विजेताओं को उनके संबंधित क्षेत्रों से सुमेलित कीजिए:\n\nसूची-I\n(a) पं. रामलाल बरेठ\n(b) अनूप रंजन पांडे\n(c) घनश्याम साहू\n(d) डॉ. आनंद कुमार पांडे\n\nसूची-II\n(i) अभिनय\n(ii) नाटक लेखन\n(iii) अकादमी रत्न फेलोशिप (कथक)\n(iv) लोक कला (बस्तर बैंड)\n\nकूट:","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(ii), (c)-(iv), (d)-(i)","(a)-(iii), (b)-(ii), (c)-(iv), (d)-(i)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","1","Pt. Ramlal Bareth received the Akademi Ratna Fellowship for Kathak. Anup Ranjan Pandey was awarded for Folk Arts (Bastar Band). Under the Ustad Bismillah Khan Yuva Puraskar, Ghanshyam Sahu was recognized for playwriting and Dr. Anand Kumar Pandey for acting.","पं. रामलाल बरेठ को कथक के लिए अकादमी रत्न फेलोशिप मिली। अनूप रंजन पांडे को लोक कला (बस्तर बैंड) के लिए सम्मानित किया गया। उस्ताद बिस्मिल्लाह खान युवा पुरस्कार के तहत घनश्याम साहू को नाटक लेखन और डॉ. आनंद कुमार पांडे को अभिनय के लिए चुना गया।"
"The country's first confirmed mine for Nickel, Copper, and Palladium, where a 1.3 km long reserve of rare minerals was found in June 2026, is located in which area of Mahasamund district?","देश की पहली प्रमाणित निकल, कॉपर और पैलेडियम खदान, जहां जून 2026 में दुर्लभ खनिजों का 1.3 किमी लंबा भंडार पाया गया है, महासमुंद जिले के किस क्षेत्र में स्थित है?","Basna","बसना","Bhalukona","भालूकोना","Saraipali","सरायपाली","Pithora","पिथौरा","2","The rare mineral reserves of Nickel, Copper, and Palladium have been confirmed in the Bhalukona mine of Mahasamund district. The mining block has been allocated to Deccan Gold Mines.","निकल, कॉपर और पैलेडियम के दुर्लभ खनिज भंडारों की पुष्टि महासमुंद जिले की भालूकोना खदान में हुई है। यह माइनिंग ब्लॉक डेक्कन गोल्ड माइंस को आवंटित किया गया है।"
"Consider the following statements regarding the Krishak Unnati Yojana updated in June 2026:\n\n1. It aims to reduce excessive dependence on paddy and promote water conservation.\n\n2. Farmers taking alternative Kharif crops like pulses, oilseeds, and maize will get an input subsidy of ₹15,000 per acre.\n\n3. Traditional crops like Kodo, Kutki, and Ragi are excluded from this subsidy scheme.\n\nChoose the correct answer:","जून 2026 में अपडेट की गई कृषक उन्नति योजना के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका उद्देश्य धान पर अत्यधिक निर्भरता को कम करना और जल संरक्षण को बढ़ावा देना है।\n\n2. दलहन, तिलहन और मक्का जैसी वैकल्पिक खरीफ फसलें लेने वाले किसानों को प्रति एकड़ ₹15,000 की इनपुट सब्सिडी मिलेगी।\n\n3. कोदो, कुटकी और रागी जैसी पारंपरिक फसलों को इस सब्सिडी योजना से बाहर रखा गया है।\n\nसही उत्तर चुनिए:","1 only","केवल 1","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1, 2 and 3","1, 2 और 3","2","Statements 1 and 2 are correct. The scheme encourages crop diversification. However, Statement 3 is incorrect because traditional crops like Kodo, Kutki, Ragi, and Cotton are explicitly included for the ₹15,000 per acre input subsidy.","कथन 1 और 2 सही हैं। यह योजना फसल विविधीकरण को प्रोत्साहित करती है। हालाँकि, कथन 3 गलत है क्योंकि कोदो, कुटकी, रागी और कपास जैसी पारंपरिक फसलों को प्रति एकड़ ₹15,000 इनपुट सब्सिडी के लिए स्पष्ट रूप से शामिल किया गया है।"
"In which specific forest division of Chhattisgarh was the Giant Malabar Squirrel (Ratufa indica), India's largest arboreal squirrel, spotted during a summer camp in 2026?","2026 में एक समर कैंप के दौरान छत्तीसगढ़ के किस विशिष्ट वनमंडल में भारत की सबसे बड़ी वृक्षवासी गिलहरी, जॉयंट मालाबार स्क्विरल (रातुफा इंडिका) को देखा गया?","Devpur (Baloda Bazar)","देवपुर (बलौदा बाजार)","Gomarda (Raigarh)","गोमर्डा (रायगढ़)","Sitanadi (Gariaband)","सीतानदी (गरियाबंद)","Udanti (Gariaband)","उदंती (गरियाबंद)","1","The Giant Malabar Squirrel (Ratufa indica), which measures up to 3 feet and features vibrant colours, was spotted in the Devpur forest region of the Baloda Bazar forest division during a summer camp.","विशाल मालाबार स्क्विरल (रातुफा इंडिका), जो 3 फीट तक लंबी होती है और जीवंत रंगों से युक्त होती है, एक समर कैंप के दौरान बलौदा बाजार वनमंडल के देवपुर वन क्षेत्र में देखी गई।"
"Consider the following statements regarding the archaeological remains discovered in Bamani village of Mahasamund district:\n\n1. Ruins of five temples dating back to the 8th-11th century were found during land leveling.\n\n2. A massive 'Amalaka' of Nagar architectural style and broken statues of 'Dwarpal' were recovered.\n\n3. The site is historically linked to the Panchkoshi Yatra mentioned in the Skanda Purana.\n\nChoose the correct answer:","महासमुंद जिले के बमनी गांव में खोजे गए पुरातात्विक अवशेषों के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. समतलीकरण के दौरान 8वीं-11वीं शताब्दी के पांच मंदिरों के अवशेष पाए गए।\n\n2. नागर स्थापत्य शैली का एक विशाल 'आमलक' और 'द्वारपाल' की खंडित मूर्तियां प्राप्त हुई हैं।\n\n3. यह स्थल ऐतिहासिक रूप से स्कंद पुराण में वर्णित पंचकोशी यात्रा से जुड़ा हुआ है।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are correct. In Bamani village (Mahasamund), leveling work revealed 1500-year-old temple ruins (8th-11th century), featuring Nagar-style Amalakas and Dwarpal statues. The site forms part of the Panchkoshi Yatra mentioned in the Skanda Purana.","सभी कथन सही हैं। बमनी गांव (महासमुंद) में, समतलीकरण के दौरान 1500 साल पुराने मंदिरों के अवशेष (8वीं-11वीं सदी) मिले, जिनमें नागर शैली के आमलक और द्वारपाल की मूर्तियां शामिल हैं। यह स्थल स्कंद पुराण में वर्णित पंचकोशी यात्रा का हिस्सा है।"
"Arrange the following districts in descending order based on the number of rare manuscripts identified under the 'Gyan Bharatam Mission' in Chhattisgarh (March-June 2026):\n\n1. Raigarh\n\n2. Raipur\n\n3. Bastar\n\n4. Mahasamund\n\nChoose the correct sequence:","छत्तीसगढ़ में 'ज्ञान भारतम मिशन' (मार्च-जून 2026) के तहत पहचानी गई दुर्लभ पांडुलिपियों की संख्या के आधार पर निम्नलिखित जिलों को अवरोही क्रम में व्यवस्थित कीजिए:\n\n1. रायगढ़\n\n2. रायपुर\n\n3. बस्तर\n\n4. महासमुंद\n\nसही क्रम चुनिए:","4-2-3-1","4-2-3-1","4-3-2-1","4-3-2-1","2-4-3-1","2-4-3-1","3-4-2-1","3-4-2-1","1","Under the Gyan Bharatam Mission, Mahasamund ranked first with 3498 rare manuscripts, followed by Raipur (1770), Bastar (1610), and Raigarh (1553). The mission aims to digitally preserve ancient scripts.","ज्ञान भारतम मिशन के तहत, महासमुंद 3498 दुर्लभ पांडुलिपियों के साथ पहले स्थान पर रहा, इसके बाद रायपुर (1770), बस्तर (1610) और रायगढ़ (1553) का स्थान रहा। मिशन का उद्देश्य प्राचीन लिपियों को डिजिटल रूप से संरक्षित करना है।"
"The 'Niyad Nellanar Yojana 2.0', aimed at providing basic facilities to Maoist-affected villages, was expanded in 2026 to include three new districts alongside the previous seven. Which of the following is NOT one of the newly added districts?","माओवाद प्रभावित गांवों को बुनियादी सुविधाएं प्रदान करने के उद्देश्य वाली 'नियत नेल्लानार योजना 2.0' का 2026 में विस्तार कर पिछले सात जिलों के साथ तीन नए जिलों को शामिल किया गया। निम्नलिखित में से कौन सा नव-जोड़ा गया जिला नहीं है?","Gariaband","गरियाबंद","Mohla-Manpur-Ambagarh Chowki","मोहला-मानपुर-अंबागढ़ चौकी","Khairagarh-Chhuikhadan-Gandai","खैरागढ़-छुईखदान-गंडई","Kondagaon","कोंडागांव","4","Kondagaon was already part of the original 7 districts under the scheme in the Bastar division. The scheme 2.0 was expanded to 10 districts by adding Gariaband, Mohla-Manpur-Ambagarh Chowki, and Khairagarh-Chhuikhadan-Gandai.","कोंडागांव बस्तर संभाग में योजना के तहत मूल 7 जिलों का पहले से ही हिस्सा था। गरियाबंद, मोहला-मानपुर-अंबागढ़ चौकी और खैरागढ़-छुईखदान-गंडई को जोड़कर 2.0 योजना का 10 जिलों तक विस्तार किया गया।"
"Consider the following statements regarding Gyaneshwari Yadav's performance at the Senior Asian Weightlifting Championship 2026:\n\n1. She won a silver and a bronze medal in the 53 kg women's category.\n\n2. She lifted a total of 194 kg (88 kg in Snatch and 106 kg in Clean & Jerk).\n\n3. She hails from the Durg district of Chhattisgarh.\n\nChoose the correct answer:","सीनियर एशियन वेटलिफ्टिंग चैंपियनशिप 2026 में ज्ञानेश्वरी यादव के प्रदर्शन के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उन्होंने 53 किग्रा महिला वर्ग में एक रजत और एक कांस्य पदक जीता।\n\n2. उन्होंने कुल 194 किग्रा (स्नैच में 88 किग्रा और क्लीन एंड जर्क में 106 किग्रा) वजन उठाया।\n\n3. वह छत्तीसगढ़ के दुर्ग जिले की रहने वाली हैं।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are true. Gyaneshwari Yadav lifted 194 kg in the 53 kg category to win silver and bronze medals. Statement 3 is false as she hails from Rajnandgaon district, not Durg.","कथन 1 और 2 सत्य हैं। ज्ञानेश्वरी यादव ने 53 किग्रा वर्ग में 194 किग्रा वजन उठाकर रजत और कांस्य पदक जीते। कथन 3 गलत है क्योंकि वह दुर्ग की नहीं, बल्कि राजनांदगांव जिले की रहने वाली हैं।"
