Quiz Title (English)
The 1857 Uprising: Surendra Sai, Udaya Singh & Regional Martyrs

Quiz Title (Hindi)
1857 का विद्रोह: सुरेंद्र साय, उदय सिंह और क्षेत्रीय शहीद

Quiz Description (English)
A highly specialized 30-question master quiz focusing on the regional uprisings of 1857 in Chhattisgarh. It rigorously tests facts regarding Surendra Sai (Sambalpur), Kalyan Singh (Udaipur), Rangaji Bapu (Sohagpur), and their associates, strictly aligned with CGPSC Prelims standards.

Quiz Description (Hindi)
छत्तीसगढ़ में 1857 के क्षेत्रीय विद्रोहों पर केंद्रित 30 प्रश्नों का एक अत्यधिक विशिष्ट मास्टर क्विज़। यह सीजीपीएससी प्रारंभिक परीक्षा के मानकों के अनुरूप सुरेंद्र साय (संबलपुर), कल्याण सिंह (उदयपुर), रंगाजी बापू (सोहागपुर) और उनके सहयोगियों के तथ्यों का कठोरता से परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Surendra Sai, the prominent leader of the 1857 uprising in Sambalpur, is historically remembered by which specific title in the context of Chhattisgarh's freedom struggle?","संबलपुर में 1857 के विद्रोह के प्रमुख नेता सुरेंद्र साय को छत्तीसगढ़ के स्वतंत्रता संग्राम के संदर्भ में ऐतिहासिक रूप से किस विशिष्ट उपाधि से याद किया जाता है?","First Martyr of Chhattisgarh","छत्तीसगढ़ के प्रथम शहीद","Mangal Pandey of Chhattisgarh","छत्तीसगढ़ के मंगल पांडे","Last Martyr of Chhattisgarh","छत्तीसगढ़ के अंतिम शहीद","Messiah of Tribal Revolution","आदिवासी क्रांति के मसीहा","3","Surendra Sai, who continued his armed resistance long after the 1857 mutiny and eventually died in the Asirgarh fort in 1884, is officially recognized as the 'Last Martyr of Chhattisgarh'.","सुरेंद्र साय, जिन्होंने 1857 के विद्रोह के लंबे समय बाद तक अपना सशस्त्र प्रतिरोध जारी रखा और अंततः 1884 में असीरगढ़ के किले में उनकी मृत्यु हो गई, उन्हें आधिकारिक तौर पर 'छत्तीसगढ़ के अंतिम शहीद' के रूप में मान्यता प्राप्त है।"
"On exactly what date did Surendra Sai famously escape from the Hazaribagh Jail to reinvigorate the 1857 rebellion?","1857 के विद्रोह को पुनर्जीवित करने के लिए सुरेंद्र साय ने हजारीबाग जेल से ठीक किस तारीख को प्रसिद्ध रूप से भागने में सफलता प्राप्त की थी?","15 October 1857","15 अक्टूबर 1857","31 October 1857","31 अक्टूबर 1857","10 December 1857","10 दिसंबर 1857","23 January 1864","23 जनवरी 1864","2","Imprisoned by the British, Surendra Sai, along with his fellow revolutionaries, successfully broke out of the Hazaribagh Jail precisely on 31 October 1857 to launch an armed struggle.","अंग्रेजों द्वारा कैद किए गए सुरेंद्र साय ने अपने साथी क्रांतिकारियों के साथ मिलकर एक सशस्त्र संघर्ष शुरू करने के लिए ठीक 31 अक्टूबर 1857 को हजारीबाग जेल से सफलतापूर्वक भागने में कामयाबी हासिल की।"
"Following his recapture on 23 January 1864, in which specific fort was Surendra Sai imprisoned where he eventually breathed his last?","23 जनवरी 1864 को फिर से पकड़े जाने के बाद, सुरेंद्र साय को किस विशिष्ट किले में कैद किया गया था जहाँ अंततः उन्होंने अंतिम सांस ली?","Gwalior Fort","ग्वालियर का किला","Ranthambore Fort","रणथंभौर का किला","Kalinjar Fort","कालिंजर का किला","Asirgarh Fort","असीरगढ़ का किला","4","After being rearrested in 1864, Surendra Sai was permanently exiled and imprisoned in the heavily guarded Asirgarh Fort, where he passed away on 28 February 1884.","1864 में फिर से गिरफ्तार होने के बाद, सुरेंद्र साय को स्थायी रूप से निर्वासित कर दिया गया और भारी सुरक्षा वाले असीरगढ़ किले में कैद कर दिया गया, जहाँ 28 फरवरी 1884 को उनका निधन हो गया।"
"Surendra Sai, along with his uncle Balram Singh and brother Udvant Sai, jointly assassinated which pro-British Zamindar of Rampur?","सुरेंद्र साय ने अपने चाचा बलराम सिंह और भाई उदवंत साय के साथ मिलकर रामपुर के किस ब्रिटिश समर्थक जमींदार की हत्या की थी?","Maharaj Sai","महाराज साय","Daryab Singh","दरयाब सिंह","Devnath Singh","देवनाथ सिंह","Kamal Singh","कमल सिंह","2","Targeting the absolute loyalists of the British empire, Surendra Sai, Udvant Sai, and Balram Singh jointly attacked and killed Daryab Singh, the pro-British Zamindar of Rampur.","ब्रिटिश साम्राज्य के पूर्ण वफादारों को निशाना बनाते हुए, सुरेंद्र साय, उदवंत साय और बलराम सिंह ने संयुक्त रूप से रामपुर के ब्रिटिश समर्थक जमींदार दरयाब सिंह पर हमला किया और उनकी हत्या कर दी।"
"Balbhadra Dau, who actively laid down his life fighting alongside Surendra Sai, was the Zamindar of which specific estate?","बलभद्र दाऊ, जिन्होंने सुरेंद्र साय के साथ लड़ते हुए सक्रिय रूप से अपने प्राणों की आहुति दी थी, किस विशिष्ट रियासत के जमींदार थे?","Katangi","कटंगी","Bhatgaon","भटगांव","Lakhanpur","लखनपुर","Sohagpur","सोहागपुर","3","Balbhadra Dau was the brave Zamindar of the Lakhanpur estate. He provided crucial military assistance to Surendra Sai during the Sambalpur revolt and was martyred in the subsequent conflict.","बलभद्र दाऊ लखनपुर रियासत के बहादुर जमींदार थे। उन्होंने संबलपुर विद्रोह के दौरान सुरेंद्र साय को महत्वपूर्ण सैन्य सहायता प्रदान की और बाद के संघर्ष में शहीद हो गए।"
"Consider the following statements regarding the 1858 Udaipur Revolt:\n\n1. Udaipur was a tributary (karad) state of the Surguja princely region.\n2. The rebellion was fiercely led by Kalyan Singh and his brothers.\n3. The rebels were heavily inspired by Veer Narayan Singh to revolt.\n\nChoose the correct answer:","1858 के उदयपुर विद्रोह के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उदयपुर सरगुजा रियासत का एक करद राज्य था।\n2. इस विद्रोह का नेतृत्व कल्याण सिंह और उनके भाइयों ने भयंकर रूप से किया था।\n3. विद्रोही विद्रोह करने के लिए वीर नारायण सिंह से भारी रूप से प्रेरित थे।\n\nसही कथन चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","Statement 3 is incorrect. The rebel brothers of Udaipur (Kalyan, Shivraj, Dheeraj) were heavily inspired and encouraged specifically by Surendra Sai of Sambalpur, not Veer Narayan Singh.","कथन 3 गलत है। उदयपुर के विद्रोही भाई (कल्याण, शिवराज, धीरज) विशेष रूप से संबलपुर के सुरेंद्र साय से भारी रूप से प्रेरित और प्रोत्साहित थे, न कि वीर नारायण सिंह से।"
"Prior to the 1857 uprising, on what specific false charge did the British Government imprison Kalyan Singh and his brothers in Ranchi Jail in 1852?","1857 के विद्रोह से पहले, ब्रिटिश सरकार ने 1852 में रांची जेल में कल्याण सिंह और उनके भाइयों को किस विशिष्ट झूठे आरोप में कैद किया था?","Treason and minting currency","राजद्रोह और मुद्रा ढालना","Looting the British treasury","ब्रिटिश खजाना लूटना","Human Slaughter (Manav Vadh)","मानव वध","Refusing to pay the Takoli tax","टकोली कर देने से इनकार करना","3","In order to forcefully merge the Udaipur estate into the British Empire, the authorities framed King Kalyan Singh and his brothers under a completely false allegation of 'Human Slaughter' (Manav Vadh) in 1852.","उदयपुर रियासत को ब्रिटिश साम्राज्य में जबरन मिलाने के लिए, अधिकारियों ने 1852 में राजा कल्याण सिंह और उनके भाइयों को 'मानव वध' के पूरी तरह से झूठे आरोप में फंसाया।"
"From which specific jail did Kalyan Singh, Shivraj Singh, and Dheeraj Singh escape during the chaos of the 1857 mutiny to reclaim their Udaipur estate?","1857 के विद्रोह की अराजकता के दौरान अपनी उदयपुर रियासत को पुनः प्राप्त करने के लिए कल्याण सिंह, शिवराज सिंह और धीरज सिंह किस विशिष्ट जेल से भाग निकले थे?","Raipur Central Jail","रायपुर सेंट्रल जेल","Hazaribagh Jail","हजारीबाग जेल","Nagpur Jail","नागपुर जेल","Ranchi Jail","रांची जेल","4","Taking full advantage of the 1857 revolutionary wave where mutineers captured Ranchi, Kalyan Singh and his brothers successfully escaped from the Ranchi Jail and returned to Udaipur.","1857 की क्रांतिकारी लहर का पूरा फायदा उठाते हुए जहां विद्रोहियों ने रांची पर कब्जा कर लिया था, कल्याण सिंह और उनके भाई रांची जेल से सफलतापूर्वक भाग निकले और उदयपुर लौट आए।"
"In 1859, which local native ruler actively assisted the British forces in militarily attacking and suppressing the Udaipur Revolt led by Kalyan Singh?","1859 में, किस स्थानीय देशी शासक ने कल्याण सिंह के नेतृत्व वाले उदयपुर विद्रोह पर सैन्य हमला करने और उसे दबाने में ब्रिटिश सेना की सक्रिय रूप से सहायता की थी?","Maharaj Sai of Deori","देवरी के महाराज साय","King Devnath Singh of Raigarh","रायगढ़ के राजा देवनाथ सिंह","King Mahipal Dev of Bastar","बस्तर के राजा महिपाल देव","Bhanupratap Singh of Kanker","कांकेर के भानुप्रताप सिंह","2","To definitively crush the recovering Udaipur state, the British launched a massive joint attack in 1859, heavily assisted by the local troops of King Devnath Singh of the Raigarh Princely Estate.","उभरते हुए उदयपुर राज्य को निर्णायक रूप से कुचलने के लिए, अंग्रेजों ने 1859 में एक बड़ा संयुक्त हमला किया, जिसमें रायगढ़ रियासत के राजा देवनाथ सिंह के स्थानीय सैनिकों ने भारी सहायता की।"
"What was the final punitive fate of Shivraj Singh, one of the key leaders of the Udaipur Revolt, after the British recaptured the region in 1859?","1859 में अंग्रेजों द्वारा इस क्षेत्र पर फिर से कब्जा करने के बाद, उदयपुर विद्रोह के प्रमुख नेताओं में से एक, शिवराज सिंह का अंतिम दंडात्मक भाग्य क्या था?","He was publicly hanged at Jaistambh Chowk.","उन्हें जयस्तंभ चौक पर खुलेआम फांसी दी गई।","He was blown from a cannon.","उन्हें तोप से उड़ा दिया गया।","He was sentenced to Kala-Pani and sent to the Andaman Island.","उन्हें काला-पानी की सजा सुनाई गई और अंडमान द्वीप भेज दिया गया।","He completely disappeared into the Abujhmar forests.","वे अबूझमाड़ के जंगलों में पूरी तरह से गायब हो गए।","3","While his brothers Kalyan Singh and Dheeraj Singh attained martyrdom directly in the battlefield, Shivraj Singh was arrested alive, strictly sentenced to Kala-Pani, and exiled to the Andaman Islands.","जबकि उनके भाई कल्याण सिंह और धीरज सिंह ने सीधे युद्ध के मैदान में शहादत प्राप्त की, शिवराज सिंह को जीवित गिरफ्तार कर लिया गया, उन्हें सख्ती से काला-पानी की सजा सुनाई गई और अंडमान द्वीप निर्वासित कर दिया गया।"
