Quiz Title (English)
Tribal Uprisings & Peasant Movements: Zamindari & Peasant Uprisings

Quiz Title (Hindi)
जनजातीय विद्रोह और किसान आंदोलन: जमींदारी और किसान विद्रोह

Quiz Description (English)
This comprehensive CGPSC Prelims quiz covers the critical peasant and zamindari movements of Chhattisgarh. It extensively tests facts on the Kandel Canal Satyagraha, the three phases of the BNC Mill strikes, and specific regional agrarian uprisings in Daundilohara, Chhuikhadan, Sarangarh, and Kanker.

Quiz Description (Hindi)
यह व्यापक सीजीपीएससी प्रारंभिक परीक्षा क्विज छत्तीसगढ़ के महत्वपूर्ण किसान और जमींदारी आंदोलनों को कवर करता है। यह कंडेल नहर सत्याग्रह, बीएनसी मिल हड़ताल के तीन चरणों और डौंडीलोहारा, छुईखदान, सारंगढ़ और कांकेर में विशिष्ट क्षेत्रीय कृषि विद्रोहों के तथ्यों का व्यापक परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"During the Kandel Canal Satyagraha (1920), the British administration levied a collective punitive fine of what exact amount on the villagers for the alleged theft of canal water?","कंडेल नहर सत्याग्रह (1920) के दौरान, ब्रिटिश प्रशासन ने नहर के पानी की कथित चोरी के लिए ग्रामीणों पर कितनी सटीक राशि का सामूहिक दंडात्मक जुर्माना लगाया था?","Rs. 4033","4033 रुपये","Rs. 4050","4050 रुपये","Rs. 3000","3000 रुपये","Rs. 5011","5011 रुपये","1","According to historical records, the British administration arbitrarily accused the villagers of stealing water and imposed a collective punitive fine of exactly Rs. 4033, triggering the Kandel Canal Satyagraha.","ऐतिहासिक अभिलेखों के अनुसार, ब्रिटिश प्रशासन ने मनमाने ढंग से ग्रामीणों पर पानी चोरी करने का आरोप लगाया और ठीक 4033 रुपये का सामूहिक दंडात्मक जुर्माना लगाया, जिससे कंडेल नहर सत्याग्रह शुरू हुआ।"
"Which prominent national labour leader from Nagpur was invited to mediate and successfully resolved the third massive strike of the B.N.C. Mill workers in Rajnandgaon in 1937?","1937 में राजनांदगांव में बी.एन.सी. मिल के मजदूरों की तीसरी विशाल हड़ताल की मध्यस्थता करने और उसे सफलतापूर्वक सुलझाने के लिए नागपुर के किस प्रमुख राष्ट्रीय मजदूर नेता को आमंत्रित किया गया था?","V. V. Giri","वी. वी. गिरि","Ramchandra Sakharam Ruikar","रामचन्द्र सखाराम रुईकर","N. M. Joshi","एन. एम. जोशी","Shankar Khare","शंकर खरे","2","The third B.N.C. Mill strike in 1937, which lasted for about 11 months, was successfully resolved through the mediation of the famous labour leader from Nagpur, Ramchandra Sakharam Ruikar (R.S. Ruikar). V.V. Giri mediated the first strike in 1920.","1937 में तीसरी बी.एन.सी. मिल हड़ताल, जो लगभग 11 महीनों तक चली थी, नागपुर के प्रसिद्ध मजदूर नेता रामचन्द्र सखाराम रुईकर (आर.एस. रुईकर) की मध्यस्थता से सफलतापूर्वक सुलझाई गई थी। वी.वी. गिरि ने 1920 में पहली हड़ताल की मध्यस्थता की थी।"
"Match the following Peasant Movements with their respective core leaders:\n\nList-I\n(a) Daundilohara Peasant Movement\n(b) Sarangarh Peasant Movement\n(c) Kanker Peasant Movement\n(d) Chhuikhadan 'Lagan Bandi'\n\nList-II\n(i) Ramnarayan Mishra 'Harshul'\n(ii) Narsingh Prasad Agarwal\n(iii) Daniram Patel\n(iv) Indru Kewat\n\nCodes:","निम्नलिखित किसान आंदोलनों को उनके संबंधित मुख्य नेताओं के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) डौंडीलोहारा किसान आंदोलन\n(b) सारंगढ़ किसान आंदोलन\n(c) कांकेर किसान आंदोलन\n(d) छुईखदान 'लगान बंदी'\n\nसूची-II\n(i) रामनारायण मिश्र 'हर्षूल'\n(ii) नरसिंह प्रसाद अग्रवाल\n(iii) दानीराम पटेल\n(iv) इंदु केवट\n\nकूट:","(a)-(ii), (b)-(iii), (c)-(iv), (d)-(i)","(a)-(ii), (b)-(iii), (c)-(iv), (d)-(i)","(a)-(i), (b)-(iv), (c)-(iii), (d)-(ii)","(a)-(i), (b)-(iv), (c)-(iii), (d)-(ii)","(a)-(ii), (b)-(iv), (c)-(iii), (d)-(i)","(a)-(ii), (b)-(iv), (c)-(iii), (d)-(i)","(a)-(iii), (b)-(ii), (c)-(i), (d)-(iv)","(a)-(iii), (b)-(ii), (c)-(i), (d)-(iv)","1","Daundilohara (1937) was led by Narsingh Prasad Agarwal. Sarangarh (1941) was led by Daniram Patel. Kanker (1944) was led by Indru Kewat. Chhuikhadan (1938) was led by Ramnarayan Mishra Harshul.","डौंडीलोहारा (1937) का नेतृत्व नरसिंह प्रसाद अग्रवाल ने किया था। सारंगढ़ (1941) का नेतृत्व दानीराम पटेल ने किया था। कांकेर (1944) का नेतृत्व इंदु केवट ने किया था। छुईखदान (1938) का नेतृत्व रामनारायण मिश्र 'हर्षूल' ने किया था।"
"Consider the following statements regarding the first B.N.C. Mill Workers Strike of 1920:\n\n1. It was the first and longest labour strike in the history of Chhattisgarh, lasting for 36 days.\n2. The workers' primary demand was to increase working hours to earn higher overtime wages.\n3. The strike concluded with a public interest agreement mediated by V.V. Giri.\n\nChoose the correct answer:","1920 की पहली बी.एन.सी. मिल मजदूर हड़ताल के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह छत्तीसगढ़ के इतिहास की पहली और सबसे लंबी मजदूर हड़ताल थी, जो 36 दिनों तक चली थी।\n2. मजदूरों की प्राथमिक मांग काम के घंटे बढ़ाना था ताकि उच्च ओवरटाइम मजदूरी अर्जित की जा सके।\n3. यह हड़ताल वी.वी. गिरि की मध्यस्थता में एक जनहित समझौते के साथ संपन्न हुई।\n\nसही कथन चुनिए:","1 and 2","1 और 2","1 and 3","1 और 3","2 and 3","2 और 3","1, 2 and 3","1, 2 और 3","2","Statement 2 is entirely incorrect. The workers protested against the increase in working hours from 10 to 12 hours, demanding that shifts be fixed at a maximum of 8 hours, along with higher wages.","कथन 2 पूरी तरह से गलत है। मजदूरों ने काम के घंटों को 10 से बढ़ाकर 12 घंटे करने का विरोध किया था, और मांग की थी कि शिफ्ट को अधिकतम 8 घंटे तय किया जाए, साथ ही मजदूरी भी बढ़ाई जाए।"
"The exploitative and oppressive policies of which specific Diwan primarily triggered the 1937 Daundilohara Peasant Movement?","किस विशिष्ट दीवान की शोषक और दमनकारी नीतियों ने मुख्य रूप से 1937 के डौंडीलोहारा किसान आंदोलन को जन्म दिया?","Diwan Maniram Pandey","दीवान मनीराम पांडेय","Diwan J.N. Mahant","दीवान जे.एन. महंत","Diwan Gopinath Kapardar","दीवान गोपीनाथ कपड़दार","Diwan Panda Baijnath","दीवान पंडा बैजनाथ","1","The Daundilohara peasant uprising (1937-39) was heavily fueled by the oppressive policies of Diwan Maniram Pandey, who revoked traditional Nistari (forest-fed) facilities for the local farmers.","डौंडीलोहारा किसान विद्रोह (1937-39) को दीवान मनीराम पांडेय की दमनकारी नीतियों से भारी बढ़ावा मिला, जिन्होंने स्थानीय किसानों के लिए पारंपरिक निस्तारी (वन-आधारित) सुविधाओं को रद्द कर दिया था।"
"Assertion (A): Pt. Sundarlal Sharma traveled to Calcutta in December 1920 to invite Mahatma Gandhi to personally mediate the Kandel Canal Satyagraha.\n\nReason (R): The British administration adamantly refused to waive the massive fine until Gandhi arrived in Dhamtari and launched a fast.\n\nCodes:","कथन (A): पं. सुंदरलाल शर्मा ने कंडेल नहर सत्याग्रह में व्यक्तिगत रूप से मध्यस्थता करने के लिए महात्मा गांधी को आमंत्रित करने हेतु दिसंबर 1920 में कलकत्ता की यात्रा की।\n\nकारण (R): ब्रिटिश प्रशासन ने तब तक भारी जुर्माना माफ करने से दृढ़ता से इनकार कर दिया जब तक कि गांधी धमतरी नहीं पहुंचे और उन्होंने अनशन शुरू नहीं किया।\n\nकूट:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, और (R), (A) की सही व्याख्या है।","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, लेकिन (R), (A) की सही व्याख्या नहीं है।","Assertion (A) is true, but Reason (R) is false.","कथन (A) सत्य है, लेकिन कारण (R) असत्य है।","Assertion (A) is false, but Reason (R) is true.","कथन (A) असत्य है, लेकिन कारण (R) सत्य है।","3","The assertion is true: Pt. Sharma went to Calcutta on 2 Dec 1920. However, the reason is completely false. Seeing the intensity of the agitation and hearing of Gandhi's impending arrival, the British pre-emptively waived the fine entirely before Gandhi even reached Chhattisgarh.","कथन सत्य है: पं. शर्मा 2 दिसंबर 1920 को कलकत्ता गए थे। हालाँकि, कारण पूरी तरह से गलत है। आंदोलन की तीव्रता को देखते हुए और गांधी के आसन्न आगमन की खबर सुनकर, अंग्रेजों ने गांधी के छत्तीसगढ़ पहुंचने से पहले ही एहतियातन पूरी तरह से जुर्माना माफ कर दिया था।"
"Who among the following was deeply associated with the Daundilohara Peasant Movement as a key partner alongside Narsingh Prasad Agarwal?","निम्नलिखित में से कौन नरसिंह प्रसाद अग्रवाल के साथ एक प्रमुख भागीदार के रूप में डौंडीलोहारा किसान आंदोलन से गहराई से जुड़ा था?","Wali Mohammad","वली मोहम्मद","Samaru Barai","समरू बरई","Abdul Rauf","अब्दुल रऊफ","Yakub Ali","याकूब अली","1","During the 1937 Daundilohara Peasant Movement, Wali Mohammad was a key partner and leader working closely alongside Narsingh Prasad Agarwal, Saryu Prasad Agarwal, and Pt. Ratnakar Jha.","1937 के डौंडीलोहारा किसान आंदोलन के दौरान, वली मोहम्मद एक प्रमुख भागीदार और नेता थे, जिन्होंने नरसिंह प्रसाद अग्रवाल, सरयू प्रसाद अग्रवाल और पं. रत्नाकर झा के साथ मिलकर काम किया था।"
"During the 'Lagan Bandi' Movement in the Chhuikhadan estate (1938-39), the leader Ramnarayan Mishra 'Harshul' took a dramatic step to bring national attention to their plight. What did he do?","छुईखदान रियासत में 'लगान बंदी' आंदोलन (1938-39) के दौरान, नेता रामनारायण मिश्र 'हर्षूल' ने अपनी दुर्दशा की ओर राष्ट्रीय ध्यान आकर्षित करने के लिए एक नाटकीय कदम उठाया। उन्होंने क्या किया?","He organized an armed attack on the British treasury in Nagpur.","उन्होंने नागपुर में ब्रिटिश खजाने पर एक सशस्त्र हमले का आयोजन किया।","He travelled all the way to Delhi to meet Mahatma Gandhi and brief him about the Diwan's exploitation.","उन्होंने महात्मा गांधी से मिलने और उन्हें दीवान के शोषण के बारे में जानकारी देने के लिए दिल्ली तक की यात्रा की।","He self-immolated in front of the Chhuikhadan palace.","उन्होंने छुईखदान महल के सामने आत्मदाह कर लिया।","He forcibly captured the estate's agricultural lands and distributed them.","उन्होंने रियासत की कृषि भूमि पर जबरन कब्जा कर लिया और उसे बांट दिया।","2","To expose the exploitative policies of the British-admiring Diwan of Chhuikhadan, Ramnarayan Mishra 'Harshul' traveled to Delhi specifically to meet Mahatma Gandhi and present the peasants' grievances.","छुईखदान के ब्रिटिश-प्रशंसक दीवान की शोषक नीतियों को उजागर करने के लिए, रामनारायण मिश्र 'हर्षूल' विशेष रूप से महात्मा गांधी से मिलने और किसानों की शिकायतें प्रस्तुत करने के लिए दिल्ली गए।"
"In the Sarangarh Peasant Movement of 1941, led by Daniram Patel, the local tribals and peasants primarily protested against the imposition of which specific arbitrary tax?","दानीराम पटेल के नेतृत्व में 1941 के सारंगढ़ किसान आंदोलन में, स्थानीय आदिवासियों और किसानों ने मुख्य रूप से किस विशिष्ट मनमाने कर को लगाने का विरोध किया था?","Sair","सैर","Patti","पट्टी","Cheri","चेरी","Kalali","कलाली","3","The Sarangarh peasantry heavily opposed the imposition of the 'Cheri' tax. Following the severe protests, King Jawahar Singh of Sarangarh was forced to announce the abolition of forced labor and the tax.","सारंगढ़ के किसानों ने 'चेरी' कर लगाने का भारी विरोध किया। कड़े विरोध के बाद, सारंगढ़ के राजा जवाहर सिंह को जबरन श्रम और कर को समाप्त करने की घोषणा करने के लिए मजबूर होना पड़ा।"
"Consider the following statements about the historic B.N.C. Mill in Rajnandgaon:\n\n1. It was originally established in 1890 as 'C.P. Mills' through a collaboration between Macbeth Brothers of England and King Balram Das.\n2. The mill was subsequently purchased by the Shaw Wallace company in 1906 and renamed.\n3. The third massive strike in 1937 resulted in the mill being completely shut down for exactly 11 months.\n\nChoose the correct statements:","राजनांदगांव के ऐतिहासिक बी.एन.सी. मिल के बारे में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसे मूल रूप से 1890 में इंग्लैंड के मैगथ ब्रदर्स और राजा बलराम दास के सहयोग से 'सी.पी. मिल्स' के रूप में स्थापित किया गया था।\n2. बाद में इस मिल को 1906 में शॉ वालेस कंपनी द्वारा खरीद लिया गया और इसका नाम बदल दिया गया।\n3. 1937 में तीसरी विशाल हड़ताल के परिणामस्वरूप मिल ठीक 11 महीनों के लिए पूरी तरह से बंद हो गई।\n\nसही कथन चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","4","All three statements are historically accurate. The facility started as CP Mills in 1890, was bought by Shaw Wallace in 1906 (becoming B.N.C. Mill), and the 1937 strike forced an 11-month closure before the workers reclaimed full wages.","तीनों कथन ऐतिहासिक रूप से सटीक हैं। यह सुविधा 1890 में सी.पी. मिल्स के रूप में शुरू हुई, 1906 में शॉ वालेस द्वारा खरीदी गई (बी.एन.सी. मिल बन गई), और 1937 की हड़ताल ने मजदूरों को पूरा वेतन वापस मिलने से पहले इसे 11 महीने तक बंद रखने के लिए मजबूर कर दिया।"
