Quiz Title (English)
The 1857 Uprising: Hanuman Singh & the Raipur Mutiny

Quiz Title (Hindi)
1857 का विद्रोह: हनुमान सिंह और रायपुर सैन्य विद्रोह

Quiz Description (English)
A highly specific 30-question master quiz targeting the Raipur Sepoy Mutiny of 1858. It rigorously tests microscopic details regarding Magazine Lashkar Hanuman Singh, the assassination of Sidwell, the 17 executed Golandaz martyrs, and the strategic timeline of the uprising aligned with CGPSC Prelims standards.

Quiz Description (Hindi)
1858 के रायपुर सिपाही विद्रोह पर केंद्रित 30 प्रश्नों का एक अत्यधिक विशिष्ट मास्टर क्विज। यह मैगज़ीन लश्कर हनुमान सिंह, सिडवेल की हत्या, 17 फाँसी दिए गए गोलंदाज शहीदों और सीजीपीएससी प्रारंभिक परीक्षा के मानकों के अनुरूप विद्रोह की रणनीतिक समयरेखा के सूक्ष्म विवरणों का कठोरता से परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"What specific official position did Hanuman Singh hold in the British military establishment stationed at Raipur during the 1858 mutiny?","1858 के विद्रोह के दौरान रायपुर में तैनात ब्रिटिश सैन्य प्रतिष्ठान में हनुमान सिंह किस विशिष्ट आधिकारिक पद पर थे?","Subedar Major in the 1st Regiment","प्रथम रेजीमेंट में सूबेदार मेजर","Magazine Lashkar in the 3rd Battalion","तीसरी बटालियन में मैगज़ीन लश्कर","Cavalry Commander in the Raipur Armed Force","रायपुर सशस्त्र बल में कैवेलरी कमांडर","Police Inspector in the Central Provinces","मध्य प्रांत में पुलिस निरीक्षक","2","According to historical records, Hanuman Singh was posted specifically as a 'Magazine Lashkar' in the Third Battalion (3rd Regiment) of the British military garrison in Raipur.","ऐतिहासिक अभिलेखों के अनुसार, हनुमान सिंह को रायपुर में ब्रिटिश सैन्य गैरीसन की तीसरी बटालियन (तीसरी रेजीमेंट) में 'मैगज़ीन लश्कर' के रूप में विशेष रूप से तैनात किया गया था।"
"On what exact date and time did Hanuman Singh assassinate Sergeant Major Sidwell, thereby officially igniting the Raipur Sepoy Mutiny?","हनुमान सिंह ने सार्जेंट मेजर सिडवेल की हत्या किस निश्चित तिथि और समय पर की, जिससे आधिकारिक तौर पर रायपुर सिपाही विद्रोह भड़क उठा?","10 December 1857 at midnight","10 दिसंबर 1857 मध्यरात्रि में","18 January 1858 at 7:30 PM","18 जनवरी 1858 शाम 7:30 बजे","19 January 1858 at 4:00 AM","19 जनवरी 1858 सुबह 4:00 बजे","22 January 1858 at noon","22 जनवरी 1858 दोपहर में","2","The Raipur military uprising commenced when Hanuman Singh daringly entered the residence of Sergeant Major Sidwell and killed him with a sword at exactly 7:30 PM on 18 January 1858.","रायपुर सैन्य विद्रोह तब शुरू हुआ जब हनुमान सिंह ने साहसपूर्वक सार्जेंट मेजर सिडवेल के आवास में प्रवेश किया और 18 जनवरी 1858 को ठीक शाम 7:30 बजे तलवार से उनकी हत्या कर दी।"
"Historically revered as the 'Mangal Pandey of Chhattisgarh', Hanuman Singh originally belonged to which specific caste and region?","ऐतिहासिक रूप से 'छत्तीसगढ़ के मंगल पांडे' के रूप में पूजनीय, हनुमान सिंह मूल रूप से किस विशिष्ट जाति और क्षेत्र के थे?","Gond tribe of Bastar","बस्तर की गोंड जनजाति","Rajput of Bainswada","बैसवाड़ा के राजपूत","Binjhwar of Sonakhan","सोनाखान के बिंझवार","Halba of Dongar","डोंगर के हल्बा","2","Historical documents describe Hanuman Singh as a 35-year-old fearless Rajput hailing from the Bainswada region. He had no personal estate in Chhattisgarh but rebelled purely against foreign British rule.","ऐतिहासिक दस्तावेज हनुमान सिंह को बैसवाड़ा क्षेत्र के 35 वर्षीय निडर राजपूत के रूप में वर्णित करते हैं। छत्तीसगढ़ में उनकी कोई व्यक्तिगत जागीर नहीं थी, लेकिन उन्होंने विशुद्ध रूप से विदेशी ब्रिटिश शासन के खिलाफ विद्रोह किया था।"
"How many times did Hanuman Singh strike Sergeant Major Sidwell with his sword to ensure his assassination inside his room?","अपनी ही कोठरी के अंदर सार्जेंट मेजर सिडवेल की हत्या सुनिश्चित करने के लिए हनुमान सिंह ने उस पर अपनी तलवार से कितनी बार वार किया?","3 times","3 बार","5 times","5 बार","9 times","9 बार","12 times","12 बार","3","As per the detailed accounts of the 1858 mutiny, Hanuman Singh attacked Sergeant Major Sidwell in his own room, striking him exactly 9 times with a sword to ensure his death.","1858 के विद्रोह के विस्तृत वृत्तांतों के अनुसार, हनुमान सिंह ने सार्जेंट मेजर सिडवेल पर उनके ही कमरे में हमला किया, और उनकी मौत सुनिश्चित करने के लिए उन पर तलवार से ठीक 9 बार वार किया।"
"After assassinating Sidwell, Hanuman Singh attempted to breach the heavily guarded bungalow of which senior British official to kill him?","सिडवेल की हत्या के बाद, हनुमान सिंह ने किस वरिष्ठ ब्रिटिश अधिकारी की हत्या करने के लिए उसके भारी सुरक्षा वाले बंगले में सेंध लगाने का प्रयास किया?","Captain Smith","कैप्टन स्मिथ","Captain Maxon","कैप्टन मैक्सन","Deputy Commissioner Charles C. Elliot","डिप्टी कमिश्नर चार्ल्स सी. इलियट","General Lock","जनरल लॉक","3","Following the murder of Sidwell, Hanuman Singh targeted the highest authority in Raipur, Deputy Commissioner Charles C. Elliot, but failed to enter his bungalow due to strong doors and alert guards.","सिडवेल की हत्या के बाद, हनुमान सिंह ने रायपुर के सर्वोच्च अधिकारी, डिप्टी कमिश्नर चार्ल्स सी. इलियट को निशाना बनाया, लेकिन मजबूत दरवाजों और सतर्क गार्डों के कारण वे उनके बंगले में प्रवेश करने में विफल रहे।"
"What was the exact physical description (age and height) of Hanuman Singh as recorded in the British intelligence files during the 1858 mutiny?","1858 के विद्रोह के दौरान ब्रिटिश खुफिया फाइलों में दर्ज हनुमान सिंह का सटीक शारीरिक विवरण (उम्र और ऊंचाई) क्या था?","25 years old, 6 feet tall","25 वर्ष, 6 फीट लंबा","35 years old, 5 feet 4 inches tall","35 वर्ष, 5 फीट 4 इंच लंबा","40 years old, 5 feet 8 inches tall","40 वर्ष, 5 फीट 8 इंच लंबा","30 years old, 5 feet 2 inches tall","30 वर्ष, 5 फीट 2 इंच लंबा","2","British records circulated for his arrest specifically described the Magazine Lashkar Hanuman Singh as a 35-year-old Rajput warrior with a height of exactly 5 feet and 4 inches.","उनकी गिरफ्तारी के लिए प्रसारित ब्रिटिश रिकॉर्ड विशेष रूप से मैगज़ीन लश्कर हनुमान सिंह को 35 वर्षीय राजपूत योद्धा के रूप में वर्णित करते हैं जिनकी ऊंचाई ठीक 5 फीट 4 इंच थी।"
"Immediately after killing Sidwell on 18 January 1858, what crucial step did Hanuman Singh take to escalate the mutiny?","18 जनवरी 1858 को सिडवेल की हत्या के तुरंत बाद, हनुमान सिंह ने विद्रोह को बढ़ाने के लिए कौन सा महत्वपूर्ण कदम उठाया?","He immediately fled to the Abujhmar forests to hide.","वह तुरंत अबूझमाड़ के जंगलों में छिपने के लिए भाग गए।","He attacked the main British treasury and looted it.","उन्होंने मुख्य ब्रिटिश खजाने पर हमला किया और उसे लूट लिया।","He went to the military camp, announced the killing, and incited fellow soldiers to join the revolt.","वह सैन्य शिविर में गए, हत्या की घोषणा की, और साथी सैनिकों को विद्रोह में शामिल होने के लिए उकसाया।","He surrendered himself to the British authorities.","उन्होंने ब्रिटिश अधिकारियों के सामने आत्मसमर्पण कर दिया।","3","Instead of fleeing, Hanuman Singh boldly went to the military cantonment, propagated the news of the assassination, and passionately urged his fellow soldiers to join the anti-British armed mutiny.","भागने के बजाय, हनुमान सिंह साहसपूर्वक सैन्य छावनी में गए, हत्या की खबर का प्रचार किया, और अपने साथी सैनिकों से ब्रिटिश विरोधी सशस्त्र विद्रोह में शामिल होने का भावुक आग्रह किया।"
"Assertion (A): The Raipur Sepoy Mutiny led by Hanuman Singh could not transform into a massive regional war.\n\nReason (R): Despite Hanuman Singh's passionate appeals, the majority of the soldiers in the military camp remained completely loyal to the British.\n\nCodes:","कथन (A): हनुमान सिंह के नेतृत्व में रायपुर सिपाही विद्रोह एक विशाल क्षेत्रीय युद्ध में नहीं बदल सका।\n\nकारण (R): हनुमान सिंह की भावुक अपीलों के बावजूद, सैन्य शिविर के अधिकांश सैनिक अंग्रेजों के प्रति पूरी तरह से वफादार रहे।\n\nकूट:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, और (R), (A) की सही व्याख्या है।","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, लेकिन (R), (A) की सही व्याख्या नहीं है।","Assertion (A) is true, but Reason (R) is false.","कथन (A) सत्य है, लेकिन कारण (R) असत्य है।","Assertion (A) is false, but Reason (R) is true.","कथन (A) असत्य है, लेकिन कारण (R) सत्य है।","1","The primary reason the mutiny failed to expand was that most sepoys remained 'Rajbhakt' (loyalists). They refused to join Hanuman Singh, allowing the British to quickly suppress the 17 rebels who did join.","विद्रोह के विस्तार में विफल होने का प्राथमिक कारण यह था कि अधिकांश सिपाही 'राजभक्त' (वफादार) बने रहे। उन्होंने हनुमान सिंह में शामिल होने से इनकार कर दिया, जिससे अंग्रेजों को शामिल होने वाले 17 विद्रोहियों को जल्दी से दबाने का मौका मिला।"
"What was the exact amount of cash reward announced by the panicked British administration for anyone who could capture Hanuman Singh dead or alive?","घबराए हुए ब्रिटिश प्रशासन द्वारा हनुमान सिंह को मृत या जीवित पकड़ने वाले किसी भी व्यक्ति के लिए नकद इनाम की सटीक राशि क्या घोषित की गई थी?","200 Rupees","200 रुपये","500 Rupees","500 रुपये","1000 Rupees","1000 रुपये","5000 Rupees","5000 रुपये","2","To quickly neutralize the severe threat posed by the absconding rebel, the British authorities officially declared a massive bounty of 500 Rupees for his capture, yet he remained completely untraceable.","फरार विद्रोही द्वारा उत्पन्न गंभीर खतरे को जल्दी से बेअसर करने के लिए, ब्रिटिश अधिकारियों ने आधिकारिक तौर पर उनके पकड़े जाने पर 500 रुपये के भारी इनाम की घोषणा की, फिर भी वे पूरी तरह से अछूते रहे।"
"On which exact date did the British publicly hang the 17 arrested associate soldiers of Hanuman Singh in Raipur to instill terror?","अंग्रेजों ने आतंक पैदा करने के लिए रायपुर में हनुमान सिंह के 17 गिरफ्तार सहयोगी सैनिकों को किस निश्चित तिथि को खुलेआम फाँसी दे दी?","19 January 1858","19 जनवरी 1858","20 January 1858","20 जनवरी 1858","22 January 1858","22 जनवरी 1858","10 December 1857","10 दिसंबर 1857","3","While the mutiny occurred on 18 January and the arrests were made on 19 January, the 17 patriotic soldiers were publicly executed by hanging on the morning of 22 January 1858.","जबकि विद्रोह 18 जनवरी को हुआ था और गिरफ्तारियां 19 जनवरी को की गई थीं, 17 देशभक्त सैनिकों को 22 जनवरी 1858 की सुबह खुलेआम फाँसी दे दी गई थी।"
