Quiz Title (English): Chhattisgarh Current Affairs (May 2026) Part 3
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (मई 2026) भाग 3
Quiz Description (English): Master the intricate details of Chhattisgarh Current Affairs from May 2026 for CGPSC Prelims. This final part covers tribal surveys, advanced administrative portals, major sporting achievements, and recent industrial policy updates.
Quiz Description (Hindi): सीजीपीएससी प्रारंभिक परीक्षा के लिए मई 2026 से छत्तीसगढ़ करेंट अफेयर्स के जटिल विवरणों में महारत हासिल करें। यह अंतिम भाग आदिवासी सर्वेक्षणों, उन्नत प्रशासनिक पोर्टलों, प्रमुख खेल उपलब्धियों और हालिया औद्योगिक नीति अपडेट को कवर करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the 'Dipti Yojana' approved recently in Chhattisgarh:\n\n1. It will be operated by the Panchayat and Rural Development Department.\n\n2. The operational period of the scheme is fixed from 2026 to 2031.\n\n3. Under this scheme, a dedicated cadre of 'Solar Didi' or 'Urja Sakhi' will be formed for the maintenance of solar energy systems.\n\nChoose the correct answer:","छत्तीसगढ़ में हाल ही में स्वीकृत 'दीप्ति योजना' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका संचालन पंचायत एवं ग्रामीण विकास विभाग द्वारा किया जाएगा।\n\n2. योजना की संचालन अवधि 2026 से 2031 तक निर्धारित की गई है।\n\n3. इस योजना के तहत, सौर ऊर्जा प्रणालियों के रखरखाव के लिए 'सोलर दीदी' या 'ऊर्जा सखी' का एक समर्पित कैडर बनाया जाएगा।\n\nसही कथन चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. The Dipti Yojana aims to initiate a women-led energy revolution in rural Chhattisgarh between 2026 and 2031, training women as 'Urja Sakhis' under the Panchayat and Rural Development Department.","सभी कथन सही हैं। दीप्ति योजना का उद्देश्य 2026 और 2031 के बीच ग्रामीण छत्तीसगढ़ में महिलाओं के नेतृत्व वाली ऊर्जा क्रांति शुरू करना है, जिसमें पंचायत और ग्रामीण विकास विभाग के तहत महिलाओं को 'ऊर्जा सखी' के रूप में प्रशिक्षित किया जाएगा।"
"The 'Khara Mines' recently became the first-ever iron ore mine to be successfully auctioned in which of the following districts of Chhattisgarh?","'खारा माइंस' हाल ही में छत्तीसगढ़ के निम्नलिखित में से किस जिले में सफलतापूर्वक नीलाम होने वाली पहली लौह अयस्क खदान बन गई है?","Kabirdham","कबीरधाम","Rajnandgaon","राजनांदगांव","Mohla-Manpur-Ambagarh Chowki","मोहला-मानपुर-अंबागढ़ चौकी","Kondagaon","कोंडागांव",1,"The Khara Mines, spread over 301 hectares in the Bodla tehsil, is Kabirdham district's first iron ore mine to be auctioned. It was won by Shyam Minerals Corporation (Korba) and is estimated to hold 1.09 million tonnes of iron ore.","बोडला तहसील में 301 हेक्टेयर में फैली खारा माइंस, कबीरधाम जिले की नीलाम होने वाली पहली लौह अयस्क खदान है। इसे श्याम मिनरल्स कॉर्पोरेशन (कोरबा) ने जीता है और इसमें 1.09 मिलियन टन लौह अयस्क होने का अनुमान है।"
"According to the Sample Registration System (SRS) report 2022-24 published in May 2026, what is the Maternal Mortality Ratio (MMR) of Chhattisgarh, and where does it stand nationally?","मई 2026 में प्रकाशित नमूना पंजीकरण प्रणाली (SRS) रिपोर्ट 2022-24 के अनुसार, छत्तीसगढ़ का मातृ मृत्यु अनुपात (MMR) क्या है, और यह राष्ट्रीय स्तर पर किस स्थान पर है?","MMR 146; 2nd highest","MMR 146; दूसरा सर्वाधिक","MMR 124; 3rd highest","MMR 124; तीसरा सर्वाधिक","MMR 135; 4th highest","MMR 135; चौथा सर्वाधिक","MMR 88; 5th highest","MMR 88; पांचवां सर्वाधिक",2,"As per the SRS 2022-24 report, Chhattisgarh's MMR dropped by 22 points to reach 124. Despite the improvement, it remains the 3rd highest in the country, sharing this rank jointly with Odisha.","SRS 2022-24 रिपोर्ट के अनुसार, छत्तीसगढ़ का MMR 22 अंक गिरकर 124 पर आ गया है। सुधार के बावजूद, यह देश में तीसरा सबसे अधिक है, जो ओडिशा के साथ संयुक्त रूप से यह रैंक साझा करता है।"
"To comprehensively assess the socio-economic status of Particularly Vulnerable Tribal Groups (PVTGs) across 18 districts of Chhattisgarh, which specific digital application is being used by the state administration?","छत्तीसगढ़ के 18 जिलों में विशेष रूप से कमजोर जनजातीय समूहों (PVTG) की सामाजिक-आर्थिक स्थिति का व्यापक आकलन करने के लिए, राज्य प्रशासन द्वारा किस विशिष्ट डिजिटल एप्लिकेशन का उपयोग किया जा रहा है?","Pahunch App","पहुंच ऐप","Aushadhi Darpan App","औषधि दर्पण ऐप","Setu App","सेतु ऐप","E-Shram Sathi App","ई-श्रम साथी ऐप",3,"The state government is utilizing the 'Setu App' for a detailed digital survey of PVTG families (like Baiga, Kamar, Birhor). Upon completion, each family will be provided a 'PVTG Entitlement Card'.","राज्य सरकार पीवीटीजी परिवारों (जैसे बैगा, कमार, बिरहोर) के विस्तृत डिजिटल सर्वेक्षण के लिए 'सेतु ऐप' का उपयोग कर रही है। पूरा होने पर, प्रत्येक परिवार को 'पीवीटीजी एंटाइटेलमेंट कार्ड' प्रदान किया जाएगा।"
"At the 76th Junior National Basketball Championship 2026 held in Puducherry, the Chhattisgarh girls' team won the Gold medal by defeating which state in the finals?","पुडुचेरी में आयोजित 76वीं जूनियर नेशनल बास्केटबॉल चैंपियनशिप 2026 में, छत्तीसगढ़ की बालिका टीम ने फाइनल में किस राज्य को हराकर स्वर्ण पदक जीता?","Punjab","पंजाब","Karnataka","कर्नाटक","Tamil Nadu","तमिलनाडु","Kerala","केरल",4,"The Chhattisgarh girls' team won the Junior National title after 14 years by defeating Kerala 55-51 in the finals. Divya Rangari from Mahasamund was named the Most Valuable Player.","छत्तीसगढ़ की बालिका टीम ने फाइनल में केरल को 55-51 से हराकर 14 साल बाद जूनियर नेशनल का खिताब जीता। महासमुंद की दिव्या रंगारी को मोस्ट वैल्यूएबल प्लेयर चुना गया।"
"In May 2026, the 'Bhejji Mela', a traditional tribal fair dedicated to 'Korraj Dev', was resumed after a gap of 28 years. This historic fair belongs to which district?","मई 2026 में, 'कोर्राज देव' को समर्पित एक पारंपरिक आदिवासी मेला 'भेज्जी मेला', 28 वर्षों के अंतराल के बाद फिर से शुरू किया गया। यह ऐतिहासिक मेला किस जिले से संबंधित है?","Narayanpur","नारायणपुर","Bijapur","बीजापुर","Sukma","सुकमा","Dantewada","दंतेवाड़ा",3,"The Bhejji Mela in Sukma district was celebrated after 28 years in the courtyard of Korraj Dev. It had been discontinued in 1998 due to intense Naxalite activities in the region.","सुकमा जिले में 28 साल बाद कोर्राज देव के प्रांगण में भेज्जी मेला मनाया गया। इस क्षेत्र में तीव्र नक्सली गतिविधियों के कारण 1998 में इसे बंद कर दिया गया था।"
"Match the following newly launched digital initiatives of the Chhattisgarh Government with their respective core objectives:\n\nList-I\n(a) Seva Setu Portal\n(b) E-Shram Sathi App\n(c) Aushadhi Darpan App\n(d) KARTAVYA App\n\nList-II\n(i) Tracking real-time medicine supply\n(ii) Single-window for 442 citizen services\n(iii) Direct access to schemes for laborers\n(iv) Detecting AI-generated deepfake audio/video\n\nCodes:","छत्तीसगढ़ सरकार की निम्नलिखित नव-लॉन्च डिजिटल पहलों को उनके संबंधित मुख्य उद्देश्यों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) सेवा सेतु पोर्टल\n(b) ई-श्रम साथी ऐप\n(c) औषधि दर्पण ऐप\n(d) कर्तव्य (KARTAVYA) ऐप\n\nसूची-II\n(i) वास्तविक समय में दवा आपूर्ति को ट्रैक करना\n(ii) 442 नागरिक सेवाओं के लिए सिंगल-विंडो\n(iii) श्रमिकों के लिए योजनाओं तक सीधी पहुंच\n(iv) AI-जनित डीपफेक ऑडियो/वीडियो का पता लगाना\n\nकूट:","a-ii, b-iii, c-i, d-iv","a-ii, b-iii, c-i, d-iv","a-iii, b-ii, c-iv, d-i","a-iii, b-ii, c-iv, d-i","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii","a-i, b-iii, c-ii, d-iv","a-i, b-iii, c-ii, d-iv",1,"Seva Setu replaces e-District for 442 citizen services. E-Shram Sathi connects laborers to welfare schemes. Aushadhi Darpan tracks warehouse-to-hospital medicine logistics. KARTAVYA (developed by Raipur youths) detects deepfake scams.","सेवा सेतु 442 नागरिक सेवाओं के लिए ई-डिस्ट्रिक्ट की जगह लेता है। ई-श्रम साथी श्रमिकों को कल्याणकारी योजनाओं से जोड़ता है। औषधि दर्पण वेयरहाउस से अस्पताल तक दवा रसद को ट्रैक करता है। KARTAVYA (रायपुर के युवाओं द्वारा विकसित) डीपफेक घोटालों का पता लगाता है।"
"Which agriculture college of Chhattisgarh was awarded the 'National Environment Champion Award 2026' by the Wildlife Institute of India and Namami Gange Project for excellent work in water conservation and organic farming?","जल संरक्षण और जैविक खेती में उत्कृष्ट कार्य के लिए भारतीय वन्यजीव संस्थान और नमामि गंगे परियोजना द्वारा छत्तीसगढ़ के किस कृषि महाविद्यालय को 'राष्ट्रीय पर्यावरण चैंपियन पुरस्कार 2026' से सम्मानित किया गया?","BRSM College of Agricultural Engineering, Mungeli","बीआरएसएम कृषि अभियांत्रिकी महाविद्यालय, मुंगेली","Lingo Mudiyal Agriculture College, Narayanpur","लिंगो मुदियाल कृषि महाविद्यालय, नारायणपुर","Sant Kabir College of Agriculture, Kawardha","संत कबीर कृषि महाविद्यालय, कवर्धा","Pt. Kishori Lal Shukla College of Agriculture, Rajnandgaon","पं. किशोरी लाल शुक्ल कृषि महाविद्यालय, राजनांदगांव",2,"The Lingo Mudiyal Agriculture College and Research Center, located in Narayanpur (affiliated with IGKV), was honored with this award in Dehradun for its outstanding contributions to environmental protection and organic practices.","नारायणपुर (IGKV से संबद्ध) में स्थित लिंगो मुदियाल कृषि महाविद्यालय और अनुसंधान केंद्र को पर्यावरण संरक्षण और जैविक प्रथाओं में उत्कृष्ट योगदान के लिए देहरादून में इस पुरस्कार से सम्मानित किया गया।"
"In a historic financial move, which of the following became the first State Public Sector Undertaking (PSU) of Chhattisgarh to receive cabinet approval to launch an Initial Public Offering (IPO)?","एक ऐतिहासिक वित्तीय कदम में, निम्नलिखित में से कौन सा प्रारंभिक सार्वजनिक निर्गम (IPO) लॉन्च करने के लिए कैबिनेट की मंजूरी प्राप्त करने वाला छत्तीसगढ़ का पहला राज्य सार्वजनिक क्षेत्र उपक्रम (PSU) बन गया है?","Chhattisgarh State Power Generation Company (CSPGCL)","छत्तीसगढ़ स्टेट पावर जनरेशन कंपनी (CSPGCL)","Chhattisgarh State Industrial Development Corporation (CSIDC)","छत्तीसगढ़ राज्य औद्योगिक विकास निगम (CSIDC)","Chhattisgarh State Power Transmission Company (CSPTCL)","छत्तीसगढ़ स्टेट पावर ट्रांसमिशन कंपनी (CSPTCL)","Chhattisgarh Mineral Development Corporation (CMDC)","छत्तीसगढ़ खनिज विकास निगम (CMDC)",3,"The Chhattisgarh State Power Transmission Company Limited (CSPTCL) has been granted in-principle approval by the state cabinet to list on the stock exchange via an IPO, marking a first for any state-owned entity.","छत्तीसगढ़ स्टेट पावर ट्रांसमिशन कंपनी लिमिटेड (CSPTCL) को स्टॉक एक्सचेंज में IPO के माध्यम से सूचीबद्ध होने के लिए राज्य कैबिनेट द्वारा सैद्धांतिक मंजूरी दे दी गई है, जो किसी भी राज्य के स्वामित्व वाली इकाई के लिए पहली बार है।"
"Consider the following statements regarding the 'Baghmara Gold Project':\n\n1. It is located in the Baloda Bazar district.\n\n2. It has an estimated reserve of 2700 kg of gold.\n\n3. The mining rights for this project have been awarded to the Vedanta Group.\n\nChoose the correct answer:","'बाघमारा गोल्ड प्रोजेक्ट' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह बलौदाबाजार जिले में स्थित है।\n\n2. इसमें 2700 किलोग्राम सोने का अनुमानित भंडार है।\n\n3. इस परियोजना के लिए खनन अधिकार वेदांता समूह को प्रदान किए गए हैं।\n\nसही कथन चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. The Baghmara site in Baloda Bazar is expected to become India's 4th active gold mine. Vedanta Group is currently conducting deep exploration, expecting to yield around 2700 kg of gold.","सभी कथन सही हैं। बलौदाबाजार में बाघमारा स्थल के भारत की चौथी सक्रिय सोने की खदान बनने की उम्मीद है। वेदांता समूह वर्तमान में गहन अन्वेषण कर रहा है, जिससे लगभग 2700 किलोग्राम सोना प्राप्त होने की उम्मीद है।"
