Quiz Title (English): Chhattisgarh Current Affairs (March 2026) Part-2
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (मार्च 2026) भाग 2
Quiz Description (English): Advance your CGPSC Prelims preparation with Part 2 of the March 2026 Chhattisgarh Current Affairs quiz. This examiner-level set deeply covers crucial Mahotsavs, administrative initiatives, state heritage updates, and key scheme data.
Quiz Description (Hindi): मार्च 2026 छत्तीसगढ़ करेंट अफेयर्स क्विज़ के भाग 2 के साथ अपनी सीजीपीएससी प्रारंभिक परीक्षा की तैयारी को आगे बढ़ाएं। यह परीक्षक-स्तरीय सेट महत्वपूर्ण महोत्सवों, प्रशासनिक पहलों, राज्य विरासत अपडेट और प्रमुख योजना डेटा को गहराई से कवर करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Where was the 'Mata Kaushalya Mahotsav 2026' officially organized on 24-25 March 2026?","24-25 मार्च 2026 को 'माता कौशल्या महोत्सव 2026' आधिकारिक तौर पर कहाँ आयोजित किया गया था?","Chandkhuri","चंदखुरी","Arang","आरंग","Rajim","राजिम","Sirpur","सिरपुर","2","The two-day Mata Kaushalya Mahotsav 2026 was explicitly organized in Arang on 24-25 March, not in Chandkhuri (the actual site of the temple). It was inaugurated by Minister Guru Khushwant Saheb.","दो दिवसीय माता कौशल्या महोत्सव 2026 स्पष्ट रूप से 24-25 मार्च को आरंग में आयोजित किया गया था, न कि चंदखुरी (मंदिर का वास्तविक स्थल) में। इसका उद्घाटन मंत्री गुरु खुशवंत साहेब ने किया था।"
"Consider the following statements about the 'Pravasi Chhattisgarhi Sammelan 2026':\n\n1. It was held in Nava Raipur Atal Nagar on 27-28 March 2026.\n\n2. The official theme of the event was 'Mor Maati Mor Maan'.\n\n3. It was exclusively organized for Non-Resident Indians (NRIs) residing in the USA.\n\nChoose the correct answer:","'प्रवासी छत्तीसगढ़ी सम्मेलन 2026' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह 27-28 मार्च 2026 को नवा रायपुर अटल नगर में आयोजित किया गया था।\n\n2. इस आयोजन की आधिकारिक थीम 'मोर माटी मोर मान' थी।\n\n3. यह विशेष रूप से अमेरिका में रहने वाले अनिवासी भारतीयों (NRIs) के लिए आयोजित किया गया था।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. The Sammelan was held in Nava Raipur with the theme 'Mor Maati Mor Maan'. Statement 3 is incorrect as it was a general conclave for all Pravasi Chhattisgarhiyas worldwide, not limited to the USA.","कथन 1 और 2 सही हैं। यह सम्मेलन नवा रायपुर में 'मोर माटी मोर मान' थीम के साथ आयोजित किया गया था। कथन 3 गलत है क्योंकि यह दुनिया भर के सभी प्रवासी छत्तीसगढ़ियों के लिए एक सामान्य सम्मेलन था, जो केवल अमेरिका तक सीमित नहीं था।"
"Match the newly included State Protected Monuments with their respective districts:\n\nList-I\n(a) Matku Dweep\n(b) Tarighat\n(c) Maheshpur\n(d) Damru\n\nList-II\n(i) Surguja\n(ii) Balodabazar\n(iii) Mungeli\n(iv) Durg\n\nCodes:","नए शामिल राज्य संरक्षित स्मारकों को उनके संबंधित जिलों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) मदकू द्वीप\n(b) तरीघाट\n(c) महेशपुर\n(d) डमरू\n\nसूची-II\n(i) सरगुजा\n(ii) बलौदाबाजार\n(iii) मुंगेली\n(iv) दुर्ग\n\nकूट:","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-iv, b-iii, c-ii, d-i","a-iv, b-iii, c-ii, d-i","a-iii, b-iv, c-ii, d-i","a-iii, b-iv, c-ii, d-i","a-iv, b-i, c-iii, d-ii","a-iv, b-i, c-iii, d-ii","1","Matku Dweep is located in Mungeli on the Shivnath river, Tarighat in Durg on the Kharun river, Maheshpur in Surguja, and Damru in the Balodabazar district.","मदकू द्वीप मुंगेली में शिवनाथ नदी पर, तरीघाट दुर्ग में खारून नदी पर, महेशपुर सरगुजा में और डमरू बलौदाबाजार जिले में स्थित है।"
"Which airport in Chhattisgarh has recently been upgraded by the DGCA to the '3C All Weather Operation IFR' category in March 2026?","मार्च 2026 में DGCA द्वारा छत्तीसगढ़ के किस हवाई अड्डे को '3C ऑल वेदर ऑपरेशन IFR' श्रेणी में अपग्रेड किया गया है?","Swami Vivekananda Airport, Raipur","स्वामी विवेकानंद हवाई अड्डा, रायपुर","Maa Danteshwari Airport, Jagdalpur","मां दंतेश्वरी हवाई अड्डा, जगदलपुर","Bilasa Devi Kevat Airport, Bilaspur","बिलासा देवी केवट हवाई अड्डा, बिलासपुर","Darima Airport, Ambikapur","दरिमा हवाई अड्डा, अंबिकापुर","3","Bilasa Devi Kevat Airport in Bilaspur was upgraded from 3C VFR to 3C All Weather Operation IFR by the DGCA, enabling safe flight operations during bad weather and night time.","डीजीसीए (DGCA) द्वारा बिलासपुर के बिलासा देवी केवट हवाई अड्डे को 3C VFR से 3C ऑल वेदर ऑपरेशन IFR में अपग्रेड किया गया है, जिससे खराब मौसम और रात के समय सुरक्षित उड़ान संचालन संभव हो सकेगा।"
"The historical 8th-9th century 'Chitawari Devi Temple', built in a unique star-shaped brick architecture, is located in which village of Chhattisgarh?","8वीं-9वीं शताब्दी का ऐतिहासिक 'चितावरी देवी मंदिर', जो एक अद्वितीय तारा-आकार (ताराकृति) ईंट वास्तुकला में निर्मित है, छत्तीसगढ़ के किस गांव में स्थित है?","Dhobni (Raipur)","धोबनी (रायपुर)","Dipadih (Balrampur)","डीपाडीह (बलरामपुर)","Tala (Bilaspur)","ताला (बिलासपुर)","Pujaripali (Surguja)","पुजारीपाली (सरगुजा)","1","The Chitawari Devi Temple is located near Dhobni village in the Raipur district. Originally a Shiva temple with 8th-century origins, it was later dedicated to Devi Chitawari.","चितावरी देवी मंदिर रायपुर जिले के धोबनी गांव के पास स्थित है। मूल रूप से 8वीं शताब्दी का एक शिव मंदिर, इसे बाद में चितावरी देवी को समर्पित कर दिया गया था।"
"Under the 'Gyan Bharatam Abhiyan' in March 2026, a 2000-year-old copper plate (Tamrapatra) belonging to the Panduvanshi ruler Mahashivgupt Balarjun was found in which archaeological site?","मार्च 2026 में 'ज्ञान भारतम अभियान' के तहत, पांडुवंशीय शासक महाशिवगुप्त बालार्जुन का 2000 वर्ष पुराना ताम्रपत्र किस पुरातात्विक स्थल में पाया गया था?","Sirpur","सिरपुर","Malhar","मल्हार","Rajim","राजिम","Pachrahi","पचराही","2","Under the Gyan Bharatam campaign to digitize historical records, a rare 2000-year-old Tamrapatra of Panduvanshi ruler Mahashivgupt Balarjun, inscribed in Brahmi and Pali, was discovered in Malhar (Bilaspur).","ऐतिहासिक अभिलेखों को डिजिटाइज़ करने के लिए ज्ञान भारतम अभियान के तहत, मल्हार (बिलासपुर) में पांडुवंशीय शासक महाशिवगुप्त बालार्जुन का एक दुर्लभ 2000 वर्ष पुराना ताम्रपत्र खोजा गया है, जो ब्राह्मी और पाली में खुदा है।"
"Which Gram Panchayat of Chhattisgarh secured the 3rd position nationally under the 'Clean and Green Panchayat' theme of the Deendayal Upadhyay Panchayat Sustainable Development Award 2025?","छत्तीसगढ़ की किस ग्राम पंचायत ने दीनदयाल उपाध्याय पंचायत सतत विकास पुरस्कार 2025 के 'स्वच्छ एवं हरित पंचायत' थीम के तहत राष्ट्रीय स्तर पर तीसरा स्थान हासिल किया?","Sankra (Dhamtari)","सांकरा (धमतरी)","Sardih (Jashpur)","सरडीह (जशपुर)","Mandrod (Dhamtari)","मंदरोद (धमतरी)","Kachhiya (Balrampur)","कछिया (बलरामपुर)","2","Sardih Gram Panchayat, located in the Bagicha block of Jashpur district, secured the 3rd position nationally in the Clean and Green Panchayat theme of the Deendayal Upadhyay Awards.","जशपुर जिले के बगीचा ब्लॉक में स्थित सरडीह ग्राम पंचायत ने दीनदयाल उपाध्याय पुरस्कारों के स्वच्छ और हरित पंचायत थीम में राष्ट्रीय स्तर पर तीसरा स्थान हासिल किया।"
"Which municipal council of Chhattisgarh, in collaboration with HDFC Bank, launched the 'Digital Door Suvidha' via QR codes for home-to-home tax collection in March 2026?","मार्च 2026 में घर-घर कर संग्रह के लिए क्यूआर (QR) कोड के माध्यम से किस बैंक के सहयोग से छत्तीसगढ़ की किस नगर पालिका ने 'डिजिटल डोर सुविधा' शुरू की?","Jashpur Municipal Council","जशपुर नगर पालिका","Ambikapur Municipal Corporation","अंबिकापुर नगर निगम","Dhamtari Municipal Council","धमतरी नगर पालिका","Raigarh Municipal Corporation","रायगढ़ नगर निगम","1","Jashpur Municipal Council, in collaboration with HDFC Bank, introduced the 'Digital Door Suvidha'. Residents can scan a unique QR code at their doors to pay property, water, and shop taxes.","जशपुर नगर पालिका ने HDFC बैंक के सहयोग से 'डिजिटल डोर सुविधा' पेश की। निवासी संपत्ति, जल और दुकान कर का भुगतान करने के लिए अपने दरवाजे पर एक अद्वितीय क्यूआर कोड स्कैन कर सकते हैं।"
"The proposed 'Chhattisgarh Tribal Art and Culture Convention Center' in Nava Raipur will be modeled on the lines of which famous national institution?","नवा रायपुर में प्रस्तावित 'छत्तीसगढ़ ट्राइबल आर्ट एंड कल्चर कन्वेंशन सेंटर' किस प्रसिद्ध राष्ट्रीय संस्थान की तर्ज पर बनाया जाएगा?","Bharat Bhavan, Bhopal","भारत भवन, भोपाल","India Habitat Center, Delhi","इंडिया हैबिटेट सेंटर, दिल्ली","National Centre for the Performing Arts, Mumbai","नेशनल सेंटर फॉर द परफॉर्मिंग आर्ट्स, मुंबई","Kalakshetra Foundation, Chennai","कलाक्षेत्र फाउंडेशन, चेन्नई","2","The state government officially announced that the Chhattisgarh Tribal Art and Culture Convention Center in Nava Raipur will be constructed on the exact lines of the India Habitat Center, Delhi.","राज्य सरकार ने आधिकारिक तौर पर घोषणा की कि नवा रायपुर में छत्तीसगढ़ ट्राइबल आर्ट एंड कल्चर कन्वेंशन सेंटर का निर्माण ठीक इंडिया हैबिटेट सेंटर, दिल्ली की तर्ज पर किया जाएगा।"
"Consider the following statements about the 'Mahanadi River Boat Championship' held in March 2026:\n\n1. It was organized at the Hasdeo Bango Dam on 22 March 2026.\n\n2. The first prize of Rs 1 Lakh was won by Roman Nishad and Jitu Nishad.\n\n3. It aimed to promote the traditional boating skills of the fishermen community.\n\nWhich of the above is/are correct?","मार्च 2026 में आयोजित 'महानदी रिवर बोट चैंपियनशिप' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह 22 मार्च 2026 को हसदेव बांगो बांध पर आयोजित किया गया था।\n\n2. 1 लाख रुपये का प्रथम पुरस्कार रोमन निषाद और जीतू निषाद ने जीता था।\n\n3. इसका उद्देश्य मछुआरा समुदाय के पारंपरिक नौकायन कौशल को बढ़ावा देना था।\n\nउपरोक्त में से कौन सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","2","Statements 2 and 3 are correct. Statement 1 is incorrect because the pioneering championship was organized at the Gangrel Dam in Dhamtari district, not the Hasdeo Bango Dam.","कथन 2 और 3 सही हैं। कथन 1 गलत है क्योंकि यह अग्रणी चैंपियनशिप धमतरी जिले के गंगरेल बांध में आयोजित की गई थी, न कि हसदेव बांगो बांध में।"
