Quiz Title: Early Kalchuris & Establishment (Tumman & Kalingraja)
क्विज़ शीर्षक: प्रारंभिक कलचुरी एवं स्थापना (तुम्माण व कलिंगराज)
Quiz Description: This quiz rigorously evaluates your knowledge of the early Kalchuri dynasty's origins, their migration from Mahishmati to Tripuri, and the permanent establishment of their rule in Chhattisgarh by Kalingraja. It covers critical epigraphical records and architectural contributions up to Prithvideva I, tailored strictly for CGPSC Prelims.
क्विज़ विवरण: यह क्विज़ प्रारंभिक कलचुरी राजवंश की उत्पत्ति, महिष्मती से त्रिपुरी तक उनके प्रवास और कलिंगराज द्वारा छत्तीसगढ़ में उनके शासन की स्थायी स्थापना के आपके ज्ञान का कड़ाई से मूल्यांकन करता है। यह सीजीपीएससी प्रारंभिक परीक्षा के लिए विशेष रूप से पृथ्वीदेव प्रथम तक के महत्वपूर्ण पुरालेखीय अभिलेखों और स्थापत्य योगदान को कवर करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"According to historical records, the Kalchuri dynasty branch that established its permanent political power in Chhattisgarh (Dakshin Kosal) is formally known as:","ऐतिहासिक अभिलेखों के अनुसार, कलचुरी राजवंश की जिस शाखा ने छत्तीसगढ़ (दक्षिण कोसल) में अपनी स्थायी राजनीतिक सत्ता स्थापित की, उसे औपचारिक रूप से क्या कहा जाता है?","Tripuri Branch","त्रिपुरी शाखा","Kalinga Branch","कलिंग शाखा","Lahuri Branch","लहुरी शाखा","Behuri Branch","बेहुरी शाखा","3","The branch of the Kalchuris that established its rule in Ratanpur/Tumman is known as the 'Lahuri' branch. In regional dialects, 'Lahuri' means the younger or junior branch, as they originated from one of the younger sons of the Tripuri king Kokkaladeva I.","रतनपुर/तुम्माण में अपना शासन स्थापित करने वाली कलचुरी शाखा को 'लहुरी' शाखा के रूप में जाना जाता है। क्षेत्रीय बोलियों में, 'लहुरी' का अर्थ छोटी शाखा होता है, क्योंकि उनकी उत्पत्ति त्रिपुरी के राजा कोक्कलदेव प्रथम के छोटे पुत्रों में से एक से हुई थी।"
"Before the permanent establishment of Kalchuri rule by Kalingraja, which early Kalchuri ruler of Tripuri successfully invaded Dakshin Kosal in the 9th century and conquered the 'Pali' region?","कलिंगराज द्वारा कलचुरी शासन की स्थायी स्थापना से पूर्व, 9वीं शताब्दी में त्रिपुरी के किस प्रारंभिक कलचुरी शासक ने दक्षिण कोसल पर सफलतापूर्वक आक्रमण कर 'पाली' क्षेत्र पर विजय प्राप्त की थी?","Vamraj Dev","वामराज देव","Shankaragana II (Mugdhatung)","शंकरगण द्वितीय (मुग्धतुंग)","Kokkaladeva I","कोक्कलदेव प्रथम","Gangeyadeva","गांगेयदेव","2","According to epigraphical evidence, Shankaragana II, also known as Mugdhatung, was the first Kalchuri ruler of Tripuri to invade Dakshin Kosal. He defeated the ruling king (likely of the Bana dynasty) and captured the Pali region (modern Bilaspur/Korba).","पुरालेखीय साक्ष्यों के अनुसार, शंकरगण द्वितीय, जिसे मुग्धतुंग के नाम से भी जाना जाता है, दक्षिण कोसल पर आक्रमण करने वाला त्रिपुरी का पहला कलचुरी शासक था। उसने तत्कालीन राजा (संभवतः बाण वंश के) को हराकर पाली क्षेत्र (आधुनिक बिलासपुर/कोरबा) पर कब्जा कर लिया था।"
"Which paramount Kalchuri ruler established the first permanent capital in Dakshin Kosal at 'Tumman', thereby laying the real foundation of the dynasty in Chhattisgarh?","किस सर्वोच्च कलचुरी शासक ने दक्षिण कोसल में 'तुम्माण' में पहली स्थायी राजधानी स्थापित की, जिससे छत्तीसगढ़ में राजवंश की वास्तविक नींव पड़ी?","Kamalraja","कमलराज","Ratnadeva I","रत्नदेव प्रथम","Kalingraja","कलिंगराज","Prithvideva I","पृथ्वीदेव प्रथम","3","Kalingraja (reign 1000-1020 AD) is considered the real founder of the Kalchuri dynasty in Chhattisgarh. He conquered Dakshin Kosal, eradicated local enemies, and established his permanent capital at Tumman to secure his kingdom.","कलिंगराज (शासनकाल 1000-1020 ई.) को छत्तीसगढ़ में कलचुरी वंश का वास्तविक संस्थापक माना जाता है। उसने दक्षिण कोसल पर विजय प्राप्त की, स्थानीय शत्रुओं का नाश किया और अपने राज्य को सुरक्षित करने के लिए तुम्माण में अपनी स्थायी राजधानी स्थापित की।"
"The Amoda copper plate inscription, which provides critical information that Dakshin Kosal comprised 21,000 villages, was issued by which Kalchuri ruler in 1079 AD (Kalchuri Era 831)?","अमोदा ताम्रपत्र शिलालेख, जो यह महत्वपूर्ण जानकारी प्रदान करता है कि दक्षिण कोसल में 21,000 गाँव शामिल थे, 1079 ई. (कलचुरी संवत् 831) में किस कलचुरी शासक द्वारा जारी किया गया था?","Kalingraja","कलिंगराज","Kamalraja","कमलराज","Ratnadeva I","रत्नदेव प्रथम","Prithvideva I","पृथ्वीदेव प्रथम","4","The Amoda copper plate was issued by Prithvideva I in the Kalchuri Era 831 (1079 AD). It is a vital historical document that explicitly describes him as the master of Dakshin Kosal, a massive territory containing 21,000 villages.","अमोदा ताम्रपत्र पृथ्वीदेव प्रथम द्वारा कलचुरी संवत् 831 (1079 ई.) में जारी किया गया था। यह एक महत्वपूर्ण ऐतिहासिक दस्तावेज है जो स्पष्ट रूप से उन्हें 21,000 गांवों वाले एक विशाल क्षेत्र, दक्षिण कोसल के स्वामी के रूप में वर्णित करता है।"
"Consider the following statements regarding Kamalraja (1020-1045 AD):

1. He was the son and immediate successor of Kalingraja.
2. He assisted the Tripuri king Gangeyadeva in a military expedition against the Utkal kingdom.
3. He shifted the Kalchuri capital from Tumman to Ratanpur.

Choose the correct statement(s):","कमलराज (1020-1045 ई.) के संबंध में निम्नलिखित कथनों पर विचार कीजिए:

1. वह कलिंगराज का पुत्र और तत्काल उत्तराधिकारी था।
2. उसने उत्कल साम्राज्य के खिलाफ सैन्य अभियान में त्रिपुरी के राजा गांगेयदेव की सहायता की थी।
3. उसने कलचुरी राजधानी को तुम्माण से रतनपुर स्थानांतरित किया था।

सही कथन चुनिए:","Only 1 and 2","केवल 1 और 2","Only 2 and 3","केवल 2 और 3","Only 1 and 3","केवल 1 और 3","1, 2, and 3","1, 2, और 3","1","Statements 1 and 2 are historically correct. Statement 3 is incorrect because it was his son, Ratnadeva I, who founded Ratanpur around 1050 AD and shifted the capital there from Tumman.","कथन 1 और 2 ऐतिहासिक रूप से सही हैं। कथन 3 गलत है क्योंकि यह उनका पुत्र रत्नदेव प्रथम था, जिसने 1050 ई. के आसपास रतनपुर की स्थापना की और राजधानी को तुम्माण से वहां स्थानांतरित किया।"
"During Kamalraja's return from the Utkal military campaign, a brave warrior accompanied him to Tumman and subsequently his descendants served the Kalchuris in various battles. What was the name of this warrior?","उत्कल सैन्य अभियान से कमलराज की वापसी के दौरान, एक बहादुर योद्धा उसके साथ तुम्माण आया और बाद में उसके वंशजों ने विभिन्न युद्धों में कलचुरियों की सेवा की। इस योद्धा का नाम क्या था?","Sahilla","साहिल्ल","Vajjuka","वज्जूक","Jaisingh","जयसिंह","Gangadhar","गंगाधर","1","According to historian Dr. V.V. Mirashi, during the Utkal campaign alongside Gangeyadeva, Kamalraja was highly impressed by a warrior named Sahilla. Sahilla accompanied him to Tumman, and his clan later became prominent commanders in the Kalchuri army.","इतिहासकार डॉ. वी.वी. मिराशी के अनुसार, गांगेयदेव के साथ उत्कल अभियान के दौरान, कमलराज साहिल्ल नामक एक योद्धा से अत्यधिक प्रभावित हुए थे। साहिल्ल उनके साथ तुम्माण आया, और उसका कबीला बाद में कलचुरी सेना में प्रमुख सेनापति बन गया।"
"In which approximate year did Ratnadeva I formally establish the new city of Ratanpur and shift his royal capital from the mountainous terrain of Tumman?","रत्नदेव प्रथम ने लगभग किस वर्ष में औपचारिक रूप से रतनपुर के नए शहर की स्थापना की और अपनी शाही राजधानी को तुम्माण के पहाड़ी इलाके से स्थानांतरित किया?","1000 AD","1000 ई.","1020 AD","1020 ई.","1050 AD","1050 ई.","1079 AD","1079 ई.","3","Ratnadeva I (1045-1065 AD) realized that Tumman was insufficient for his expanding empire. Around 1050 AD, he founded a highly prosperous and strategically viable new city named Ratanpur, making it the new capital of Dakshin Kosal.","रत्नदेव प्रथम (1045-1065 ई.) ने महसूस किया कि तुम्माण उनके विस्तारवादी साम्राज्य के लिए अपर्याप्त था। 1050 ई. के आसपास, उन्होंने रतनपुर नामक एक अत्यधिक समृद्ध और रणनीतिक रूप से व्यवहार्य नए शहर की स्थापना की, जिसे दक्षिण कोसल की नई राजधानी बनाया गया।"
"The majestic 'Mahamaya Temple', one of the most revered architectural marvels of the early Kalchuri era in Chhattisgarh, was constructed in Ratanpur by:","प्रारंभिक कलचुरी युग के सबसे श्रद्धेय स्थापत्य चमत्कारों में से एक, राजसी 'महामाया मंदिर' का निर्माण रतनपुर में किसके द्वारा किया गया था?","Kalingraja","कलिंगराज","Prithvideva I","पृथ्वीदेव प्रथम","Kamalraja","कमलराज","Ratnadeva I","रत्नदेव प्रथम","4","Ratnadeva I is celebrated not only for founding Ratanpur but also for his immense architectural contributions. In the 11th century, he constructed the iconic Mahamaya Temple in Ratanpur, dedicating it to the patron goddess of the dynasty.","रत्नदेव प्रथम को न केवल रतनपुर की स्थापना के लिए बल्कि उनके अपार स्थापत्य योगदान के लिए भी मनाया जाता है। 11वीं शताब्दी में, उन्होंने रतनपुर में प्रतिष्ठित महामाया मंदिर का निर्माण किया, इसे राजवंश की संरक्षक देवी को समर्पित किया।"
"Ratnadeva I consolidated his political power by marrying Nonalladevi, a princess from a local ruling family. She was the daughter of Vajjuka, the ruler of which specific region?","रत्नदेव प्रथम ने एक स्थानीय शासक परिवार की राजकुमारी नोनल्ला देवी से विवाह करके अपनी राजनीतिक शक्ति को मजबूत किया। वह किस विशिष्ट क्षेत्र के शासक वज्जूक की पुत्री थी?","Komomandal","कोमोमंडल","Bastar Mandal","बस्तर मंडल","Kakaladesh","ककलदेश","Vengi Mandal","वेंगी मंडल","1","To strengthen his kingdom's borders and forge local alliances, Ratnadeva I married Nonalladevi. She was the daughter of Vajjuka, a brave local chief who ruled the Komomandal territory (modern Pendra-Gaurela region) in Chhattisgarh.","अपने राज्य की सीमाओं को मजबूत करने और स्थानीय गठबंधन बनाने के लिए, रत्नदेव प्रथम ने नोनल्ला देवी से विवाह किया। वह वज्जूक की पुत्री थी, जो एक बहादुर स्थानीय प्रमुख था जिसने छत्तीसगढ़ में कोमोमंडल क्षेत्र (आधुनिक पेंड्रा-गौरेला क्षेत्र) पर शासन किया था।"
"Assertion (A): The Kalchuri kings of Ratanpur proudly referred to themselves as 'Haihayavanshis' in their official inscriptions.

Reason (R): They traced their mythological and ancestral lineage back to King Kartavirya Arjuna (Sahasrarjuna) of the Haihaya dynasty.

Choose the correct code:","कथन (A): रतनपुर के कलचुरी राजाओं ने अपने आधिकारिक शिलालेखों में गर्व से खुद को 'हैहयवंशी' कहा है।

कारण (R): उन्होंने अपने पौराणिक और पैतृक वंश का संबंध हैहय वंश के राजा कार्तवीर्य अर्जुन (सहस्रार्जुन) से जोड़ा।

सही कूट चुनिए:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is NOT the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","The assertion is perfectly true; the Kalchuris of Chhattisgarh are synonymous with Haihayavanshis. The reason accurately explains this nomenclature, as they believed their ultimate ancestor was the Puranic king Kartavirya Arjuna (Sahasrarjuna) of the Haihaya lineage.","कथन पूर्णतः सत्य है; छत्तीसगढ़ के कलचुरी हैहयवंशियों के पर्याय हैं। कारण इस नामकरण की सटीक व्याख्या करता है, क्योंकि उनका मानना था कि उनके अंतिम पूर्वज हैहय वंश के पौराणिक राजा कार्तवीर्य अर्जुन (सहस्रार्जुन) थे।"
"Which of the following temples was NOT built by Ratnadeva I in his former capital city of Tumman before shifting to Ratanpur?","अपनी पूर्व राजधानी तुम्माण से रतनपुर स्थानांतरित होने से पहले रत्नदेव प्रथम द्वारा निम्नलिखित में से कौन सा मंदिर नहीं बनवाया गया था?","Bankeshwar Mahadev Temple","बंकेश्वर महादेव मंदिर","Ratneshwar Temple","रत्नेश्वर मंदिर","Vankeshwar Temple","वंकेश्वर मंदिर","Prithvideveshwar Temple","पृथ्वीदेवेश्वर मंदिर","4","Ratnadeva I constructed the Bankeshwar, Ratneshwar, and Vankeshwar temples in Tumman, adorning his first capital with numerous shrines and mango orchards. The Prithvideveshwar Temple, however, was built later by his son, Prithvideva I.","रत्नदेव प्रथम ने तुम्माण में बंकेश्वर, रत्नेश्वर और वंकेश्वर मंदिरों का निर्माण किया, अपनी पहली राजधानी को तुम्माण में कई तीर्थस्थलों और आम के बागों से सजाया। हालाँकि, पृथ्वीदेवेश्वर मंदिर का निर्माण बाद में उनके पुत्र पृथ्वीदेव प्रथम द्वारा किया गया था।"
