National and International Current Affairs (January 2026) - Part 2
राष्ट्रीय/अंतर्राष्ट्रीय समसामयिकी जनवरी 2026 भाग-2
This advanced quiz forms Part-2 of the January 2026 current affairs set, strictly aligned with the CGPSC Prelims standard. It tests deep factual knowledge on national schemes, defense tech, international summits, and key indices.
यह उन्नत क्विज़ जनवरी 2026 की समसामयिकी सेट का भाग-2 है, जो पूरी तरह से सीजीपीएससी प्रारंभिक परीक्षा के मानक पर आधारित है। यह राष्ट्रीय योजनाओं, रक्षा तकनीक, अंतर्राष्ट्रीय सम्मेलनों और प्रमुख सूचकांकों पर गहन तथ्यात्मक ज्ञान का परीक्षण करता है।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the Padma Awards 2026:\n\n1. A total of 131 Padma Awards were approved, including 5 Padma Vibhushan and 13 Padma Bhushan.\n\n2. Maharashtra received the highest number of awards among all states.\n\n3. 19 awards were conferred to women and 16 were given posthumously.\n\nWhich of the statements given above are correct?","पद्म पुरस्कार 2026 के संदर्भ में निम्नलिखित कथनों पर विचार करें:\n\n1. कुल 131 पद्म पुरस्कारों को मंजूरी दी गई, जिसमें 5 पद्म विभूषण और 13 पद्म भूषण शामिल हैं।\n\n2. सभी राज्यों में महाराष्ट्र को सबसे अधिक पुरस्कार प्राप्त हुए।\n\n3. 19 पुरस्कार महिलाओं को प्रदान किए गए और 16 मरणोपरांत दिए गए।\n\nउपरोक्त कथनों में से कौन से सही हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All three statements are correct. Out of 131 awards, Maharashtra topped with 15 awards. The list included 19 women, 6 foreigners/NRIs, and 16 posthumous awardees.","तीनों कथन सही हैं। 131 पुरस्कारों में से, महाराष्ट्र 15 पुरस्कारों के साथ शीर्ष पर रहा। सूची में 19 महिलाएं, 6 विदेशी/एनआरआई और 16 मरणोपरांत पुरस्कार विजेता शामिल थे।"
"'Operation Megaburu', frequently mentioned in the news in January 2026, is related to:","जनवरी 2026 में अक्सर समाचारों में रहा 'ऑपरेशन मेगाबुरू' किससे संबंधित है?","A large-scale anti-Maoist operation in the Saranda forest of Jharkhand.","झारखंड के सारंडा जंगल में एक बड़े पैमाने पर माओवाद विरोधी अभियान।","An evacuation mission for Indian citizens stranded in Iran.","ईरान में फंसे भारतीय नागरिकों के लिए एक निकासी मिशन।","A crackdown on organized gangster networks by Punjab Police.","पंजाब पुलिस द्वारा संगठित गैंगस्टर नेटवर्क पर कार्रवाई।","A joint military exercise between India and South Africa.","भारत और दक्षिण अफ्रीका के बीच एक संयुक्त सैन्य अभ्यास।",1,"Operation Megaburu was a massive anti-Maoist offensive conducted by CRPF and Jharkhand Police in the Saranda forest of West Singhbhum district. Operation Swadesh was for Iran, and Prahaar was for gangsters.","ऑपरेशन मेगाबुरू पश्चिम सिंहभूम जिले के सारंडा जंगल में सीआरपीएफ और झारखंड पुलिस द्वारा चलाया गया एक व्यापक माओवाद विरोधी अभियान था। ऑपरेशन स्वदेश ईरान के लिए था, और प्रहार गैंगस्टरों के लिए था।"
"Which state recently declared the Aralam Wildlife Sanctuary as its first official Butterfly Sanctuary in January 2026?","किस राज्य ने हाल ही में जनवरी 2026 में अरालम वन्यजीव अभयारण्य को अपना पहला आधिकारिक तितली अभयारण्य घोषित किया?","Karnataka","कर्नाटक","Kerala","केरल","Tamil Nadu","तमिलनाडु","Maharashtra","महाराष्ट्र",2,"Kerala declared the Aralam Wildlife Sanctuary, located in the Kannur district, as its first dedicated Butterfly Sanctuary, hosting over 81% of the state's butterfly species.","केरल ने कन्नूर जिले में स्थित अरालम वन्यजीव अभयारण्य को अपना पहला समर्पित तितली अभयारण्य घोषित किया, जो राज्य की 81% से अधिक तितली प्रजातियों की मेजबानी करता है।"
"Assertion (A): In January 2026, India became the first country in the world to commercially produce bio-bitumen for road construction.\n\nReason (R): Bio-bitumen is primarily extracted from deep-sea crude oil reserves to reduce dependency on imported petroleum.\n\nCodes:","कथन (A): जनवरी 2026 में, भारत सड़क निर्माण के लिए व्यावसायिक रूप से बायो-बिटुमेन (bio-bitumen) का उत्पादन करने वाला दुनिया का पहला देश बन गया।\n\nकारण (R): आयातित पेट्रोलियम पर निर्भरता कम करने के लिए बायो-बिटुमेन मुख्य रूप से गहरे समुद्र के कच्चे तेल के भंडार से निकाला जाता है।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is not the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है",3,"A is true. R is false because bio-bitumen is an eco-friendly alternative produced from agricultural residue (lignin), not from crude oil.","कथन A सत्य है। कारण R असत्य है क्योंकि बायो-बिटुमेन कृषि अवशेषों (लिग्निन) से उत्पादित एक पर्यावरण के अनुकूल विकल्प है, न कि कच्चे तेल से।"
"Which of the following statements is NOT correct regarding the National Startup Day and Startup India initiative?","राष्ट्रीय स्टार्टअप दिवस और स्टार्टअप इंडिया पहल के संबंध में निम्नलिखित में से कौन सा कथन सही नहीं है?","National Startup Day is celebrated annually on 16th January.","राष्ट्रीय स्टार्टअप दिवस प्रतिवर्ष 16 जनवरी को मनाया जाता है।","The Startup India initiative completed its 10th anniversary in January 2026.","स्टार्टअप इंडिया पहल ने जनवरी 2026 में अपनी 10वीं वर्षगांठ पूरी की।","The revised definition of a startup caps the annual turnover limit at ₹100 crore.","स्टार्टअप की संशोधित परिभाषा वार्षिक टर्नओवर सीमा को ₹100 करोड़ तक सीमित करती है।","Startups are officially recognized by the Department for Promotion of Industry and Internal Trade (DPIIT).","स्टार्टअप्स को आधिकारिक तौर पर उद्योग और आंतरिक व्यापार संवर्धन विभाग (DPIIT) द्वारा मान्यता प्राप्त है।",3,"The definition of a startup was revised in the 2026 Budget, extending the annual turnover limit from ₹100 crore to ₹200 crore. Hence, option C is incorrect.","2026 के बजट में स्टार्टअप की परिभाषा को संशोधित किया गया, जिससे वार्षिक टर्नओवर की सीमा ₹100 करोड़ से बढ़ाकर ₹200 करोड़ कर दी गई। अतः विकल्प C गलत है।"
"The 'Ulgam Ungal Kaiyil' scheme, which aims to promote digital education by distributing free laptops to students, is implemented by which state government?","डिजिटल शिक्षा को बढ़ावा देने के उद्देश्य से छात्रों को मुफ्त लैपटॉप वितरित करने वाली 'उल्गम उंगल कैयिल' (Ulgam Ungal Kaiyil) योजना किस राज्य सरकार द्वारा लागू की गई है?","Kerala","केरल","Tamil Nadu","तमिलनाडु","Andhra Pradesh","आंध्र प्रदेश","Telangana","तेलंगाना",2,"The 'Ulgam Ungal Kaiyil' scheme is a digital education initiative implemented by the Tamil Nadu government to distribute free laptops to students.","'उल्गम उंगल कैयिल' योजना छात्रों को मुफ्त लैपटॉप वितरित करने के लिए तमिलनाडु सरकार द्वारा लागू की गई एक डिजिटल शिक्षा पहल है।"
"What is 'ASC Arjun', recently introduced by Indian Railways at the Visakhapatnam railway station?","विशाखापत्तनम रेलवे स्टेशन पर भारतीय रेलवे द्वारा हाल ही में पेश किया गया 'एएससी अर्जुन' (ASC Arjun) क्या है?","A Kavach 4.0 enabled anti-collision device","एक कवच 4.0 सक्षम एंटी-टकराव उपकरण","India's first hydrogen-powered locomotive","भारत का पहला हाइड्रोजन-संचालित लोकोमोटिव","A humanoid robot deployed to assist passengers","यात्रियों की सहायता के लिए तैनात एक ह्यूमनॉइड रोबोट","A centralized AI ticketing portal","एक केंद्रीकृत एआई टिकटिंग पोर्टल",3,"ASC Arjun is Indian Railways' first humanoid robot deployed by the RPF at Visakhapatnam railway station to assist passengers with security and queries.","ASC Arjun भारतीय रेलवे का पहला ह्यूमनॉइड रोबोट है जिसे RPF द्वारा विशाखापत्तनम रेलवे स्टेशन पर यात्रियों को सुरक्षा और पूछताछ में सहायता के लिए तैनात किया गया है।"
"India's first Urban Night Safari is being established in which of the following forest areas?","भारत की पहली अर्बन नाइट सफारी निम्नलिखित में से किस वन क्षेत्र में स्थापित की जा रही है?","Kukrail Forest Area, Uttar Pradesh","कुकरैल वन क्षेत्र, उत्तर प्रदेश","Saranda Forest Area, Jharkhand","सारंडा वन क्षेत्र, झारखंड","Sanjay Gandhi National Park, Maharashtra","संजय गांधी राष्ट्रीय उद्यान, महाराष्ट्र","Guindy National Park, Tamil Nadu","गिंडी राष्ट्रीय उद्यान, तमिलनाडु",1,"India's first Urban Night Safari is being established at the Kukrail Forest Area located on the outskirts of Lucknow, Uttar Pradesh.","भारत की पहली अर्बन नाइट सफारी उत्तर प्रदेश में लखनऊ के बाहरी इलाके में स्थित कुकरैल वन क्षेत्र में स्थापित की जा रही है।"
"A new species named 'Kalamaria mizoramensis', discovered in January 2026 in Mizoram, belongs to which category of fauna?","मिजोरम में जनवरी 2026 में खोजी गई 'कलामरिया मिज़ोरमेंसिस' (Kalamaria mizoramensis) नामक नई प्रजाति जीवों की किस श्रेणी से संबंधित है?","Jumping spider","कूदने वाली मकड़ी (Jumping spider)","Reed snake","रीड स्नेक (Reed snake)","Tree frog","ट्री फ्रॉग (Tree frog)","Gliding lizard","ग्लाइडिंग छिपकली (Gliding lizard)",2,"'Kalamaria mizoramensis' is a newly discovered species of reed snake found in Mizoram, contributing to the rich biodiversity record of the region.","'कलामरिया मिज़ोरमेंसिस' मिजोरम में खोजी गई रीड स्नेक (सांप) की एक नई प्रजाति है, जो इस क्षेत्र के समृद्ध जैव विविधता रिकॉर्ड में योगदान देती है।"
"'Operation Prahaar', a 72-hour special operation launched in January 2026, was aimed at dismantling organized gangster networks in which state?","जनवरी 2026 में शुरू किए गए 72 घंटे के विशेष अभियान 'ऑपरेशन प्रहार' का उद्देश्य किस राज्य में संगठित गैंगस्टर नेटवर्क को नष्ट करना था?","Haryana","हरियाणा","Uttar Pradesh","उत्तर प्रदेश","Punjab","पंजाब","Rajasthan","राजस्थान",3,"Operation Prahaar was a massive 72-hour anti-gangster crackdown launched by the Punjab Police to target and dismantle the entire organized crime ecosystem in the state.","ऑपरेशन प्रहार राज्य में संपूर्ण संगठित अपराध पारिस्थितिकी तंत्र को लक्षित करने और उसे नष्ट करने के लिए पंजाब पुलिस द्वारा शुरू की गई 72 घंटे की व्यापक गैंगस्टर-विरोधी कार्रवाई थी।"
