Quiz Title (English)
Civil Disobedience Movement: The Jungle Satyagrahas (Rudri, Tamora)

Quiz Title (Hindi)
सविनय अवज्ञा आंदोलन: जंगल सत्याग्रह (रुद्री, तमोरा)

Quiz Description (English)
Test your deep understanding of the Jungle Satyagrahas in Chhattisgarh during the Civil Disobedience Movement (1930). This quiz covers critical events at Rudri Navagaon, Tamora, Gattasilli, and other localized forest protests, focusing on precise dates, leaders, and unique local incidents.

Quiz Description (Hindi)
सविनय अवज्ञा आंदोलन (1930) के दौरान छत्तीसगढ़ में हुए जंगल सत्याग्रहों पर अपनी गहरी समझ का परीक्षण करें। यह क्विज रुद्री नवागांव, तमोरा, गट्टासिल्ली और अन्य स्थानीय वन विरोध प्रदर्शनों की सटीक तिथियों, नेताओं और प्रमुख घटनाओं पर केंद्रित है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"When did the Rudri Navagaon Jungle Satyagraha officially begin during the Civil Disobedience Movement?","सविनय अवज्ञा आंदोलन के दौरान रुद्री नवागांव जंगल सत्याग्रह आधिकारिक रूप से कब शुरू हुआ था?","24 July 1930","24 जुलाई 1930","22 August 1930","22 अगस्त 1930","9 September 1930","9 सितंबर 1930","7 October 1930","7 अक्टूबर 1930",2,"The Rudri Navagaon Jungle Satyagraha in Dhamtari officially began on 22 August 1930 under the leadership of Narayanrao Meghawale, Babu Chhotelal Shrivastava, and Natthuji Jagtap.","धमतरी में रुद्री नवागांव जंगल सत्याग्रह आधिकारिक रूप से 22 अगस्त 1930 को नारायणराव मेघावाले, बाबू छोटेलाल श्रीवास्तव और नत्थूजी जगताप के नेतृत्व में शुरू हुआ था।"
"Which two individuals were martyred due to police firing during the Rudri Navagaon Jungle Satyagraha?","रुद्री नवागांव जंगल सत्याग्रह के दौरान पुलिस फायरिंग के कारण कौन से दो व्यक्ति शहीद हो गए थे?","Sindhu Kumar and Ralu","सिंधु कुमार और रलू","Ramadhin Gond and Pancham Singh","रामाधीन गोंड और पंचम सिंह","Shyamlal Gond and Anand Gond","श्यामलाल गोंड और आनंद गोंड","Mukunda and Ajit Rawat","मुकुंदा और अजीत रावत",1,"During the Rudri Navagaon Satyagraha, the police resorted to lathi charge and bullet firing to disperse the massive crowd, resulting in the martyrdom of Sindhu Kumar and Ralu.","रुद्री नवागांव सत्याग्रह के दौरान, विशाल भीड़ को तितर-बितर करने के लिए पुलिस ने लाठीचार्ज और गोलीबारी की, जिसके परिणामस्वरूप सिंधु कुमार और रलू शहीद हो गए।"
"In which Jungle Satyagraha did a young girl named Dayavati courageously slap a British SDO who was blocking the path of female satyagrahis?","किस जंगल सत्याग्रह में दयावती नामक एक युवा लड़की ने महिला सत्याग्रहियों का रास्ता रोक रहे एक ब्रिटिश एसडीओ को साहसपूर्वक तमाचा मारा था?","Gattasilli","गट्टासिल्ली","Labhra","लभरा","Tamora","तमोरा","Bandhakhar","बाधाखार",3,"During the Tamora Jungle Satyagraha (Mahasamund), a large crowd of around 10,000 gathered. A girl named Dayavati slapped the British SDO who tried to block the path of the female satyagrahis.","तमोरा जंगल सत्याग्रह (महासमुंद) के दौरान लगभग 10,000 लोगों की भीड़ जमा हो गई थी। दयावती नामक लड़की ने महिला सत्याग्रहियों का रास्ता रोकने का प्रयास करने वाले ब्रिटिश एसडीओ को तमाचा मारा था।"
"Match List-I (Jungle Satyagraha) with List-II (Key Leader):\n\nList-I\n(a) Labhra\n(b) Pondigaon-Sipat\n(c) Pakariya\n(d) Bemetara\n\nList-II\n(i) Ayodhya Prasad Jain\n(ii) Vishwanath Tamaskar\n(iii) Arimardan Giri\n(iv) Ramadhar Dubey\n\nCodes:","सूची-I (जंगल सत्याग्रह) को सूची-II (प्रमुख नेता) के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) लभरा\n(b) पोंड़ीगांव-सीपत\n(c) पकरिया\n(d) बेमेतरा\n\nसूची-II\n(i) अयोध्या प्रसाद जैन\n(ii) विश्वनाथ तामस्कर\n(iii) अरिमर्दन गिरी\n(iv) रामाधार दुबे\n\nकूट:","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-iv, b-iii, c-ii, d-i","a-iv, b-iii, c-ii, d-i","a-iii, b-i, c-iv, d-ii","a-iii, b-i, c-iv, d-ii","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii",1,"Labhra was led by Arimardan Giri, Pondigaon-Sipat by Ramadhar Dubey, Pakariya by Ayodhya Prasad Jain, and Bemetara by Vishwanath Tamaskar.","लभरा का नेतृत्व अरिमर्दन गिरी ने, पोंड़ीगांव-सीपत का रामाधार दुबे ने, पकरिया का अयोध्या प्रसाद जैन ने और बेमेतरा का विश्वनाथ तामस्कर ने किया था।"
"During the Gattasilli Jungle Satyagraha (June 1930), what severe and brutal measure did the police take against the leaders who lay down in front of the Kanji House?","गट्टासिल्ली जंगल सत्याग्रह (जून 1930) के दौरान, कांजी हाउस के सामने लेट गए नेताओं के खिलाफ पुलिस ने क्या कठोर और क्रूर कदम उठाया था?","Whipped them 50 times in public","सार्वजनिक रूप से उन्हें 50 कोड़े मारे","Poured boiling hot water on them","उन पर खौलता हुआ गर्म पानी डाला","Sentenced them to Kala Pani","उन्हें काला पानी की सजा दी","Confiscated all their ancestral properties","उनकी सभी पैतृक संपत्तियों को जब्त कर लिया",2,"When the leaders lay down in front of the Kanji House demanding the release of the cattle, the British police inhumanely poured boiling hot water on them to force them to move.","जब नेता मवेशियों की रिहाई की मांग करते हुए कांजी हाउस के सामने लेट गए, तो ब्रिटिश पुलिस ने उन्हें वहां से हटाने के लिए अमानवीय रूप से उन पर खौलता हुआ गर्म पानी डाला।"
"What was the primary trigger for the Gattasilli Jungle Satyagraha in June 1930?","जून 1930 में गट्टासिल्ली जंगल सत्याग्रह का प्राथमिक कारण क्या था?","Increase in the annual grazing tax","वार्षिक चराई कर में वृद्धि","Imprisonment of 800 cattle in Kanji House for grazing in reserved forests","आरक्षित वनों में चरने के आरोप में 800 मवेशियों को कांजी हाउस में बंद करना","Ban on collecting Tendu leaves for local tribals","स्थानीय आदिवासियों के लिए तेंदूपत्ता इकट्ठा करने पर प्रतिबंध","The sudden arrest of Mahatma Gandhi","महात्मा गांधी की अचानक गिरफ्तारी",2,"The British authorities impounded around 800 cattle belonging to the villagers in the Kanji House for grazing in the reserved forest, which triggered the Gattasilli Jungle Satyagraha to free the animals.","ब्रिटिश अधिकारियों ने आरक्षित वन में चरने के आरोप में ग्रामीणों के लगभग 800 मवेशियों को कांजी हाउस में बंद कर दिया था, जिसके कारण जानवरों को मुक्त कराने के लिए गट्टासिल्ली जंगल सत्याग्रह शुरू हुआ।"
"Which of the following Jungle Satyagrahas was organized in 1939 under the State Congress, leading to the martyrdom of Ramadhin Gond?","निम्नलिखित में से कौन सा जंगल सत्याग्रह 1939 में स्टेट कांग्रेस के तहत आयोजित किया गया था, जिसमें रामाधीन गोंड शहीद हो गए थे?","Chhuikhadan","छुईखदान","Badratola","बदराटोला","Tanvat","तानवट","Sarangarh","सारंगढ़",2,"The Badratola Jungle Satyagraha in Rajnandgaon took place on 21 January 1939. Ramadhin Gond was martyred during this protest.","राजनांदगांव में बदराटोला जंगल सत्याग्रह 21 जनवरी 1939 को हुआ था। इस विरोध प्रदर्शन के दौरान रामाधीन गोंड शहीद हो गए थे।"
"Arrange the following Jungle Satyagrahas of 1930 in chronological order:\n\n1. Tamora\n2. Gattasilli\n3. Rudri Navagaon\n4. Mohbana-Pondi\n\nChoose the correct sequence:","1930 के निम्नलिखित जंगल सत्याग्रहों को कालक्रमानुसार व्यवस्थित कीजिए:\n\n1. तमोरा\n2. गट्टासिल्ली\n3. रुद्री नवागांव\n4. मोहबना-पोंडी\n\nसही क्रम का चयन कीजिए:","1-2-3-4","1-2-3-4","2-4-3-1","2-4-3-1","2-3-4-1","2-3-4-1","4-2-1-3","4-2-1-3",2,"Chronological order: Gattasilli (June 1930), Mohbana-Pondi (24 July 1930), Rudri Navagaon (22 August 1930), and Tamora (9 September 1930).","सही कालक्रम: गट्टासिल्ली (जून 1930), मोहबना-पोंडी (24 जुलाई 1930), रुद्री नवागांव (22 अगस्त 1930), और तमोरा (9 सितंबर 1930)।"
"Who among the following was officially appointed as the 'Dictator' of the Tamora Jungle Satyagraha (September 1930), despite it being prominently led by Yati Yatan Lal Jain?","तमोरा जंगल सत्याग्रह (सितंबर 1930) का प्रमुख रूप से यति यतन लाल जैन द्वारा नेतृत्व किए जाने के बावजूद, निम्नलिखित में से किसे आधिकारिक तौर पर इसका 'डिक्टेटर' (अधिनायक) नियुक्त किया गया था?","Shankar Rao Ganodwale","शंकर राव गणोदवाले","Bhagwati Prasad Mishra","भगवती प्रसाद मिश्र","Arimardan Giri","अरिमर्दन गिरी","Narayanrao Meghawale","नारायणराव मेघावाले",3,"While Yati Yatan Lal Jain, Shankar Rao Ganodwale, and Bhagwati Prasad Mishra were the main leaders, Arimardan Giri was specifically appointed as the 'Dictator' of the Tamora Jungle Satyagraha.","यद्यपि यति यतन लाल जैन, शंकर राव गणोदवाले और भगवती प्रसाद मिश्र मुख्य नेता थे, फिर भी अरिमर्दन गिरी को विशेष रूप से तमोरा जंगल सत्याग्रह का 'डिक्टेटर' नियुक्त किया गया था।"
"The Labhra Jungle Satyagraha in Mahasamund (8 September 1930) was entirely a tribal revolt primarily organized by which specific tribe, featuring local leaders like Firturam and Manglu?","महासमुंद में लभरा जंगल सत्याग्रह (8 सितंबर 1930) पूरी तरह से एक आदिवासी विद्रोह था जो मुख्य रूप से किस विशिष्ट जनजाति द्वारा आयोजित किया गया था, जिसमें फिरतूराम और मंगलू जैसे स्थानीय नेता शामिल थे?","Halba","हल्बा","Gond","गोंड","Kanwar","कंवर","Baiga","बैगा",2,"The Labhra Jungle Satyagraha was fully organized and led by the Gond tribe. Prominent tribal leaders included Anand Gond, Shyamlal Gond, Firturam Gond, and Manglu Gond.","लभरा जंगल सत्याग्रह पूरी तरह से गोंड जनजाति द्वारा आयोजित और नेतृत्व किया गया था। प्रमुख आदिवासी नेताओं में आनंद गोंड, श्यामलाल गोंड, फिरतूराम गोंड और मंगलू गोंड शामिल थे।"
