Quiz Title (English)
Tribal Uprisings: The Bhumkal Rebellion of 1910

Quiz Title (Hindi)
जनजातीय विद्रोह: 1910 का भूमकाल विद्रोह

Quiz Description (English)
A highly specific 30-question master quiz targeting the historic Bhumkal Rebellion of 1910 in Bastar. It tests microscopic details including covert symbols, exact chronologies of market lootings, British military interventions, and the roles of key figures like Gunda Dhur and Lal Kalindra Singh.

Quiz Description (Hindi)
बस्तर में 1910 के ऐतिहासिक भूमकाल विद्रोह पर केंद्रित 30 प्रश्नों का एक अत्यधिक विशिष्ट मास्टर क्विज। यह गुप्त प्रतीकों, बाजार की लूट के सटीक कालक्रम, ब्रिटिश सैन्य हस्तक्षेप और गुंडाधुर तथा लाल कालिंद्र सिंह जैसी प्रमुख हस्तियों की भूमिकाओं सहित सूक्ष्म विवरणों का परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Gunda Dhur, the principal military leader who spearheaded the Bhumkal Rebellion of 1910, belonged to which specific tribe and held the Zamindari of which village?","1910 के भूमकाल विद्रोह का नेतृत्व करने वाले प्रमुख सैन्य नेता गुंडाधुर किस विशिष्ट जनजाति से संबंधित थे और किस गांव के जमींदार थे?","Halba tribe, Paralkot","हल्बा जनजाति, परलकोट","Dhurwa tribe, Nethanar","धुर्वा जनजाति, नेतानार","Bison Horn Maria tribe, Geedam","बाइसन हॉर्न माड़िया जनजाति, गीदम","Bhatra tribe, Pushpal","भतरा जनजाति, पुसपाल","2","According to historical records, Gunda Dhur belonged to the Dhurwa tribe and was the Zamindar of Nethanar (Neganar). He was appointed as the main leader of the rebellion by Lal Kalindra Singh and Rani Suvarna Kunwar.","ऐतिहासिक अभिलेखों के अनुसार, गुंडाधुर धुर्वा जनजाति के थे और नेतानार (नेगानार) के जमींदार थे। उन्हें लाल कालिंद्र सिंह और रानी सुवर्ण कुंवर द्वारा विद्रोह के मुख्य नेता के रूप में नियुक्त किया गया था।"
"Which of the following sets of items was utilized by the tribal rebels of the Bhumkal Rebellion (1910) for covert communication and mass mobilization across Bastar?","1910 के भूमकाल विद्रोह के आदिवासी विद्रोहियों द्वारा पूरे बस्तर में गुप्त संचार और जन लामबंदी के लिए निम्नलिखित में से किस वस्तु समूह का उपयोग किया गया था?","Mango branches and salt lumps","आम की टहनी और नमक के ढेले","Red chillies, mango branches, earth lumps, and bow-arrows","लाल मिर्च, आम की टहनी, मिट्टी के ढेले और धनुष-बाण","Sal tree branches and red cloth","साल वृक्ष की टहनी और लाल कपड़ा","Dhauda tree branches and red chillies","धावड़ा वृक्ष की टहनी और लाल मिर्च","2","The rebels communicated the call to arms systematically by circulating specific symbols from village to village: red chillies, a mango branch, a lump of earth, and a bow and arrow.","विद्रोहियों ने गांव-गांव में विशिष्ट प्रतीकों को घुमाकर व्यवस्थित रूप से सशस्त्र विद्रोह का आह्वान किया: लाल मिर्च, आम की टहनी, मिट्टी का ढेला और धनुष-बाण।"
"Consider the following statements regarding the underlying causes of the Bhumkal Rebellion (1910):\n\n1. The creation of three new Reserved Forest areas in 1907 severely restricted tribal access to forest produce.\n2. The administration forced parents to send their children to newly opened schools, effectively reducing essential working hands.\n3. The imposition of the exploitative 'Bisaha' practice forced tribals to surrender their goods without any payment.\n\nChoose the correct answer:","भूमकाल विद्रोह (1910) के अंतर्निहित कारणों के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. 1907 में तीन नए आरक्षित वन क्षेत्रों के निर्माण ने वनोपज तक आदिवासी पहुंच को गंभीर रूप से प्रतिबंधित कर दिया।\n2. प्रशासन ने माता-पिता को अपने बच्चों को नए खुले स्कूलों में भेजने के लिए मजबूर किया, जिससे आवश्यक काम करने वाले हाथों में कमी आई।\n3. शोषक 'बिसहा' प्रथा को लागू करने से आदिवासियों को बिना किसी भुगतान के अपना सामान सौंपने के लिए मजबूर होना पड़ा।\n\nसही कथन चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","4","All three statements are documented core causes of the Bhumkal uprising. The tribals were deeply oppressed by the rapid forest reservation, forced schooling (tangaana), and the unpaid forced acquisition of goods (Bisaha).","तीनों कथन भूमकाल विद्रोह के प्रलेखित मुख्य कारण हैं। आदिवासी तेजी से वन आरक्षण, जबरन स्कूली शिक्षा (तंगाना) और माल के अवैतनिक जबरन अधिग्रहण (बिसहा) से गहराई से उत्पीड़ित थे।"
"The autocracy and oppressive policies of which specific Diwan, appointed in Bastar, served as the primary target of tribal anger during the Bhumkal Rebellion?","बस्तर में नियुक्त किस विशिष्ट दीवान की निरंकुशता और दमनकारी नीतियां भूमकाल विद्रोह के दौरान आदिवासी क्रोध का प्राथमिक लक्ष्य बनीं?","Gopinath Kapardar","गोपीनाथ कपड़दार","Panda Baijnath","पंडा बैजनाथ","Dinanath","दीनानाथ","Jagbandhu","जगबंधु","2","Diwan Panda Baijnath's oppressive administrative measures, including strict forest laws and forced labor (begar), made him the central target of the rebels. The movement was essentially a 'Remove Diwan, Save Bastar' agitation.","दीवान पंडा बैजनाथ के दमनकारी प्रशासनिक उपायों, जिनमें सख्त वन कानून और जबरन श्रम (बेगार) शामिल थे, ने उन्हें विद्रोहियों का केंद्रीय लक्ष्य बना दिया। यह आंदोलन मूलतः 'दीवान हटाओ, बस्तर बचाओ' आंदोलन था।"
"On which exact date and with what specific event did the Bhumkal Rebellion of 1910 officially commence?","1910 का भूमकाल विद्रोह किस निश्चित तिथि को और किस विशिष्ट घटना के साथ आधिकारिक तौर पर शुरू हुआ?","10 January 1910, by besieging the Jagdalpur Palace","10 जनवरी 1910, जगदलपुर महल की घेराबंदी करके","4 February 1910, by looting the Kukanar Bazar","4 फरवरी 1910, कुकानार बाजार को लूटकर","2 February 1910, by looting the Pushpal Bazar","2 फरवरी 1910, पुसपाल बाजार को लूटकर","16 February 1910, by attacking the British regiment","16 फरवरी 1910, ब्रिटिश रेजिमेंट पर हमला करके","3","The massive Bhumkal Rebellion officially broke out on 2 February 1910 when the tribal rebels violently looted the Pushpal Bazar, initiating a chain of coordinated market lootings across Bastar.","विशाल भूमकाल विद्रोह आधिकारिक तौर पर 2 फरवरी 1910 को भड़क उठा जब आदिवासी विद्रोहियों ने पुसपाल बाजार को हिंसक रूप से लूट लिया, जिससे पूरे बस्तर में समन्वित बाजार लूटपाट की एक श्रृंखला शुरू हो गई।"
"On 7 February 1910, the tribal rebels held a secret meeting and officially declared the establishment of 'Muriya Raj'. In which town did this pivotal gathering occur?","7 फरवरी 1910 को, आदिवासी विद्रोहियों ने एक गुप्त बैठक की और आधिकारिक तौर पर 'मुड़िया राज' की स्थापना की घोषणा की। यह महत्वपूर्ण सभा किस शहर में हुई थी?","Kondagaon","कोंडागांव","Geedam","गीदम","Kukanar","कुकानार","Barsur","बारसूर","2","According to the exact timeline of the revolt, the tribal leaders convened a secret mass assembly at Geedam on 7 February 1910, where they formally declared the establishment of an independent 'Muriya Raj'.","विद्रोह की सटीक समयरेखा के अनुसार, आदिवासी नेताओं ने 7 फरवरी 1910 को गीदम में एक गुप्त जनसभा बुलाई, जहां उन्होंने औपचारिक रूप से एक स्वतंत्र 'मुड़िया राज' की स्थापना की घोषणा की।"
"Who among the following local figures acted as a British informer (Mukhabir) and betrayed the strategic plans of the rebels during the Bhumkal Rebellion?","निम्नलिखित स्थानीय हस्तियों में से किसने ब्रिटिश मुखबिर के रूप में कार्य किया और भूमकाल विद्रोह के दौरान विद्रोहियों की रणनीतिक योजनाओं को धोखा दिया?","Somnath Dhakar","सोमनाथ धाकड़","Sonu Manjhi","सोनू मांझी","Buntu Parja","बुंटू परजा","Sukta Dhakar","सुक्ता धाकड़","2","Sonu Manjhi acted as the key informer for the British administration. His betrayal provided the British forces with critical intelligence regarding the rebels' mobilization, ultimately aiding in the brutal suppression.","सोनू मांझी ने ब्रिटिश प्रशासन के लिए मुख्य मुखबिर के रूप में कार्य किया। उनके विश्वासघात ने ब्रिटिश सेना को विद्रोहियों की लामबंदी के बारे में महत्वपूर्ण खुफिया जानकारी प्रदान की, जिससे अंततः क्रूर दमन में मदद मिली।"
"Which two British officers were primarily responsible for launching the massive military suppression of the Bhumkal rebels in 1910?","1910 में भूमकाल विद्रोहियों के बड़े पैमाने पर सैन्य दमन शुरू करने के लिए मुख्य रूप से कौन से दो ब्रिटिश अधिकारी जिम्मेदार थे?","Captain Pebe and Major Agnew","कैप्टन पेब और मेजर एगन्यू","Mac George and C. Glassfurd","मैक जॉर्ज और सी. ग्लासफर्ड","Captain Geyer and De Brett","कैप्टन गेयर और डी ब्रेड","Campbell and Charles Elliot","कैम्पबेल और चार्ल्स इलियट","3","The fierce suppression of the Bhumkal Rebellion was orchestrated by Captain Geyer and De Brett, who led heavily armed military contingents from Madras and Punjab into Bastar to crush the poorly armed tribals.","भूमकाल विद्रोह का भयंकर दमन कैप्टन गेयर और डी ब्रेड द्वारा किया गया था, जिन्होंने कम हथियारों वाले आदिवासियों को कुचलने के लिए मद्रास और पंजाब से भारी हथियारों से लैस सैन्य टुकड़ियों का बस्तर में नेतृत्व किया था।"
"During the intense phases of the Bhumkal Rebellion, the tribal warrior Hunga Manjhi displayed immense bravery against the heavily armed British forces on 16 February 1910. Where did this fierce battle take place?","भूमकाल विद्रोह के तीव्र चरणों के दौरान, आदिवासी योद्धा हुंगा मांझी ने 16 फरवरी 1910 को भारी हथियारों से लैस ब्रिटिश सेना के खिलाफ अदम्य साहस का प्रदर्शन किया। यह भयंकर युद्ध कहाँ हुआ था?","Dafanagar","डाफनगर","Ganga Muda","गंगा मुड़ा","Khadagghat (Indravati River)","खड़गघाट (इंद्रावती नदी)","Alnar","अलनार","3","On 16 February 1910, a fierce armed confrontation occurred between the rebels and the British troops at Khadagghat on the Indravati river, where Hunga Manjhi famously exhibited exceptional valor.","16 फरवरी 1910 को, इंद्रावती नदी पर खड़गघाट में विद्रोहियों और ब्रिटिश सैनिकों के बीच एक भयंकर सशस्त्र संघर्ष हुआ, जहां हुंगा मांझी ने प्रसिद्ध रूप से असाधारण वीरता का प्रदर्शन किया।"
"Which prominent tribal leader enthusiastically proclaimed to his followers during the 1910 uprising: 'The old rule has now ended, and the Muria Raj has arrived' (पहले का राज अब समाप्त हो गया, अब मुड़िया राज आ गया है)?","1910 के विद्रोह के दौरान किस प्रमुख आदिवासी नेता ने अपने अनुयायियों के सामने उत्साहपूर्वक घोषणा की: 'पहले का राज अब समाप्त हो गया, अब मुड़िया राज आ गया है'?","Lal Kalindra Singh","लाल कालिंद्र सिंह","Gunda Dhur","गुंडाधुर","Hunga Manjhi","हुंगा मांझी","Sukta Dhakar","सुक्ता धाकड़","4","Tribal leader Sukta Dhakar heavily motivated the local population to completely overthrow the existing administration and boldly proclaimed that the old regime was over and 'Muria Raj' had begun.","आदिवासी नेता सुक्ता धाकड़ ने स्थानीय आबादी को मौजूदा प्रशासन को पूरी तरह से उखाड़ फेंकने के लिए अत्यधिक प्रेरित किया और साहसपूर्वक घोषणा की कि पुरानी व्यवस्था समाप्त हो गई है और 'मुड़िया राज' शुरू हो गया है।"
