Quiz Title: Rajarshitulya Kula & Parvatadwaraka Vansh
Quiz Title (Hindi): राजर्षितुल्य कुल एवं पर्वतद्वारक वंश
Quiz Description: This quiz rigorously evaluates your knowledge of the earliest local dynasties of Chhattisgarh, specifically the Rajarshitulya Kula and Parvatadwaraka Vansh. It focuses on the Arang and Terasingha copper plates, testing strict chronological, geographical, and epigraphical facts required for CGPSC Prelims.
Quiz Description (Hindi): यह क्विज़ छत्तीसगढ़ के सबसे प्रारंभिक स्थानीय राजवंशों, विशेष रूप से राजर्षितुल्य कुल और पर्वतद्वारक वंश के आपके ज्ञान का कड़ाई से मूल्यांकन करता है। यह आरंग और तेरसिंघा ताम्रपत्रों पर केंद्रित है, जो सीजीपीएससी प्रारंभिक परीक्षा के लिए आवश्यक सख्त कालानुक्रमिक, भौगोलिक और पुरालेखीय तथ्यों का परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"The Arang copper plate, which serves as the sole epigraphical source for reconstructing the history of the Rajarshitulya Kula, was issued by which ruler?","आरंग ताम्रपत्र, जो राजर्षितुल्य कुल के इतिहास के पुनर्निर्माण के लिए एकमात्र पुरालेखीय स्रोत के रूप में कार्य करता है, किस शासक द्वारा जारी किया गया था?","Sura","शूर","Vibhishana","विभीषण","Bhimsen I","भीमसेन प्रथम","Bhimsen II","भीमसेन द्वितीय","4","The Arang copper plate was issued by Bhimsen II. It is the only historical record that provides the names of the six rulers of the Rajarshitulya Kula, establishing them as the first local dynasty of Chhattisgarh.","आरंग ताम्रपत्र भीमसेन द्वितीय द्वारा जारी किया गया था। यह एकमात्र ऐतिहासिक अभिलेख है जो राजर्षितुल्य कुल के छह शासकों के नाम प्रदान करता है, जो उन्हें छत्तीसगढ़ के प्रथम स्थानीय राजवंश के रूप में स्थापित करता है।"
"Arrange the following rulers of the Rajarshitulya Kula in their correct chronological sequence as per the unbroken genealogy of the Arang plate:\n\n1. Vibhishana\n2. Dayitavarman I\n3. Bhimsen I\n4. Sura\n\nChoose the correct code:","आरंग ताम्रपत्र की अटूट वंशावली के अनुसार राजर्षितुल्य कुल के निम्नलिखित शासकों को उनके सही कालानुक्रमिक क्रम में व्यवस्थित करें:\n\n1. विभीषण\n2. दयितवर्मन प्रथम\n3. भीमसेन प्रथम\n4. शूर\n\nसही कूट चुनें:","4, 1, 2, 3","4, 1, 2, 3","4, 2, 1, 3","4, 2, 1, 3","2, 4, 1, 3","2, 4, 1, 3","4, 3, 2, 1","4, 3, 2, 1","2","According to the Arang copper plate, the correct sequence of early rulers is: Sura (the founder), followed by Dayitavarman I, Vibhishana, and then Bhimsen I.","आरंग ताम्रपत्र के अनुसार, प्रारंभिक शासकों का सही क्रम है: शूर (संस्थापक), उसके बाद दयितवर्मन प्रथम, विभीषण, और फिर भीमसेन प्रथम।"
"Consider the following statements regarding the Arang Copper Plate:\n\n1. It was issued from the banks of the Suvarna (Son) river.\n2. It explicitly details the military conquests of the dynasty's commanders.\n3. It records the donation of Bhattapalli village located in Donda.\n\nChoose the correct answer:","आरंग ताम्रपत्र के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. यह सुवर्ण (सोन) नदी के तट से जारी किया गया था।\n2. यह राजवंश के कमांडरों की सैन्य विजय का स्पष्ट विवरण देता है।\n3. इसमें डोंडा में स्थित भट्टपल्ली गांव के दान का उल्लेख है।\n\nसही उत्तर चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2, and 3","1, 2, और 3","3","Statements 1 and 3 are factually correct. Statement 2 is incorrect because the Arang copper plate solely lists the genealogy of the kings and provides absolutely no information about any queens, ministers, or commanders.","कथन 1 और 3 तथ्यात्मक रूप से सही हैं। कथन 2 गलत है क्योंकि आरंग ताम्रपत्र केवल राजाओं की वंशावली को सूचीबद्ध करता है और किसी भी रानी, मंत्री या कमांडर के बारे में कोई जानकारी प्रदान नहीं करता है।"
"The historical reconstruction of the obscure Parvatadwaraka dynasty relies entirely on the Terasingha copper plate. Which king issued this inscription?","अल्पज्ञात पर्वतद्वारक वंश का ऐतिहासिक पुनर्निर्माण पूरी तरह से तेरसिंघा ताम्रपत्र पर निर्भर करता है। यह अभिलेख किस राजा ने जारी किया था?","Somnaraj","सोमनराज","Tustikar","तुष्टिकार","Nandaraj","नंदराज","Srivardhan","श्रीवर्धन","2","The Terasingha copper plate, the primary source of information for the Parvatadwaraka dynasty, was issued by King Tustikar from his capital city, Tarambhak.","पर्वतद्वारक वंश की जानकारी का प्राथमिक स्रोत, तेरसिंघा ताम्रपत्र, राजा तुष्टिकार द्वारा अपनी राजधानी तारंभक से जारी किया गया था।"
"According to the Terasingha copper plate, the rulers of the Parvatadwaraka dynasty were devout worshippers of which local deity?","तेरसिंघा ताम्रपत्र के अनुसार, पर्वतद्वारक वंश के शासक किस स्थानीय देवता के प्रबल उपासक थे?","Goddess Danteshwari","देवी दंतेश्वरी","Goddess Stambheshwari","देवी स्तम्भेश्वरी","Goddess Mahamaya","देवी महामाया","Goddess Kaustumbheshwari","देवी कौस्तुम्भेश्वरी","2","The rulers of the Parvatadwaraka dynasty were exclusively dedicated to Goddess Stambheshwari. Kaustumbheshwari was the name of King Somnaraj's mother, not the reigning deity.","पर्वतद्वारक वंश के शासक विशेष रूप से देवी स्तम्भेश्वरी के प्रति समर्पित थे। कौस्तुम्भेश्वरी राजा सोमनराज की माता का नाम था, न कि पीठासीन देवता का।"
"While the contemporary Sharabhpuriyas prominently used Gaja-Lakshmi on their royal seals, what was the specific emblem depicted on the royal seal (Rajmudra) of the Rajarshitulya Kula?","जबकि समकालीन शरभपुरीयों ने अपनी शाही मुहरों पर प्रमुखता से गज-लक्ष्मी का इस्तेमाल किया, राजर्षितुल्य कुल की शाही मुहर (राजमुद्रा) पर चित्रित विशिष्ट प्रतीक क्या था?","Garuda","गरुड़","Nandi","नंदी","Singh (Lion)","सिंह (शेर)","Varaha","वराह","3","The royal seal (Rajmudra) of the Rajarshitulya Kula uniquely featured the image of a Singh (Lion), which distinguishes their epigraphical records from the Gaja-Lakshmi seals of the Sharabhpuriyas.","राजर्षितुल्य कुल की शाही मुहर (राजमुद्रा) में विशेष रूप से सिंह (शेर) की छवि थी, जो उनके पुरालेखीय अभिलेखों को शरभपुरीयों की गज-लक्ष्मी मुहरों से अलग करती है।"
"Assertion (A): The rulers of the Rajarshitulya Kula accepted the paramount suzerainty of the Gupta Empire.\n\nReason (R): The Arang copper plate of Bhimsen II is explicitly dated in the Gupta Samvat 182 or 282.\n\nCodes:","कथन (A): राजर्षितुल्य कुल के शासकों ने गुप्त साम्राज्य की सर्वोच्च अधीनता स्वीकार की थी।\n\nकारण (R): भीमसेन द्वितीय का आरंग ताम्रपत्र स्पष्ट रूप से गुप्त संवत् 182 या 282 में दिनांकित है।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","1","The assertion is historically accurate. The reason perfectly explains it; the use of the Gupta Era (Gupta Samvat) in their official royal charter proves that they acknowledged the overarching political authority of the Guptas.","कथन ऐतिहासिक रूप से सटीक है। कारण इसे पूरी तरह से समझाता है; उनके आधिकारिक शाही चार्टर में गुप्त युग (गुप्त संवत्) का उपयोग यह साबित करता है कि उन्होंने गुप्तों के व्यापक राजनीतिक अधिकार को स्वीकार किया था।"
"As per the epigraphical records of the Parvatadwaraka dynasty, what was the name of the capital city established by King Tustikar?","पर्वतद्वारक वंश के पुरालेखीय अभिलेखों के अनुसार, राजा तुष्टिकार द्वारा स्थापित राजधानी का क्या नाम था?","Tarambhak","तारंभक","Pushkari","पुष्करी","Nandivardhana","नंदीवर्धन","Sharabhpur","शरभपुर","1","According to the Terasingha copper plate, King Tustikar, the prominent ruler of the Parvatadwaraka dynasty, ruled from his capital city named Tarambhak.","तेरसिंघा ताम्रपत्र के अनुसार, पर्वतद्वारक वंश के प्रमुख शासक राजा तुष्टिकार ने अपनी राजधानी तारंभक से शासन किया।"
"Match the following early regional dynasties of Chhattisgarh with their established founders:\n\nList-I\n(a) Rajarshitulya Kula\n(b) Parvatadwaraka Vansh\n(c) Shail Vansh\n(d) Sharabhpuriya Vansh\n\nList-II\n(i) Srivardhan\n(ii) Sura\n(iii) Sharabhraj\n(iv) Somnaraj\n\nCodes:","छत्तीसगढ़ के निम्नलिखित प्रारंभिक स्थानीय राजवंशों को उनके स्थापित संस्थापकों के साथ सुमेलित करें:\n\nसूची-I\n(a) राजर्षितुल्य कुल\n(b) पर्वतद्वारक वंश\n(c) शैल वंश\n(d) शरभपुरीय वंश\n\nसूची-II\n(i) श्रीवर्धन\n(ii) शूर\n(iii) शरभराज\n(iv) सोमनराज\n\nकूट:","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(iii), (c)-(i), (d)-(iv)","(a)-(ii), (b)-(iii), (c)-(i), (d)-(iv)","2","Sura founded the Rajarshitulya Kula. Somnaraj was the first ruler of the Parvatadwaraka dynasty. Srivardhan established the Shail dynasty. Sharabhraj was the founder of the Sharabhpuriya dynasty.","शूर ने राजर्षितुल्य कुल की स्थापना की। सोमनराज पर्वतद्वारक वंश के प्रथम शासक थे। श्रीवर्धन ने शैल वंश की स्थापना की। शरभराज शरभपुरीय वंश के संस्थापक थे।"
"The Arang copper plate of Bhimsen II records a land grant made to two Brahmins named Hariswami and Bappaswami. Which specific village was donated to them?","भीमसेन द्वितीय का आरंग ताम्रपत्र हरिस्वामी और बप्पस्वामी नामक दो ब्राह्मणों को दिए गए भूमि दान को दर्ज करता है। उन्हें कौन सा विशिष्ट गाँव दान में दिया गया था?","Keshavaka","केशवक","Bhattapalli","भट्टपल्ली","Sarkarapadra","सरकारापद्र","Sangam","संगम","2","The Arang copper plate explicitly documents that Bhimsen II donated the village of Bhattapalli (situated in the Donda region) to the Brahmins Hariswami and Bappaswami. Keshavaka and Sarkarapadra are associated with Sharabhpuriya grants.","आरंग ताम्रपत्र स्पष्ट रूप से दस्तावेज करता है कि भीमसेन द्वितीय ने ब्राह्मण हरिस्वामी और बप्पस्वामी को भट्टपल्ली गांव (डोंडा क्षेत्र में स्थित) दान में दिया था। केशवक और सरकारापद्र शरभपुरीय अनुदानों से जुड़े हैं।"
"According to the Terasingha inscription, what was the primary reason King Somnaraj of the Parvatadwaraka dynasty donated the Deobhog region?","तेरसिंघा अभिलेख के अनुसार, पर्वतद्वारक वंश के राजा सोमनराज ने देवभोग क्षेत्र को दान में देने का प्राथमिक कारण क्या था?","To celebrate a military victory over the Sharabhpuriyas.","शरभपुरीयों पर सैन्य जीत का जश्न मनाने के लिए।","Due to the severe illness of his mother, Kaustumbheshwari.","अपनी माता कौस्तुम्भेश्वरी की गंभीर बीमारी के कारण।","To mark his coronation at the capital Tarambhak.","राजधानी तारंभक में अपने राज्याभिषेक को चिह्नित करने के लिए।","To appease Goddess Stambheshwari during a solar eclipse.","सूर्य ग्रहण के दौरान देवी स्तम्भेश्वरी को प्रसन्न करने के लिए।","2","The Terasingha copper plate records a deeply personal motive; King Somnaraj donated the Deobhog territory for the recovery and spiritual merit of his mother, Rajmata Kaustumbheshwari, who had fallen severely ill.","तेरसिंघा ताम्रपत्र एक गहरे व्यक्तिगत उद्देश्य को दर्ज करता है; राजा सोमनराज ने अपनी माता, राजमाता कौस्तुम्भेश्वरी, जो गंभीर रूप से बीमार पड़ गई थीं, के स्वास्थ्य लाभ और आध्यात्मिक पुण्य के लिए देवभोग क्षेत्र का दान किया था।"
"Which specific invocation phrase marks the formal beginning of the Arang copper plate inscription of the Rajarshitulya Kula?","राजर्षितुल्य कुल के आरंग ताम्रपत्र अभिलेख की औपचारिक शुरुआत किस विशिष्ट आह्वान वाक्यांश से होती है?","Om Swasti Suvarna Nadya Sarvasadrajarshi Tulya Kul Prabhava Keetayah","आमे स्वस्ति सुवर्ण नद्या सर्वसद्राजर्षि तुल्य कुल प्रभावा कीतेः","Om Namah Shivaya Bhagvate Trikalingadhipati","ओम नमः शिवाय भगवते त्रिकलिंगाधिपति","Swasti Sri Param Bhagavat Maharajadhiraja","स्वस्ति श्री परम भागवत महाराजाधिराज","Om Swasti Mahanadya Dakshinakosaladhipati","ओम स्वस्ति महानद्या दक्षिणकोसलाधिपति","1","The Arang copper plate begins with the distinct phrase 'Om Swasti Suvarna Nadya Sarvasadrajarshi Tulya Kul Prabhava Keetayah', which indicates it was issued from the banks of the Suvarna (Son) river.","आरंग ताम्रपत्र की शुरुआत विशिष्ट वाक्यांश 'आमे स्वस्ति सुवर्ण नद्या सर्वसद्राजर्षि तुल्य कुल प्रभावा कीतेः' से होती है, जो दर्शाता है कि इसे सुवर्ण (सोन) नदी के तट से जारी किया गया था।"
"Apart from holding the title 'Maharaja', the rulers of the Rajarshitulya Kula used a distinct dynastic descriptor signifying their ascetic, saint-like lineage. What was it?","'महाराजा' की उपाधि धारण करने के अलावा, राजर्षितुल्य कुल के शासकों ने अपने तपस्वी, संत-समान वंश को दर्शाने वाले एक विशिष्ट राजवंशीय वर्णक का उपयोग किया था। वह क्या था?","Parambhagavat","परमभागवत","Rajayogi","राजयोगी","Mahapramatri","महाप्रमात्री","Sakal-Kosaladhipati","सकल-कोसलाधिपति","2","The rulers of this dynasty were referred to as 'Rajayogi' (Rajarshi-tulya, meaning kings equivalent to sages/rishis). This highlights their unique ideological alignment compared to neighboring warlike dynasties.","इस राजवंश के शासकों को 'राजयोगी' (राजर्षि-तुल्य, जिसका अर्थ है ऋषियों के समान राजा) कहा जाता था। यह पड़ोसी युद्धक राजवंशों की तुलना में उनके अद्वितीय वैचारिक संरेखण पर प्रकाश डालता है।"
"Which of the following kings does NOT belong to the six-generation unbroken genealogy of the Rajarshitulya Kula as listed in the Arang plate?","निम्नलिखित में से कौन सा राजा आरंग ताम्रपत्र में सूचीबद्ध राजर्षितुल्य कुल की छह पीढ़ियों की अटूट वंशावली से संबंधित नहीं है?","Dayitavarman I","दयितवर्मन प्रथम","Vibhishana","विभीषण","Tustikar","तुष्टिकार","Sura","शूर","3","Tustikar was the prominent ruler of the Parvatadwaraka dynasty who issued the Terasingha plate. Sura, Dayitavarman I, and Vibhishana belong strictly to the Rajarshitulya lineage.","तुष्टिकार पर्वतद्वारक वंश का प्रमुख शासक था जिसने तेरसिंघा ताम्रपत्र जारी किया था। शूर, दयितवर्मन प्रथम, और विभीषण कड़ाई से राजर्षितुल्य वंश से संबंधित हैं।"
"Which renowned historian and epigraphist posited that the Rajarshitulya Kula of Chhattisgarh was genealogically connected to the lineage of King Kharavela of Kalinga?","किस प्रसिद्ध इतिहासकार और पुरालेखविद् ने यह प्रतिपादित किया था कि छत्तीसगढ़ का राजर्षितुल्य कुल वंशावली रूप से कलिंग के राजा खारवेल के वंश से जुड़ा था?","Dr. Ramendranath Mishra","डॉ. रमेन्द्रनाथ मिश्र","Prof. Hiralal","प्रो. हीरालाल","Lochan Prasad Pandey","लोचन प्रसाद पांडेय","Mirashi","मिराशी","2","Professor Hiralal analyzed the Hathigumpha inscription and theorized that the 'Rajarshivansh Kula Vinisrut' mentioned by Kharavela directly references the ancestry of the Rajarshitulya Kula of Chhattisgarh.","प्रोफेसर हीरालाल ने हाथीगुम्फा अभिलेख का विश्लेषण किया और सिद्धांत दिया कि खारवेल द्वारा उल्लिखित 'राजर्षिवंश कुल विनिसृत' सीधे छत्तीसगढ़ के राजर्षितुल्य कुल के वंश को संदर्भित करता है।"
"The Parvatadwaraka dynasty ruled during the 5th century AD over the Deobhog region. In which modern district of Chhattisgarh is this core territory geographically located?","पर्वतद्वारक वंश ने 5वीं शताब्दी ई. के दौरान देवभोग क्षेत्र पर शासन किया था। यह मुख्य क्षेत्र भौगोलिक रूप से छत्तीसगढ़ के किस आधुनिक जिले में स्थित है?","Kondagaon","कोंडागांव","Gariaband","गरियाबंद","Surguja","सरगुजा","Kabirdham","कबीरधाम","2","The Deobhog region, which was donated by Somnaraj of the Parvatadwaraka dynasty, is located in the modern Gariaband district of Chhattisgarh, near the borders of Kalahandi (Odisha).","पर्वतद्वारक वंश के सोमनराज द्वारा दान किया गया देवभोग क्षेत्र, छत्तीसगढ़ के आधुनिक गरियाबंद जिले में, कालाहांडी (ओडिशा) की सीमाओं के पास स्थित है।"
"Match the following historical inscriptions with the regional dynasties they primarily document:\n\nList-I\n(a) Arang Plate\n(b) Terasingha Plate\n(c) Ragholi Plate\n(d) Pipardula Plate\n\nList-II\n(i) Parvatadwaraka Vansh\n(ii) Rajarshitulya Kula\n(iii) Sharabhpuriya Vansh\n(iv) Shail Vansh\n\nCodes:","निम्नलिखित ऐतिहासिक अभिलेखों को उन स्थानीय राजवंशों के साथ सुमेलित करें जिनका वे मुख्य रूप से दस्तावेजीकरण करते हैं:\n\nसूची-I\n(a) आरंग ताम्रपत्र\n(b) तेरसिंघा ताम्रपत्र\n(c) राघोली ताम्रपत्र\n(d) पीपरदुला ताम्रपत्र\n\nसूची-II\n(i) पर्वतद्वारक वंश\n(ii) राजर्षितुल्य कुल\n(iii) शरभपुरीय वंश\n(iv) शैल वंश\n\nकूट:","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","2","The Arang plate belongs to the Rajarshitulya Kula. The Terasingha plate documents the Parvatadwaraka dynasty. The Ragholi plate is of the Shail dynasty. The Pipardula plate belongs to the Sharabhpuriya king Narendra.","आरंग ताम्रपत्र राजर्षितुल्य कुल का है। तेरसिंघा ताम्रपत्र पर्वतद्वारक वंश का दस्तावेजीकरण करता है। राघोली ताम्रपत्र शैल वंश का है। पीपरदुला ताम्रपत्र शरभपुरीय राजा नरेंद्र का है।"
"According to the strict genealogical order provided in the Arang copper plate, who was the immediate predecessor and father of King Bhimsen II?","आरंग ताम्रपत्र में दिए गए सख्त वंशावली क्रम के अनुसार, राजा भीमसेन द्वितीय के तत्काल पूर्ववर्ती और पिता कौन थे?","Vibhishana","विभीषण","Dayitavarman I","दयितवर्मन प्रथम","Bhimsen I","भीमसेन प्रथम","Dayitavarman II","दयितवर्मन द्वितीय","4","The genealogy proceeds as follows: Sura -> Dayitavarman I -> Vibhishana -> Bhimsen I -> Dayitavarman II -> Bhimsen II. Therefore, Dayitavarman II was the father and immediate predecessor of Bhimsen II.","वंशावली इस प्रकार आगे बढ़ती है: शूर -> दयितवर्मन प्रथम -> विभीषण -> भीमसेन प्रथम -> दयितवर्मन द्वितीय -> भीमसेन द्वितीय। इसलिए, दयितवर्मन द्वितीय, भीमसेन द्वितीय के पिता और तत्काल पूर्ववर्ती थे।"
"Consider the following statements regarding the Parvatadwaraka dynasty:\n\n1. They ruled the Deobhog region during the 5th century AD.\n2. The dynasty acquired its name from the socio-religious practice of donating mountains (Parvat Daan).\n3. King Tustikar issued the Terasingha copper plate from his capital Tarambhak.\n\nChoose the correct statement(s):","पर्वतद्वारक वंश के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. उन्होंने 5वीं शताब्दी ई. के दौरान देवभोग क्षेत्र पर शासन किया।\n2. इस राजवंश ने अपना नाम पहाड़ों को दान करने (पर्वत दान) की सामाजिक-धार्मिक प्रथा से प्राप्त किया।\n3. राजा तुष्टिकार ने अपनी राजधानी तारंभक से तेरसिंघा ताम्रपत्र जारी किया।\n\nसही कथन चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2, and 3","1, 2, और 3","4","All three statements are historically verified. They ruled in the 5th century, the name 'Parvatadwaraka' literally stems from the tradition of mountain-donations, and Tustikar ruled from Tarambhak.","तीनों कथन ऐतिहासिक रूप से सत्यापित हैं। उन्होंने 5वीं शताब्दी में शासन किया, 'पर्वतद्वारक' नाम का शाब्दिक अर्थ पर्वत-दान की परंपरा से है, और तुष्टिकार ने तारंभक से शासन किया।"
