Quiz Title (English): Chhattisgarh Current Affairs (March 2026) Part-1
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (मार्च 2026) भाग 1
Quiz Description (English): Elevate your CGPSC Prelims preparation with Part 1 of the comprehensive March 2026 Chhattisgarh Current Affairs quiz. This examiner-aligned set tests your precision on key state legislation, newly launched schemes, national rankings, and dynamic demographic data.
Quiz Description (Hindi): मार्च 2026 छत्तीसगढ़ करेंट अफेयर्स क्विज़ के भाग 1 के साथ अपनी सीजीपीएससी प्रारंभिक परीक्षा की तैयारी को सुदृढ़ करें। यह सेट प्रमुख राज्य विधानों, नई शुरू की गई योजनाओं, राष्ट्रीय रैंकिंग और गतिशील जनसांख्यिकीय डेटा पर आपकी सटीकता का परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements about the first 'Khelo India Tribal Games 2026' hosted by Chhattisgarh:\n\n1. It was organised from 25 March to 6 April 2026 across Raipur, Surguja, and Bastar.\n\n2. The official mascot of the event was 'Gajru'.\n\n3. It included exactly 7 competitive medal events and 2 demonstration events.\n\nChoose the correct answer:","छत्तीसगढ़ द्वारा आयोजित पहले 'खेलो इंडिया ट्राइबल गेम्स 2026' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका आयोजन 25 मार्च से 6 अप्रैल 2026 तक रायपुर, सरगुजा और बस्तर में किया गया।\n\n2. इस आयोजन का आधिकारिक शुभंकर 'गजरू' था।\n\n3. इसमें ठीक 7 प्रतिस्पर्धी पदक खेल और 2 प्रदर्शनात्मक खेल शामिल थे।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","3","The official mascot of the Khelo India Tribal Games was 'Morveer', not 'Gajru' (which was for the Surguja Olympics). It featured 7 medal events and 2 demo events (Malkhamb, Kabaddi).","खेलो इंडिया ट्राइबल गेम्स का आधिकारिक शुभंकर 'मोरवीर' था, न कि 'गजरू' (जो सरगुजा ओलंपिक के लिए था)। इसमें 7 पदक खेल और 2 डेमो खेल (मलखंब, कबड्डी) शामिल थे।"
"Match the following penalties under the Chhattisgarh Dharma Swatantrya (Amendment) Bill 2026:\n\nList-I\n(a) Normal illegal conversion\n(b) Conversion of minors/women/SC/ST\n(c) Mass illegal conversion\n(d) Illegal conversion via foreign funding\n\nList-II\n(i) 10 to 20 years jail + Rs 10 lakh fine\n(ii) 10 years to life jail + Rs 25 lakh fine\n(iii) 7 to 10 years jail + Rs 5 lakh fine\n(iv) 10 to 20 years jail + Rs 20 lakh fine\n\nCodes:","छत्तीसगढ़ धर्म स्वातंत्र्य (संशोधन) विधेयक 2026 के तहत निम्नलिखित दंडों को सुमेलित कीजिए:\n\nसूची-I\n(a) सामान्य अवैध धर्मांतरण\n(b) नाबालिगों/महिलाओं/एससी/एसटी का धर्मांतरण\n(c) सामूहिक अवैध धर्मांतरण\n(d) विदेशी फंडिंग के माध्यम से अवैध धर्मांतरण\n\nसूची-II\n(i) 10 से 20 वर्ष की जेल + 10 लाख रुपये का जुर्माना\n(ii) 10 वर्ष से आजीवन कारावास + 25 लाख रुपये का जुर्माना\n(iii) 7 से 10 वर्ष की जेल + 5 लाख रुपये का जुर्माना\n(iv) 10 से 20 वर्ष की जेल + 20 लाख रुपये का जुर्माना\n\nकूट:","a-iii, b-i, c-ii, d-iv","a-iii, b-i, c-ii, d-iv","a-iii, b-iv, c-ii, d-i","a-iii, b-iv, c-ii, d-i","a-i, b-iii, c-ii, d-iv","a-i, b-iii, c-ii, d-iv","a-ii, b-i, c-iv, d-iii","a-ii, b-i, c-iv, d-iii","1","Under the strict new anti-conversion bill passed on 19 March 2026, the penalties are highly specific: normal (7-10 yrs), special category (10-20 yrs, 10L), mass (life, 25L), and foreign-funded (10-20 yrs, 20L).","19 मार्च 2026 को पारित नए धर्मांतरण विरोधी कानून के तहत दंड विशिष्ट हैं: सामान्य (7-10 वर्ष), विशेष श्रेणी (10-20 वर्ष, 10 लाख), सामूहिक (आजीवन, 25 लाख), और विदेशी-वित्तपोषित (10-20 वर्ष, 20 लाख)।"
"Assertion (A): The state government launched the 'Godham Yojana' on 14 March 2026 from Lakhasar village, Bilaspur.\n\nReason (R): The scheme aims to establish 1,460 Surabhi Godhams statewide to protect destitute cattle and provides Rs 10 per day per cattle assistance in the first year.\n\nCodes:","कथन (A): राज्य सरकार ने 14 मार्च 2026 को बिलासपुर के लाखासार गांव से 'गौधाम योजना' का शुभारंभ किया।\n\nकारण (R): इस योजना का उद्देश्य निराश्रित मवेशियों की रक्षा के लिए राज्य भर में 1,460 सुरभि गौधाम स्थापित करना है और पहले वर्ष में प्रति मवेशी 10 रुपये प्रतिदिन की सहायता प्रदान की जाती है।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","2","Both statements accurately describe the Godham Yojana launched by the CM. However, the exact numbers/assistance details (Reason) do not explain the historical launch location/date (Assertion).","दोनों कथन मुख्यमंत्री द्वारा शुरू की गई गौधाम योजना का सटीक वर्णन करते हैं। हालांकि, सटीक संख्या/सहायता विवरण (कारण) ऐतिहासिक लॉन्च स्थान/तारीख (कथन) की व्याख्या नहीं करते हैं।"
"Under the 'Kisan Vriksha Mitra Yojana' implemented by the Chhattisgarh Government, what is the maximum land limit for a farmer to receive a 100% plantation subsidy?","छत्तीसगढ़ सरकार द्वारा लागू की गई 'किसान वृक्ष मित्र योजना' के तहत, 100% वृक्षारोपण अनुदान प्राप्त करने के लिए एक किसान के लिए अधिकतम भूमि सीमा क्या है?","Up to 2 acres","2 एकड़ तक","Up to 5 acres","5 एकड़ तक","Up to 10 acres","10 एकड़ तक","Up to 15 acres","15 एकड़ तक","2","The Kisan Vriksha Mitra Yojana provides a 100% subsidy to farmers for planting commercial saplings on land up to 5 acres, covering both planting and maintenance for 3 years.","किसान वृक्ष मित्र योजना 5 एकड़ तक की भूमि पर व्यावसायिक पौधे लगाने के लिए किसानों को 100% अनुदान प्रदान करती है, जिसमें 3 साल तक रोपण और रखरखाव दोनों शामिल हैं।"
"Which National Highway is being developed as Chhattisgarh's first 'Bee Corridor' (Madhumakkhi Galiyara) to promote beekeeping and biodiversity?","मधुमक्खी पालन और जैव विविधता को बढ़ावा देने के लिए किस राष्ट्रीय राजमार्ग को छत्तीसगढ़ के पहले 'मधुमक्खी गलियारा' (Bee Corridor) के रूप में विकसित किया जा रहा है?","NH 30 (Raipur-Dhamtari)","NH 30 (रायपुर-धमतरी)","NH 130 (Katghora-Pathrapali)","NH 130 (कटघोरा-पथरापाली)","NH 53 (Arang-Saraipali)","NH 53 (आरंग-सरायपाली)","NH 43 (Raipur-Simga)","NH 43 (रायपुर-सिमगा)","3","Chhattisgarh's first official 'Bee Corridor' is being developed along the NH 53 (Arang-Saraipali section), where flowering trees like Karanj and Palash are being planted.","छत्तीसगढ़ का पहला आधिकारिक 'मधुमक्खी गलियारा' NH 53 (आरंग-सरायपाली खंड) के किनारे विकसित किया जा रहा है, जहां करंज और पलाश जैसे फूल वाले पेड़ लगाए जा रहे हैं।"
"Consider the following statements regarding the 'Aawa Paani Jhonki' campaign:\n\n1. It is implemented in Koriya district under the Catch the Rain initiative.\n\n2. It is based on a '5% Model' where farmers dedicate 5% of their land for rainwater harvesting.\n\n3. The rural women participating in it are given the title 'Jaldoot'.\n\nWhich of the above is/are correct?","'आवा पानी झोंकी' अभियान के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसे 'कैच द रेन' पहल के तहत कोरिया जिले में लागू किया गया है।\n\n2. यह '5% मॉडल' पर आधारित है जहां किसान वर्षा जल संचयन के लिए अपनी भूमि का 5% हिस्सा समर्पित करते हैं।\n\n3. इसमें भाग लेने वाली ग्रामीण महिलाओं को 'जलदूत' की उपाधि दी जाती है।\n\nउपरोक्त में से कौन सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct regarding the Koriya water conservation model. Statement 3 is incorrect because participating women are called 'Neer Nayika', whereas the youth are called 'Jaldoot'.","कोरिया जल संरक्षण मॉडल के संबंध में कथन 1 और 2 सही हैं। कथन 3 गलत है क्योंकि भाग लेने वाली महिलाओं को 'नीर नायिका' कहा जाता है, जबकि युवाओं को 'जलदूत' कहा जाता है।"
"According to the February 2026 national ranking released by the Central Government, what is Chhattisgarh's rank in the implementation of the Pradhan Mantri Matru Vandana Yojana (PMMVY) among large states?","केंद्र सरकार द्वारा जारी फरवरी 2026 की राष्ट्रीय रैंकिंग के अनुसार, बड़े राज्यों में प्रधानमंत्री मातृ वंदना योजना (PMMVY) के कार्यान्वयन में छत्तीसगढ़ का स्थान क्या है?","First","पहला","Second","दूसरा","Third","तीसरा","Fourth","चौथा","1","Chhattisgarh secured the first rank nationally among large states in the effective implementation of the Pradhan Mantri Matru Vandana Yojana, achieving an enrollment rate of 93.37%.","छत्तीसगढ़ ने 93.37% की नामांकन दर हासिल करते हुए, प्रधानमंत्री मातृ वंदना योजना के प्रभावी कार्यान्वयन में बड़े राज्यों के बीच राष्ट्रीय स्तर पर पहला स्थान हासिल किया।"
"Match the newly appointed officials of Chhattisgarh (as of March 2026):\n\nList-I\n(a) Vice Chairman, State Niti Aayog\n(b) Chairman, CG Rajbhasha Aayog\n(c) State Chief Information Commissioner\n(d) Chairman, CG Staff Selection Board\n\nList-II\n(i) Amitabh Jain\n(ii) Ganesh Shankar Mishra\n(iii) Renu Pillay\n(iv) Prabhat Mishra\n\nCodes:","छत्तीसगढ़ के नवनियुक्त अधिकारियों को सुमेलित कीजिए (मार्च 2026 की स्थिति में):\n\nसूची-I\n(a) उपाध्यक्ष, राज्य नीति आयोग\n(b) अध्यक्ष, छ.ग. राजभाषा आयोग\n(c) राज्य मुख्य सूचना आयुक्त\n(d) अध्यक्ष, छ.ग. कर्मचारी चयन मंडल\n\nसूची-II\n(i) अमिताभ जैन\n(ii) गणेश शंकर मिश्रा\n(iii) रेणु पिल्ले\n(iv) प्रभात मिश्रा\n\nकूट:","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii","a-ii, b-iii, c-i, d-iv","a-ii, b-iii, c-i, d-iv","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-iv, b-ii, c-i, d-iii","a-iv, b-ii, c-i, d-iii","1","Ganesh Shankar Mishra (Niti Aayog VC), Prabhat Mishra (Rajbhasha Aayog), Amitabh Jain (CIC), and Renu Pillay (First Chairperson of the newly formed CG Staff Selection Board).","गणेश शंकर मिश्रा (नीति आयोग उपाध्यक्ष), प्रभात मिश्रा (राजभाषा आयोग), अमिताभ जैन (मुख्य सूचना आयुक्त), और रेणु पिल्ले (नवनिर्मित छ.ग. कर्मचारी चयन मंडल की पहली अध्यक्ष)।"
"Where is India's first AI-focused Data Center Park being established in Chhattisgarh, involving an investment of Rs 1000 crore?","छत्तीसगढ़ में 1000 करोड़ रुपये के निवेश से भारत का पहला AI-केंद्रित डाटा सेंटर पार्क कहाँ स्थापित किया जा रहा है?","Sector 19, Nawa Raipur","सेक्टर 19, नवा रायपुर","Sector 22, Nawa Raipur","सेक्टर 22, नवा रायपुर","Sirgitti, Bilaspur","सिरगिट्टी, बिलासपुर","Borai, Durg","बोरई, दुर्ग","2","India's first massive AI-focused Data Center, scaling from 80 MW to 150 MW capacity, is being set up in Sector 22 of Nawa Raipur Atal Nagar.","भारत का पहला विशाल AI-केंद्रित डाटा सेंटर, जो 80 MW से 150 MW क्षमता तक बढ़ाया जाएगा, नवा रायपुर अटल नगर के सेक्टर 22 में स्थापित किया जा रहा है।"
"Assertion (A): The Bastar Heritage Marathon 2026 was organised on 22 March 2026 and culminated at the Chitrakote Waterfall.\n\nReason (R): It is the state's largest running event aimed at promoting the tourism, culture, and peace of the Bastar region.\n\nCodes:","कथन (A): बस्तर हेरिटेज मैराथन 2026 का आयोजन 22 मार्च 2026 को किया गया था और इसका समापन चित्रकोट जलप्रपात पर हुआ।\n\nकारण (R): यह बस्तर क्षेत्र के पर्यटन, संस्कृति और शांति को बढ़ावा देने के उद्देश्य से राज्य का सबसे बड़ा रनिंग इवेंट (दौड़ आयोजन) है।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","2","Both statements are factually correct regarding the Bastar Heritage Marathon. However, its broad promotional objective (Reason) is not the direct causative explanation for its specific date and route (Assertion).","बस्तर हेरिटेज मैराथन के संबंध में दोनों कथन तथ्यात्मक रूप से सही हैं। हालांकि, इसका व्यापक प्रचार उद्देश्य (कारण) इसकी विशिष्ट तिथि और मार्ग (कथन) के लिए प्रत्यक्ष व्याख्या नहीं है।"
