Quiz Title: Sharabhpuriya Dynasty: Kings & Chronology
क्विज़ शीर्षक: शरभपुरीय वंश: राजा एवं कालक्रम
Quiz Description: This deep-dive quiz rigorously tests your mastery over the Sharabhpuriya dynasty of ancient Chhattisgarh. It comprehensively covers their epigraphical records, administrative structure, chronological successions, and the pivotal copper plates essential for the CGPSC Prelims.
क्विज़ विवरण: यह गहन क्विज़ प्राचीन छत्तीसगढ़ के शरभपुरीय राजवंश पर आपकी महारत का कड़ाई से परीक्षण करता है। यह उनके पुरालेखीय अभिलेखों, प्रशासनिक संरचना, कालानुक्रमिक उत्तराधिकारों और सीजीपीएससी प्रारंभिक परीक्षा के लिए आवश्यक महत्वपूर्ण ताम्रपत्रों को व्यापक रूप से कवर करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"The Eran stone pillar inscription of the Gupta ruler Bhanugupta (510 AD) provides the earliest historical reference to the Sharabhpuriya dynasty by mentioning its founder, Sharabhraj. How is Sharabhraj identified in this inscription?","गुप्त शासक भानुगुप्त (510 ई.) का एरण प्रस्तर स्तंभ शिलालेख इसके संस्थापक शरभराज का उल्लेख करके शरभपुरीय वंश का सबसे पहला ऐतिहासिक संदर्भ प्रदान करता है। इस शिलालेख में शरभराज की पहचान कैसे की गई है?","As the feudatory commander of Samudragupta","समुद्रगुप्त के सामंत सेनापति के रूप में","As the maternal grandfather (Nana) of Goparaj","गोपराज के नाना के रूप में","As the father-in-law of Chandragupta II","चंद्रगुप्त द्वितीय के ससुर के रूप में","As the paramount sovereign of Dakshin Kosal","दक्षिण कोसल के सर्वोच्च संप्रभु के रूप में","2","According to the Eran inscription of Bhanugupta (510 AD), Sharabhraj, the founder of the Sharabhpuriya dynasty, is explicitly mentioned as the maternal grandfather (Nana) of Goparaj, who died fighting for the Guptas.","भानुगुप्त के एरण शिलालेख (510 ई.) के अनुसार, शरभपुरीय वंश के संस्थापक शरभराज को स्पष्ट रूप से गोपराज के नाना के रूप में उल्लेख किया गया है, जिनकी गुप्तों के लिए लड़ते हुए मृत्यु हो गई थी।"
"Consider the following statements regarding the Pipardula Copper Plate:\n\n1. It was issued by the Sharabhpuriya King Narendra in his 3rd regnal year.\n2. It mentions that Bhogpati Rahudev granted the Sarkarapadra village.\n3. The donated village was located within the Nandapur Bhog.\n\nChoose the correct statement(s):","पीपरदुला ताम्रपत्र के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. इसे शरभपुरीय राजा नरेंद्र ने अपने शासनकाल के तीसरे वर्ष में जारी किया था।\n2. इसमें उल्लेख है कि भोगपति राहुदेव ने सरकारापद्र गांव दान में दिया था।\n3. दान किया गया गाँव नंदापुर भोग के भीतर स्थित था।\n\nसही कथन चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2, and 3","1, 2, और 3","4","All statements are strictly accurate. King Narendra issued the Pipardula copper plate (found in Sarangarh) in his 3rd year, recording that an administrative officer (Bhogpati) named Rahudev donated Sarkarapadra village in Nandapur Bhog.","सभी कथन पूर्णतः सटीक हैं। राजा नरेंद्र ने अपने तीसरे वर्ष में पीपरदुला ताम्रपत्र (सारंगढ़ में पाया गया) जारी किया, जिसमें दर्ज है कि राहुदेव नामक एक प्रशासनिक अधिकारी (भोगपति) ने नंदापुर भोग में सरकारापद्र गांव दान किया था।"
"Which of the following copper plates of King Narendra is explicitly 'Tithivihin' (date-less) and utilizes the aggressive military phrase 'Khadgadhara Jitamubhe' (conquered the world with the edge of the sword)?","राजा नरेंद्र के निम्नलिखित में से कौन सा ताम्रपत्र स्पष्ट रूप से 'तिथिविहीन' (तिथि-रहित) है और आक्रामक सैन्य वाक्यांश 'खड्गधारा जितमुभे' (तलवार की धार से दुनिया को जीत लिया) का उपयोग करता है?","Pipardula Plate","पीपरदुला ताम्रपत्र","Kurud Plate","कुरुद ताम्रपत्र","Rawan (Malhar) Plate","रावां (मल्हार) ताम्रपत्र","Kauatal Plate","कौआताल ताम्रपत्र","3","Unlike the Pipardula (3rd year) and Kurud (24th year) plates, the Rawan plate found near Malhar is entirely dateless. It uniquely features the bold phrase 'Khadgadhara Jitamubhe', showcasing his military prowess.","पीपरदुला (तीसरा वर्ष) और कुरुद (24वां वर्ष) ताम्रपत्रों के विपरीत, मल्हार के पास पाया गया रावां ताम्रपत्र पूरी तरह से तिथिरहित है। इसमें विशेष रूप से 'खड्गधारा जितमुभे' वाक्यांश है, जो उनके सैन्य कौशल को प्रदर्शित करता है।"
"The Kurud copper plate, issued in the 24th regnal year of King Narendra, meticulously records the donation of the 'Keshavaka' village. To whom was this village granted?","राजा नरेंद्र के शासनकाल के 24वें वर्ष में जारी कुरुद ताम्रपत्र, 'केशवक' गांव के दान को सावधानीपूर्वक दर्ज करता है। यह गाँव किसे दान में दिया गया था?","Durgaswami","दुर्गस्वामी","Bhashrutaswami","भाश्रुतस्वामी","Agnichandra Swami","अग्निचन्द्र स्वामी","Hariswami","हरिस्वामी","2","The Kurud copper plate explicitly documents that the village of Keshavaka, situated in the Chulladasima Bhog, was granted to a Brahmin named Bhashrutaswami by King Narendra.","कुरुद ताम्रपत्र स्पष्ट रूप से दस्तावेज करता है कि चुल्लादसीमा भोग में स्थित केशवक गांव, राजा नरेंद्र द्वारा भाश्रुतस्वामी नामक ब्राह्मण को दान में दिया गया था।"
"Arrange the early rulers of the Sharabhpuriya dynasty in their correct chronological sequence:\n\n1. Prasannamatra\n2. Sharabhraj\n3. Jayaraj (Manmatra)\n4. Narendra\n\nChoose the correct code:","शरभपुरीय वंश के प्रारंभिक शासकों को उनके सही कालानुक्रमिक क्रम में व्यवस्थित करें:\n\n1. प्रसन्नमात्र\n2. शरभराज\n3. जयराज (मानमात्र)\n4. नरेंद्र\n\nसही कूट चुनें:","2, 4, 1, 3","2, 4, 1, 3","2, 1, 4, 3","2, 1, 4, 3","4, 2, 3, 1","4, 2, 3, 1","2, 4, 3, 1","2, 4, 3, 1","1","The established genealogy based on epigraphical evidence begins with the founder Sharabhraj, followed by his son Narendra, then Prasannamatra (Prasanna II), and subsequently Jayaraj (also known as Manmatra/Durgaraj).","पुरालेखीय साक्ष्यों के आधार पर स्थापित वंशावली संस्थापक शरभराज से शुरू होती है, उसके बाद उनके पुत्र नरेंद्र, फिर प्रसन्नमात्र (प्रसन्न द्वितीय), और बाद में जयराज (जिन्हें मानमात्र/दुर्गराज भी कहा जाता है) आते हैं।"
"Which Sharabhpuriya king is credited with founding a new city on the banks of the Nidila (Lilagar) river and extensively issuing repoussé gold coins bearing the symbols of Garuda, Shankh, and Chakra?","किस शरभपुरीय राजा को निडिला (लीलागर) नदी के तट पर एक नया शहर बसाने और गरुड़, शंख और चक्र के प्रतीकों वाले रिपोसे सोने के सिक्कों को बड़े पैमाने पर जारी करने का श्रेय दिया जाता है?","Narendra","नरेंद्र","Jayaraj","जयराज","Prasannamatra","प्रसन्नमात्र","Sudevaraj","सुदेवराज","3","Prasannamatra founded Prasannapur (modern Malhar) on the banks of the Lilagar river. He is highly celebrated for his lightweight gold coins struck using the Utpiditank (repousse) technique, which circulated widely.","प्रसन्नमात्र ने लीलागर नदी के तट पर प्रसन्नपुर (आधुनिक मल्हार) की स्थापना की। उन्हें उत्पीड़ितांक (रिपोसे) तकनीक का उपयोग करके ढाले गए हल्के सोने के सिक्कों के लिए अत्यधिक मनाया जाता है, जो व्यापक रूप से प्रसारित होते थे।"
"According to the Kauatal copper plate inscription, which prominent Sharabhpuriya ruler is explicitly addressed by his alternate name 'Durgaraj'?","कौआताल ताम्रपत्र शिलालेख के अनुसार, किस प्रमुख शरभपुरीय शासक को स्पष्ट रूप से उसके वैकल्पिक नाम 'दुर्गराज' से संबोधित किया गया है?","Sharabhraj","शरभराज","Narendra","नरेंद्र","Prasannamatra","प्रसन्नमात्र","Jayaraj","जयराज","4","Jayaraj, the son of Prasannamatra, is also known historically as Manmatra. The Kauatal inscription uniquely refers to him by his other alternate name, Durgaraj. Historian L.P. Pandey credits him with founding Durg.","प्रसन्नमात्र के पुत्र जयराज को ऐतिहासिक रूप से मानमात्र के रूप में भी जाना जाता है। कौआताल शिलालेख विशिष्ट रूप से उन्हें उनके अन्य वैकल्पिक नाम, दुर्गराज से संदर्भित करता है। इतिहासकार एल.पी. पांडेय उन्हें दुर्ग की स्थापना का श्रेय देते हैं।"
"Assertion (A): The Sharabhpuriya king Sudevaraj elevated Sirpur (Shripur) to the status of a secondary capital alongside Sharabhpur.\n\nReason (R): He issued several of his eight known copper plates directly from Sirpur.\n\nChoose the correct code:","कथन (A): शरभपुरीय राजा सुदेवराज ने सिरपुर (श्रीपुर) को शरभपुर के साथ-साथ एक द्वितीयक राजधानी का दर्जा दिया।\n\nकारण (R): उन्होंने अपने आठ ज्ञात ताम्रपत्रों में से कई सीधे सिरपुर से जारी किए थे।\n\nसही कूट चुनें:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","1","The assertion is correct; Sirpur became highly significant during Sudevaraj's reign. The reason explains this administrative shift, as a number of his charters were officially issued from Shripur (Sirpur), establishing its secondary capital status.","कथन सही है; सुदेवराज के शासनकाल में सिरपुर अत्यधिक महत्वपूर्ण हो गया। कारण इस प्रशासनिक बदलाव की व्याख्या करता है, क्योंकि उनके कई चार्टर आधिकारिक तौर पर श्रीपुर (सिरपुर) से जारी किए गए थे, जो इसकी द्वितीयक राजधानी की स्थिति को स्थापित करते हैं।"
"Which ambitious individual was strategically appointed by Sudevaraj to the highest administrative post of 'Sarvadhikaradhikarta', a move that eventually proved fatal for the Sharabhpuriya dynasty?","सुदेवराज द्वारा 'सर्वाधिकाराधिकर्ता' के सर्वोच्च प्रशासनिक पद पर किस महत्वाकांक्षी व्यक्ति को रणनीतिक रूप से नियुक्त किया गया था, जो अंततः शरभपुरीय वंश के लिए घातक साबित हुआ?","Udayan","उदयन","Indrabal","इंद्रबल","Tivaradev","तीवरदेव","Nannaraj I","नन्नराज प्रथम","2","Sudevaraj appointed Indrabal (the son of Udayan) as 'Sarvadhikaradhikarta' (Chief Administrator) and Dutak. This allowed Indrabal to consolidate massive power and later overthrow the dynasty to establish the Panduvanshi rule.","सुदेवराज ने इंद्रबल (उदयन के पुत्र) को 'सर्वाधिकाराधिकर्ता' (मुख्य प्रशासक) और दूतक नियुक्त किया। इससे इंद्रबल को भारी सत्ता मजबूत करने और बाद में पांडुवंशी शासन स्थापित करने के लिए राजवंश को उखाड़ फेंकने की अनुमति मिली।"
"The unique nomenclature 'Amararya Kula' or 'Amaraja Kula' applied to the Sharabhpuriya dynasty is historically derived from the Malhar copper plate issued by which specific ruler?","शरभपुरीय वंश पर लागू होने वाला अनूठा नामकरण 'अमरार्य कुल' या 'अमरज कुल' ऐतिहासिक रूप से किस विशिष्ट शासक द्वारा जारी किए गए मल्हार ताम्रपत्र से लिया गया है?","Sharabhraj","शरभराज","Jayaraj","जयराज","Vyaghraj","व्याघ्रराज","Pravararaj I","प्रवरराज प्रथम","3","Vyaghraj is considered the last nominal/formal ruler of the Sharabhpuriya line. His Malhar copper plate explicitly uses the term 'Amararya Kula' (or Amaraja Kula) to define the dynasty's actual lineage.","व्याघ्रराज को शरभपुरीय वंश का अंतिम नाममात्र/औपचारिक शासक माना जाता है। उनका मल्हार ताम्रपत्र राजवंश के वास्तविक वंश को परिभाषित करने के लिए स्पष्ट रूप से 'अमरार्य कुल' (या अमरज कुल) शब्द का उपयोग करता है।"
