Quiz Title (English): Chhattisgarh Current Affairs (April 2026) Part 2
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (अप्रैल 2026) भाग 2
Quiz Description (English): Master the dynamic CGPSC Prelims current affairs with Part 2 of the April 2026 quiz. This examiner-aligned set rigorously tests your knowledge of the latest demographic surveys, new administrative policies, sports championships, and key ecological discoveries.
Quiz Description (Hindi): अप्रैल 2026 क्विज़ के भाग 2 के साथ डायनामिक सीजीपीएससी प्रारंभिक परीक्षा करेंट अफेयर्स में महारत हासिल करें। यह परीक्षक-संरेखित सेट नवीनतम जनसांख्यिकीय सर्वेक्षणों, नई प्रशासनिक नीतियों, खेल चैंपियनशिप और प्रमुख पारिस्थितिक खोजों के आपके ज्ञान का कड़ाई से परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the new minimum wage rates effective from 1 April 2026:\n\n1. The minimum wage for Zone-A unskilled workers has been strictly fixed at Rs 11,402 per month.\n\n2. Zone-B includes the Municipal Corporations of Raipur, Durg, and Bhilai.\n\n3. The Dearness Allowance (DA) hike was based on the Labour Bureau Shimla index.\n\nWhich of the statements given above is/are correct?","1 अप्रैल 2026 से प्रभावी नई न्यूनतम वेतन दरों के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. ज़ोन-A के अकुशल श्रमिकों के लिए न्यूनतम वेतन 11,402 रुपये प्रति माह निर्धारित किया गया है।\n\n2. ज़ोन-B में रायपुर, दुर्ग और भिलाई नगर निगम शामिल हैं।\n\n3. महंगाई भत्ते (DA) में वृद्धि लेबर ब्यूरो शिमला सूचकांक पर आधारित थी।\n\nउपर्युक्त कथनों में से कौन-सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","1 and 3 only","केवल 1 और 3","2 and 3 only","केवल 2 और 3","1, 2 and 3","1, 2 और 3","2","Statements 1 and 3 are correct. Statement 2 is incorrect because the municipal corporations of Raipur, Durg, and Bhilai fall under the premium Zone-A, not Zone-B (which includes Bilaspur, Korba, etc.).","कथन 1 और 3 सही हैं। कथन 2 गलत है क्योंकि रायपुर, दुर्ग और भिलाई नगर निगम प्रीमियम ज़ोन-A के अंतर्गत आते हैं, न कि ज़ोन-B (जिसमें बिलासपुर, कोरबा आदि शामिल हैं) के अंतर्गत।"
"Which reservoir of Chhattisgarh has been officially declared as the state's first and India's 96th Ramsar Site?","हाल ही में भारत के 96वें और छत्तीसगढ़ के पहले रामसर साइट के रूप में घोषित 'कोपरा जलाशय' किस जिले में स्थित है?","Dhamtari","धमतरी","Mahasamund","महासमुंद","Bilaspur","बिलासपुर","Raipur","रायपुर","3","The Kopra Reservoir, located in the Bilaspur district, has achieved international ecological significance by becoming Chhattisgarh's first and India's 96th recognized Ramsar Site.","बिलासपुर जिले में स्थित कोपरा जलाशय छत्तीसगढ़ का पहला और भारत का 96वां मान्यता प्राप्त रामसर साइट बनकर अंतरराष्ट्रीय पारिस्थितिक महत्व प्राप्त कर चुका है।"
"Assertion (A): The state government has launched a dedicated action plan to rehabilitate 6,939 displaced families of the Bastar division.\n\nReason (R): These families had migrated to Telangana and Andhra Pradesh due to Left Wing Extremism (LWE) violence, and their survey was mandated by the National Commission for Scheduled Tribes.\n\nCodes:","कथन (A): राज्य सरकार ने बस्तर संभाग के 6,939 विस्थापित परिवारों के पुनर्वास के लिए एक समर्पित कार्य योजना शुरू की है।\n\nकारण (R): ये परिवार वामपंथी उग्रवाद (LWE) की हिंसा के कारण तेलंगाना और आंध्र प्रदेश पलायन कर गए थे, और उनके सर्वेक्षण का निर्देश राष्ट्रीय अनुसूचित जनजाति आयोग द्वारा दिया गया था।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","Both statements are completely true. The rehabilitation plan explicitly addresses the migration of thousands of families from Sukma, Bijapur, and Dantewada who fled Naxal violence, initiated upon NCST's directives.","दोनों कथन पूरी तरह सत्य हैं। पुनर्वास योजना स्पष्ट रूप से सुकमा, बीजापुर और दंतेवाड़ा से नक्सली हिंसा के कारण पलायन कर गए हजारों परिवारों के प्रवासन को संबोधित करती है, जिसे NCST के निर्देशों पर शुरू किया गया था।"
"Match the athletes representing Chhattisgarh with their respective events at the Khelo India Tribal Games 2026:\n\nList-I\n(a) Siddharth Nagesh\n(b) Tilak Barsel\n(c) Gajendra Thakur\n(d) Manish Kumar\n\nList-II\n(i) Shot Put\n(ii) 100m Sprint\n(iii) 800m Sprint\n(iv) 1500m Sprint\n\nCodes:","खेलो इंडिया ट्राइबल गेम्स 2026 में छत्तीसगढ़ का प्रतिनिधित्व करने वाले एथलीटों को उनकी संबंधित स्पर्धाओं से सुमेलित कीजिए:\n\nसूची-I\n(a) सिद्धार्थ नागेश\n(b) तिलक बरसेल\n(c) गजेंद्र ठाकुर\n(d) मनीष कुमार\n\nसूची-II\n(i) शॉट पुट (गोला फेंक)\n(ii) 100 मीटर स्प्रिंट\n(iii) 800 मीटर स्प्रिंट\n(iv) 1500 मीटर स्प्रिंट\n\nकूट:","a-ii, b-i, c-iv, d-iii","a-ii, b-i, c-iv, d-iii","a-iv, b-iii, c-ii, d-i","a-iv, b-iii, c-ii, d-i","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","3","Siddharth Nagesh won Gold in Shot Put, Tilak won Silver in 100m, Gajendra won Silver in 800m, and Manish secured Bronze in the 1500m sprint for Chhattisgarh.","सिद्धार्थ नागेश ने शॉट पुट में स्वर्ण जीता, तिलक ने 100 मीटर में रजत जीता, गजेंद्र ने 800 मीटर में रजत जीता, और मनीष ने छत्तीसगढ़ के लिए 1500 मीटर स्प्रिंट में कांस्य हासिल किया।"
"The 'Tardmetla Martyr Memorial' (Taadmetla Shaheed Smarak) was recently slated for inauguration in which Left Wing Extremism affected district?","'ताड़मेटला शहीद स्मारक' का उद्घाटन हाल ही में वामपंथी उग्रवाद से प्रभावित किस जिले में किया जाना निर्धारित किया गया?","Bijapur","बीजापुर","Sukma","सुकमा","Dantewada","दंतेवाड़ा","Narayanpur","नारायणपुर","2","The Tardmetla Martyr Memorial is located in the Sukma district, honoring the security personnel who laid down their lives in the tragic Maoist ambush in the Tardmetla region.","ताड़मेटला शहीद स्मारक सुकमा जिले में स्थित है, जो ताड़मेटला क्षेत्र में माओवादी हमले में अपनी जान गंवाने वाले सुरक्षाकर्मियों को सम्मानित करता है।"
"Where is Chhattisgarh's first official 'Gau Abhyaranya' (Cow Sanctuary) being constructed over an area of 184 acres with an initial approval of Rs 1.32 crore?","छत्तीसगढ़ का पहला आधिकारिक 'गौ अभयारण्य' (Cow Sanctuary) 1.32 करोड़ रुपये की प्रारंभिक मंजूरी के साथ 184 एकड़ क्षेत्र में कहाँ बनाया जा रहा है?","Basna, Mahasamund","बसना, महासमुंद","Khadgawan, MCB","खड़गवां, एमसीबी (MCB)","Jogipur, Bilaspur","जोगीपुर, बिलासपुर","Lundra, Surguja","लुंड्रा, सरगुजा","3","The state's first dedicated Cow Sanctuary (Gau Abhyaranya), capable of sheltering 2500 destitute cattle, is being actively constructed in Jogipur village under the Kota block of Bilaspur district.","2500 निराश्रित मवेशियों को आश्रय देने में सक्षम राज्य का पहला समर्पित गौ अभयारण्य, बिलासपुर जिले के कोटा ब्लॉक के अंतर्गत जोगीपुर गांव में सक्रिय रूप से बनाया जा रहा है।"
"Consider the following statements regarding the 16th All India Census 2027 in Chhattisgarh:\n\n1. Kartikeya Goyal is appointed as the Director of Census Operations for the state.\n\n2. Famous sand artist Sudarshan Pattnaik has been designated as its national brand ambassador.\n\n3. The official mascot for this digital census is named 'Morveer'.\n\nWhich of the above is/are correct?","छत्तीसगढ़ में 16वीं अखिल भारतीय जनगणना 2027 के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. कार्तिकेय गोयल को राज्य के लिए जनगणना संचालन निदेशक नियुक्त किया गया है।\n\n2. प्रसिद्ध रेत कलाकार सुदर्शन पटनायक को इसका राष्ट्रीय ब्रांड एंबेसडर नामित किया गया है।\n\n3. इस डिजिटल जनगणना का आधिकारिक शुभंकर 'मोरवीर' है।\n\nउपर्युक्त में से कौन-सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are absolutely correct. Statement 3 is false because the official mascots of the 2027 Census are 'Vikas' and 'Pragati', whereas 'Morveer' was the mascot for the Tribal Games.","कथन 1 और 2 बिल्कुल सही हैं। कथन 3 गलत है क्योंकि 2027 की जनगणना के आधिकारिक शुभंकर 'विकास' और 'प्रगति' हैं, जबकि 'मोरवीर' ट्राइबल गेम्स का शुभंकर था।"
"What is the primary objective of the 'Druthgami Gramin Sadak Sampark Yojana' introduced in the state budget?","राज्य के बजट में पेश की गई 'द्रुतगामी ग्रामीण सड़क संपर्क योजना' का प्राथमिक उद्देश्य क्या है?","To construct concrete roads in all Maoist-affected villages within 5 years.","5 वर्षों के भीतर सभी माओवाद प्रभावित गांवों में कंक्रीट की सड़कें बनाना।","To upgrade 36 two-lane roads connecting the economic hubs of the state with a provision of Rs 200 crore.","राज्य के आर्थिक केंद्रों को जोड़ने के लिए 200 करोड़ रुपये के प्रावधान के साथ 36 टू-लेन सड़कों का उन्नयन करना।","To provide free public transport on all rural roads.","सभी ग्रामीण सड़कों पर मुफ्त सार्वजनिक परिवहन प्रदान करना।","To connect all Gram Panchayats directly to the National Highways.","सभी ग्राम पंचायतों को सीधे राष्ट्रीय राजमार्गों से जोड़ना।","2","The 'Druthgami Gramin Sadak Sampark Yojana' is a flagship infrastructure scheme with a Rs 200 crore budget specifically aimed at upgrading 36 major roads into two-lanes to boost economic connectivity.","'द्रुतगामी ग्रामीण सड़क संपर्क योजना' 200 करोड़ रुपये के बजट वाली एक प्रमुख बुनियादी ढांचा योजना है जिसका उद्देश्य आर्थिक संपर्क को बढ़ावा देने के लिए 36 प्रमुख सड़कों को टू-लेन में अपग्रेड करना है।"
"Assertion (A): The 'Chinhari Pariyojana' implemented by the Chhattisgarh Culture Department primarily aims to create a cultural database of folk artists.\n\nReason (R): Under this project, selected folk artists will receive financial assistance and opportunities to perform on national and international stages.\n\nCodes:","कथन (A): छत्तीसगढ़ संस्कृति विभाग द्वारा संचालित 'चिन्हारी परियोजना' का मुख्य उद्देश्य लोक कलाकारों का सांस्कृतिक डेटाबेस तैयार करना है।\n\nकारण (R): इस परियोजना के तहत, चयनित लोक कलाकारों को वित्तीय सहायता और राष्ट्रीय तथा अंतर्राष्ट्रीय मंचों पर प्रदर्शन करने के अवसर प्राप्त होंगे।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","Both statements are true. The state is documenting artists systematically (Assertion) precisely because it wants to formalize their support through financial aid and global exposure (Reason).","दोनों कथन सत्य हैं। राज्य कलाकारों का व्यवस्थित रूप से दस्तावेजीकरण कर रहा है (कथन) ठीक इसलिए क्योंकि वह वित्तीय सहायता और वैश्विक जोखिम (कारण) के माध्यम से उनके समर्थन को औपचारिक रूप देना चाहता है।"
"In April 2026, Mesolithic-era rock paintings and stone tools, establishing early human settlement, were discovered from the caves of 'Garh Pahad'. In which district is this located?","अप्रैल 2026 में, प्रारंभिक मानव बस्ती की पुष्टि करने वाले मध्यपाषाण-युग के शैल चित्र और पत्थर के औजार 'गढ़ पहाड़' की गुफाओं से खोजे गए थे। यह किस जिले में स्थित है?","Surguja","सरगुजा","Jashpur","जशपुर","Koriya","कोरिया","Raigarh","रायगढ़","2","The ancient Mesolithic rock paintings and stone tools were found in the Garh Pahad caves located in Jaymarga village (Manora block) of the Jashpur district, highlighting its prehistoric tourism potential.","प्राचीन मध्यपाषाण शैल चित्र और पत्थर के औजार जशपुर जिले के जयमर्गा गांव (मनोरा ब्लॉक) में स्थित गढ़ पहाड़ की गुफाओं में पाए गए, जो इसके प्रागैतिहासिक पर्यटन क्षमता को उजागर करते हैं।"
