Quiz Title (English)
Early Nationalism, INC Sessions & Home Rule League in CG

Quiz Title (Hindi)
प्रारंभिक राष्ट्रवाद, आईएनसी अधिवेशन और होमरूल लीग

Quiz Description (English)
Master the critical phase of Chhattisgarh's early freedom struggle with this targeted CGPSC Prelims quiz. Evaluate your knowledge of the INC sessions, Home Rule League, early journalism, and the foundational mass movements from 1889 to 1920.

Quiz Description (Hindi)
इस लक्षित सीजीपीएससी प्रीलिम्स क्विज़ के साथ छत्तीसगढ़ के प्रारंभिक स्वतंत्रता संग्राम के महत्वपूर्ण चरण में महारत हासिल करें। 1889 से 1920 तक के आईएनसी अधिवेशनों, होमरूल लीग, प्रारंभिक पत्रकारिता और मूलभूत जन आंदोलनों के अपने ज्ञान का मूल्यांकन करें।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Who among the following leaders from Chhattisgarh participated in the Bombay Session of the Indian National Congress in 1889?\n\n1. Madhav Rao Sapre\n\n2. Ram Dayal Tiwari\n\n3. C.M. Thakkar\n\n4. Pt. Ravishankar Shukla\n\nChoose the correct answer:","निम्नलिखित में से किस नेता ने 1889 में भारतीय राष्ट्रीय कांग्रेस के बंबई अधिवेशन में छत्तीसगढ़ से भाग लिया था?\n\n1. माधव राव सप्रे\n\n2. राम दयाल तिवारी\n\n3. सी.एम. ठक्कर\n\n4. पं. रविशंकर शुक्ल\n\nसही उत्तर चुनिए:","1, 2 and 3","1, 2 और 3","2, 3 and 4","2, 3 और 4","1, 3 and 4","1, 3 और 4","All of the above","उपरोक्त सभी","1","Madhav Rao Sapre, Ram Dayal Tiwari, C.M. Thakkar, and Vaman Rao Lakhe participated in the 1889 Bombay Session. Pt. Ravishankar Shukla did not participate in this specific session.","माधव राव सप्रे, राम दयाल तिवारी, सी.एम. ठक्कर और वामन राव लाखे ने 1889 के बंबई अधिवेशन में भाग लिया था। पं. रविशंकर शुक्ल ने इस विशिष्ट अधिवेशन में भाग नहीं लिया था।"
"Consider the following statements regarding the Traders' Summit held in Raipur in 1915:\n\n1. It was organized on 20th June 1915 at Town Hall, Raipur.\n\n2. The summit was presided over by Rao Saheb Dani.\n\n3. Its main objective was to emphasize the conservation of traders' interests and demand a reduction in the revenue rate.\n\nChoose the correct answer:","1915 में रायपुर में आयोजित व्यापारी सम्मेलन के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका आयोजन 20 जून 1915 को टाउन हॉल, रायपुर में किया गया था।\n\n2. इस सम्मेलन की अध्यक्षता राव साहेब दानी ने की थी।\n\n3. इसका मुख्य उद्देश्य व्यापारियों के हितों के संरक्षण पर जोर देना और राजस्व दर को कम करने की मांग करना था।\n\nसही उत्तर चुनिए:","1 and 2","1 और 2","1 and 3","1 और 3","2 and 3","2 और 3","1, 2 and 3","1, 2 और 3","2","The Traders' Summit held on 20th June 1915 at Town Hall, Raipur was presided over by Yadavrao Deshmukh, a renowned lawyer, not Rao Saheb Dani. Its objective was to conserve traders' interests and reduce the revenue rate.","20 जून 1915 को टाउन हॉल, रायपुर में आयोजित व्यापारी सम्मेलन की अध्यक्षता एक प्रसिद्ध वकील यादवराव देशमुख ने की थी, न कि राव साहेब दानी ने। इसका उद्देश्य व्यापारियों के हितों का संरक्षण और राजस्व दर कम करना था।"
"Match the following regional branches of the Home Rule League established in Chhattisgarh in 1917 with their key leaders:\n\nList-I\n(a) Raipur\n(b) Bilaspur\n(c) Durg\n(d) Rajnandgaon\n\nList-II\n(i) E. Raghvendra Rao\n(ii) Thakur Pyarelal Singh\n(iii) Pt. Ravishankar Shukla\n(iv) Ghanshyam Singh Gupt\n\nCodes:","1917 में छत्तीसगढ़ में स्थापित होमरूल लीग की क्षेत्रीय शाखाओं को उनके प्रमुख नेताओं के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) रायपुर\n(b) बिलासपुर\n(c) दुर्ग\n(d) राजनांदगांव\n\nसूची-II\n(i) ई. राघवेंद्र राव\n(ii) ठाकुर प्यारेलाल सिंह\n(iii) पं. रविशंकर शुक्ल\n(iv) घनश्याम सिंह गुप्त\n\nकूट:","(a)-(iii), (b)-(i), (c)-(iv), (d)-(ii)","(a)-(iii), (b)-(i), (c)-(iv), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(i), (b)-(iii), (c)-(iv), (d)-(ii)","(a)-(i), (b)-(iii), (c)-(iv), (d)-(ii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","1","In 1917, the Home Rule League branches were successfully established in Raipur under Pt. Ravishankar Shukla, in Bilaspur under E. Raghvendra Rao, in Durg under Ghanshyam Singh Gupt, and in Rajnandgaon under Thakur Pyarelal Singh.","1917 में होमरूल लीग की शाखाएं रायपुर में पं. रविशंकर शुक्ल, बिलासपुर में ई. राघवेंद्र राव, दुर्ग में घनश्याम सिंह गुप्त और राजनांदगांव में ठाकुर प्यारेलाल सिंह के नेतृत्व में सफलतापूर्वक स्थापित की गई थीं।"
"Arrange the following events of the early nationalist movement in Chhattisgarh in chronological order:\n\n1. Establishment of Kanyakubj Mahasabha in Raipur\n\n2. First Student Strike at Nandgaon\n\n3. Establishment of Samitra Mandal in Rajim\n\n4. Traders' Summit at Raipur\n\nChoose the correct answer:","छत्तीसगढ़ में प्रारंभिक राष्ट्रवादी आंदोलन की निम्नलिखित घटनाओं को कालानुक्रमिक क्रम में व्यवस्थित करें:\n\n1. रायपुर में कान्यकुब्ज महासभा की स्थापना\n\n2. नांदगांव में प्रथम छात्र हड़ताल\n\n3. राजिम में समित्र मंडल की स्थापना\n\n4. रायपुर में व्यापारी सम्मेलन\n\nसही उत्तर चुनिए:","3, 2, 1, 4","3, 2, 1, 4","2, 3, 1, 4","2, 3, 1, 4","3, 1, 2, 4","3, 1, 2, 4","1, 3, 2, 4","1, 3, 2, 4","1","The chronological order is: Samitra Mandal at Rajim (1905-06), First Student Strike at Nandgaon (1907), Kanyakubj Mahasabha in Raipur (1912), and the Traders' Summit at Raipur (1915).","कालानुक्रमिक क्रम इस प्रकार है: राजिम में समित्र मंडल (1905-06), नांदगांव में प्रथम छात्र हड़ताल (1907), रायपुर में कान्यकुब्ज महासभा (1912), और रायपुर में व्यापारी सम्मेलन (1915)।"
"Assertion (A): The Third Session of the Provincial Congress held at Raipur in 1907 witnessed the division of the Chhattisgarh Congress into Moderates and Extremists.\n\nReason (R): This session was presided over by Hari Singh Gaur, who was a staunch supporter of the Extremist ideology.\n\nCodes:","कथन (A): 1907 में रायपुर में आयोजित प्रांतीय कांग्रेस के तीसरे अधिवेशन में छत्तीसगढ़ कांग्रेस का नरम दल और गरम दल में विभाजन देखा गया।\n\nकारण (R): इस अधिवेशन की अध्यक्षता हरि सिंह गौर ने की थी, जो गरमपंथी विचारधारा के कट्टर समर्थक थे।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is not the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","3","The assertion is true as the Congress split in 1907 at Raipur. However, the reason is false because the session was presided over by Kelkar. Hari Singh Gaur was the Welcoming President and belonged to the Moderate group, not the Extremists.","कथन सत्य है क्योंकि 1907 में रायपुर अधिवेशन में कांग्रेस विभाजित हुई थी। हालाँकि, कारण असत्य है क्योंकि इस अधिवेशन की अध्यक्षता केलकर ने की थी। हरि सिंह गौर स्वागत अध्यक्ष थे और वे नरमपंथी गुट के थे, न कि गरमपंथी।"
"Who was the first elected member from Chhattisgarh in the Legislative Assembly of the Central Province in 1913 from the Municipal Constituencies?","1913 में मध्य प्रांत की विधान सभा में नगर निगम निर्वाचन क्षेत्रों से छत्तीसगढ़ के प्रथम निर्वाचित सदस्य कौन थे?","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Nathmal Munim","नथमल मुनीम","Vaman Rao Lakhe","वामन राव लाखे","C.M. Thakkar","सी.एम. ठक्कर","2","In the Legislative Assembly Election of the Central Province of 1913, Nathmal Munim was the first elected member representing Chhattisgarh from the Municipal Constituencies of Nagpur and Chhattisgarh.","1913 के मध्य प्रांत के विधान सभा चुनाव में, नागपुर और छत्तीसगढ़ के नगर निगम निर्वाचन क्षेत्रों से नथमल मुनीम छत्तीसगढ़ का प्रतिनिधित्व करने वाले प्रथम निर्वाचित सदस्य थे।"
"Which of the following pairs regarding the establishment of early libraries and reading clubs in Chhattisgarh is NOT correctly matched?","छत्तीसगढ़ में प्रारंभिक पुस्तकालयों और रीडिंग क्लबों की स्थापना के संबंध में निम्नलिखित में से कौन सा युग्म सही सुमेलित नहीं है?","Saraswati Library - Rajnandgaon","सरस्वती पुस्तकालय - राजनांदगांव","Anand Samaj Library - Raipur","आनंद समाज पुस्तकालय - रायपुर","Buddhi Prakash Sabha - Bilaspur","बुद्धि प्रकाश सभा - बिलासपुर","Malini Reading Club - Durg","मालिनी रीडिंग क्लब - दुर्ग","4","The Malini Reading Club was established in Raipur in 1899, not in Durg. The Saraswati Library was in Rajnandgaon, Anand Samaj in Raipur, and Buddhi Prakash Sabha in Bilaspur.","मालिनी रीडिंग क्लब की स्थापना 1899 में रायपुर में हुई थी, न कि दुर्ग में। सरस्वती पुस्तकालय राजनांदगांव में, आनंद समाज रायपुर में और बुद्धि प्रकाश सभा बिलासपुर में स्थित थी।"
"Consider the following statements regarding the Surat Session of the Indian National Congress (1907):\n\n1. Pt. Sundarlal Sharma and Dr. Shivram Munje represented Chhattisgarh in this session.\n\n2. Narayanrao Meghawale also participated in this session.\n\n3. The Congress split into Moderates and Extremists during this session.\n\nChoose the correct answer:","भारतीय राष्ट्रीय कांग्रेस के सूरत अधिवेशन (1907) के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इस अधिवेशन में छत्तीसगढ़ का प्रतिनिधित्व पं. सुंदरलाल शर्मा और डॉ. शिवराम मुंजे ने किया था।\n\n2. नारायणराव मेघावाले ने भी इस अधिवेशन में भाग लिया था।\n\n3. इस अधिवेशन के दौरान कांग्रेस नरम दल और गरम दल में विभाजित हो गई।\n\nसही उत्तर चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are correct. Pt. Sundarlal Sharma, Dr. Shivram Munje, and Narayanrao Meghawale represented Chhattisgarh in the 1907 Surat Session, which famously resulted in the historic split between Moderates and Extremists.","सभी कथन सही हैं। 1907 के सूरत अधिवेशन में पं. सुंदरलाल शर्मा, डॉ. शिवराम मुंजे और नारायणराव मेघावाले ने छत्तीसगढ़ का प्रतिनिधित्व किया था, और इसी अधिवेशन में नरमपंथियों और गरमपंथियों के बीच ऐतिहासिक विभाजन हुआ था।"
"Match the following sessions of the Indian National Congress where leaders from Chhattisgarh participated, with their respective Presidents:\n\nList-I\n(a) Bombay Session (1889)\n(b) Nagpur Session (1891)\n(c) Calcutta Session (1906)\n(d) Bankipur Session (1912)\n\nList-II\n(i) Dadabhai Naoroji\n(ii) Sir William Wedderburn\n(iii) R.N. Madholkar\n(iv) P. Anandacharlu\n\nCodes:","भारतीय राष्ट्रीय कांग्रेस के निम्नलिखित अधिवेशनों (जिनमें छत्तीसगढ़ के नेताओं ने भाग लिया) को उनके संबंधित अध्यक्षों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) बंबई अधिवेशन (1889)\n(b) नागपुर अधिवेशन (1891)\n(c) कलकत्ता अधिवेशन (1906)\n(d) बांकीपुर अधिवेशन (1912)\n\nसूची-II\n(i) दादाभाई नौरोजी\n(ii) सर विलियम वेडरबर्न\n(iii) आर.एन. माधोलकर\n(iv) पी. आनंदचारलू\n\nकूट:","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(iv), (c)-(iii), (d)-(i)","(a)-(ii), (b)-(iv), (c)-(iii), (d)-(i)","(a)-(i), (b)-(iv), (c)-(ii), (d)-(iii)","(a)-(i), (b)-(iv), (c)-(ii), (d)-(iii)","1","The 1889 Bombay session was presided over by Sir William Wedderburn; 1891 Nagpur by P. Anandacharlu; 1906 Calcutta by Dadabhai Naoroji; and 1912 Bankipur by R.N. Madholkar.","1889 के बंबई अधिवेशन की अध्यक्षता सर विलियम वेडरबर्न ने की थी; 1891 के नागपुर अधिवेशन की पी. आनंदचारलू ने; 1906 के कलकत्ता अधिवेशन की दादाभाई नौरोजी ने; और 1912 के बांकीपुर अधिवेशन की आर.एन. माधोलकर ने।"
"Under whose leadership was the 'Kanyakubj Mahasabha' established in Raipur in 1912 to propagate nationalism?","राष्ट्रवाद का प्रचार करने के लिए 1912 में रायपुर में 'कान्यकुब्ज महासभा' की स्थापना किसके नेतृत्व में की गई थी?","Vaman Rao Lakhe","वामन राव लाखे","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","C.M. Thakkar","सी.एम. ठक्कर","Madhav Rao Sapre","माधव राव सप्रे","2","The Kanyakubj Mahasabha was successfully established in Raipur in 1912 by Pt. Ravishankar Shukla with the primary objective of propagating nationalism among the regional masses.","कान्यकुब्ज महासभा की स्थापना 1912 में रायपुर में पं. रविशंकर शुक्ल द्वारा सफलतापूर्वक की गई थी, जिसका मुख्य उद्देश्य क्षेत्रीय जनता के बीच राष्ट्रवाद का प्रचार करना था।"
