Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"According to the epigraphical records, Mahashivgupt Balarjuna received his formal initiation (Diksha) from the acharyas of which specific religious sect, prompting him to assume the title 'Param Maheshwar'?","पुरालेखीय अभिलेखों के अनुसार, महाशिवगुप्त बालार्जुन ने किस विशिष्ट धार्मिक संप्रदाय के आचार्यों से औपचारिक दीक्षा प्राप्त की थी, जिससे प्रेरित होकर उन्होंने 'परम महेश्वर' की उपाधि धारण की?","Vaishnava Sect","वैष्णव संप्रदाय","Shaiva Sect","शैव संप्रदाय","Buddhism (Mahayana)","बौद्ध धर्म (महायान)","Shakta Sect","शाक्त संप्रदाय","2","Mahashivgupt Balarjuna was a devout follower of Shaivism. He took formal initiation from Pramathacharya of the Shaiva sect and proudly adopted the title 'Param Maheshwar', distinguishing himself from his Vaishnava predecessors.","महाशिवगुप्त बालार्जुन शैव धर्म के प्रबल अनुयायी थे। उन्होंने शैव संप्रदाय के प्रमथाचार्य से औपचारिक दीक्षा ली और अपने वैष्णव पूर्ववर्तियों से अलग खुद को स्थापित करते हुए गर्व से 'परम महेश्वर' की उपाधि अपनाई।"
"While his predecessors used the 'Gaja-Lakshmi' motif, what specific symbols prominently replaced it on the royal seals and repoussé coins of Mahashivgupt Balarjuna?","जबकि उनके पूर्ववर्तियों ने 'गज-लक्ष्मी' आकृति का उपयोग किया था, महाशिवगुप्त बालार्जुन की शाही मुहरों और रिपोसे सिक्कों पर किन विशिष्ट प्रतीकों ने इसे प्रमुखता से बदल दिया?","Garuda and Shankha","गरुड़ और शंख","Varaha and Chakra","वराह और चक्र","Kukudman Vrishabh (Nandi) and Trishul","कुकुदमान वृषभ (नंदी) और त्रिशूल","Lion and Sun","सिंह और सूर्य","3","Reflecting his strong Shaivite faith, Mahashivgupt Balarjuna completely replaced the traditional Vaishnava symbol (Gaja-Lakshmi/Garuda) with the Shaivite symbols of a seated Nandi (Kukudman Vrishabh) and a Trishul on his royal seals and coins.","अपने मजबूत शैव विश्वास को दर्शाते हुए, महाशिवगुप्त बालार्जुन ने अपनी शाही मुहरों और सिक्कों पर पारंपरिक वैष्णव प्रतीक (गज-लक्ष्मी/गरुड़) को पूरी तरह से बैठे हुए नंदी (कुकुदमान वृषभ) और त्रिशूल के शैव प्रतीकों से बदल दिया।"
"Who was the highly celebrated court poet of Mahashivgupt Balarjuna, credited with composing several of his major epigraphical eulogies in Sirpur?","महाशिवगुप्त बालार्जुन का अत्यधिक प्रसिद्ध दरबारी कवि कौन था, जिसे सिरपुर में उनके कई प्रमुख पुरालेखीय स्तुतियों की रचना करने का श्रेय दिया जाता है?","Devanandi","देवनंदी","Chintaturank Ishan","चिंतातुरंक ईशान","Narayan Kavi","नारायण कवि","Bhavabhuti","भवभूति","2","The renowned poet 'Chintaturank Ishan' adorned the royal court of Mahashivgupt Balarjuna. He composed beautifully crafted Sanskrit verses for the stone inscriptions found in Sirpur, detailing the dynasty's glory.","प्रसिद्ध कवि 'चिंतातुरंक ईशान' महाशिवगुप्त बालार्जुन के शाही दरबार की शोभा बढ़ाते थे। उन्होंने सिरपुर में पाए गए शिलालेखों के लिए खूबसूरती से तैयार किए गए संस्कृत छंदों की रचना की, जिसमें राजवंश की महिमा का विवरण दिया गया।"
"Queen Vasata Devi, who constructed the iconic Lakshman Temple in Sirpur during Balarjuna's reign, originally belonged to which illustrious North Indian dynasty?","रानी वसाटा देवी, जिन्होंने बालार्जुन के शासनकाल के दौरान सिरपुर में प्रतिष्ठित लक्ष्मण मंदिर का निर्माण कराया था, मूल रूप से किस शानदार उत्तर भारतीय राजवंश से संबंधित थीं?","Guptas of Magadha","मगध के गुप्त","Maukharis of Kannauj","कन्नौज के मौखरी","Pushyabhutis of Thanesar","थानेसर के पुष्यभूति","Vakatakas of Nandivardhana","नंदीवर्धन के वाकाटक","2","Vasata Devi was the daughter of the Maukhari king Suryavarman of Magadha/Kannauj. Her marriage to the Panduvanshi king Harshagupta brought significant political prestige to the Sirpur dynasty.","वसाटा देवी मगध/कन्नौज के मौखरी राजा सूर्यवर्मन की पुत्री थीं। पांडुवंशी राजा हर्षगुप्त के साथ उनके विवाह ने सिरपुर राजवंश को महत्वपूर्ण राजनीतिक प्रतिष्ठा दिलाई।"
"Consider the following statements regarding the Lakshman Temple of Sirpur:\n\n1. It was constructed by Queen Vasata Devi in memory of her late husband.\n2. It is an exquisite example of Nagara style architecture built using red bricks.\n3. It is primarily dedicated to Lord Shiva.\n\nWhich of the statement(s) is/are INCORRECT?","सिरपुर के लक्ष्मण मंदिर के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका निर्माण रानी वसाटा देवी ने अपने दिवंगत पति की याद में करवाया था।\n2. यह लाल ईंटों का उपयोग करके निर्मित नागर शैली की वास्तुकला का एक उत्कृष्ट उदाहरण है।\n3. यह मुख्य रूप से भगवान शिव को समर्पित है।\n\nकौन सा/से कथन गलत है/हैं?","Only 1","केवल 1","Only 2","केवल 2","Only 3","केवल 3","1, 2, and 3","1, 2, और 3","3","Statements 1 and 2 are factually accurate. Statement 3 is incorrect because, despite the Shaivite leanings of her son Balarjuna, Vasata Devi was a Vaishnavite, and the Lakshman Temple is dedicated to Lord Vishnu.","कथन 1 और 2 तथ्यात्मक रूप से सटीक हैं। कथन 3 गलत है क्योंकि अपने पुत्र बालार्जुन के शैव झुकाव के बावजूद, वसाटा देवी वैष्णव थीं, और लक्ष्मण मंदिर भगवान विष्णु को समर्पित है।"
"During his extensive travels in 639 AD, how did the Chinese pilgrim Hiuen Tsang specifically describe the religious disposition of Mahashivgupt Balarjuna in his travelogue 'Si-Yu-Ki'?","639 ई. में अपनी व्यापक यात्राओं के दौरान, चीनी तीर्थयात्री ह्वेनसांग ने अपने यात्रा वृत्तांत 'सी-यू-की' में महाशिवगुप्त बालार्जुन के धार्मिक स्वभाव का विशेष रूप से वर्णन कैसे किया?","As an orthodox Shaivite who persecuted Buddhists.","एक कट्टर शैव के रूप में जिसने बौद्धों को सताया।","As a Kshatriya king who was highly sympathetic and tolerant towards Buddhism.","एक क्षत्रिय राजा के रूप में जो बौद्ध धर्म के प्रति अत्यधिक सहानुभूतिपूर्ण और सहिष्णु था।","As a monarch who formally converted to Mahayana Buddhism.","एक सम्राट के रूप में जिसने औपचारिक रूप से महायान बौद्ध धर्म अपना लिया था।","As a Vaishnavite who strictly restricted Buddhist practices.","एक वैष्णव के रूप में जिसने बौद्ध प्रथाओं को सख्ती से प्रतिबंधित किया।","2","Hiuen Tsang was deeply impressed by Balarjuna. He recorded that although the king belonged to the Kshatriya caste and was a Hindu (Shaivite), he exhibited immense religious tolerance and lavishly patronized Buddhist institutions.","ह्वेनसांग बालार्जुन से बहुत प्रभावित थे। उन्होंने दर्ज किया कि यद्यपि राजा क्षत्रिय जाति के थे और हिंदू (शैव) थे, उन्होंने अपार धार्मिक सहिष्णुता का प्रदर्शन किया और बौद्ध संस्थानों को भव्य संरक्षण दिया।"
"The historical reconstruction of the obscure Somvanshi dynasty of Mekal relies heavily on the Bamhani copper plate. Who is universally recognized as the founder and first ruler of this branch?","मैकल के अल्पज्ञात सोमवंशी राजवंश का ऐतिहासिक पुनर्निर्माण बम्हनी ताम्रपत्र पर बहुत अधिक निर्भर करता है। इस शाखा के संस्थापक और प्रथम शासक के रूप में सार्वभौमिक रूप से किसे मान्यता प्राप्त है?","Surabal","सूरबल","Bharatbal","भरतबल","Jayabal","जयबल","Nagabal","नागबल","3","According to the genealogies provided in the Bamhani and Malhar copper plates, Jayabal is explicitly mentioned as the founding ancestor (Aadipurush) of the Somvanshi branch that ruled the Mekal (Amarkantak) region.","बम्हनी और मल्हार ताम्रपत्रों में दी गई वंशावली के अनुसार, जयबल का स्पष्ट रूप से मैकल (अमरकंटक) क्षेत्र पर शासन करने वाली सोमवंशी शाखा के संस्थापक पूर्वज (आदिपुरुष) के रूप में उल्लेख किया गया है।"
"Which ambitious ruler of the Mekal Somvanshi dynasty forged a strategic matrimonial alliance by marrying the Sharabhpuriya princess Lokprakasha?","मैकल सोमवंशी राजवंश के किस महत्वाकांक्षी शासक ने शरभपुरीय राजकुमारी लोकप्रकाशा से विवाह करके एक रणनीतिक वैवाहिक गठबंधन बनाया था?","Nagabal","नागबल","Bharatbal","भरतबल","Surabal","सूरबल","Vatsabal","वत्सबल","2","Bharatbal, the prominent ruler of the Mekal Somvansh, married Lokprakasha, a princess from the powerful Amararya Kula (Sharabhpuriya dynasty). This high-profile alliance is documented in his son's Bamhani copper plate.","मैकल सोमवंश के प्रमुख शासक भरतबल ने शक्तिशाली अमरार्य कुल (शरभपुरीय राजवंश) की राजकुमारी लोकप्रकाशा से विवाह किया था। इस हाई-प्रोफाइल गठबंधन का दस्तावेजीकरण उनके पुत्र के बम्हनी ताम्रपत्र में किया गया है।"
"In the epigraphical records found at Malhar and Bamhani, which Somvanshi ruler of Mekal is uniquely addressed by his fierce alternate title 'Udirnavairya'?","मल्हार और बम्हनी में पाए गए पुरालेखीय अभिलेखों में, मैकल के किस सोमवंशी शासक को विशिष्ट रूप से उसकी उग्र वैकल्पिक उपाधि 'उदीर्णवैरय' से संबोधित किया गया है?","Jayabal","जयबल","Nagabal","नागबल","Surabal","सूरबल","Bharatbal","भरतबल","3","Surabal, the son of Bharatbal and Lokprakasha, is explicitly referred to by his martial title 'Udirnavairya' (destroyer of formidable enemies) in the Malhar copper plate.","भरतबल और लोकप्रकाशा के पुत्र सूरबल को स्पष्ट रूप से मल्हार ताम्रपत्र में उनकी युद्धक उपाधि 'उदीर्णवैरय' (दुर्जेय दुश्मनों का नाश करने वाला) द्वारा संदर्भित किया गया है।"
"The Tahankapar copper plate, issued dynamically in the Kalchuri Samvat 965 and 966, serves as a crucial epigraphical source for which Somvanshi ruler of Kanker?","कलचुरी संवत् 965 और 966 में गतिशील रूप से जारी किया गया तहणकापार ताम्रपत्र, कांकेर के किस सोमवंशी शासक के लिए एक महत्वपूर्ण पुरालेखीय स्रोत के रूप में कार्य करता है?","Bhanudev","भानुदेव","Pamparaj","पम्पराज","Vyaghraj","व्याघ्रराज","Singhraj","सिंहराज","2","The Tahankapar copper plate was issued by the Kanker Somvanshi ruler Pamparaj. The use of the Kalchuri Era (965/966) in his charter proves that the Kanker rulers eventually accepted the overarching suzerainty of the Ratanpur Kalchuris.","तहणकापार ताम्रपत्र कांकेर के सोमवंशी शासक पम्पराज द्वारा जारी किया गया था। उनके चार्टर में कलचुरी युग (965/966) का उपयोग यह साबित करता है कि कांकेर के शासकों ने अंततः रतनपुर कलचुरियों की व्यापक अधीनता स्वीकार कर ली थी।"
