Quiz Title (English): Chhattisgarh Current Affairs (January 2026) Part-2
Quiz Title (Hindi): छत्तीसगढ़ करेंट अफेयर्स (जनवरी 2026) भाग-2
Quiz Description (English): This is Part 2 of the master quiz covering Chhattisgarh's critical current affairs for January 2026. Designed for CGPSC Prelims, it meticulously tests candidates on recent schemes, archaeological discoveries, sporting events, and administrative updates.
Quiz Description (Hindi): यह मास्टर क्विज़ जनवरी 2026 के लिए छत्तीसगढ़ के महत्वपूर्ण करेंट अफेयर्स को कवर करने वाला भाग 2 है। सीजीपीएससी प्रारंभिक परीक्षा के लिए डिज़ाइन किया गया यह सेट हालिया योजनाओं, पुरातात्विक खोजों, खेल आयोजनों और प्रशासनिक अपडेट पर उम्मीदवारों का परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Consider the following statements regarding the recent archaeological discoveries at Reva village:\n\n1. Scientific carbon dating confirms the site belongs to the Iron Age, approximately 800 BC.\n2. The findings suggest the human civilization here predates the Buddha era by 200 years.\n3. The site is located in the Arang tehsil of Raipur district.\n\nChoose the correct answer:","रीवा गांव में हाल ही में हुई पुरातात्विक खोजों के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. वैज्ञानिक कार्बन डेटिंग पुष्टि करती है कि यह स्थल लगभग 800 ईसा पूर्व लौह युग का है।\n2. निष्कर्षों से पता चलता है कि यहां मानव सभ्यता बुद्ध काल से 200 साल पहले की है।\n3. यह स्थल रायपुर जिले की आरंग तहसील में स्थित है।\n\nसही उत्तर चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. Radio carbon dating of charcoal samples from Reva (Arang, Raipur) confirmed the settlement is from 800 BC (Iron Age), pre-dating the Buddha and Mahavira era (600 BC) by 200 years.","सभी कथन सही हैं। रीवा (आरंग, रायपुर) से प्राप्त चारकोल के नमूनों की रेडियो कार्बन डेटिंग ने पुष्टि की कि यह बस्ती 800 ईसा पूर्व (लौह युग) की है, जो बुद्ध और महावीर काल (600 ईसा पूर्व) से 200 साल पुरानी है।"
"Match the host cities with the respective sports events for the First Khelo India National Tribal Games 2026:\n\nList-I (Sports)\n(a) Hockey\n(b) Football & Swimming\n(c) Wrestling, Archery & Weightlifting\n\nList-II (Host Location)\n(i) Surguja\n(ii) Raipur\n(iii) Bilaspur\n\nCodes:","प्रथम खेलो इंडिया राष्ट्रीय जनजातीय खेल 2026 के लिए मेजबान शहरों को उनके संबंधित खेल आयोजनों के साथ सुमेलित करें:\n\nसूची-I (खेल)\n(a) हॉकी\n(b) फुटबॉल और तैराकी\n(c) कुश्ती, तीरंदाजी और भारोत्तोलन\n\nसूची-II (मेजबान स्थान)\n(i) सरगुजा\n(ii) रायपुर\n(iii) बिलासपुर\n\nकूट:","a-ii, b-iii, c-i","a-ii, b-iii, c-i","a-i, b-ii, c-iii","a-i, b-ii, c-iii","a-iii, b-i, c-ii","a-iii, b-i, c-ii","a-ii, b-i, c-iii","a-ii, b-i, c-iii",1,"According to the proposed schedule, Raipur hosted Hockey, Bilaspur hosted Football and Swimming, and Surguja division hosted Wrestling, Archery, and Weightlifting.","प्रस्तावित कार्यक्रम के अनुसार, रायपुर ने हॉकी की, बिलासपुर ने फुटबॉल और तैराकी की, और सरगुजा संभाग ने कुश्ती, तीरंदाजी और भारोत्तोलन की मेजबानी की।"
"Assertion (A): The Forest Department has initiated high-resolution satellite tracking of vultures in the Indravati Tiger Reserve.\n\nReason (R): It aims to secure and monitor their activities across a 10,000 sq km active area to formulate better conservation plans.\n\nCodes:","कथन (A): वन विभाग ने इंद्रावती टाइगर रिजर्व में गिद्धों की उच्च-रिज़ॉल्यूशन सैटेलाइट ट्रैकिंग शुरू की है।\n\nकारण (R): इसका उद्देश्य बेहतर संरक्षण योजनाएं बनाने के लिए 10,000 वर्ग किमी के सक्रिय क्षेत्र में उनकी गतिविधियों को सुरक्षित और मॉनिटर करना है।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is not the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है",1,"Both A and R are correct, and R explains A. For the first time in the state, satellite tracking of two vultures was conducted in Indravati Tiger Reserve to gather high-quality data points over a 10,000 sq km area.","A और R दोनों सही हैं, और R, A की व्याख्या करता है। राज्य में पहली बार, 10,000 वर्ग किमी क्षेत्र में उच्च गुणवत्ता वाले डेटा बिंदु एकत्र करने के लिए इंद्रावती टाइगर रिजर्व में दो गिद्धों की सैटेलाइट ट्रैकिंग की गई थी।"
"Which of the following statements about the recently launched 'Bastar Munne Abhiyan' is NOT correct?","हाल ही में शुरू किए गए 'बस्तर मुन्ने अभियान' के बारे में निम्नलिखित में से कौन सा कथन सही नहीं है?","The literal meaning of 'Bastar Munne' is 'Leading Bastar' (Agrani Bastar).","'बस्तर मुन्ने' का शाब्दिक अर्थ 'अग्रणी बस्तर' (Leading Bastar) है।","The campaign was officially launched on 1st May 2026.","यह अभियान आधिकारिक तौर पर 1 मई 2026 को शुरू किया गया था।","The campaign is being implemented across all 33 districts of the state to promote tribal culture globally.","जनजातीय संस्कृति को विश्व स्तर पर बढ़ावा देने के लिए यह अभियान राज्य के सभी 33 जिलों में लागू किया जा रहा है।","It aims to provide 100% benefits of 31 welfare schemes to the public under the Niyat Nellanar scheme.","इसका उद्देश्य नियत नेल्लानार योजना के तहत जनता को 31 कल्याणकारी योजनाओं का 100% लाभ प्रदान करना है।",3,"The statement is incorrect because the campaign is specifically targeted and implemented only within the districts of the Bastar division, not across all 33 districts of the state.","यह कथन गलत है क्योंकि यह अभियान विशेष रूप से लक्षित है और केवल बस्तर संभाग के जिलों में लागू किया जा रहा है, न कि राज्य के सभी 33 जिलों में।"
"The 'Chinhari Pariyojana' (Chinhari Project) in Chhattisgarh is an initiative primarily handled by which state department?","छत्तीसगढ़ में 'चिन्हारी परियोजना' मुख्य रूप से किस राज्य विभाग द्वारा संचालित एक पहल है?","Panchayat and Rural Development Department","पंचायत एवं ग्रामीण विकास विभाग","Tribal and Scheduled Caste Development Department","आदिम जाति तथा अनुसूचित जाति विकास विभाग","Culture Department","संस्कृति विभाग","Commerce and Industry Department","वाणिज्य और उद्योग विभाग",3,"The 'Chinhari Pariyojana' is handled by the Culture Department. It aims to digitally record and identify folk artists, sculptors, singers, and dancers of Chhattisgarh to provide them economic and structural benefits.","'चिन्हारी परियोजना' संस्कृति विभाग द्वारा संचालित है। इसका उद्देश्य छत्तीसगढ़ के लोक कलाकारों, मूर्तिकारों, गायकों और नर्तकों को आर्थिक और संरचनात्मक लाभ प्रदान करने के लिए उन्हें डिजिटल रूप से पंजीकृत करना और पहचानना है।"
"To improve mathematical proficiency among primary school students (Classes 3 and 4), the 'Jash Learn' program was initiated in which block of Jashpur district?","प्राथमिक विद्यालय के छात्रों (कक्षा 3 और 4) के बीच गणितीय दक्षता में सुधार करने के लिए, जशपुर जिले के किस विकासखंड में 'जश लर्न' (Jash Learn) कार्यक्रम शुरू किया गया था?","Kunkuri Block","कुनकुरी विकासखंड","Pathalgaon Block","पत्थलगांव विकासखंड","Kansabel Block","कांसाबेल विकासखंड","Bagicha Block","बगीचा विकासखंड",4,"The 'Jash Learn' program was officially launched by CM Vishnu Deo Sai in the Bagicha block of Jashpur district specifically to enhance mathematical skills in 3rd and 4th-grade students.","'जश लर्न' कार्यक्रम को आधिकारिक तौर पर मुख्यमंत्री विष्णु देव साय द्वारा जशपुर जिले के बगीचा विकासखंड में विशेष रूप से तीसरी और चौथी कक्षा के छात्रों में गणित कौशल बढ़ाने के लिए शुरू किया गया था।"
"Under the WDC-PMKSY 2.0, a Lift Irrigation Project was declared a 'Success Model' at the national level. This highlighted project belongs to which district of Chhattisgarh?","WDC-PMKSY 2.0 के तहत, एक लिफ्ट इरिगेशन (उद्वहन सिंचाई) प्रोजेक्ट को राष्ट्रीय स्तर पर 'सक्सेस मॉडल' घोषित किया गया था। यह चर्चित प्रोजेक्ट छत्तीसगढ़ के किस जिले का है?","Balod","बालोद","Dhamtari","धमतरी","Gariaband","गरियाबंद","Bemetara","बेमेतरा",2,"The Lift Irrigation Project developed under the Watershed Development Component of Pradhan Mantri Krishi Sinchayee Yojana (WDC-PMKSY 2.0) in Dhamtari district has been declared a success model.","धमतरी जिले में प्रधानमंत्री कृषि सिंचाई योजना (WDC-PMKSY 2.0) के वाटरशेड विकास घटक के तहत विकसित लिफ्ट इरिगेशन प्रोजेक्ट को एक सक्सेस मॉडल घोषित किया गया है।"
"At the National Federation Senior Athletics Championship 2026 held in Ranchi, Chhattisgarh's sprinter Animesh Kujur set a new national record in the 100-meter dash. What was his exact record time?","रांची में आयोजित नेशनल फेडरेशन सीनियर एथलेटिक्स चैंपियनशिप 2026 में, छत्तीसगढ़ के धावक अनिमेष कुजूर ने 100 मीटर दौड़ में नया राष्ट्रीय रिकॉर्ड बनाया। उनका सटीक रिकॉर्ड समय क्या था?","10.11 seconds","10.11 सेकंड","10.15 seconds","10.15 सेकंड","10.17 seconds","10.17 सेकंड","10.21 seconds","10.21 सेकंड",2,"Animesh Kujur from Jashpur district, Chhattisgarh, set a new national record by completing the 100-meter sprint in exactly 10.15 seconds at the Ranchi championship.","छत्तीसगढ़ के जशपुर जिले के अनिमेष कुजूर ने रांची चैंपियनशिप में 100 मीटर की दौड़ को ठीक 10.15 सेकंड में पूरा करके एक नया राष्ट्रीय रिकॉर्ड बनाया।"
"The 11th edition of the 'Bahurupiya Mahotsav', a unique cultural festival, was organized in which of the following districts of Chhattisgarh?","एक अनूठे सांस्कृतिक उत्सव, 11वें 'बहुरूपिया महोत्सव' का आयोजन छत्तीसगढ़ के निम्नलिखित में से किस जिले में किया गया था?","Koriya","कोरिया","Manendragarh-Chirmiri-Bharatpur (MCB)","मनेंद्रगढ़-चिरमिरी-भरतपुर (MCB)","Surguja","सरगुजा","Jashpur","जशपुर",2,"The 11th Bahurupiya Mahotsav, celebrating traditional disguise artists and folk culture, was organized exclusively in the Manendragarh-Chirmiri-Bharatpur (MCB) district.","पारंपरिक भेष बदलने वाले कलाकारों और लोक संस्कृति का जश्न मनाने वाला 11वां बहुरूपिया महोत्सव विशेष रूप से मनेंद्रगढ़-चिरमिरी-भरतपुर (MCB) जिले में आयोजित किया गया था।"
"The state's first-ever 'Finance Lab' is being established in which district to promote financial literacy and modern economic practices?","वित्तीय साक्षरता और आधुनिक आर्थिक प्रथाओं को बढ़ावा देने के लिए राज्य की पहली 'फाइनेंस लैब' (Finance Lab) किस जिले में स्थापित की जा रही है?","Raipur","रायपुर","Durg","दुर्ग","Baloda Bazar","बलौदाबाजार","Bilaspur","बिलासपुर",3,"Chhattisgarh's first Finance Lab is being established in the Baloda Bazar district to enhance financial education and practical training.","वित्तीय शिक्षा और व्यावहारिक प्रशिक्षण को बढ़ाने के लिए छत्तीसगढ़ की पहली फाइनेंस लैब बलौदाबाजार जिले में स्थापित की जा रही है।"
