Quiz Title (English): Chhattisgarh Current Affairs (March-April 2026) Part 3
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (मार्च-अप्रैल 2026) भाग 3
Quiz Description (English): Master the dynamic CGPSC Prelims current affairs with Part 3 of the March-April 2026 quiz. This examiner-aligned set rigorously tests your knowledge of the latest state schemes, ecological discoveries, tribunals, and key cultural events.
Quiz Description (Hindi): मार्च-अप्रैल 2026 क्विज़ के भाग 3 के साथ डायनामिक सीजीपीएससी प्रारंभिक परीक्षा करेंट अफेयर्स में महारत हासिल करें। यह परीक्षक-संरेखित सेट नवीनतम राज्य योजनाओं, पारिस्थितिक खोजों, न्यायाधिकरणों और प्रमुख सांस्कृतिक कार्यक्रमों के आपके ज्ञान का कड़ाई से परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the rare copper plate found in Malhar under the 'Gyan Bharatam' campaign:\n\n1. It is a 2000-year-old copper plate belonging to Panduvanshi ruler Mahashivgupt Balarjun.\n\n2. The inscription on it is exclusively in the Sanskrit language and Devanagari script.\n\nWhich of the above is/are correct?","'ज्ञान भारतम' अभियान के तहत मल्हार में पाए गए दुर्लभ ताम्रपत्र के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह पांडुवंशीय शासक महाशिवगुप्त बालार्जुन का 2000 वर्ष पुराना ताम्रपत्र है।\n\n2. इस पर उत्कीर्ण लेख विशेष रूप से संस्कृत भाषा और देवनागरी लिपि में है।\n\nउपरोक्त में से कौन सा/से सही है/हैं?","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","न तो 1 और न ही 2","1","Statement 1 is correct. The 2000-year-old copper plate discovered in Malhar belongs to Mahashivgupt Balarjun. Statement 2 is incorrect because the inscription on the plate is actually in the Pali language and Brahmi script, not Sanskrit.","कथन 1 सही है। मल्हार में खोजा गया 2000 वर्ष पुराना ताम्रपत्र महाशिवगुप्त बालार्जुन का है। कथन 2 गलत है क्योंकि ताम्रपत्र पर उत्कीर्ण लेख वास्तव में संस्कृत नहीं, बल्कि पाली भाषा और ब्राह्मी लिपि में है।"
"In the 133rd episode of the radio program 'Mann Ki Baat' (April 2026), PM Narendra Modi praised the successful conservation of Blackbucks (Kala Hiran) in which wildlife sanctuary of Chhattisgarh?","रेडियो कार्यक्रम 'मन की बात' के 133वें एपिसोड (अप्रैल 2026) में, पीएम नरेंद्र मोदी ने छत्तीसगढ़ के किस वन्यजीव अभयारण्य में काले हिरण (Blackbuck) के सफल संरक्षण की प्रशंसा की?","Barnawapara Wildlife Sanctuary","बारनवापारा वन्यजीव अभयारण्य","Achanakmar Wildlife Sanctuary","अचानकमार वन्यजीव अभयारण्य","Gomarda Wildlife Sanctuary","गोमर्डा वन्यजीव अभयारण्य","Tamor Pingla Wildlife Sanctuary","तमोर पिंगला वन्यजीव अभयारण्य","1","PM Modi highlighted the conservation efforts at the Barnawapara Wildlife Sanctuary, where the population of locally extinct Blackbucks has successfully been revived to around 200.","पीएम मोदी ने बारनवापारा वन्यजीव अभयारण्य में संरक्षण प्रयासों पर प्रकाश डाला, जहां स्थानीय रूप से विलुप्त हो चुके काले हिरणों की आबादी को सफलतापूर्वक लगभग 200 तक पुनर्जीवित कर लिया गया है।"
"Match the following portals/apps recently launched in Chhattisgarh with their core objectives:\n\nList-I\n(a) Seva Setu\n(b) Aushadhi Darpan\n(c) Shram Sathi\n(d) Setu App\n\nList-II\n(i) Survey of PVTG families\n(ii) 441 citizen services on a single platform\n(iii) Real-time tracking of medicine availability\n(iv) Direct access to schemes for laborers\n\nCodes:","हाल ही में छत्तीसगढ़ में लॉन्च किए गए निम्नलिखित पोर्टल/ऐप्स को उनके मूल उद्देश्यों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) सेवा सेतु\n(b) औषधि दर्पण\n(c) श्रम साथी\n(d) सेतु ऐप\n\nसूची-II\n(i) पीवीटीजी (PVTG) परिवारों का सर्वेक्षण\n(ii) एक ही मंच पर 441 नागरिक सेवाएं\n(iii) दवाओं की उपलब्धता की रियल-टाइम ट्रैकिंग\n(iv) श्रमिकों के लिए योजनाओं तक सीधी पहुंच\n\nकूट:","a-ii, b-iii, c-iv, d-i","a-ii, b-iii, c-iv, d-i","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-ii, b-iv, c-iii, d-i","a-ii, b-iv, c-iii, d-i","1","Seva Setu integrates 441 services, Aushadhi Darpan tracks medicines, Shram Sathi connects laborers to schemes, and Setu App is used for the socio-economic survey of PVTG families.","सेवा सेतु 441 सेवाओं को एकीकृत करता है, औषधि दर्पण दवाओं को ट्रैक करता है, श्रम साथी श्रमिकों को योजनाओं से जोड़ता है, और सेतु ऐप का उपयोग पीवीटीजी परिवारों के सामाजिक-आर्थिक सर्वेक्षण के लिए किया जाता है।"
"The 'Painted Leopard Gecko', a rare nocturnal lizard species primarily found in the Eastern Ghats, was recently discovered for the first time in Chhattisgarh at which location?","'पेंटेड लेपर्ड गेको' (Painted Leopard Gecko), एक दुर्लभ निशाचर छिपकली प्रजाति जो मुख्य रूप से पूर्वी घाटों में पाई जाती है, हाल ही में छत्तीसगढ़ में पहली बार किस स्थान पर खोजी गई?","Dilmili Railway Station (Bastar)","डिलमिली रेलवे स्टेशन (बस्तर)","Kanger Valley (Bastar)","कांगेर घाटी (बस्तर)","Mainpat (Surguja)","मैनपाट (सरगुजा)","Kurssel Ghati (Narayanpur)","खुरसेल घाटी (नारायणपुर)","1","The Painted Leopard Gecko was spotted for the first time in Chhattisgarh by an alert station master at the Dilmili Railway Station in the Bastar district.","पेंटेड लेपर्ड गेको को पहली बार छत्तीसगढ़ में बस्तर जिले के डिलमिली रेलवे स्टेशन पर एक सतर्क स्टेशन मास्टर द्वारा देखा गया था।"
"The 'Gondwana Cup Tournament', organized from 5 to 10 April 2026 at the International Academy in Jora (Raipur), is associated with which sport?","5 से 10 अप्रैल 2026 तक जोरा (रायपुर) की इंटरनेशनल एकेडमी में आयोजित 'गोंडवाना कप टूर्नामेंट', किस खेल से संबंधित है?","Tennis","टेनिस","Badminton","बैडमिंटन","Table Tennis","टेबल टेनिस","Squash","स्क्वैश","1","The historic Gondwana Cup is a prestigious Tennis tournament organized by the Chhattisgarh State Tennis Association. The 2026 edition was held in Raipur.","ऐतिहासिक गोंडवाना कप छत्तीसगढ़ स्टेट टेनिस एसोसिएशन द्वारा आयोजित एक प्रतिष्ठित टेनिस टूर्नामेंट है। 2026 का संस्करण रायपुर में आयोजित किया गया था।"
"Under the 'Niyat Nellanaar Yojana 2.0' announced in April 2026, the scheme's coverage was expanded from 7 districts to 10 districts. Which of the following districts is NOT among the newly added districts?","अप्रैल 2026 में घोषित 'नियत नेल्लानार योजना 2.0' के तहत, योजना का दायरा 7 जिलों से बढ़ाकर 10 जिलों तक कर दिया गया। निम्नलिखित में से कौन सा जिला नए जोड़े गए जिलों में से नहीं है?","Kondagaon","कोंडागांव","Gariaband","गरियाबंद","Khairagarh-Chhuikhadan-Gandai","खैरागढ़-छुईखदान-गंडई","Mohla-Manpur-Ambagarh Chowki","मोहला-मानपुर-अंबागढ़ चौकी","1","Kondagaon was already part of the original 7 districts of the Bastar division under the scheme. The three newly added districts are Gariaband, KCG, and MMA Chowki.","कोंडागांव योजना के तहत बस्तर संभाग के मूल 7 जिलों का पहले से ही हिस्सा था। तीन नए जोड़े गए जिले गरियाबंद, केसीजी (KCG) और एमएमए (MMA) चौकी हैं।"
"What is the primary operational strategy of the 'Bastar Munne' (Leading Bastar) campaign launched in April 2026?","अप्रैल 2026 में शुरू किए गए 'बस्तर मुन्ने' (अग्रणी बस्तर) अभियान की प्राथमिक परिचालन रणनीति क्या है?","Gram Sabhas will prioritize 3 out of 8-10 basic infrastructure needs for targeted development.","ग्राम सभाएं लक्षित विकास के लिए 8-10 बुनियादी ढांचे की जरूरतों में से 3 को प्राथमिकता देंगी।","Setting up English medium schools in all Maoist-affected villages.","सभी माओवाद प्रभावित गांवों में अंग्रेजी माध्यम के स्कूल स्थापित करना।","Providing free smartphones to tribal youth.","आदिवासी युवाओं को मुफ्त स्मार्टफोन प्रदान करना।","Establishing 100 new police camps within a 5 km radius.","5 किमी के दायरे में 100 नए पुलिस कैंप स्थापित करना।","1","Under 'Bastar Munne', the government aims to provide basic amenities, but the Gram Sabha is empowered to select and prioritize 3 out of 8-10 infrastructure needs for immediate execution.","'बस्तर मुन्ने' के तहत, सरकार का लक्ष्य बुनियादी सुविधाएं प्रदान करना है, लेकिन ग्राम सभा को तत्काल निष्पादन के लिए 8-10 बुनियादी ढांचे की जरूरतों में से 3 का चयन करने और प्राथमिकता देने का अधिकार है।"
"According to the Panchayat Advancement Index (PAI 2.0) released by the Central Government, which Gram Panchayat secured the first position in Chhattisgarh?","केंद्र सरकार द्वारा जारी पंचायत विकास सूचकांक (PAI 2.0) के अनुसार, किस ग्राम पंचायत ने छत्तीसगढ़ में प्रथम स्थान प्राप्त किया?","Jhalmala Panchayat (Balod)","झलमला पंचायत (बालोद)","Sardih Panchayat (Jashpur)","सरडीह पंचायत (जशपुर)","Sankra Panchayat (Dhamtari)","सांकरा पंचायत (धमतरी)","Mandrod Panchayat (Dhamtari)","मंदरोद पंचायत (धमतरी)","1","Jhalmala Gram Panchayat in Balod district secured the first position in Chhattisgarh with an impressive PAI score of 78.77 under the Panchayat Advancement Index 2.0.","बालोद जिले की झलमला ग्राम पंचायत ने पंचायत विकास सूचकांक 2.0 के तहत 78.77 के प्रभावशाली PAI स्कोर के साथ छत्तीसगढ़ में प्रथम स्थान प्राप्त किया।"
"The 'Bhandar Mudiya Pen Yatra', a grand tribal festival held once every 10 years featuring the unique 'Devkhelni' tradition, was organized recently in which district?","'भंडार मुड़िया पेन यात्रा', जो हर 10 साल में एक बार आयोजित होने वाला एक भव्य आदिवासी त्योहार है जिसमें अनूठी 'देवखेलनी' परंपरा होती है, हाल ही में किस जिले में आयोजित किया गया था?","Narayanpur","नारायणपुर","Bijapur","बीजापुर","Sukma","सुकमा","Dantewada","दंतेवाड़ा","1","The Bhandar Mudiya Pen Yatra was grandly organized in Naumunjmeta village of Narayanpur district, known for the rare 'Devkhelni' tradition involving iron chains.","भंडार मुड़िया पेन यात्रा का आयोजन नारायणपुर जिले के नौमुंजमेटा गांव में भव्य रूप से किया गया था, जो लोहे की जंजीरों से जुड़ी दुर्लभ 'देवखेलनी' परंपरा के लिए जाना जाता है।"
"Assertion (A): The Chief Secretary of Chhattisgarh has directed the implementation of the 'JOSH Model' across all districts of the state.\n\nReason (R): It is an innovative sanitation and self-employment model initiated in the Khadgava block (MCB) where 'Swachhata Prahari' youths clean community toilets for a service fee of Rs 200 per unit.\n\nCodes:","कथन (A): छत्तीसगढ़ के मुख्य सचिव ने राज्य के सभी जिलों में 'जोश मॉडल' (JOSH Model) को लागू करने का निर्देश दिया है।\n\nकारण (R): यह खड़गवां ब्लॉक (MCB) में शुरू किया गया एक अभिनव स्वच्छता और स्वरोजगार मॉडल है जहां 'स्वच्छता प्रहरी' युवा प्रति इकाई 200 रुपये के सेवा शुल्क पर सामुदायिक शौचालयों की सफाई करते हैं।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","The JOSH (Journey of Sanitation Hygiene) model successfully linked sanitation with youth employment in MCB district, prompting the Chief Secretary to order its statewide implementation.","जोश (JOSH - स्वच्छता स्वच्छता की यात्रा) मॉडल ने एमसीबी जिले में स्वच्छता को युवा रोजगार के साथ सफलतापूर्वक जोड़ा, जिससे मुख्य सचिव ने इसे राज्य भर में लागू करने का आदेश दिया।"
