Quiz Title: British Protectorate Period & Agnew's Reforms (1818–1830)
Quiz Title (Hindi): ब्रिटिश संरक्षण काल और एगन्यू के सुधार (1818-1830)
Quiz Description: Evaluate your preparation on the British Protectorate era in Chhattisgarh, covering the tenures of various Superintendents, Agnew's administrative changes, and the Tahutdari system.
Quiz Description (Hindi): छत्तीसगढ़ में ब्रिटिश संरक्षण काल पर अपनी तैयारी का मूल्यांकन करें, जिसमें विभिन्न अधीक्षकों के कार्यकाल, एगन्यू के प्रशासनिक परिवर्तन और ताहूतदारी व्यवस्था शामिल हैं।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Who was appointed as the first British Superintendent of Chhattisgarh in 1818 under the British protectorate over the Bhonsle Kingdom?","भोंसले साम्राज्य पर ब्रिटिश संरक्षण के अंतर्गत 1818 में छत्तीसगढ़ के प्रथम ब्रिटिश अधीक्षक के रूप में किसे नियुक्त किया गया था?","Capt. P. Vans Agnew","कैप्टन पी. वांस एगन्यू","Capt. Edmund","कैप्टन एडमण्ड","Major Sandis","मेजर सैंडिस","Capt. Crawford","कैप्टन क्रॉफर्ड","2","Captain Edmund was the first British Superintendent appointed in Chhattisgarh in 1818, marking the beginning of the British Protectorate period.","कैप्टन एडमण्ड को 1818 में छत्तीसगढ़ में नियुक्त प्रथम ब्रिटिश अधीक्षक बनाया गया था, जो ब्रिटिश संरक्षण काल की शुरुआत का प्रतीक है।"
"Which significant revolt occurred during the brief tenure of the first British Superintendent Capt. Edmund in 1818?","प्रथम ब्रिटिश अधीक्षक कैप्टन एडमण्ड के संक्षिप्त कार्यकाल (1818) के दौरान कौन सा महत्वपूर्ण विद्रोह हुआ था?","Paralkot Revolt","परलकोट विद्रोह","Dhamdha Gond Revolt","धमधा का गोंड विद्रोह","Dongargarh Zamindari Revolt","डोंगरगढ़ जमींदारी विद्रोह","Tarapur Revolt","तारापुर विद्रोह","3","The Dongargarh Zamindari revolt took place in 1818 during Capt. Edmund's tenure. It was instigated by Appa Saheb and suppressed diplomatically with the help of the Khairagarh Zamindar.","डोंगरगढ़ जमींदारी विद्रोह 1818 में कैप्टन एडमण्ड के कार्यकाल में हुआ था। यह अप्पा साहेब द्वारा भड़काया गया था और खैरागढ़ जमींदार की मदद से कूटनीतिक रूप से दबा दिया गया था।"
"In which year did Capt. P. Vans Agnew shift the administrative capital of Chhattisgarh from Ratanpur to Raipur?","कैप्टन पी. वांस एगन्यू ने छत्तीसगढ़ की प्रशासनिक राजधानी रतनपुर से रायपुर किस वर्ष स्थानांतरित की थी?","1818 A.D.","1818 ई.","1820 A.D.","1820 ई.","1825 A.D.","1825 ई.","1830 A.D.","1830 ई.","1","Capt. Agnew shifted the capital from Ratanpur to Raipur in 1818 A.D. due to Raipur's central location and commercial importance.","कैप्टन एगन्यू ने रायपुर के केंद्रीय स्थान और वाणिज्यिक महत्व के कारण 1818 ई. में राजधानी को रतनपुर से रायपुर स्थानांतरित कर दिया था।"
"How many Parganas were retained by Capt. Agnew after significantly reorganizing the 27 Parganas created by Subedar Vithal Rao Dinkar?","सूबेदार विट्ठल राव दिनकर द्वारा बनाए गए 27 परगनों को काफी हद तक पुनर्गठित करने के बाद कैप्टन एगन्यू ने कितने परगने बनाए रखे?","5 initially, later increased to 6","शुरू में 5, बाद में बढ़ाकर 6 किए गए","8 initially, later increased to 9","शुरू में 8, बाद में बढ़ाकर 9 किए गए","7 initially, later increased to 9","शुरू में 7, बाद में बढ़ाकर 9 किए गए","12 initially, later increased to 15","शुरू में 12, बाद में बढ़ाकर 15 किए गए","2","Agnew delimited the 27 Parganas to 8 initially. Later, in 1820, a new Pargana (Balod) was created, bringing the total to 9.","एगन्यू ने शुरुआत में 27 परगनों को सीमित कर 8 कर दिया। बाद में, 1820 में एक नया परगना (बालोद) बनाया गया, जिससे कुल संख्या 9 हो गई।"
"According to the Pargana reorganization by Capt. Agnew, which of the following was the smallest Pargana?","कैप्टन एगन्यू द्वारा परगना पुनर्गठन के अनुसार, निम्नलिखित में से कौन सा सबसे छोटा परगना था?","Balod","बालोद","Kharod","खरौद","Rajhara","राजहरा","Navagarh","नवागढ़","3","Among the 9 reorganized Parganas under Agnew, Raipur was the largest and oldest, while Rajhara was the smallest and newest.","एगन्यू के तहत 9 पुनर्गठित परगनों में, रायपुर सबसे बड़ा और सबसे पुराना था, जबकि राजहरा सबसे छोटा और सबसे नया था।"
"Which new Pargana was created and added to the existing 8 Parganas by Capt. Agnew in the year 1820?","वर्ष 1820 में कैप्टन एगन्यू द्वारा मौजूदा 8 परगनों में कौन सा नया परगना बनाकर जोड़ा गया था?","Durg","दुर्ग","Dhamdha","धमधा","Balod","बालोद","Sirpur","सिरपुर","3","Balod was created as a new Pargana in 1820 A.D., increasing the total number of Parganas from 8 to 9 under Agnew's administration.","बालोद को 1820 ई. में एक नए परगने के रूप में बनाया गया था, जिससे एगन्यू के प्रशासन के तहत परगनों की कुल संख्या 8 से बढ़कर 9 हो गई।"
"Consider the following statements regarding the administrative reforms of Capt. Agnew:\n\n1. He abolished the post of Patel.\n2. He abolished the post of Gauntiya.\n3. He appointed an Ameen in every Pargana.\n\nChoose the correct answer:","कैप्टन एगन्यू के प्रशासनिक सुधारों के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उन्होंने पटेल का पद समाप्त कर दिया।\n2. उन्होंने गोटिया का पद समाप्त कर दिया।\n3. उन्होंने प्रत्येक परगने में एक अमीन की नियुक्ति की।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","3","Statements 1 and 3 are correct. Statement 2 is incorrect because Agnew kept the traditional post of 'Gauntiya' (village head) intact while abolishing the Maratha-created post of 'Patel'.","कथन 1 और 3 सही हैं। कथन 2 गलत है क्योंकि एगन्यू ने मराठों द्वारा बनाए गए 'पटेल' के पद को समाप्त करते हुए 'गोटिया' (ग्राम प्रमुख) के पारंपरिक पद को बरकरार रखा था।"
"Match List-I (British Superintendent) with List-II (Key Event/Reform):\n\nList-I\n(a) Capt. Edmund\n(b) Capt. Agnew\n(c) Capt. Sandis\n(d) Capt. Crawford\n\nList-II\n(i) Transition of power to Zilhedar\n(ii) Introduction of Tahutdari system\n(iii) Suppression of Dongargarh revolt\n(iv) Capital shifted to Raipur\n\nCodes:","सूची-I (ब्रिटिश अधीक्षक) को सूची-II (मुख्य घटना/सुधार) से सुमेलित कीजिए:\n\nसूची-I\n(a) कैप्टन एडमण्ड\n(b) कैप्टन एगन्यू\n(c) कैप्टन सैंडिस\n(d) कैप्टन क्रॉफर्ड\n\nसूची-II\n(i) जिलेदार को सत्ता का हस्तांतरण\n(ii) ताहूतदारी व्यवस्था की शुरुआत\n(iii) डोंगरगढ़ विद्रोह का दमन\n(iv) रायपुर में राजधानी का स्थानांतरण\n\nकूट:","a-iii, b-iv, c-ii, d-i","a-iii, b-iv, c-ii, d-i","a-iv, b-iii, c-i, d-ii","a-iv, b-iii, c-i, d-ii","a-iii, b-ii, c-iv, d-i","a-iii, b-ii, c-iv, d-i","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","1","Edmund suppressed the Dongargarh revolt. Agnew shifted the capital to Raipur. Sandis introduced the Tahutdari system. Crawford transferred power back to the Maratha Zilhedar.","एडमण्ड ने डोंगरगढ़ विद्रोह को दबाया। एगन्यू ने राजधानी रायपुर स्थानांतरित की। सैंडिस ने ताहूतदारी प्रणाली शुरू की। क्रॉफर्ड ने मराठा जिलेदार को सत्ता वापस सौंप दी।"
"Which of the following revolts did NOT take place during the tenure of Capt. P. Vans Agnew (1818-1825)?","निम्नलिखित में से कौन सा विद्रोह कैप्टन पी. वांस एगन्यू (1818-1825) के कार्यकाल के दौरान नहीं हुआ था?","Gond Revolt of Dhamdha","धमधा का गोंड विद्रोह","Paralkot Revolt","परलकोट विद्रोह","Sonakhan Revolt of Ram Sai","राम साय का सोनाखान विद्रोह","Tarapur Revolt","तारापुर विद्रोह","4","The Tarapur Revolt occurred between 1842-1854, well after Agnew's tenure. The Dhamdha Gond revolt (1818-25), Sonakhan revolt (1819), and Paralkot revolt (1824-25) happened under Agnew.","तारापुर विद्रोह 1842-1854 के बीच हुआ था, जो एगन्यू के कार्यकाल के काफी बाद की बात है। धमधा गोंड विद्रोह (1818-25), सोनाखान विद्रोह (1819) और परलकोट विद्रोह (1824-25) एगन्यू के अधीन हुए थे।"
"Who introduced the Postal and Telegram system in Chhattisgarh during the British Protectorate period?","ब्रिटिश संरक्षण काल के दौरान छत्तीसगढ़ में डाक और तार (टेलीग्राम) प्रणाली की शुरुआत किसने की थी?","Capt. Agnew","कैप्टन एगन्यू","Capt. Sandis","कैप्टन सैंडिस","Charles Elliot","चार्ल्स इलियट","Richard Jenkins","रिचर्ड जेनकिंस","2","Capt. Sandis (1825-1828) introduced the Postal and Telegram system in Chhattisgarh, alongside initiating the Tahutdari system.","कैप्टन सैंडिस (1825-1828) ने ताहूतदारी प्रणाली शुरू करने के साथ-साथ छत्तीसगढ़ में डाक और तार (टेलीग्राम) प्रणाली की शुरुआत की थी।"
