Quiz Title (English): Chhattisgarh Current Affairs (February 2026) Part-1
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी भाग-1 (फरवरी 2026)
Quiz Description (English): Master the latest Chhattisgarh Current Affairs for February 2026, strictly aligned with the CGPSC Prelims pattern. This comprehensive set covers key state policies, events, appointments, and dynamic data to test your factual clarity.
Quiz Description (Hindi): सीजीपीएससी प्रारंभिक परीक्षा के पैटर्न पर आधारित फरवरी 2026 के छत्तीसगढ़ करेंट अफेयर्स का अभ्यास करें। यह सेट राज्य की प्रमुख नीतियों, घटनाओं, नियुक्तियों और डायनामिक डेटा को कवर करता है, जो आपकी तैयारी को और मजबूत करेगा।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"When was Chhattisgarh's first space center inaugurated under 'Project Antariksh Sangwari', and who is its brand ambassador?","'प्रोजेक्ट अंतरिक्ष संगवारी' के तहत छत्तीसगढ़ के पहले अंतरिक्ष केंद्र का उद्घाटन कब किया गया, और इसके ब्रांड एंबेसडर कौन हैं?","3 February 2026, Capt. Shubhanshu Shukla","3 फरवरी 2026, कैप्टन शुभांशु शुक्ला","1 February 2026, Rakesh Sharma","1 फरवरी 2026, राकेश शर्मा","5 February 2026, Ravish Malhotra","5 फरवरी 2026, रवीश मल्होत्रा","10 February 2026, Kalpana Chawla","10 फरवरी 2026, कल्पना चावला","1","Chhattisgarh's first space center was inaugurated on 3 February 2026 at Government Higher Secondary School, Rakhi, Nawa Raipur. Group Captain Shubhanshu Shukla (India's second astronaut) is its brand ambassador.","छत्तीसगढ़ के पहले अंतरिक्ष केंद्र का उद्घाटन 3 फरवरी 2026 को शासकीय उच्चतर माध्यमिक विद्यालय, राखी, नवा रायपुर में किया गया। ग्रुप कैप्टन शुभांशु शुक्ला इसके ब्रांड एंबेसडर हैं।"
"Consider the following statements about Copra Reservoir:\n\n1. It has been declared as the 96th Ramsar site of India.\n\n2. It is the first Ramsar site of Chhattisgarh.\n\n3. It is located in the Bilaspur district.\n\nChoose the correct answer:","कोपरा जलाशय के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसे भारत का 96वां रामसर साइट घोषित किया गया है।\n\n2. यह छत्तीसगढ़ का पहला रामसर साइट है।\n\n3. यह बिलासपुर जिले में स्थित है।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are correct. Copra Reservoir in Bilaspur district has been officially declared as India's 96th and Chhattisgarh's first Ramsar site, promoting wetland conservation.","सभी कथन सही हैं। बिलासपुर जिले के कोपरा जलाशय को भारत का 96वां और छत्तीसगढ़ का पहला रामसर साइट (आर्द्रभूमि) घोषित किया गया है।"
"In which tehsil of Korba district is Chhattisgarh's first lithium mine being started, which was auctioned by the Central Government recently?","कोरबा जिले की किस तहसील में छत्तीसगढ़ की पहली लिथियम खदान शुरू की जा रही है, जिसकी नीलामी हाल ही में केंद्र सरकार द्वारा की गई है?","Pali","पाली","Podi Uprora","पोड़ी उपरोड़ा","Katghora","कटघोरा","Kartala","करतला","3","The Central Government has auctioned the lithium and rare mineral block in Katghora tehsil of Korba district, making Chhattisgarh the first state in the country to auction a lithium mine.","केंद्र सरकार द्वारा कोरबा जिले के कटघोरा तहसील अंतर्गत लिथियम खदान की नीलामी की गई है, जिससे छत्तीसगढ़ लिथियम खदान की नीलामी करने वाला देश का पहला राज्य बन गया है।"
"According to the Chhattisgarh Economic Survey 2025-26, what is the estimated per capita income of the state?","छत्तीसगढ़ आर्थिक सर्वेक्षण 2025-26 के अनुसार, राज्य की अनुमानित प्रति व्यक्ति आय कितनी है?","Rs. 1,65,232","1,65,232 रुपये","Rs. 1,79,244","1,79,244 रुपये","Rs. 1,41,040","1,41,040 रुपये","Rs. 1,72,000","1,72,000 रुपये","2","As per the Economic Survey 2025-26, Chhattisgarh's per capita income is estimated at Rs 1,79,244, which is 10.07% higher than the previous financial year.","आर्थिक सर्वेक्षण 2025-26 के अनुसार छत्तीसगढ़ राज्य की प्रति व्यक्ति आय 1,79,244 रुपये होने का अनुमान है, जो पिछले वर्ष की तुलना में 10.07% अधिक है।"
"Match the following festivals held in Jan-Feb 2026 with their respective districts:\n\nList-I\n(a) Sirpur Mahotsav\n(b) Koriya Mahotsav\n(c) Jajalladev Mahotsav\n(d) Tatapani Mahotsav\n\nList-II\n(i) Mahasamund\n(ii) Koriya\n(iii) Janjgir-Champa\n(iv) Balrampur\n\nCodes:","जनवरी-फरवरी 2026 में आयोजित निम्नलिखित महोत्सवों को उनके संबंधित जिलों से सुमेलित कीजिए:\n\nसूची-I\n(a) सिरपुर महोत्सव\n(b) कोरिया महोत्सव\n(c) जाजल्लयदेव महोत्सव\n(d) तातापानी महोत्सव\n\nसूची-II\n(i) महासमुंद\n(ii) कोरिया\n(iii) जांजगीर-चांपा\n(iv) बलरामपुर\n\nकूट:","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-iv, b-iii, c-ii, d-i","a-iv, b-iii, c-ii, d-i","a-ii, b-i, c-iv, d-iii","a-ii, b-i, c-iv, d-iii","a-i, b-iii, c-ii, d-iv","a-i, b-iii, c-ii, d-iv","1","Sirpur is in Mahasamund, Koriya Mahotsav in Koriya, Jajalladev Lok Mahotsav in Janjgir-Champa, and Tatapani Mahotsav is held in Balrampur district on Makar Sankranti.","सिरपुर महासमुंद में, कोरिया महोत्सव कोरिया में, जाजल्लयदेव लोक महोत्सव जांजगीर-चांपा में, और तातापानी महोत्सव बलरामपुर जिले में आयोजित किया जाता है।"
"Who has been appointed as the new Vice Chairman of the Chhattisgarh State Niti Aayog in February 2026?","फरवरी 2026 में छत्तीसगढ़ राज्य नीति आयोग के नए उपाध्यक्ष के रूप में किसे नियुक्त किया गया है?","Shri Ajay Singh","श्री अजय सिंह","Shri Amitabh Jain","श्री अमिताभ जैन","Shri Ganesh Shankar Mishra","श्री गणेश शंकर मिश्रा","Shri Vivek Sharma","श्री विवेक शर्मा","3","Retired IAS officer Shri Ganesh Shankar Mishra was appointed as the Vice Chairman of the Chhattisgarh State Niti Aayog, filling the vacancy left after the retirement of Chief Secretary Amitabh Jain.","सेवानिवृत्त आईएएस अधिकारी श्री गणेश शंकर मिश्रा को छत्तीसगढ़ राज्य नीति आयोग का उपाध्यक्ष नियुक्त किया गया है। यह पद अमिताभ जैन के सेवानिवृत्त होने के बाद रिक्त था।"
"At which waterfall is the country's largest cantilever glass bridge (skywalk) proposed to be built at a cost of Rs 7 crore?","7 करोड़ रुपये की लागत से देश का सबसे बड़ा कैंटिलीवर स्काईवॉक (कांच का पुल) किस जलप्रपात पर बनाए जाने का प्रस्ताव है?","Tirathgarh Waterfall","तीरथगढ़ जलप्रपात","Chitrakote Waterfall","चित्रकोट जलप्रपात","Amritdhara Waterfall","अमृतधारा जलप्रपात","Kanger Waterfall","कांगेर जलप्रपात","2","The country's largest cantilever glass bridge (skywalk) will be constructed on the Chitrakote waterfall on the Indravati river in Bastar district at a proposed height of 150 feet.","बस्तर जिले में इंद्रावती नदी पर स्थित चित्रकोट जलप्रपात पर 150 फीट की ऊंचाई पर देश का सबसे बड़ा कैंटिलीवर स्काईवॉक (कांच का पुल) बनाया जाएगा।"
"Consider the following statements regarding the AI Data Center in Chhattisgarh:\n\n1. India's first AI-focused Data Center Park is being established in Sector 22, Nawa Raipur.\n\n2. An investment of Rs 1,000 crore has been made for this facility.\n\n3. Its capacity is more than 1 lakh GPU units and 150 MW of power.\n\nChoose the correct answer:","छत्तीसगढ़ में एआई डाटा सेंटर के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. भारत का पहला एआई केंद्रित डाटा सेंटर पार्क सेक्टर 22, नवा रायपुर में स्थापित किया जा रहा है।\n\n2. इस सुविधा के लिए 1,000 करोड़ रुपये का निवेश किया गया है।\n\n3. इसकी क्षमता 1 लाख से अधिक जीपीयू यूनिट और 150 मेगावाट बिजली है।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are correct. India's first AI-focused Data Center Park is being developed in Sector 22, Nawa Raipur with a 1000 crore investment and 150 MW power capacity.","सभी कथन सही हैं। भारत का पहला एआई केंद्रित डाटा सेंटर पार्क नवा रायपुर के सेक्टर 22 में 1000 करोड़ रुपये के निवेश से स्थापित किया जा रहा है।"
"On 28 February 2026, under the Krishak Unnati Yojana, from which block of Bilaspur did the Chief Minister transfer funds to the farmers' accounts?","28 फरवरी 2026 को कृषक उन्नति योजना के तहत मुख्यमंत्री ने बिलासपुर के किस विकासखंड से किसानों के खाते में राशि ट्रांसफर की?","Masturi block","मस्तूरी ब्लॉक","Kota block","कोटा ब्लॉक","Bilha block","बिल्हा ब्लॉक","Takhatpur block","तखतपुर ब्लॉक","3","On 28 February 2026, Chief Minister Vishnu Deo Sai transferred funds to 25.28 lakh farmers under the Krishak Unnati Yojana from Bilha block of Bilaspur.","28 फरवरी 2026 को मुख्यमंत्री विष्णु देव साय ने बिलासपुर के बिल्हा ब्लॉक से कृषक उन्नति योजना के तहत राज्य के 25.28 लाख कृषकों के खाते में राशि ट्रांसफर की।"
"On 10 February 2026, an MoU was signed between CHiPS Chhattisgarh and which organization for the establishment of a Center of Entrepreneurship?","10 फरवरी 2026 को सेंटर ऑफ एंटरप्रेन्योरशिप की स्थापना के लिए चिप्स (CHiPS) छत्तीसगढ़ और किस संस्था के बीच एमओयू (MoU) पर हस्ताक्षर किए गए?","NASSCOM","नैसकॉम (NASSCOM)","C-DAC","सी-डैक (C-DAC)","STPI","एसटीपीआई (STPI)","NIC","एनआईसी (NIC)","3","On 10 February 2026, an MoU was signed between CHiPS Chhattisgarh and Software Technology Parks of India (STPI) to boost entrepreneurship and electronics system design.","10 फरवरी 2026 को उद्यमिता को बढ़ावा देने और इलेक्ट्रॉनिक्स सिस्टम डिजाइन के विकास हेतु चिप्स छत्तीसगढ़ व एसटीपीआई (STPI) के बीच एमओयू पर हस्ताक्षर किए गए।"
"Assertion (A): Chhattisgarh secured the first position in the country in parent participation in 'Pariksha Pe Charcha 2026'.\n\nReason (R): The state government adopted innovative strategies like onsite registration and the Anganama Shiksha program to reduce exam stress.\n\nCodes:","कथन (A): 'परीक्षा पे चर्चा 2026' में अभिभावकों की भागीदारी में छत्तीसगढ़ ने देश में प्रथम स्थान प्राप्त किया।\n\nकारण (R): राज्य सरकार ने परीक्षा के तनाव को कम करने के लिए ऑनसाइट पंजीयन और अंगनामा शिक्षा कार्यक्रम जैसी नवाचार पूर्ण रणनीतियाँ अपनाईं।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","Chhattisgarh topped the nation in parent participation due to targeted local initiatives like Anganama Shiksha and youth club involvement to alleviate student exam pressure.","छत्तीसगढ़ ने देश भर में अभिभावकों की भागीदारी में प्रथम स्थान हासिल किया, जो राज्य सरकार द्वारा अपनाई गई अंगनामा शिक्षा और ऑनसाइट पंजीयन जैसी रणनीतियों का सीधा परिणाम था।"
