Quiz Title (English)
Renaissance, Journalism & Literature

Quiz Title (Hindi)
पुनर्जागरण, पत्रकारिता और साहित्य

Quiz Description (English)
Evaluate your knowledge of the early socio-literary awakening in Chhattisgarh with this targeted CGPSC Prelims quiz. Master the crucial details of pioneer journalists like Madhavrao Sapre, early newspapers, reading clubs, and nationalist literature that laid the foundation for the freedom struggle.

Quiz Description (Hindi)
इस लक्षित सीजीपीएससी प्रीलिम्स क्विज़ के साथ छत्तीसगढ़ में प्रारंभिक सामाजिक-साहित्यिक जागरण के अपने ज्ञान का मूल्यांकन करें। माधवराव सप्रे जैसे अग्रणी पत्रकारों, प्रारंभिक समाचार पत्रों, रीडिंग क्लबों और राष्ट्रवादी साहित्य के महत्वपूर्ण विवरणों में महारत हासिल करें जिन्होंने स्वतंत्रता संग्राम की नींव रखी।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Consider the following statements regarding 'Chhattisgarh Mitra':\n\n1. It was the first monthly magazine of Chhattisgarh, published from Pendra Road in 1900.\n\n2. It was jointly edited by Madhav Rao Sapre and Ramrao Chincholkar.\n\n3. The magazine was financially supported by Pt. Ravishankar Shukla.\n\nChoose the correct answer:","'छत्तीसगढ़ मित्र' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह छत्तीसगढ़ की पहली मासिक पत्रिका थी, जिसे 1900 में पेंड्रा रोड से प्रकाशित किया गया था।\n\n2. इसका संयुक्त संपादन माधव राव सप्रे और रामराव चिंचोलकर ने किया था।\n\n3. इस पत्रिका को पं. रविशंकर शुक्ल द्वारा वित्तीय सहायता प्रदान की गई थी।\n\nसही उत्तर चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. 'Chhattisgarh Mitra' was the first monthly newspaper published in 1900 from Pendra. However, statement 3 is incorrect because the proprietor and financier of this magazine was Vamanrao Lakhe, not Pt. Ravishankar Shukla.","कथन 1 और 2 सही हैं। 'छत्तीसगढ़ मित्र' 1900 में पेंड्रा से प्रकाशित पहला मासिक समाचार पत्र था। हालाँकि, कथन 3 गलत है क्योंकि इस पत्रिका के प्रोपराइटर और फाइनेंसर वामनराव लाखे थे, न कि पं. रविशंकर शुक्ल।"
"Which of the following prominent literary figures from Chhattisgarh is universally recognized as the pioneer of 'Chhayavad' (Romanticism) in Hindi poetry?","छत्तीसगढ़ की निम्नलिखित प्रमुख साहित्यिक हस्तियों में से किसे हिंदी कविता में 'छायावाद' के प्रवर्तक के रूप में सार्वभौमिक रूप से मान्यता प्राप्त है?","Pt. Lochan Prasad Pandey","पं. लोचन प्रसाद पांडेय","Mukutdhar Pandey","मुकुटधर पांडेय","Padumlal Punnalal Bakshi","पदुमलाल पुन्नालाल बख्शी","Dr. Kanhaiyalal Sharma","डॉ. कन्हैयालाल शर्मा","2","Mukutdhar Pandey is universally recognized as the pioneer (Janak) of 'Chhayavad' or Romanticism in Hindi poetry. His distinct literary style brought immense pride to Chhattisgarh's literary heritage.","मुकुटधर पांडेय को सार्वभौमिक रूप से हिंदी कविता में 'छायावाद' के जनक के रूप में मान्यता प्राप्त है। उनकी विशिष्ट साहित्यिक शैली ने छत्तीसगढ़ की साहित्यिक विरासत को अत्यधिक गौरव प्रदान किया।"
"Match the early journals/magazines of Chhattisgarh with their respective editors/publishers:\n\nList-I\n(a) Prajahitaishi (1889)\n(b) Suryoday (1915)\n(c) Rashtrabandhu (1910)\n(d) Hind Kesari (1907)\n\nList-II\n(i) Madhav Rao Sapre\n(ii) Thakur Pyarelal Singh\n(iii) Dr. Kanhaiyalal Sharma\n(iv) Bhagwandeen Sirothiya\n\nCodes:","छत्तीसगढ़ के प्रारंभिक पत्र/पत्रिकाओं को उनके संबंधित संपादकों/प्रकाशकों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) प्रजाहितैषी (1889)\n(b) सूर्योदय (1915)\n(c) राष्ट्रबंधु (1910)\n(d) हिंद केसरी (1907)\n\nसूची-II\n(i) माधव राव सप्रे\n(ii) ठाकुर प्यारेलाल सिंह\n(iii) डॉ. कन्हैयालाल शर्मा\n(iv) भगवानदीन सिरोठिया\n\nकूट:","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","1","'Prajahitaishi' was edited by Bhagwandeen Sirothiya; 'Suryoday' was a handwritten magazine by Dr. Kanhaiyalal Sharma; 'Rashtrabandhu' was published by Thakur Pyarelal Singh; and 'Hind Kesari' by Madhav Rao Sapre.","'प्रजाहितैषी' का संपादन भगवानदीन सिरोठिया ने किया था; 'सूर्योदय' डॉ. कन्हैयालाल शर्मा की हस्तलिखित पत्रिका थी; 'राष्ट्रबंधु' का प्रकाशन ठाकुर प्यारेलाल सिंह ने किया था; और 'हिंद केसरी' का प्रकाशन माधव राव सप्रे ने किया था।"
"The publication of 'Hind Kesari' in 1907 from Nagpur by Madhav Rao Sapre was deeply inspired by which of the following?","माधव राव सप्रे द्वारा 1907 में नागपुर से 'हिंद केसरी' का प्रकाशन निम्नलिखित में से किससे गहराई से प्रेरित था?","The 'Bande Mataram' newspaper of Aurobindo Ghosh","अरबिंदो घोष का 'वंदे मातरम' समाचार पत्र","The 'Kesari' magazine published by Lokmanya Tilak in Marathi","लोकमान्य तिलक द्वारा मराठी में प्रकाशित 'केसरी' पत्रिका","The 'Maratha' newspaper of Bal Gangadhar Tilak","बाल गंगाधर तिलक का 'मराठा' समाचार पत्र","The 'Yugantar' magazine of Barindra Kumar Ghosh","बारींद्र कुमार घोष की 'युगांतर' पत्रिका","2","Madhav Rao Sapre launched 'Hind Kesari' in 1907 from Nagpur in the Hindi language. It was heavily inspired by Lokmanya Tilak's famous Marathi magazine 'Kesari', serving to propagate the Swadeshi movement in the Hindi-speaking belt.","माधव राव सप्रे ने 1907 में नागपुर से हिंदी भाषा में 'हिंद केसरी' की शुरुआत की थी। यह लोकमान्य तिलक की प्रसिद्ध मराठी पत्रिका 'केसरी' से काफी प्रेरित थी, जो हिंदी भाषी बेल्ट में स्वदेशी आंदोलन का प्रचार करने का काम करती थी।"
"Assertion (A): Madhav Rao Sapre was arrested on 21 August 1908 by the British authorities on sedition charges.\n\nReason (R): He published highly provocative nationalist articles like 'Desh ki Durdasha' and 'Bomb-Gole ka Rahasya' in the Hind Kesari magazine.\n\nCodes:","कथन (A): माधव राव सप्रे को 21 अगस्त 1908 को ब्रिटिश अधिकारियों द्वारा राजद्रोह के आरोप में गिरफ्तार कर लिया गया था।\n\nकारण (R): उन्होंने हिंद केसरी पत्रिका में 'देश की दुर्दशा' और 'बम-गोले का रहस्य' जैसे अत्यधिक भड़काऊ राष्ट्रवादी लेख प्रकाशित किए थे।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is not the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","1","Both statements are true. Madhav Rao Sapre was arrested specifically because of the seditious and revolutionary nature of his articles 'Desh ki Durdasha', 'Bomb-Gole ka Rahasya', and 'Ye Upay Tikau Nahi' in the Hind Kesari.","दोनों कथन सत्य हैं। माधव राव सप्रे को विशेष रूप से हिंद केसरी में उनके लेखों 'देश की दुर्दशा', 'बम-गोले का रहस्य' और 'ये उपाय टिकाऊ नहीं' की राजद्रोही और क्रांतिकारी प्रकृति के कारण गिरफ्तार किया गया था।"
"Who among the following authored the renowned historical work 'Bastar Bhushan' in 1908?","निम्नलिखित में से किसने 1908 में प्रसिद्ध ऐतिहासिक कृति 'बस्तर भूषण' की रचना की थी?","Pt. Lochan Prasad Pandey","पं. लोचन प्रसाद पांडेय","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","Thakur Kedarnath","ठाकुर केदारनाथ","Lala Jagdalpuri","लाला जगदलपुरी","3","The historical work 'Bastar Bhushan' was authored by Thakur Kedarnath in 1908. It remains one of the most critical primary texts for understanding the history and tribal culture of the Bastar region.","ऐतिहासिक कृति 'बस्तर भूषण' की रचना 1908 में ठाकुर केदारनाथ ने की थी। यह बस्तर क्षेत्र के इतिहास और आदिवासी संस्कृति को समझने के लिए सबसे महत्वपूर्ण प्राथमिक ग्रंथों में से एक बना हुआ है।"
"In 1909, Thakur Pyarelal Singh established the 'Saraswati Library' in Rajnandgaon to awaken national consciousness. Who among the following actively assisted him in this endeavor?","1909 में, ठाकुर प्यारेलाल सिंह ने राष्ट्रीय चेतना जगाने के लिए राजनांदगांव में 'सरस्वती पुस्तकालय' की स्थापना की। निम्नलिखित में से किसने इस प्रयास में उनकी सक्रिय सहायता की?","Ramrao Chincholkar and Vamanrao Lakhe","रामराव चिंचोलकर और वामनराव लाखे","Rajulal Sharma and Chhabilal Choubey","राजूलाल शर्मा और छबीलाल चौबे","Master Shivlal and Shankar Khare","मास्टर शिवलाल और शंकर खरे","Pt. Sundarlal Sharma and Narayanrao Meghawale","पं. सुंदरलाल शर्मा और नारायणराव मेघावाले","2","Thakur Pyarelal Singh successfully founded the Saraswati Library in Rajnandgaon in 1909. In this vital intellectual endeavor, he was actively assisted by nationalist workers Rajulal Sharma and Chhabilal Choubey.","ठाकुर प्यारेलाल सिंह ने 1909 में राजनांदगांव में सफलतापूर्वक सरस्वती पुस्तकालय की स्थापना की। इस महत्वपूर्ण बौद्धिक प्रयास में, उन्हें राष्ट्रवादी कार्यकर्ताओं राजूलाल शर्मा और छबीलाल चौबे द्वारा सक्रिय रूप से सहायता प्रदान की गई थी।"
"Consider the following statements regarding the 'Prajahitaishi' newspaper:\n\n1. It was published in 1889-90 from the Rajnandgaon princely state.\n\n2. It was a state-sponsored newspaper published under the patronage of King Balram Das.\n\n3. It was edited by Pt. Lochan Prasad Pandey.\n\nChoose the correct answer:","'प्रजाहितैषी' समाचार पत्र के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह 1889-90 में राजनांदगांव रियासत से प्रकाशित हुआ था।\n\n2. यह राजा बलराम दास के संरक्षण में प्रकाशित एक राज्य-प्रायोजित समाचार पत्र था।\n\n3. इसका संपादन पं. लोचन प्रसाद पांडेय ने किया था।\n\nसही उत्तर चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are accurate as 'Prajahitaishi' was the first state-sponsored paper from Rajnandgaon under King Balram Das. Statement 3 is incorrect because its editor was Bhagwandeen Sirothiya, not Pt. Lochan Prasad Pandey.","कथन 1 और 2 सटीक हैं क्योंकि 'प्रजाहितैषी' राजा बलराम दास के अधीन राजनांदगांव का पहला राज्य-प्रायोजित पत्र था। कथन 3 गलत है क्योंकि इसके संपादक भगवानदीन सिरोठिया थे, न कि पं. लोचन प्रसाद पांडेय।"
"Which of the following socio-literary institutions was NOT established in Raipur during the late 19th century?","19वीं सदी के अंत में रायपुर में निम्नलिखित में से कौन सी सामाजिक-साहित्यिक संस्था स्थापित नहीं हुई थी?","Debate Committee (1857)","वाद-विवाद समिति (1857)","Scientific and Literary Association (1870)","वैज्ञानिक एवं साहित्यिक समिति (1870)","Buddhi Prakash Sabha (1870)","बुद्धि प्रकाश सभा (1870)","Malini Reading Club (1899)","मालिनी रीडिंग क्लब (1899)","3","The Buddhi Prakash Sabha was established in Bilaspur in 1870, not in Raipur. The Debate Committee, Scientific and Literary Association, and Malini Reading Club were all crucial early institutions founded in Raipur.","बुद्धि प्रकाश सभा की स्थापना 1870 में बिलासपुर में हुई थी, रायपुर में नहीं। वाद-विवाद समिति, वैज्ञानिक एवं साहित्यिक समिति, और मालिनी रीडिंग क्लब सभी रायपुर में स्थापित महत्वपूर्ण प्रारंभिक संस्थाएं थीं।"
"Arrange the following early literary and socio-political institutions of Chhattisgarh in chronological order of their establishment:\n\n1. Samitra Mandal (Rajim)\n\n2. Debate Committee (Raipur)\n\n3. Malini Reading Club (Raipur)\n\n4. Saraswati Library (Rajnandgaon)\n\nChoose the correct answer:","छत्तीसगढ़ की निम्नलिखित प्रारंभिक साहित्यिक और सामाजिक-राजनीतिक संस्थाओं को उनकी स्थापना के कालानुक्रमिक क्रम में व्यवस्थित करें:\n\n1. समित्र मंडल (राजिम)\n\n2. वाद-विवाद समिति (रायपुर)\n\n3. मालिनी रीडिंग क्लब (रायपुर)\n\n4. सरस्वती पुस्तकालय (राजनांदगांव)\n\nसही उत्तर चुनिए:","2, 3, 1, 4","2, 3, 1, 4","3, 2, 4, 1","3, 2, 4, 1","2, 1, 3, 4","2, 1, 3, 4","1, 2, 4, 3","1, 2, 4, 3","1","The correct chronological sequence is: Debate Committee, Raipur (1857); Malini Reading Club, Raipur (1899); Samitra Mandal, Rajim (1905-06); and Saraswati Library, Rajnandgaon (1909).","सही कालानुक्रमिक क्रम है: वाद-विवाद समिति, रायपुर (1857); मालिनी रीडिंग क्लब, रायपुर (1899); समित्र मंडल, राजिम (1905-06); और सरस्वती पुस्तकालय, राजनांदगांव (1909)।"
