Quiz Title (English)
Swaraj Party, Khadi & Constructive Work in CG

Quiz Title (Hindi)
स्वराज पार्टी, खादी और रचनात्मक कार्य (छत्तीसगढ़)

Quiz Description (English)
Test your knowledge on the constructive programs during the Non-Cooperation Movement in Chhattisgarh, including the promotion of Khadi, the establishment of National Schools and Ashrams, and the electoral achievements of the Swaraj Party.

Quiz Description (Hindi)
छत्तीसगढ़ में असहयोग आंदोलन के दौरान रचनात्मक कार्यक्रमों, खादी के प्रचार-प्रसार, राष्ट्रीय विद्यालयों और आश्रमों की स्थापना, तथा स्वराज पार्टी की चुनावी उपलब्धियों पर अपने ज्ञान का परीक्षण करें।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Match the following prominent leaders of the Swaraj Party with their respective regions in Chhattisgarh:\n\nList-I\n(a) Pt. Ravishankar Shukla\n(b) E. Raghavendra Rao\n(c) Ghanshyam Singh Gupta\n(d) Thakur Pyarelal Singh\n\nList-II\n(i) Bilaspur\n(ii) Durg\n(iii) Rajnandgaon\n(iv) Raipur\n\nCodes:","स्वराज पार्टी के निम्नलिखित प्रमुख नेताओं को छत्तीसगढ़ में उनके संबंधित क्षेत्रों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) पं. रविशंकर शुक्ल\n(b) ई. राघवेंद्र राव\n(c) घनश्याम सिंह गुप्त\n(d) ठाकुर प्यारेलाल सिंह\n\nसूची-II\n(i) बिलासपुर\n(ii) दुर्ग\n(iii) राजनांदगांव\n(iv) रायपुर\n\nकूट:","a-iv, b-i, c-ii, d-iii","a-iv, b-i, c-ii, d-iii","a-iv, b-ii, c-i, d-iii","a-iv, b-ii, c-i, d-iii","a-i, b-iv, c-iii, d-ii","a-i, b-iv, c-iii, d-ii","a-ii, b-iii, c-i, d-iv","a-ii, b-iii, c-i, d-iv",1,"In Chhattisgarh, the Swaraj Party was represented by Pt. Ravishankar Shukla (Raipur), E. Raghavendra Rao (Bilaspur), Ghanshyam Singh Gupta (Durg), and Thakur Pyarelal Singh (Rajnandgaon).","छत्तीसगढ़ में स्वराज पार्टी का प्रतिनिधित्व पं. रविशंकर शुक्ल (रायपुर), ई. राघवेंद्र राव (बिलासपुर), घनश्याम सिंह गुप्त (दुर्ग), और ठाकुर प्यारेलाल सिंह (राजनांदगांव) ने किया था।"
"In Chhattisgarh, under whose chairmanship was the Swaraj Party established in the Mahakoshal region?","छत्तीसगढ़ (महाकौशल क्षेत्र) में स्वराज पार्टी की स्थापना किसकी अध्यक्षता में की गई थी?","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","E. Raghavendra Rao","ई. राघवेंद्र राव","Seth Govind Das","सेठ गोविंद दास","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा",3,"The Swaraj Party was established in Chhattisgarh under the chairmanship of Seth Govind Das. E. Raghavendra Rao was its prominent leader, but the chairmanship was held by Seth Govind Das.","छत्तीसगढ़ में स्वराज पार्टी की स्थापना सेठ गोविंद दास की अध्यक्षता में की गई थी। ई. राघवेंद्र राव इसके प्रमुख नेता थे, लेकिन अध्यक्षता सेठ गोविंद दास के पास थी।"
"Consider the following statements regarding the Swaraj Party in Chhattisgarh:\n\n1. Pt. Sundarlal Sharma was one of the key founders of the Swaraj Party in Chhattisgarh.\n\n2. The 'Seva Samiti' actively supported the promotion of the Swaraj Party.\n\nChoose the correct answer:","छत्तीसगढ़ में स्वराज पार्टी के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. पं. सुंदरलाल शर्मा छत्तीसगढ़ में स्वराज पार्टी के प्रमुख संस्थापकों में से एक थे।\n\n2. 'सेवा समिति' ने स्वराज पार्टी के प्रचार-प्रसार में सक्रिय रूप से समर्थन किया।\n\nसही उत्तर चुनिए:","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","न तो 1 और न ही 2",2,"Statement 1 is incorrect because Pt. Sundarlal Sharma was NOT the founder of the Swaraj Party in Chhattisgarh. Statement 2 is correct as Seva Samiti supported its promotion.","कथन 1 गलत है क्योंकि पं. सुंदरलाल शर्मा छत्तीसगढ़ में स्वराज पार्टी के संस्थापक नहीं थे। कथन 2 सही है क्योंकि सेवा समिति ने इसके प्रचार में समर्थन दिया था।"
"In the Central Provinces and Berar Legislative Council elections of November 1923, how many seats did the Swaraj Party win out of the total 70 seats?","नवंबर 1923 के मध्य प्रांत और बरार विधान परिषद चुनावों में, स्वराज पार्टी ने कुल 70 सीटों में से कितनी सीटें जीती थीं?","32","32","38","38","42","42","48","48",3,"The Swaraj Party achieved an absolute majority in the Central Provinces and Berar Legislative Council elections of November 1923, winning 42 out of 70 seats.","नवंबर 1923 के मध्य प्रांत और बरार विधान परिषद चुनावों में स्वराज पार्टी ने 70 में से 42 सीटें जीतकर पूर्ण बहुमत प्राप्त किया था।"
"Which prominent leader from Chhattisgarh formed the 'Independent Congress Party' after a split in the Swaraj Party following the death of C.R. Das in 1925?","1925 में सी.आर. दास की मृत्यु के बाद स्वराज पार्टी में विभाजन होने पर छत्तीसगढ़ के किस प्रमुख नेता ने 'स्वतंत्र कांग्रेस पार्टी' (Independent Congress Party) का गठन किया?","Thakur Chhedilal","ठाकुर छेदीलाल","E. Raghavendra Rao","ई. राघवेंद्र राव","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Ghanshyam Singh Gupta","घनश्याम सिंह गुप्त",2,"Following ideological differences and the death of C.R. Das, the Swaraj Party split. E. Raghavendra Rao formed the Independent Congress Party in Chhattisgarh.","वैचारिक मतभेदों और सी.आर. दास की मृत्यु के बाद स्वराज पार्टी में विभाजन हो गया। ई. राघवेंद्र राव ने छत्तीसगढ़ में स्वतंत्र कांग्रेस पार्टी का गठन किया।"
"During the Non-Cooperation Movement, a Khadi Exhibition was organized in 1921 at Ravanbhata, Raipur. Who was the primary organizer of this exhibition?","असहयोग आंदोलन के दौरान, 1921 में रावणभाटा, रायपुर में एक खादी प्रदर्शनी का आयोजन किया गया था। इस प्रदर्शनी की मुख्य आयोजक कौन थीं?","Subhadra Kumari Chauhan","सुभद्रा कुमारी चौहान","Dr. Radhabai","डॉ. राधाबाई","Mrs. Anjum Begum","श्रीमती अंजुम बेगम","Minimata","मिनीमाता",3,"The Khadi Exhibition at Ravanbhata, Raipur, in 1921 was organized by Mrs. Anjum Begum to promote the use of Swadeshi goods.","1921 में रावणभाटा, रायपुर में खादी प्रदर्शनी का आयोजन श्रीमती अंजुम बेगम द्वारा स्वदेशी वस्तुओं के उपयोग को बढ़ावा देने के लिए किया गया था।"
"To promote Khadi during the Non-Cooperation Movement, the Raipur Congress Committee distributed free spinning wheels (Charkhas) to the public. How many spinning wheels were distributed?","असहयोग आंदोलन के दौरान खादी को बढ़ावा देने के लिए, रायपुर कांग्रेस कमेटी ने जनता को मुफ्त चरखे बांटे। कितने चरखे वितरित किए गए थे?","250","250","360","360","460","460","520","520",3,"The Raipur Congress Committee distributed exactly 460 spinning wheels (Charkhas) free of cost to promote Khadi and boycott foreign goods.","खादी को बढ़ावा देने और विदेशी वस्तुओं के बहिष्कार के लिए रायपुर कांग्रेस कमेटी ने ठीक 460 चरखे मुफ्त में बांटे थे।"
"On which date did the Raipur Municipal Corporation pass a resolution making it mandatory for school-going children to wear Khadi?","रायपुर नगर निगम ने किस तिथि को एक प्रस्ताव पारित कर स्कूली बच्चों के लिए खादी पहनना अनिवार्य कर दिया था?","1 August 1921","1 अगस्त 1921","7 October 1921","7 अक्टूबर 1921","15 October 1921","15 अक्टूबर 1921","5 February 1921","5 फरवरी 1921",1,"A significant resolution was passed by the Raipur Municipal Corporation on 1st August 1921, making Khadi mandatory for school-going children.","रायपुर नगर निगम द्वारा 1 अगस्त 1921 को एक महत्वपूर्ण प्रस्ताव पारित किया गया था, जिसमें स्कूली बच्चों के लिए खादी पहनना अनिवार्य कर दिया गया था।"
"Consider the following statements about the Khadi Production Center in Dhamtari (August 1921):\n\n1. It was established by Babu Chhotelal Shrivastava.\n\n2. Dau Domar Singh spun the yarn, while Banwari Lal Dewangan weaved the textile.\n\nWhich of the statements is/are correct?","धमतरी में खादी उत्पादन केंद्र (अगस्त 1921) के बारे में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसकी स्थापना बाबू छोटेलाल श्रीवास्तव ने की थी।\n\n2. दाऊ डोमार सिंह ने सूत काता, जबकि बनवारी लाल देवांगन ने कपड़ा बुना।\n\nउपरोक्त में से कौन सा/से कथन सही है/हैं?","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","न तो 1 और न ही 2",3,"Both statements are correct. Babu Chhotelal Shrivastava established it, and the textile weaved by Banwari Lal Dewangan from Dau Domar Singh's yarn was sent to the Raipur exhibition.","दोनों कथन सही हैं। बाबू छोटेलाल श्रीवास्तव ने इसकी स्थापना की थी, और दाऊ डोमार सिंह के सूत से बनवारी लाल देवांगन द्वारा बुने गए कपड़े को रायपुर प्रदर्शनी में भेजा गया था।"
"During the Non-Cooperation Movement, a 'Swadeshi Store' was opened near the Normal School (currently near the High Court) in Bilaspur. Who opened this store?","असहयोग आंदोलन के दौरान, बिलासपुर में नॉर्मल स्कूल (वर्तमान में उच्च न्यायालय के पास) के पास एक 'स्वदेशी स्टोर' खोला गया था। यह स्टोर किसने खोला था?","Pt. Shivdulare Mishra","पं. शिवदुलारे मिश्र","Kailash Saxena","कैलाश सक्सेना","Badrinath Sao","बद्रीनाथ साव","Yadunandan Prasad Shrivastava","यदुनंदन प्रसाद श्रीवास्तव",2,"Kailash Saxena opened a Swadeshi store at the Normal School in Bilaspur, where exclusively Swadeshi goods were sold for the promotion of Khadi.","कैलाश सक्सेना ने बिलासपुर के नॉर्मल स्कूल में एक स्वदेशी स्टोर खोला था, जहाँ खादी को बढ़ावा देने के लिए विशेष रूप से स्वदेशी सामान बेचा जाता था।"
