Quiz Title (English)
Tribal Uprisings: Tarapur & Meria Revolts

Quiz Title (Hindi)
जनजातीय विद्रोह: तारापुर और मेरिया विद्रोह

Quiz Description (English)
A highly targeted 30-question CGPSC quiz focusing exclusively on the Tarapur Revolt (1842-1854) and Meria Revolt (1842-1863). It tests intricate details regarding leaders, root causes, intervening officers, and specific historical outcomes under the Kakatiya rule.

Quiz Description (Hindi)
तारापुर विद्रोह (1842-1854) और मेरिया विद्रोह (1842-1863) पर विशेष रूप से केंद्रित 30 प्रश्नों का एक उच्च-स्तरीय सीजीपीएससी क्विज। यह काकतीय शासन के तहत नेताओं, मूल कारणों, हस्तक्षेप करने वाले अधिकारियों और विशिष्ट ऐतिहासिक परिणामों के बारे में आपके ज्ञान का परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Consider the following statements regarding the Tarapur Revolt (1842-1854):\n\n1. It took place during the reign of Kakatiya ruler Bhupal Dev.\n2. The revolt was led by Dalganjan Singh, who was the brother of the ruling king.\n3. The primary reason for the revolt was the imposition of the Meria practice.\n\nChoose the correct answer:","तारापुर विद्रोह (1842-1854) के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह काकतीय शासक भूपालदेव के शासनकाल में हुआ था।\n2. इस विद्रोह का नेतृत्व दलगंजन सिंह ने किया था, जो शासक राजा के भाई थे।\n3. इस विद्रोह का प्राथमिक कारण मेरिया प्रथा को लागू करना था।\n\nसही कथन चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","Statement 3 is incorrect because the Tarapur Revolt was caused by oppressive taxation (Takoli) and the atrocities of Diwan Jagbandhu, not the Meria practice. Statements 1 and 2 are factually correct.","कथन 3 गलत है क्योंकि तारापुर विद्रोह दमनकारी कराधान (टकोली) और दीवान जगबंधु के अत्याचारों के कारण हुआ था, न कि मेरिया प्रथा के कारण। कथन 1 और 2 तथ्यात्मक रूप से सही हैं।"
"Who was appointed as the Diwan of Bastar, whose oppressive revenue collection policies and increased taxes directly triggered the Tarapur Revolt in 1842?","बस्तर के किस दीवान की दमनकारी राजस्व संग्रह नीतियों और बढ़े हुए करों ने 1842 में तारापुर विद्रोह को प्रत्यक्ष रूप से जन्म दिया?","Gopinath Kapardar","गोपीनाथ कपड़दार","Jagbandhu","जगबंधु","Baijnath Panda","बैजनाथ पंडा","Bhikaji Gopal","भीकाजी गोपाल","2","Diwan Jagbandhu's oppressive policies and unauthorized tax hikes in the Tarapur Pargana led the local tribals to rebel under the leadership of Dalganjan Singh.","तारापुर परगना में दीवान जगबंधु की दमनकारी नीतियों और अनधिकृत कर वृद्धि के कारण स्थानीय आदिवासियों ने दलगंजन सिंह के नेतृत्व में विद्रोह कर दिया।"
"Which British officer was instrumental in resolving the Tarapur Revolt by removing Diwan Jagbandhu from his post and rolling back the increased taxes?","किस ब्रिटिश अधिकारी ने दीवान जगबंधु को उनके पद से हटाकर और बढ़े हुए करों को वापस लेकर तारापुर विद्रोह को सुलझाने में महत्वपूर्ण भूमिका निभाई थी?","Captain Pebe","कैप्टन पेब","Major Williams","मेजर विलियम्स","Campbell","कैम्पबेल","Charles Elliot","चार्ल्स इलियट","2","Major Williams intervened to pacify the Tarapur tribals by abolishing the hiked taxes and removing the unpopular Diwan Jagbandhu, bringing an end to the conflict.","मेजर विलियम्स ने बढ़े हुए करों को समाप्त करके और अलोकप्रिय दीवान जगबंधु को हटाकर तारापुर के आदिवासियों को शांत करने के लिए हस्तक्षेप किया, जिससे संघर्ष का अंत हुआ।"
"The Meria Revolt (1842-1863) in Bastar was primarily initiated by the tribals to protest against which of the following?","बस्तर में मेरिया विद्रोह (1842-1863) मुख्य रूप से आदिवासियों द्वारा निम्नलिखित में से किसके विरोध में शुरू किया गया था?","Increase in Takoli by Marathas","मराठों द्वारा टकोली में वृद्धि","Abolition of human sacrifice practice","मानव बलि प्रथा का उन्मूलन","Confiscation of forest lands","वन भूमि की जब्ती","Interference of Christian missionaries","ईसाई मिशनरियों का हस्तक्षेप","2","The Meria (or Mediya) Revolt was sparked when the Anglo-Maratha administration attempted to ban the traditional practice of human sacrifice (Narbali) at the Danteshwari Temple, which tribals saw as religious interference.","मेरिया (या मेडिया) विद्रोह तब भड़का जब आंग्ल-मराठा प्रशासन ने दंतेश्वरी मंदिर में मानव बलि (नरबलि) की पारंपरिक प्रथा पर प्रतिबंध लगाने का प्रयास किया, जिसे आदिवासियों ने धार्मिक हस्तक्षेप के रूप में देखा।"
"Who provided the core leadership to the tribals during the Meria Revolt?","मेरिया विद्रोह के दौरान आदिवासियों को मुख्य नेतृत्व किसने प्रदान किया?","Gend Singh","गेंद सिंह","Dalganjan Singh","दलगंजन सिंह","Hidma Manjhi","हिड़मा मांझी","Dhurvarao","धुर्वा राव","3","Hidma Manjhi emerged as the prominent tribal leader during the Meria Revolt, organizing the resistance against the ban on the traditional human sacrifice practice.","हिड़मा मांझी मेरिया विद्रोह के दौरान प्रमुख आदिवासी नेता के रूप में उभरे, जिन्होंने पारंपरिक मानव बलि प्रथा पर प्रतिबंध के खिलाफ प्रतिरोध का आयोजन किया।"
"Match the following tribal revolts with their respective leaders:\n\nList-I\n(a) Paralkot Revolt\n(b) Tarapur Revolt\n(c) Meria Revolt\n(d) Koi Revolt\n\nList-II\n(i) Hidma Manjhi\n(ii) Gend Singh\n(iii) Nangul Dorla\n(iv) Dalganjan Singh\n\nCodes:","निम्नलिखित जनजातीय विद्रोहों को उनके संबंधित नेताओं के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) परलकोट विद्रोह\n(b) तारापुर विद्रोह\n(c) मेरिया विद्रोह\n(d) कोई विद्रोह\n\nसूची-II\n(i) हिड़मा मांझी\n(ii) गेंद सिंह\n(iii) नांगुल दोरला\n(iv) दलगंजन सिंह\n\nकूट:","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(i), (b)-(iii), (c)-(ii), (d)-(iv)","(a)-(i), (b)-(iii), (c)-(ii), (d)-(iv)","(a)-(iv), (b)-(i), (c)-(iii), (d)-(ii)","(a)-(iv), (b)-(i), (c)-(iii), (d)-(ii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","1","Gend Singh led the Paralkot Revolt (1825), Dalganjan Singh led Tarapur (1842), Hidma Manjhi led Meria (1842), and Nangul Dorla led the Koi Revolt (1859).","गेंद सिंह ने परलकोट विद्रोह (1825) का नेतृत्व किया, दलगंजन सिंह ने तारापुर (1842), हिड़मा मांझी ने मेरिया (1842), और नांगुल दोरला ने कोई विद्रोह (1859) का नेतृत्व किया।"
"Which British officer successfully suppressed the protracted Meria Revolt after multiple campaigns?","किस ब्रिटिश अधिकारी ने कई अभियानों के बाद लंबे समय तक चले मेरिया विद्रोह को सफलतापूर्वक दबा दिया?","Captain Mac George","कैप्टन मैक जॉर्ज","Captain Campbell","कैप्टन कैम्पबेल","Captain Pebe","कैप्टन पेब","Major Agnew","मेजर एगन्यू","2","The long-standing Meria Revolt, which sought to preserve the human sacrifice custom, was finally and completely suppressed by the British officer Campbell.","लंबे समय से चले आ रहे मेरिया विद्रोह, जो मानव बलि प्रथा को संरक्षित करना चाहता था, को अंततः ब्रिटिश अधिकारी कैम्पबेल द्वारा पूरी तरह से दबा दिया गया था।"
"Consider the following statements regarding the geographical and administrative context of the Tarapur Revolt:\n\n1. The Tarapur pargana was situated about 80 km south-west of Jagdalpur.\n2. Dalganjan Singh was officially the administrator (Pargana Pramukh) of Tarapur.\n3. The revolt concluded with the immediate annexation of Bastar by the British under the Doctrine of Lapse.\n\nChoose the correct answer:","तारापुर विद्रोह के भौगोलिक और प्रशासनिक संदर्भ के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. तारापुर परगना जगदलपुर से लगभग 80 किमी दक्षिण-पश्चिम में स्थित था।\n2. दलगंजन सिंह आधिकारिक तौर पर तारापुर के प्रशासक (परगना प्रमुख) थे।\n3. यह विद्रोह व्यपगत के सिद्धांत के तहत अंग्रेजों द्वारा बस्तर के तत्काल विलय के साथ समाप्त हुआ।\n\nसही कथन चुनिए:","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","1","Statement 3 is incorrect. The revolt concluded when Major Williams mediated a compromise, retaining local Kakatiya rule under Maratha suzerainty, not an immediate direct British annexation of Bastar itself.","कथन 3 गलत है। विद्रोह तब समाप्त हुआ जब मेजर विलियम्स ने समझौता कराया, जिसमें मराठा आधिपत्य के तहत स्थानीय काकतीय शासन को बरकरार रखा गया, न कि बस्तर का तत्काल प्रत्यक्ष ब्रिटिश विलय हुआ।"
"Assertion (A): The Meria Revolt was viewed by the local tribal population as a defense of their cultural and religious identity.\n\nReason (R): The Bhonsla ruler of Nagpur deployed a military squad at the Danteshwari Temple to permanently halt the traditional human sacrifice practice.\n\nCodes:","कथन (A): मेरिया विद्रोह को स्थानीय आदिवासी आबादी द्वारा उनकी सांस्कृतिक और धार्मिक पहचान की रक्षा के रूप में देखा गया था।\n\nकारण (R): नागपुर के भोंसला शासक ने पारंपरिक मानव बलि प्रथा को स्थायी रूप से रोकने के लिए दंतेश्वरी मंदिर में एक सैन्य दस्ता तैनात किया था।\n\nकूट:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, और (R), (A) की सही व्याख्या है।","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, लेकिन (R), (A) की सही व्याख्या नहीं है।","Assertion (A) is true, but Reason (R) is false.","कथन (A) सत्य है, लेकिन कारण (R) असत्य है।","Assertion (A) is false, but Reason (R) is true.","कथन (A) असत्य है, लेकिन कारण (R) सत्य है।","1","The deployment of a military force at the sacred Danteshwari Temple to forcibly stop the 'Meria' (human sacrifice) deeply offended the tribals, leading them to revolt to protect their religious autonomy.","'मेरिया' (मानव बलि) को बलपूर्वक रोकने के लिए पवित्र दंतेश्वरी मंदिर में सैन्य बल की तैनाती ने आदिवासियों को गहराई से आहत किया, जिससे उन्हें अपनी धार्मिक स्वायत्तता की रक्षा के लिए विद्रोह करना पड़ा।"
"In the context of the Meria Revolt, for how many years was the security force strictly deployed at the Danteshwari Temple by the authorities to monitor and prevent human sacrifice?","मेरिया विद्रोह के संदर्भ में, मानव बलि की निगरानी और उसे रोकने के लिए अधिकारियों द्वारा दंतेश्वरी मंदिर में कितने वर्षों तक सुरक्षा बल को सख्ती से तैनात किया गया था?","5 years","5 वर्ष","10 years","10 वर्ष","12 years","12 वर्ष","20 years","20 वर्ष","3","To ensure the total eradication of the Meria (human sacrifice) practice, the Bhonsla rulers in collaboration with the British stationed a military squad at the Danteshwari Temple continuously for 12 years.","मेरिया (मानव बलि) प्रथा के पूर्ण उन्मूलन को सुनिश्चित करने के लिए, भोंसला शासकों ने अंग्रेजों के सहयोग से दंतेश्वरी मंदिर में लगातार 12 वर्षों तक एक सैन्य दस्ता तैनात रखा था।"
