Quiz Title (English)
Tribal Uprisings & Peasant Movements: Halba & Paralkot Revolts

Quiz Title (Hindi)
जनजातीय विद्रोह और किसान आंदोलन: हल्बा और परलकोट विद्रोह

Quiz Description (English)
This quiz strictly targets the Halba Revolt (1774) and Paralkot Rebellion (1825) for CGPSC Prelims preparation. It tests deep factual knowledge on dates, specific treaties, local symbols, and key historical figures involved in these early Bastar uprisings.

Quiz Description (Hindi)
यह क्विज सीजीपीएससी प्रारंभिक परीक्षा की तैयारी के लिए विशेष रूप से हल्बा विद्रोह (1774) और परलकोट विद्रोह (1825) पर केंद्रित है। यह इन प्रारंभिक बस्तर विद्रोहों में शामिल तिथियों, विशिष्ट संधियों, स्थानीय प्रतीकों और प्रमुख ऐतिहासिक हस्तियों पर आपके तथ्यात्मक ज्ञान का परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Match the following regarding the Halba Revolt (1774-77):\n\nList-I\n(a) Centre of Revolt\n(b) Ally of Daryao Dev\n(c) Date of Kotpad Treaty\n(d) Annual Takoli fixed\n\nList-II\n(i) Vikram Dev\n(ii) 6 April 1778\n(iii) 59,000\n(iv) Dongar\n\nCodes:","हल्बा विद्रोह (1774-77) के संबंध में निम्नलिखित को सुमेलित कीजिए:\n\nसूची-I\n(a) विद्रोह का केंद्र\n(b) दरियादेव का सहयोगी\n(c) कोटपाड़ की संधि की तिथि\n(d) निर्धारित वार्षिक टकोली\n\nसूची-II\n(i) विक्रम देव\n(ii) 6 अप्रैल 1778\n(iii) 59,000\n(iv) डोंगर\n\nकूट:","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(i), (b)-(iv), (c)-(ii), (d)-(iii)","(a)-(i), (b)-(iv), (c)-(ii), (d)-(iii)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)","(a)-(iv), (b)-(ii), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","1","The Halba Revolt was centered in Dongar. Daryao Dev allied with the Jeypore King Vikram Dev. Following the rebellion, the Treaty of Kotpad was signed on 6 April 1778, fixing an annual Takoli of 59,000 Rupees to the Marathas.","हल्बा विद्रोह का केंद्र डोंगर था। दरियादेव ने जयपुर के राजा विक्रम देव से गठबंधन किया था। विद्रोह के बाद, 6 अप्रैल 1778 को कोटपाड़ की संधि पर हस्ताक्षर किए गए, जिसमें मराठों को 59,000 रुपये की वार्षिक टकोली निर्धारित की गई थी।"
"Consider the following statements regarding the Paralkot Rebellion:\n\n1. It took place during the reign of Kakatiya ruler Mahipal Dev.\n2. The symbol of this rebellion was the branch of the Mango tree.\n3. The rebel strategies were planned by the tribals in the Ghotul at night.\n4. Captain Pebe of Chanda was appointed to suppress the rebellion.\n\nChoose the correct answer:","परलकोट विद्रोह के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह काकतीय शासक महिपाल देव के शासनकाल में हुआ था।\n2. इस विद्रोह का प्रतीक चिन्ह आम वृक्ष की टहनी थी।\n3. आदिवासियों द्वारा रात्रि में घोटुल में विद्रोही रणनीतियों की योजना बनाई जाती थी।\n4. विद्रोह को दबाने के लिए चांदा के कैप्टन पेब को नियुक्त किया गया था।\n\nसही कथन चुनिए:","1, 2 and 3","1, 2 और 3","1, 3 and 4","1, 3 और 4","2, 3 and 4","2, 3 और 4","1, 2, 3 and 4","1, 2, 3 और 4","2","Statement 2 is incorrect because the symbol of the Paralkot Rebellion was the Dhauda tree branch (धावड़ा वृक्ष की टहनी), not the Mango tree branch (which was used later in the Muria/Bhumkal revolts). All other statements are factually correct.","कथन 2 गलत है क्योंकि परलकोट विद्रोह का प्रतीक चिन्ह धावड़ा वृक्ष की टहनी थी, न कि आम वृक्ष की टहनी (जिसका उपयोग बाद में मुड़िया/भूमकाल विद्रोहों में किया गया था)। अन्य सभी कथन तथ्यात्मक रूप से सही हैं।"
"Under the Treaty of Kotpad (1778), which of the following Parganas was NOT handed over to the King of Jeypore by Daryao Dev?","कोटपाड़ की संधि (1778) के तहत, दरियादेव द्वारा निम्नलिखित में से कौन सा परगना जयपुर के राजा को नहीं सौंपा गया था?","Kotpad","कोटपाड़","Rayagada","रायगढ़ा","Tarapur","तारापुर","Podagarh","पोड़ागढ़","3","As a condition for military support under the Treaty of Kotpad (1778), Daryao Dev ceded five garhs to the King of Jeypore: Kotpad, Churuchunda, Podagarh, Omarkot, and Rayagada. Tarapur was not among them.","कोटपाड़ की संधि (1778) के तहत सैन्य सहायता की शर्त के रूप में, दरियादेव ने जयपुर के राजा को पांच गढ़ सौंपे थे: कोटपाड़, चुरुचुंडा, पोड़ागढ़, ओमरकोट और रायगढ़ा। तारापुर उनमें शामिल नहीं था।"
"Assertion (A): The Halba Revolt ultimately led to the integration of the Bastar state into the Maratha dominion.\n\nReason (R): To secure military assistance against Ajmer Singh, Daryao Dev signed the Treaty of Kotpad in 1778, making Bastar a feudatory of the Bhonsles.\n\nCodes:","कथन (A): हल्बा विद्रोह के परिणामस्वरूप अंततः बस्तर राज्य का मराठा साम्राज्य में विलय हो गया।\n\nकारण (R): अजमेर सिंह के खिलाफ सैन्य सहायता प्राप्त करने के लिए, दरियादेव ने 1778 में कोटपाड़ की संधि पर हस्ताक्षर किए, जिससे बस्तर भोंसलों के अधीन हो गया।\n\nकूट:","Both (A) and (R) are true, and (R) is the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, और (R), (A) की सही व्याख्या है।","Both (A) and (R) are true, but (R) is not the correct explanation of (A).","कथन (A) और कारण (R) दोनों सत्य हैं, लेकिन (R), (A) की सही व्याख्या नहीं है।","Assertion (A) is true, but Reason (R) is false.","कथन (A) सत्य है, लेकिन कारण (R) असत्य है।","Assertion (A) is false, but Reason (R) is true.","कथन (A) असत्य है, लेकिन कारण (R) सत्य है।","1","The Halba Revolt triggered a succession war where Daryao Dev allied with external forces. This resulted in the 1778 Treaty of Kotpad, ending Bastar's independent Kakatiya rule and placing it permanently under the sovereignty of the Nagpur Bhonsles.","हल्बा विद्रोह ने एक उत्तराधिकार युद्ध को जन्म दिया जहां दरियादेव ने बाहरी ताकतों के साथ गठबंधन किया। इसके परिणामस्वरूप 1778 में कोटपाड़ की संधि हुई, जिसने बस्तर के स्वतंत्र काकतीय शासन को समाप्त कर दिया और इसे स्थायी रूप से नागपुर के भोंसलों की संप्रभुता के अधीन कर दिया।"
"During the Paralkot Rebellion (1824-25), the Zamindar of Paralkot, Gend Singh, belonged to the Gond society. By what local title was he traditionally known among the tribals?","परलकोट विद्रोह (1824-25) के दौरान, परलकोट के जमींदार गेंद सिंह गोंड समाज से संबंधित थे। आदिवासियों के बीच उन्हें पारंपरिक रूप से किस स्थानीय उपाधि से जाना जाता था?","Messiah of Revolution","क्रांति का मसीहा","Bhumiya Raja","भूमिया राजा","Pargana Manjhi","परगना मांझी","Latti","लाटी","2","Gend Singh, the Zamindar of Paralkot who led the rebellion against British and Maratha exploitation, was affectionately known as 'Bhumiya Raja' among the local Abujhmaria and Gond tribals. 'Messiah of Revolution' is the title associated with Ajmer Singh.","ब्रिटिश और मराठा शोषण के खिलाफ विद्रोह का नेतृत्व करने वाले परलकोट के जमींदार गेंद सिंह को स्थानीय अबूझमाड़िया और गोंड आदिवासियों के बीच स्नेहपूर्वक 'भूमिया राजा' के रूप में जाना जाता था। 'क्रांति का मसीहा' उपाधि अजमेर सिंह से जुड़ी है।"
"Which of the following statements is NOT correct regarding the Paralkot Rebellion of 1824-25?","1824-25 के परलकोट विद्रोह के संबंध में निम्नलिखित में से कौन सा कथन सही नहीं है?","The rebellion aimed to free the Abujhmaria tribals from exploitation.","इस विद्रोह का उद्देश्य अबूझमाड़िया आदिवासियों को शोषण से मुक्त कराना था।","The rebels extensively used mango tree branches as the symbol of their uprising.","विद्रोहियों ने अपने विद्रोह के प्रतीक के रूप में आम के पेड़ की शाखाओं का बड़े पैमाने ক্যান্স उपयोग किया।","Gend Singh was arrested and publicly hanged outside his palace on 20 January 1825.","गेंद सिंह को गिरफ्तार कर लिया गया और 20 जनवरी 1825 को उनके महल के बाहर खुलेआम फांसी दे दी गई।","The rebellion was suppressed by Captain Pebe with military assistance from Chanda.","चांदा से सैन्य सहायता प्राप्त कर कैप्टन पेब द्वारा इस विद्रोह को दबा दिया गया था।","2","The statement regarding the Mango tree branch is incorrect. The Paralkot rebels used the branch of the Dhauda tree (धावड़ा वृक्ष की टहनी) as the symbol to communicate and mobilize their forces, not the Mango tree branch.","आम के पेड़ की शाखा के संबंध में दिया गया कथन गलत है। परलकोट के विद्रोहियों ने अपने संदेश संप्रेषण और लामबंदी के प्रतीक के रूप में धावड़ा वृक्ष की टहनी का उपयोग किया था, न कि आम के पेड़ की शाखा का।"
"On which exact date did the Abujhmaria tribals gather at Paralkot on the call of Gend Singh to officially launch their armed resistance against the British-Maratha exploitation?","गेंद सिंह के आह्वान पर अबूझमाड़िया आदिवासी ब्रिटिश-मराठा शोषण के खिलाफ आधिकारिक तौर पर अपना सशस्त्र प्रतिरोध शुरू करने के लिए किस निश्चित तिथि को परलकोट में एकत्र हुए थे?","10 January 1825","10 जनवरी 1825","24 December 1824","24 दिसंबर 1824","6 April 1778","6 अप्रैल 1778","4 January 1825","4 जनवरी 1825","2","According to historical records, the Abujhmaria tribals gathered at Paralkot to formally begin their rebellion against the oppressive administration on 24 December 1824. Gend Singh was later arrested on 10 January 1825.","ऐतिहासिक अभिलेखों के अनुसार, दमनकारी प्रशासन के खिलाफ औपचारिक रूप से अपना विद्रोह शुरू करने के लिए अबूझमाड़िया आदिवासी 24 दिसंबर 1824 को परलकोट में एकत्र हुए थे। बाद में 10 जनवरी 1825 को गेंद सिंह को गिरफ्तार कर लिया गया था।"
"Consider the following statements regarding the Halba Rebellion (1774-1777):\n\n1. It was the first tribal rebellion in the Bastar region.\n2. The primary cause of the rebellion was the succession struggle between Ajmer Singh and Daryao Dev.\n3. The rebellion concluded with the brutal 'Tar Jhokni' massacre of the Halba tribals.\n4. As a direct result of this rebellion, the British immediately established direct administrative control over Bastar.\n\nChoose the correct statements:","हल्बा विद्रोह (1774-1777) के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह बस्तर क्षेत्र का पहला जनजाति विद्रोह था।\n2. विद्रोह का प्राथमिक कारण अजमेर सिंह और दरियादेव के बीच उत्तराधिकार का संघर्ष था।\n3. यह विद्रोह हल्बा आदिवासियों के क्रूर 'ताड़ झोकनी' नरसंहार के साथ समाप्त हुआ।\n4. इस विद्रोह के प्रत्यक्ष परिणामस्वरूप, अंग्रेजों ने तुरंत बस्तर पर प्रत्यक्ष प्रशासनिक नियंत्रण स्थापित कर लिया।\n\nसही कथन चुनिए:","1, 2 and 3","1, 2 और 3","2, 3 and 4","2, 3 और 4","1, 3 and 4","1, 3 और 4","1, 2, 3 and 4","1, 2, 3 और 4","1","Statement 4 is incorrect because the Halba Rebellion resulted in Bastar becoming a feudatory of the Marathas (Bhonsles) via the Treaty of Kotpad (1778). The British did not establish direct administrative control at this time.","कथन 4 गलत है क्योंकि हल्बा विद्रोह के परिणामस्वरूप कोटपाड़ की संधि (1778) के माध्यम से बस्तर मराठों (भोंसलों) के अधीन हो गया था। अंग्रेजों ने इस समय प्रत्यक्ष प्रशासनिक नियंत्रण स्थापित नहीं किया था।"
"Under the historic Treaty of Kotpad signed on 6 April 1778, the ruler of Bastar agreed to pay an annual tribute (Takoli) of what exact amount to the Bhonsles of Nagpur?","6 अप्रैल 1778 को हस्ताक्षरित ऐतिहासिक कोटपाड़ की संधि के तहत, बस्तर के शासक ने नागपुर के भोंसलों को कितनी सटीक राशि की वार्षिक टकोली (कर) देने पर सहमति व्यक्त की थी?","40,500 Rupees","40,500 रुपये","68,721 Rupees","68,721 रुपये","59,000 Rupees","59,000 रुपये","75,000 Rupees","75,000 रुपये","3","As a consequence of receiving Maratha assistance to defeat Ajmer Singh, Daryao Dev signed the Treaty of Kotpad and agreed to pay an annual Takoli of 59,000 Rupees to the Bhonsles of Nagpur.","अजमेर सिंह को हराने के लिए मराठा सहायता प्राप्त करने के परिणामस्वरूप, दरियादेव ने कोटपाड़ की संधि पर हस्ताक्षर किए और नागपुर के भोंसलों को 59,000 रुपये की वार्षिक टकोली देने पर सहमति व्यक्त की।"
"Match the specific locations with their significance during the tribal uprisings:\n\nList-I (Location)\n(a) Dongar\n(b) Kotpad\n(c) Chanda\n(d) Ghotul\n\nList-II (Significance)\n(i) Treaty ceding parganas to Jeypore\n(ii) Epicenter of the Halba Rebellion\n(iii) Secret night meetings for Paralkot Rebellion\n(iv) Source of military reinforcement for Captain Pebe\n\nCodes:","जनजातीय विद्रोहों के दौरान उनके महत्व के साथ विशिष्ट स्थानों को सुमेलित कीजिए:\n\nसूची-I (स्थान)\n(a) डोंगर\n(b) कोटपाड़\n(c) चांदा\n(d) घोटुल\n\nसूची-II (महत्व)\n(i) जयपुर को परगना सौंपने वाली संधि\n(ii) हल्बा विद्रोह का केंद्र\n(iii) परलकोट विद्रोह के लिए गुप्त रात्रि बैठकें\n(iv) कैप्टन पेब के लिए सैन्य सुदृढीकरण का स्रोत\n\nकूट:","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","1","Dongar was the main center of the Halba Revolt. Kotpad is associated with the 1778 treaty. Chanda provided the military reinforcement led by Capt. Pebe against Paralkot. Ghotul was the traditional space where Paralkot rebels strategized at night.","डोंगर हल्बा विद्रोह का मुख्य केंद्र था। कोटपाड़ 1778 की संधि से जुड़ा है। चांदा ने परलकोट के खिलाफ कैप्टन पेब के नेतृत्व में सैन्य बल प्रदान किया। घोटुल वह पारंपरिक स्थान था जहां परलकोट के विद्रोहियों ने रात में रणनीति बनाई थी।"
