Quiz Title (English)
Post-Independence Integration & State Formation

Quiz Title (Hindi)
स्वतंत्रता के बाद एकीकरण और राज्य निर्माण

Quiz Description (English)
This master quiz covers the integration of the 14 princely states of Chhattisgarh into the Indian Union (1947-1948). It features examiner-aligned MCQs on signatories, the Eastern States Union, the Nagpur Conference, and the Constituent Assembly.

Quiz Description (Hindi)
इस मास्टर क्विज में छत्तीसगढ़ की 14 रियासतों के भारतीय संघ में विलय (1947-1948) को शामिल किया गया है। इसमें विलय पत्र के हस्ताक्षरकर्ताओं, पूर्वी रियासत संघ और नागपुर सम्मेलन पर आधारित उच्च-स्तरीय प्रश्न हैं।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Consider the following statements regarding the 'Council of Action in Chhattisgarh States' formed for the merger of princely states:\n\n1. Thakur Pyarelal Singh was the President of this council.\n\n2. Jainarayan Pandey served as its Secretary.\n\nChoose the correct answer:","रियासतों के विलय के लिए गठित 'कौंसिल ऑफ एक्शन इन छत्तीसगढ़ स्टेट्स' के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. ठाकुर प्यारेलाल सिंह इस परिषद के अध्यक्ष थे।\n\n2. जयनारायण पांडेय ने इसके सचिव के रूप में कार्य किया।\n\nसही उत्तर चुनें:","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","न तो 1 और न ही 2","3","The Council of Action in Chhattisgarh States was formed to facilitate the merger. Thakur Pyarelal Singh was its President and Jainarayan Pandey was the Secretary.","छत्तीसगढ़ की रियासतों के संविलियन हेतु 'कौंसिल ऑफ एक्शन इन छत्तीसगढ़ स्टेट्स' का गठन किया गया था। इसके अध्यक्ष ठाकुर प्यारेलाल सिंह और सचिव जयनारायण पांडेय थे।"
"Where did the rulers of the princely states of Chhattisgarh convene to form the 'Eastern States Union' to resist direct central control?","केंद्रीय नियंत्रण का विरोध करने के लिए 'पूर्वी रियासतों का संघ' (ईस्टर्न स्टेट यूनियन) बनाने हेतु छत्तीसगढ़ की रियासतों के शासकों ने कहाँ बैठक की थी?","Town Hall Raipur","टाउन हॉल रायपुर","Rajkumar College Raipur","राजकुमार कॉलेज रायपुर","Sitabardi Fort Nagpur","सीताबर्डी किला नागपुर","Khairagarh Palace","खैरागढ़ महल","2","The rulers of major princely states of Chhattisgarh convened at Rajkumar College, Raipur, to form the 'Eastern States Union' in an attempt to maintain an independent union, but the Indian Government refused to recognize it.","छत्तीसगढ़ की प्रमुख रियासतों के शासकों ने एक स्वतंत्र संघ बनाए रखने के प्रयास में 'पूर्वी रियासतों का संघ' बनाने के लिए राजकुमार कॉलेज, रायपुर में बैठक की थी, लेकिन भारत सरकार ने इसे मान्यता देने से इनकार कर दिया था।"
"Which of the following princely states did NOT join the 'Eastern States Union' formed at Rajkumar College, Raipur?","राजकुमार कॉलेज, रायपुर में गठित 'पूर्वी रियासतों के संघ' (ईस्टर्न स्टेट यूनियन) में निम्नलिखित में से कौन सी रियासत शामिल नहीं हुई थी?","Kanker","कांकेर","Surguja","सरगुजा","Kawardha","कवर्धा","Sakti","सक्ती","3","According to historical records of the Eastern States Union formation, Kawardha princely state did not join this union. Bastar and Khairagarh also remained separate initially.","पूर्वी रियासतों के संघ के गठन के ऐतिहासिक अभिलेखों के अनुसार, कवर्धा रियासत इस संघ में शामिल नहीं हुई थी। बस्तर और खैरागढ़ भी शुरुआत में इससे अलग रहे।"
"How many rulers from the princely states of Chhattisgarh attended the historic Nagpur Conference held on 15 December 1947 under the leadership of Sardar Vallabhbhai Patel?","सरदार वल्लभभाई पटेल के नेतृत्व में 15 दिसंबर 1947 को हुए ऐतिहासिक नागपुर सम्मेलन में छत्तीसगढ़ की रियासतों के कितने शासकों ने भाग लिया था?","10","10","11","11","12","12","14","14","2","Out of the 14 princely states of Chhattisgarh, rulers from 11 estates attended the historic meeting in Nagpur on 15 December 1947.","छत्तीसगढ़ की 14 रियासतों में से 11 रियासतों के शासकों ने 15 दिसंबर 1947 को नागपुर में हुई ऐतिहासिक बैठक में भाग लिया था।"
"Which of the following leaders was NOT present at the Nagpur Conference held on 15 December 1947 for the merger of Chhattisgarh's princely states?","छत्तीसगढ़ की रियासतों के विलय के लिए 15 दिसंबर 1947 को आयोजित नागपुर सम्मेलन में निम्नलिखित में से कौन सा नेता उपस्थित नहीं था?","Sardar Vallabhbhai Patel","सरदार वल्लभभाई पटेल","V.P. Menon","वी.पी. मेनन","Mangaldas Pakvasa","मंगलदास पकवासा","Jawaharlal Nehru","जवाहरलाल नेहरू","4","The Nagpur conference on 15 Dec 1947 was attended by Sardar Vallabhbhai Patel, Secretary V.P. Menon, C.P. & Berar Governor Mangaldas Pakvasa, and CM Pt. Ravishankar Shukla. Jawaharlal Nehru was not present.","15 दिसंबर 1947 को नागपुर सम्मेलन में सरदार वल्लभभाई पटेल, सचिव वी.पी. मेनन, सी.पी. और बरार के गवर्नर मंगलदास पकवासा और मुख्यमंत्री पं. रविशंकर शुक्ल शामिल हुए थे। जवाहरलाल नेहरू उपस्थित नहीं थे।"
"Arrange the following princely states in the chronological order of their rulers signing the Instrument of Accession in August 1947:\n\n1. Koriya\n2. Khairagarh\n3. Surguja\n4. Raigarh\n\nCodes:","निम्नलिखित रियासतों को उनके शासकों द्वारा अगस्त 1947 में विलय पत्र (इंस्ट्रूमेंट ऑफ एक्सेशन) पर हस्ताक्षर करने के कालानुक्रमिक क्रम में व्यवस्थित करें:\n\n1. कोरिया\n2. खैरागढ़\n3. सरगुजा\n4. रायगढ़\n\nकूट:","2-1-3-4","2-1-3-4","1-2-3-4","1-2-3-4","2-3-1-4","2-3-1-4","1-3-2-4","1-3-2-4","1","Chronology of signing the Instrument of Accession: Khairagarh (5 August 1947), Koriya (7 August), Surguja (9 August), and Raigarh (11 August).","विलय पत्र पर हस्ताक्षर का कालानुक्रम: खैरागढ़ (5 अगस्त 1947), कोरिया (7 अगस्त), सरगुजा (9 अगस्त), और रायगढ़ (11 अगस्त)।"
"Queen Jayanti Devi signed the Instrument of Accession on 22 August 1947 on behalf of the minor ruler Mahant Digvijay Das for which princely state?","रानी जयंती देवी ने 22 अगस्त 1947 को किस रियासत के नाबालिग शासक महंत दिग्विजय दास की ओर से विलय पत्र पर हस्ताक्षर किए थे?","Chhuikhadan","छुईखदान","Rajnandgaon","राजनांदगांव","Kawardha","कवर्धा","Kanker","कांकेर","2","Queen Jayanti Devi signed the merger document on 22 August 1947 on behalf of the minor ruler Mahant Digvijay Das for the Rajnandgaon princely state.","रानी जयंती देवी ने राजनांदगांव रियासत के नाबालिग शासक महंत दिग्विजय दास की ओर से 22 अगस्त 1947 को विलय पत्र पर हस्ताक्षर किए थे।"
"Match the following princely states with their rulers who signed the Instrument of Accession:\n\nList-I\n(a) Bastar\n(b) Chhuikhadan\n(c) Jashpur\n(d) Changbhakhar\n\nList-II\n(i) Rituparna Kishor Das\n(ii) Krishna Pratap Singh\n(iii) Pravir Chandra Bhanjdeo\n(iv) T.C.R. Menon\n\nCodes:","निम्नलिखित रियासतों को विलय पत्र पर हस्ताक्षर करने वाले उनके शासकों के साथ सुमेलित करें:\n\nसूची-I\n(a) बस्तर\n(b) छुईखदान\n(c) जशपुर\n(d) चांगभखार\n\nसूची-II\n(i) ऋतुपर्ण किशोर दास\n(ii) कृष्ण प्रताप सिंह\n(iii) प्रवीर चंद्र भंजदेव\n(iv) टी.सी.आर. मेनन\n\nकूट:","a-iii, b-i, c-iv, d-ii","a-iii, b-i, c-iv, d-ii","a-i, b-iii, c-ii, d-iv","a-i, b-iii, c-ii, d-iv","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-iv, b-i, c-iii, d-ii","a-iv, b-i, c-iii, d-ii","1","Bastar: Pravir Chandra Bhanjdeo, Chhuikhadan: Rituparna Kishor Das, Jashpur: T.C.R. Menon (for ruler Vijay Bhushan), Changbhakhar: Krishna Pratap Singh.","बस्तर: प्रवीर चंद्र भंजदेव, छुईखदान: ऋतुपर्ण किशोर दास, जशपुर: टी.सी.आर. मेनन (शासक विजय भूषण के लिए), चांगभखार: कृष्ण प्रताप सिंह।"
"Which was the first princely state of Chhattisgarh to give consent for merger into the Indian Union?","भारतीय संघ में विलय के लिए सहमति देने वाली छत्तीसगढ़ की पहली रियासत कौन सी थी?","Khairagarh","खैरागढ़","Koriya","कोरिया","Raigarh","रायगढ़","Bastar","बस्तर","1","Khairagarh was the first princely state in Chhattisgarh to give its consent for the merger. Raja Birendra Bahadur Singh signed the Instrument of Accession on 5 August 1947.","खैरागढ़ विलय के लिए अपनी सहमति देने वाली छत्तीसगढ़ की पहली रियासत थी। राजा वीरेंद्र बहादुर सिंह ने 5 अगस्त 1947 को विलय पत्र पर हस्ताक्षर किए थे।"
"Match the representatives elected to the Constituent Assembly of India from the princely states of Chhattisgarh with their respective states:\n\nList-I\n(a) Raghuraj Singh Diwan\n(b) Ramprasad Potai\n(c) Pt. Kishor Mohan Tripathi\n\nList-II\n(i) Raigarh\n(ii) Kanker\n(iii) Surguja\n\nCodes:","छत्तीसगढ़ की देशी रियासतों से भारत की संविधान सभा के लिए चुने गए प्रतिनिधियों को उनके संबंधित राज्यों के साथ सुमेलित करें:\n\nसूची-I\n(a) रघुराज सिंह दीवान\n(b) रामप्रसाद पोटाई\n(c) पं. किशोर मोहन त्रिपाठी\n\nसूची-II\n(i) रायगढ़\n(ii) कांकेर\n(iii) सरगुजा\n\nकूट:","a-iii, b-ii, c-i","a-iii, b-ii, c-i","a-ii, b-i, c-iii","a-ii, b-i, c-iii","a-iii, b-i, c-ii","a-iii, b-i, c-ii","a-i, b-ii, c-iii","a-i, b-ii, c-iii","1","In the Constituent Assembly, Raghuraj Singh Diwan represented Surguja, Ramprasad Potai represented Kanker, and Pt. Kishor Mohan Tripathi represented Raigarh.","संविधान सभा में रघुराज सिंह दीवान ने सरगुजा का, रामप्रसाद पोटाई ने कांकेर का और पं. किशोर मोहन त्रिपाठी ने रायगढ़ का प्रतिनिधित्व किया।"
