Quiz Title (English): Chhattisgarh Current Affairs (February 2026) Part-2
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (फरवरी 2026) भाग 2
Quiz Description (English): This is the second part of the comprehensive quiz on Chhattisgarh Current Affairs for February 2026, aligned with the CGPSC Prelims pattern. It covers crucial state schemes, literary awards, administrative appointments, and ecological updates to test your deep factual knowledge.
Quiz Description (Hindi): यह सीजीपीएससी प्रारंभिक परीक्षा के पैटर्न पर आधारित फरवरी 2026 के छत्तीसगढ़ करेंट अफेयर्स का दूसरा भाग है। इसमें आपकी तथ्यात्मक स्पष्टता का परीक्षण करने के लिए राज्य की महत्वपूर्ण योजनाओं, साहित्यिक पुरस्कारों, प्रशासनिक नियुक्तियों और पारिस्थितिक अपडेट को शामिल किया गया है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Under the state's recently launched 'Makhana Vikas Yojana' to promote Makhana cultivation, which of the following groups of districts has been selected?","मखाना की खेती को बढ़ावा देने के लिए राज्य की हाल ही में शुरू की गई 'मखाना विकास योजना' के तहत, निम्नलिखित में से किस जिलों के समूह का चयन किया गया है?","Bilaspur, Raipur, Surguja, Dhamtari","बिलासपुर, रायपुर, सरगुजा, धमतरी","Bastar, Dantewada, Sukma, Kabirdham","बस्तर, दंतेवाड़ा, सुकमा, कबीरधाम","Surguja, Balrampur, Surajpur, Jashpur","सरगुजा, बलरामपुर, सूरजपुर, जशपुर","Dhamtari, Balod, Mahasamund, Gariaband","धमतरी, बालोद, महासमुंद, गरियाबंद","4","To promote the cultivation of Makhana (fox nut) in the state, the government has launched the Makhana Vikas Yojana specifically targeting four districts: Dhamtari, Balod, Mahasamund, and Gariaband.","राज्य में मखाना की खेती को बढ़ावा देने के लिए, सरकार ने विशेष रूप से चार जिलों: धमतरी, बालोद, महासमुंद और गरियाबंद को लक्षित करते हुए मखाना विकास योजना शुरू की है।"
"The famous 'Ramaram Mela' organized in the Sukma district is held under the aegis of which temple trust?","सुकमा जिले में आयोजित होने वाला प्रसिद्ध 'रामाराम मेला' किस मंदिर ट्रस्ट के तत्वावधान में आयोजित किया जाता है?","Danteshwari Mata Mandir Trust","दंतेश्वरी माता मंदिर ट्रस्ट","Devi Maa Chhatmitin Amba Mandir Trust","देवी मां चिटमिटिन अम्बा मंदिर ट्रस्ट","Mavli Mata Mandir Trust","मावली माता मंदिर ट्रस्ट","Keshkal Ghati Mandir Trust","केशकाल घाटी मंदिर ट्रस्ट","2","The Ramaram Mela is a significant cultural event in the Sukma district, organized by the Devi Maa Chhatmitin Amba Mandir Trust.","रामाराम मेला सुकमा जिले का एक महत्वपूर्ण सांस्कृतिक आयोजन है, जिसे देवी मां चिटमिटिन अम्बा मंदिर ट्रस्ट द्वारा आयोजित किया जाता है।"
"Who has been appointed as the Vice Chairman of the Chhattisgarh State Scheduled Caste (SC) Development Authority recently?","हाल ही में छत्तीसगढ़ राज्य अनुसूचित जाति (एससी) विकास प्राधिकरण के उपाध्यक्ष के रूप में किसे नियुक्त किया गया है?","Shri Prabhat Mishra","श्री प्रभात मिश्रा","Shri Ganesh Shankar Mishra","श्री गणेश शंकर मिश्रा","Shri Doman Lal Koswada","श्री डोमन लाल कोसवाड़ा","Shri Ramkumar Tiwari","श्री रामकुमार तिवारी","3","Shri Doman Lal Koswada has been officially appointed as the Vice Chairman of the Chhattisgarh State Scheduled Caste Development Authority.","श्री डोमन लाल कोसवाड़ा को आधिकारिक तौर पर छत्तीसगढ़ राज्य अनुसूचित जाति विकास प्राधिकरण के उपाध्यक्ष के रूप में नियुक्त किया गया है।"
"The historic 'Teli Mandir', which was recently in the news for cultural updates, is located in which district of Chhattisgarh?","ऐतिहासिक 'तेली मंदिर', जो हाल ही में सांस्कृतिक अपडेट के लिए चर्चा में था, छत्तीसगढ़ के किस जिले में स्थित है?","Raipur","रायपुर","Kanker","कांकेर","Kabirdham","कबीरधाम","Surajpur","सूरजपुर","1","The famous and historic Teli Mandir is located in Raipur. It has been mentioned in recent cultural and tourism updates of the state.","प्रसिद्ध और ऐतिहासिक तेली मंदिर रायपुर में स्थित है। राज्य के हालिया सांस्कृतिक और पर्यटन अपडेट में इसका उल्लेख किया गया है।"
"Shri Suresh Kumar Nag was recently honored with the 'Bhuiyan Ke Bhagwan Samman'. In which field did he make outstanding contributions to receive this award?","श्री सुरेश कुमार नाग को हाल ही में 'भुइयां के भगवान सम्मान' से सम्मानित किया गया। उन्हें यह पुरस्कार किस क्षेत्र में उत्कृष्ट योगदान के लिए मिला?","Tribal Art","जनजातीय कला","Agriculture","कृषि","Literature","साहित्य","Sports","खेल","2","Shri Suresh Kumar Nag was honored with the 'Bhuiyan Ke Bhagwan Samman' for his outstanding and innovative work in the field of Agriculture.","श्री सुरेश कुमार नाग को कृषि के क्षेत्र में उनके उत्कृष्ट और अभिनव कार्य के लिए 'भुइयां के भगवान सम्मान' से सम्मानित किया गया।"
"The uniquely themed 'Hornbill Restaurant', established recently in Chhattisgarh, is dedicated to the conservation and awareness of which of the following?","छत्तीसगढ़ में हाल ही में स्थापित अद्वितीय थीम वाला 'हॉर्नबिल रेस्टोरेंट' निम्नलिखित में से किसके संरक्षण और जागरूकता को समर्पित है?","Birds","पक्षियों","Aquatic animals","जलीय जीवों","Wild animals","वन्य जीवों","Butterflies","तितलियों","1","The Hornbill Restaurant is specifically themed around and dedicated to the awareness and conservation of birds in the region.","हॉर्नबिल रेस्टोरेंट विशेष रूप से क्षेत्र में पक्षियों के प्रति जागरूकता और उनके संरक्षण को समर्पित है।"
"Pranju Sonwani, a prominent sportsperson from Chhattisgarh who recently won four medals (including two golds) at the 68th National Championship in Bhopal, is associated with which sport?","प्रांजू सोनवानी, छत्तीसगढ़ की एक प्रमुख खिलाड़ी जिन्होंने हाल ही में भोपाल में 68वीं राष्ट्रीय चैम्पियनशिप में चार पदक (दो स्वर्ण सहित) जीते हैं, किस खेल से जुड़ी हैं?","Weightlifting","भारोत्तोलन","Archery","तीरंदाजी","Shooting","निशानेबाजी (Shooting)","Badminton","बैडमिंटन","3","Pranju Sonwani is a talented shooter from Chhattisgarh. She secured four medals, including two golds, at the 68th National Shooting Championship held in Bhopal.","प्रांजू सोनवानी छत्तीसगढ़ की एक प्रतिभाशाली निशानेबाज हैं। उन्होंने भोपाल में आयोजित 68वीं राष्ट्रीय शूटिंग चैम्पियनशिप में दो स्वर्ण सहित चार पदक हासिल किए।"
"Poet and story writer Ramkumar Tiwari from Bilaspur was recently awarded the Chandigarh Sahitya Academy Award for the Punjabi translation of which of his famous works?","बिलासपुर के कवि और कथाकार रामकुमार तिवारी को हाल ही में उनकी किस प्रसिद्ध रचना के पंजाबी अनुवाद के लिए चंडीगढ़ साहित्य अकादमी पुरस्कार से सम्मानित किया गया?","Chanda Amrit Barsais","चंदा अमृत बरसाईस","Kul Ke Marjad","कुल के मरजाद","Futaha Karam","फुटहा करम","Qutub Express","कुतुब एक्सप्रेस","4","Ramkumar Tiwari, a literary figure from Bilaspur, received the prestigious Chandigarh Sahitya Academy Award for the Punjabi translation of his highly acclaimed story 'Qutub Express'.","बिलासपुर के साहित्यकार रामकुमार तिवारी को उनकी बहुचर्चित कहानी 'कुतुब एक्सप्रेस' के पंजाबी अनुवाद के लिए प्रतिष्ठित चंडीगढ़ साहित्य अकादमी पुरस्कार मिला।"
"Where has the state's first National Skill Development Training Institute (NSTI) been established after receiving approval from the Central Government?","केंद्र सरकार से मंजूरी मिलने के बाद राज्य का पहला राष्ट्रीय कौशल विकास प्रशिक्षण संस्थान (NSTI) कहां स्थापित किया गया है?","Durg","दुर्ग","Raipur","रायपुर","Bilaspur","बिलासपुर","Mahasamund","महासमुंद","2","Chhattisgarh's first National Skill Development Training Institute (NSTI) has been established in the capital city, Raipur, to boost youth employment skills.","युवाओं के रोजगार कौशल को बढ़ावा देने के लिए छत्तीसगढ़ का पहला राष्ट्रीय कौशल विकास प्रशिक्षण संस्थान (NSTI) राजधानी रायपुर में स्थापित किया गया है।"
"A proposal has been sent for a National Museum to preserve 29-crore-year-old marine fossils at the 'Gondwana Marine Fossil Park'. In which district is this park located?","'गोंडवाना मरीन फॉसिल पार्क' में 29 करोड़ वर्ष पुराने समुद्री जीवाश्मों के संरक्षण के लिए एक राष्ट्रीय संग्रहालय का प्रस्ताव भेजा गया है। यह पार्क किस जिले में स्थित है?","Manendragarh-Chirmiri-Bharatpur (MCB)","महेंद्रगढ़-चिरमिरी-भरतपुर (MCB)","Surajpur","सूरजपुर","Koriya","कोरिया","Gaurela-Pendra-Marwahi","गौरेला-पेंड्रा-मरवाही","1","The Gondwana Marine Fossil Park, known for its 29-crore-year-old marine fossils, is located in the Manendragarh-Chirmiri-Bharatpur (MCB) district.","गोंडवाना मरीन फॉसिल पार्क, जो अपने 29 करोड़ साल पुराने समुद्री जीवाश्मों के लिए जाना जाता है, महेंद्रगढ़-चिरमिरी-भरतपुर (एमसीबी) जिले में स्थित है।"
