National and International Current Affairs (January 2026)
राष्ट्रीय और अंतर्राष्ट्रीय समसामयिकी (जनवरी 2026)
This advanced quiz tests your analytical understanding of key national and international current affairs from January 2026. Designed strictly for CGPSC Prelims, it challenges candidates through multi-statement, matched, and conceptual questions covering geopolitics, defence, economy, and national appointments.
यह उन्नत क्विज़ जनवरी 2026 के प्रमुख राष्ट्रीय और अंतर्राष्ट्रीय समसामयिक मामलों की आपकी विश्लेषणात्मक समझ का परीक्षण करता है। सीजीपीएससी प्रारंभिक परीक्षा के लिए विशेष रूप से डिज़ाइन किया गया यह क्विज़ भू-राजनीति, रक्षा, अर्थव्यवस्था और राष्ट्रीय नियुक्तियों को कवर करते हुए बहु-कथन, सुमेलित और वैचारिक प्रश्नों के माध्यम से उम्मीदवारों को चुनौती देता है।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the newly elected non-permanent members of the UN Security Council for the 2026–27 term:\n\n1. Latvia has been elected to the UNSC for the first time.\n\n2. The five new members replace Algeria, Guyana, Republic of Korea, Slovenia, and Sierra Leone.\n\n3. Bahrain, Colombia, and Liberia are among the newly elected members.\n\nChoose the correct answer:","2026-27 के कार्यकाल के लिए संयुक्त राष्ट्र सुरक्षा परिषद के नवनिर्वाचित गैर-स्थायी सदस्यों के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. लातविया को पहली बार UNSC के लिए चुना गया है।\n\n2. पांच नए सदस्यों ने अल्जीरिया, गुयाना, कोरिया गणराज्य, स्लोवेनिया और सिएरा लियोन का स्थान लिया है।\n\n3. बहरीन, कोलंबिया और लाइबेरिया नवनिर्वाचित सदस्यों में शामिल हैं।\n\nसही कथन चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"Bahrain, Colombia, DRC, Latvia, and Liberia were elected for 2026-27, replacing Algeria, Guyana, Republic of Korea, Slovenia, and Sierra Leone. Latvia joined for the first time.","बहरीन, कोलंबिया, डीआरसी, लातविया और लाइबेरिया को 2026-27 के लिए चुना गया, जिन्होंने अल्जीरिया, गुयाना, कोरिया गणराज्य, स्लोवेनिया और सिएरा लियोन का स्थान लिया। लातविया पहली बार सदस्य बना है।"
"Match the state categories with their top-performing states in the Export Preparedness Index 2024 (released in Jan 2026 by NITI Aayog):\n\nList-I\n(a) Large States\n(b) Small States\n(c) UTs/City States\n\nList-II\n(i) Jammu & Kashmir\n(ii) Maharashtra\n(iii) Uttarakhand\n\nCodes:","निर्यात तैयारी सूचकांक 2024 (नीति आयोग द्वारा जनवरी 2026 में जारी) में राज्य श्रेणियों का उनके शीर्ष प्रदर्शन करने वाले राज्यों के साथ मिलान करें:\n\nसूची-I\n(a) बड़े राज्य\n(b) छोटे राज्य\n(c) केंद्र शासित प्रदेश/शहरी राज्य\n\nसूची-II\n(i) जम्मू और कश्मीर\n(ii) महाराष्ट्र\n(iii) उत्तराखंड\n\nकूट:","(a)-(ii), (b)-(iii), (c)-(i)","(a)-(ii), (b)-(iii), (c)-(i)","(a)-(iii), (b)-(ii), (c)-(i)","(a)-(iii), (b)-(ii), (c)-(i)","(a)-(i), (b)-(iii), (c)-(ii)","(a)-(i), (b)-(iii), (c)-(ii)","(a)-(ii), (b)-(i), (c)-(iii)","(a)-(ii), (b)-(i), (c)-(iii)",1,"Maharashtra topped the Large States category, Uttarakhand led the Small States, and Jammu & Kashmir topped the UTs/City States category in the EPI 2024 released by NITI Aayog.","नीति आयोग द्वारा जारी ईपीआई 2024 में बड़े राज्यों की श्रेणी में महाराष्ट्र, छोटे राज्यों में उत्तराखंड और केंद्र शासित प्रदेशों/शहरी राज्यों की श्रेणी में जम्मू और कश्मीर शीर्ष पर रहा।"
"Assertion (A): The Ganga Water Treaty between India and Bangladesh is set to complete its 30-year term in 2026 and is up for renewal.\n\nReason (R): The treaty was signed on 12 December 1996 to share the waters of the Teesta River during the dry season.\n\nCodes:","कथन (A): भारत और बांग्लादेश के बीच गंगा जल संधि 2026 में अपना 30 साल का कार्यकाल पूरा करने वाली है और इसके नवीनीकरण पर विचार किया जा रहा है।\n\nकारण (R): यह संधि 12 दिसंबर 1996 को शुष्क मौसम के दौरान तीस्ता नदी के पानी को साझा करने के लिए हस्ताक्षरित की गई थी।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is not the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है",3,"A is true as the treaty signed in 1996 completes 30 years in 2026. R is false because the treaty governs the sharing of the Ganga River waters at the Farakka Barrage, not the Teesta River.","कथन A सत्य है क्योंकि 1996 में हस्ताक्षरित संधि 2026 में 30 वर्ष पूरे कर रही है। कारण R असत्य है क्योंकि यह संधि फरक्का बैराज पर गंगा नदी के जल बंटवारे को नियंत्रित करती है, न कि तीस्ता नदी को।"
"According to the Global Risks Report 2026, published by the World Economic Forum (WEF), which of the following is identified as the biggest global risk in the short term (2-year horizon)?","विश्व आर्थिक मंच (WEF) द्वारा प्रकाशित वैश्विक जोखिम रिपोर्ट 2026 के अनुसार, अल्पावधि (2 वर्ष के क्षितिज) में सबसे बड़ा वैश्विक जोखिम किसे माना गया है?","Cyber Insecurity","साइबर असुरक्षा","Geoeconomic Confrontation","भू-आर्थिक टकराव","Extreme Weather Events","चरम मौसमी घटनाएं","Artificial Intelligence Misinformation","कृत्रिम बुद्धिमत्ता (AI) दुष्प्रचार",2,"The WEF's 21st Global Risks Report 2026 identifies 'Geoeconomic Confrontation' as the biggest global risk in the short term, whereas cyber insecurity and inequality are top threats for India.","WEF की 21वीं वैश्विक जोखिम रिपोर्ट 2026 'भू-आर्थिक टकराव' को अल्पावधि में सबसे बड़ा वैश्विक जोखिम मानती है, जबकि साइबर असुरक्षा और असमानता भारत के लिए शीर्ष खतरे हैं।"
"Consider the following statements regarding the 2nd Khelo India Beach Games (Jan 2026):\n\n1. It was held at Ghoghla Beach in Diu.\n\n2. Maharashtra topped the overall medal tally with the highest number of gold medals.\n\n3. The official mascot was 'Pearl', a vibrant dolphin.\n\nWhich of the statements given above is/are correct?","दूसरे खेलो इंडिया बीच गेम्स (जनवरी 2026) के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. यह दीव के घोघला बीच पर आयोजित किया गया था。\n\n2. महाराष्ट्र ने सर्वाधिक स्वर्ण पदकों के साथ समग्र पदक तालिका में शीर्ष स्थान प्राप्त किया।\n\n3. आधिकारिक शुभंकर 'पर्ल' था, जो एक जीवंत डॉल्फिन है।\n\nउपरोक्त कथनों में से कौन सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","1 and 3 only","केवल 1 और 3","2 and 3 only","केवल 2 और 3","1, 2 and 3","1, 2 और 3",2,"Statements 1 and 3 are correct. Statement 2 is incorrect because Karnataka topped the medal tally with 11 medals (3 Gold), while Maharashtra finished 19th with no gold medals.","कथन 1 और 3 सही हैं। कथन 2 गलत है क्योंकि कर्नाटक 11 पदकों (3 स्वर्ण) के साथ पदक तालिका में शीर्ष पर रहा, जबकि महाराष्ट्र शून्य स्वर्ण पदकों के साथ 19वें स्थान पर रहा।"
"The 'Pankhuri' digital portal, launched in January 2026, is an initiative of which Union Ministry?","जनवरी 2026 में लॉन्च किया गया 'पंखुड़ी' डिजिटल पोर्टल किस केंद्रीय मंत्रालय की एक पहल है?","Ministry of Education","शिक्षा मंत्रालय","Ministry of Skill Development and Entrepreneurship","कौशल विकास और उद्यमशीलता मंत्रालय","Ministry of Women and Child Development","महिला एवं बाल विकास मंत्रालय","Ministry of Panchayati Raj","पंचायती राज मंत्रालय",3,"The Pankhuri portal was launched by the Ministry of Women and Child Development (WCD) to facilitate and streamline Corporate Social Responsibility (CSR) contributions for women and child welfare initiatives.","पंखुड़ी पोर्टल महिला एवं बाल विकास मंत्रालय (WCD) द्वारा महिला और बाल कल्याण पहलों के लिए कॉर्पोरेट सामाजिक उत्तरदायित्व (CSR) योगदान को सुव्यवस्थित करने के लिए लॉन्च किया गया था।"
"The Somnath Temple in Gujarat, which recently marked 1000 years since Mahmud of Ghazni's attack in 1026, is situated at the Triveni Sangam (confluence) of which three rivers?","गुजरात में सोमनाथ मंदिर, जिसने हाल ही में 1026 में महमूद गजनवी के हमले के 1000 वर्ष पूरे किए, किन तीन नदियों के त्रिवेणी संगम पर स्थित है?","Sabarmati, Luni, and Banas","साबरमती, लूनी और बनास","Narmada, Tapi, and Mahi","नर्मदा, तापी और माही","Kapila, Hiran, and Saraswati","कपिला, हिरण और सरस्वती","Bhadar, Shetrunji, and Machhu","भादर, शेत्रुंजी और मच्चू",3,"The Somnath Temple is located at Prabhas Patan in Veraval, Gujarat, precisely at the Triveni Sangam of the Kapila, Hiran, and Saraswati rivers.","सोमनाथ मंदिर वेरावल, गुजरात के प्रभास पाटन में स्थित है, जो कपिला, हिरण और सरस्वती नदियों के त्रिवेणी संगम पर मौजूद है।"
"Consider the following statements regarding the 'Pralay' missile recently flight-tested by DRDO:\n\n1. It is a liquid-propellant, air-to-surface cruise missile.\n\n2. It is a quasi-ballistic missile that can alter its trajectory in mid-air.\n\n3. It has a strike range of 150 to 500 kilometers.\n\nWhich of the statements given above are correct?","DRDO द्वारा हाल ही में परीक्षण की गई 'प्रलय' मिसाइल के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. यह एक तरल-प्रणोदक, हवा-से-सतह पर मार करने वाली क्रूज मिसाइल है।\n\n2. यह एक अर्ध-बैलिस्टिक (quasi-ballistic) मिसाइल है जो मध्य-हवा में अपना मार्ग बदल सकती है।\n\n3. इसकी मारक क्षमता 150 से 500 किलोमीटर है।\n\nउपरोक्त कथनों में से कौन से सही हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",2,"Statements 2 and 3 are correct. Statement 1 is wrong because Pralay is a solid-propellant, surface-to-surface tactical quasi-ballistic missile, not a liquid-propellant air-to-surface cruise missile.","कथन 2 और 3 सही हैं। कथन 1 गलत है क्योंकि प्रलय एक ठोस-प्रणोदक, सतह-से-सतह पर मार करने वाली सामरिक अर्ध-बैलिस्टिक मिसाइल है, न कि तरल-प्रणोदक हवा-से-सतह क्रूज मिसाइल।"
"The Military Quantum Mission Policy Framework, released by CDS Gen Anil Chauhan in January 2026, focuses on integrating quantum technologies into the armed forces. Which of the following is NOT one of its four core pillars?","जनवरी 2026 में CDS जनरल अनिल चौहान द्वारा जारी मिलिट्री क्वांटम मिशन पॉलिसी फ्रेमवर्क, सशस्त्र बलों में क्वांटम प्रौद्योगिकियों को एकीकृत करने पर केंद्रित है। निम्नलिखित में से कौन इसके चार मुख्य स्तंभों में से एक नहीं है?","Quantum Computing","क्वांटम कंप्यूटिंग","Quantum Communications","क्वांटम कम्युनिकेशंस","Quantum Sensing and Metrology","क्वांटम सेंसिंग और मेट्रोलॉजी","Quantum Propulsion Systems","क्वांटम प्रोपल्शन सिस्टम्स",4,"The four core pillars of the Military Quantum Mission are Quantum Computing, Quantum Communications, Quantum Sensing and Metrology, and Quantum Materials and Devices. Propulsion is not a pillar.","मिलिट्री क्वांटम मिशन के चार मुख्य स्तंभ क्वांटम कंप्यूटिंग, क्वांटम कम्युनिकेशंस, क्वांटम सेंसिंग और मेट्रोलॉजी, और क्वांटम सामग्री और उपकरण हैं। प्रोपल्शन (प्रणोदन) इसका स्तंभ नहीं है।"
"In January 2026, scientists officially recognized the Finke River as the world's oldest flowing river, estimated to be 300 to 400 million years old. In which country is this river located?","जनवरी 2026 में, वैज्ञानिकों ने आधिकारिक तौर पर फिंके नदी को दुनिया की सबसे पुरानी बहने वाली नदी के रूप में मान्यता दी, जिसके 300 से 400 मिलियन वर्ष पुराना होने का अनुमान है। यह नदी किस देश में स्थित है?","Brazil","ब्राज़ील","Australia","ऑस्ट्रेलिया","South Africa","दक्षिण अफ्रीका","Canada","कनाडा",2,"The Finke River, locally known as Larapinta, is situated in central Australia. It has been recognized as the oldest flowing river in the world, predating the dinosaurs.","फिंके नदी, जिसे स्थानीय रूप से लारापिंटा के नाम से जाना जाता है, मध्य ऑस्ट्रेलिया में स्थित है। इसे डायनासोर से भी पूर्व, दुनिया की सबसे पुरानी बहने वाली नदी के रूप में मान्यता दी गई है।"
