Quiz Title: The Kalchuri Supremacy: Ratanpur Branch Golden Era
Quiz Title (Hindi): कलचुरी सर्वोच्चता: रतनपुर शाखा का स्वर्ण युग
Quiz Description: This highly calibrated quiz focuses exclusively on the 'Golden Era' of the Ratanpur Kalchuris, covering the reigns of Ratnadeva I to Prithvideva II. It rigorously tests epigraphical evidence, architectural landmarks, and critical military victories essential for the CGPSC Prelims.
Quiz Description (Hindi): यह अत्यधिक कैलिब्रेटेड क्विज़ विशेष रूप से रतनपुर कलचुरियों के 'स्वर्ण युग' पर केंद्रित है, जिसमें रत्नदेव प्रथम से लेकर पृथ्वीदेव द्वितीय तक के शासनकाल शामिल हैं। यह सीजीपीएससी प्रारंभिक परीक्षा के लिए आवश्यक पुरालेखीय साक्ष्यों, स्थापत्य स्थलों और महत्वपूर्ण सैन्य विजयों का कड़ाई से परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"To strengthen the borders of his newly established capital at Ratanpur, Ratnadeva I strategically married Princess Nonalladevi. She was the daughter of Vajjuka, who ruled which specific region?","रतनपुर में अपनी नव स्थापित राजधानी की सीमाओं को मजबूत करने के लिए, रत्नदेव प्रथम ने रणनीतिक रूप से राजकुमारी नोनल्लादेवी से विवाह किया। वह वज्जूक की पुत्री थी, जो किस विशिष्ट क्षेत्र पर शासन करता था?","Dandora","डंडोरा","Komomandal","कोमोमंडल","Kakaraya","काकरय","Bhramarvadra","भ्रमरवद्र","2","According to Kalchuri records, Ratnadeva I married Nonalladevi, the daughter of Vajjuka (or Vajuvarman), who was the local tribal chief/ruler of the Komomandal region (modern Pendra-Gaurela).","कलचुरी अभिलेखों के अनुसार, रत्नदेव प्रथम ने नोनल्लादेवी से विवाह किया, जो वज्जूक (या वजुवर्मन) की पुत्री थी, जो कोमोमंडल क्षेत्र (आधुनिक पेंड्रा-गौरेला) का स्थानीय जनजातीय प्रमुख/शासक था।"
"According to historical legends and Ray Bahadur Hiralal, the city of Ratanpur was so prosperous that it was known by different names across the four Yugas. Which of the following matches is INCORRECT?","ऐतिहासिक किंवदंतियों और राय बहादुर हीरालाल के अनुसार, रतनपुर शहर इतना समृद्ध था कि इसे चारों युगों में अलग-अलग नामों से जाना जाता था। निम्नलिखित में से कौन सा सुमेल गलत है?","Satyuga – Manipur","सतयुग – मणिपुर","Treta Yuga – Manikpur","त्रेता युग – माणिकपुर","Dwapar Yuga – Hirapur","द्वापर युग – हीरापुर","Kalyuga – Kuberpur","कलयुग – कुबेरपुर","4","In Kalyuga, the city is officially known as 'Ratanpur', founded by Ratnadeva I. 'Kuberpur' was a metaphor/title given to it due to its immense wealth, not its specific Yuga-based name.","कलयुग में, शहर को आधिकारिक तौर पर 'रतनपुर' के रूप में जाना जाता है, जिसकी स्थापना रत्नदेव प्रथम ने की थी। 'कुबेरपुर' एक रूपक/उपाधि थी जो इसे इसकी अपार संपत्ति के कारण दी गई थी, न कि इसका विशिष्ट युग-आधारित नाम।"
"Which magnificent architectural monument, located in the highly secure Laphagarh fort, was constructed by the Kalchuri king Ratnadeva I?","अत्यधिक सुरक्षित लाफागढ़ किले में स्थित किस शानदार स्थापत्य स्मारक का निर्माण कलचुरी राजा रत्नदेव प्रथम ने करवाया था?","Mahamaya Temple","महामाया मंदिर","Prithvideveshwar Temple","पृथ्वीदेवेश्वर मंदिर","Mahishasuramardini Temple","महिषासुरमर्दिनी मंदिर","Nakta Mandir","नकटा मंदिर","3","Ratnadeva I is credited with the construction of the Mahishasuramardini Temple located in the strategic hilltop fort of Laphagarh, alongside his other major constructions in Tumman and Ratanpur.","रत्नदेव प्रथम को तुम्माण और रतनपुर में अपने अन्य प्रमुख निर्माणों के साथ-साथ लाफागढ़ के रणनीतिक पहाड़ी किले में स्थित महिषासुरमर्दिनी मंदिर के निर्माण का श्रेय दिया जाता है।"
"The Amoda copper plate, issued in 1079 AD (Kalchuri Samvat 831), proudly declares which Kalchuri king as the absolute sovereign master of 21,000 villages in Dakshin Kosala?","1079 ई. (कलचुरी संवत् 831) में जारी अमोदा ताम्रपत्र, गर्व से किस कलचुरी राजा को दक्षिण कोसल के 21,000 गांवों का पूर्ण संप्रभु स्वामी घोषित करता है?","Ratnadeva I","रत्नदेव प्रथम","Prithvideva I","पृथ्वीदेव प्रथम","Jajalladeva I","जाजल्लदेव प्रथम","Ratnadeva II","रत्नदेव द्वितीय","2","Prithvideva I issued the Amoda copper plate in 1079 AD, which is a foundational document declaring his supreme status ('Prachand Kosaladhipati') and asserting his direct rule over 21,000 villages.","पृथ्वीदेव प्रथम ने 1079 ई. में अमोदा ताम्रपत्र जारी किया था, जो एक आधारभूत दस्तावेज है जो उनकी सर्वोच्च स्थिति ('प्रचंड कोसलाधिपति') की घोषणा करता है और 21,000 गांवों पर उनके प्रत्यक्ष शासन का दावा करता है।"
"Consider the following specific architectural features:

1. Menka Dwar
2. Singhdwar
3. Hunkara Dwar

These elaborate gateways are exclusively associated with which temple constructed during the Kalchuri era?","निम्नलिखित विशिष्ट स्थापत्य विशेषताओं पर विचार कीजिए:

1. मेनका द्वार
2. सिंहद्वार
3. हुंकारा द्वार

ये विस्तृत प्रवेश द्वार विशेष रूप से कलचुरी युग के दौरान निर्मित किस मंदिर से जुड़े हैं?","Mahamaya Temple, Ratanpur","महामाया मंदिर, रतनपुर","Rajiv Lochan Temple, Rajim","राजीव लोचन मंदिर, राजिम","Prithvideveshwar Temple, Tumman","पृथ्वीदेवेश्वर मंदिर, तुम्माण","Bhoramdeo Temple, Kawardha","भोरमदेव मंदिर, कवर्धा","3","Prithvideva I constructed the massive Prithvideveshwar Shiva Temple in the old capital of Tumman. Historical texts explicitly mention its three grand entrances: Menka Dwar, Singhdwar, and Hunkara Dwar.","पृथ्वीदेव प्रथम ने पुरानी राजधानी तुम्माण में विशाल पृथ्वीदेवेश्वर शिव मंदिर का निर्माण करवाया था। ऐतिहासिक ग्रंथों में इसके तीन भव्य प्रवेश द्वारों: मेनका द्वार, सिंहद्वार और हुंकारा द्वार का स्पष्ट रूप से उल्लेख है।"
"During the reign of Prithvideva I, two of his prominent feudatories aggressively expanded the empire. While Jeydev conquered Dandora (Surguja), which feudatory successfully conquered the Komomandal region (750 villages)?","पृथ्वीदेव प्रथम के शासनकाल के दौरान, उनके दो प्रमुख सामंतों ने आक्रामक रूप से साम्राज्य का विस्तार किया। जबकि जयदेव ने डंडोरा (सरगुजा) पर विजय प्राप्त की, किस सामंत ने कोमोमंडल क्षेत्र (750 गांवों) पर सफलतापूर्वक विजय प्राप्त की?","Jagatpal","जगतपाल","Vallabharaj","वल्लभराज","Devasinha","देवसिन्हा","Brahmadeva","ब्रह्मदेव","3","Under Prithvideva I's expansionist policies, his loyal feudatory Devasinha successfully conquered the Komomandal territory (comprising 750 villages), further consolidating Kalchuri authority in the north-western frontiers.","पृथ्वीदेव प्रथम की विस्तारवादी नीतियों के तहत, उनके वफादार सामंत देवसिन्हा ने कोमोमंडल क्षेत्र (750 गांवों को मिलाकर) पर सफलतापूर्वक विजय प्राप्त की, जिससे उत्तर-पश्चिमी सीमाओं में कलचुरी सत्ता और मजबूत हुई।"
"Which prominent Kalchuri ruler famously befriended the kings of Kanyakubj and Jejakabhukti, signaling a definitive shift towards independent regional diplomacy away from the Tripuri overlords?","किस प्रमुख कलचुरी शासक ने प्रसिद्ध रूप से कान्यकुब्ज और जेजाकभुक्ति के राजाओं से मित्रता की, जो त्रिपुरी अधिपति से दूर स्वतंत्र क्षेत्रीय कूटनीति की ओर एक निश्चित बदलाव का संकेत था?","Ratnadeva I","रत्नदेव प्रथम","Jajalladeva I","जाजल्लदेव प्रथम","Prithvideva II","पृथ्वीदेव द्वितीय","Ratnadeva III","रत्नदेव तृतीय","2","Jajalladeva I (1090-1120 AD) was the first Ratanpur Kalchuri to practically assert full independence from the main Tripuri branch, establishing his own diplomatic alliances with mighty northern kingdoms like Kanyakubj and Jejakabhukti.","जाजल्लदेव प्रथम (1090-1120 ई.) पहले रतनपुर कलचुरी थे जिन्होंने व्यावहारिक रूप से मुख्य त्रिपुरी शाखा से पूर्ण स्वतंत्रता का दावा किया, और कान्यकुब्ज और जेजाकभुक्ति जैसे शक्तिशाली उत्तरी राज्यों के साथ अपने स्वयं के कूटनीतिक गठबंधन स्थापित किए।"
"Assertion (A): The Kalchuri ruler Jajalladeva I restored the ancient Shiva temple located in Pali (Korba).

Reason (R): The temple was originally constructed by the Sharabhpuriya kings but had fallen into severe disrepair by the 11th century.

Choose the correct code:","कथन (A): कलचुरी शासक जाजल्लदेव प्रथम ने पाली (कोरबा) में स्थित प्राचीन शिव मंदिर का जीर्णोद्धार करवाया था।

कारण (R): मंदिर का निर्माण मूल रूप से शरभपुरीय राजाओं द्वारा किया गया था लेकिन 11वीं शताब्दी तक यह गंभीर रूप से जर्जर हो गया था।

सही कूट चुनिए:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","3","The Assertion is true; Jajalladeva I renovated the Pali Shiva temple. However, the Reason is strictly false because the temple was originally built by King Vikramaditya of the Bana dynasty, not the Sharabhpuriyas.","कथन सत्य है; जाजल्लदेव प्रथम ने पाली शिव मंदिर का जीर्णोद्धार करवाया था। हालाँकि, कारण पूरी तरह से गलत है क्योंकि मंदिर मूल रूप से बाण वंश के राजा विक्रमादित्य द्वारा बनाया गया था, न कि शरभपुरीयों द्वारा।"
"Which Kalchuri monarch, known for his deep religious devotion, went on an extensive pilgrimage accompanied by an ascetic named 'Makardhwaj Jogi', from which he never returned?","अपनी गहरी धार्मिक भक्ति के लिए जाने जाने वाले कौन से कलचुरी सम्राट 'मकरध्वज जोगी' नामक एक संन्यासी के साथ एक व्यापक तीर्थयात्रा पर गए थे, जहाँ से वे कभी वापस नहीं लौटे?","Prithvideva I","पृथ्वीदेव प्रथम","Ratnadeva II","रत्नदेव द्वितीय","Jajalladeva I","जाजल्लदेव प्रथम","Jajalladeva II","जाजल्लदेव द्वितीय","3","Historical accounts and inscriptions suggest that in the later years of his reign, Jajalladeva I handed over state affairs and embarked on a religious pilgrimage with Makardhwaj Jogi, eventually passing away during the journey.","ऐतिहासिक वृत्तांतों और शिलालेखों से पता चलता है कि अपने शासनकाल के बाद के वर्षों में, जाजल्लदेव प्रथम ने राज्य के मामलों को सौंप दिया और मकरध्वज जोगी के साथ एक धार्मिक तीर्थयात्रा पर निकल पड़े, अंततः यात्रा के दौरान उनका निधन हो गया।"
"In a legendary display of military defiance, Ratnadeva II inflicted a crushing defeat upon Gayakarna. Gayakarna was the paramount ruler of which contemporary imperial dynasty?","सैन्य अवहेलना के एक महान प्रदर्शन में, रत्नदेव द्वितीय ने गयाकर्ण को करारी हार दी। गयाकर्ण किस समकालीन शाही राजवंश का सर्वोच्च शासक था?","Ganga Dynasty of Odisha","ओडिशा का गंग वंश","Main Kalchuri branch of Tripuri","त्रिपुरी की मुख्य कलचुरी शाखा","Chalukyas of Vengi","वेंगी के चालुक्य","Chandelas of Jejakabhukti","जेजाकभुक्ति के चंदेल","2","When Ratnadeva II openly declared independence and stopped paying tribute, the Tripuri sovereign Gayakarna invaded Dakshin Kosala to assert dominance but was severely defeated by Ratnadeva II's forces.","जब रत्नदेव द्वितीय ने खुले तौर पर स्वतंत्रता की घोषणा की और श्रद्धांजलि देना बंद कर दिया, तो त्रिपुरी संप्रभु गयाकर्ण ने प्रभुत्व जताने के लिए दक्षिण कोसल पर आक्रमण किया लेकिन रत्नदेव द्वितीय की सेनाओं से वह बुरी तरह हार गया।"
