Quiz Title (English)
Early Demands & Political Organizations for CG State (1924–1956)

Quiz Title (Hindi)
छत्तीसगढ़ राज्य के लिए प्रारंभिक मांगें और राजनीतिक संगठन (1924–1956)

Quiz Description (English)
This quiz evaluates your granular knowledge of the political evolution and early movements for the creation of Chhattisgarh state. It covers pivotal events from the 1924 Raipur District Council resolution up to the formation of the Chhattisgarh Mahasabha in 1956, strictly aligned with CGPSC standards.

Quiz Description (Hindi)
यह क्विज छत्तीसगढ़ राज्य के निर्माण के लिए राजनीतिक विकास और प्रारंभिक आंदोलनों के आपके गहन ज्ञान का मूल्यांकन करता है। इसमें 1924 के रायपुर जिला परिषद प्रस्ताव से लेकर 1956 में छत्तीसगढ़ महासभा के गठन तक की प्रमुख घटनाओं को शामिल किया गया है, जो पूर्णतः CGPSC के मानकों पर आधारित है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Who among the following is regarded as the first 'Sankalpnakar' (visionary) of Chhattisgarh for drawing the clear outline of the state in his manuscript in 1918?","1918 में अपनी पांडुलिपि में राज्य का स्पष्ट रेखाचित्र खींचने के लिए निम्नलिखित में से किसे छत्तीसगढ़ का प्रथम 'संकल्पनाकार' (स्वप्नदृष्टा) माना जाता है?","Dr. Khoobchand Baghel","डॉ. खूबचंद बघेल","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा","E. Raghavendra Rao","ई. राघवेंद्र राव","3","Pt. Sundarlal Sharma drew the clear geographical outline of Chhattisgarh state in his manuscript in 1918. Hence, he is widely regarded as the first visionary (Sankalpnakar) of the state.","पं. सुंदरलाल शर्मा ने 1918 में अपनी पांडुलिपि में छत्तीसगढ़ राज्य का स्पष्ट भौगोलिक रेखाचित्र खींचा था। अतः उन्हें राज्य का प्रथम स्वप्नदृष्टा (संकल्पनाकार) माना जाता है।"
"In which year was the explicit demand for a separate Chhattisgarh state first raised in the 'Raipur District Council' (Raipur Zila Parishad)?","'रायपुर जिला परिषद' में पृथक छत्तीसगढ़ राज्य की स्पष्ट मांग पहली बार किस वर्ष उठाई गई थी?","1918","1918","1924","1924","1925","1925","1939","1939","2","The demand for a separate Chhattisgarh was officially raised in the Raipur District Council (Raipur Zila Parishad) in the year 1924, marking a crucial step in the statehood movement.","पृथक छत्तीसगढ़ की मांग आधिकारिक तौर पर वर्ष 1924 में रायपुर जिला परिषद में उठाई गई थी, जो राज्य निर्माण आंदोलन में एक महत्वपूर्ण कदम था।"
"Consider the following statements regarding the 'Chhattisgarh Sudhi Sangh':\n\n1. It was established in the year 1925.\n\n2. Pt. Shivdas Pandey served as its Principal Secretary (Pradhan Sachiv).\n\nWhich of the statements given above is/are correct?","'छत्तीसगढ़ सुधी संघ' के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. इसकी स्थापना वर्ष 1925 में हुई थी।\n\n2. पं. शिवदास पांडेय ने इसके प्रधान सचिव के रूप में कार्य किया।\n\nऊपर दिए गए कथनों में से कौन सा/से सही है/हैं?","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","न तो 1 और न ही 2","3","The 'Chhattisgarh Sudhi Sangh' was established in 1925 to advance the political interests of the region, and Pt. Shivdas Pandey was appointed as its Principal Secretary.","'छत्तीसगढ़ सुधी संघ' की स्थापना 1925 में क्षेत्र के राजनीतिक हितों को आगे बढ़ाने के लिए की गई थी, और पं. शिवदास पांडेय को इसका प्रधान सचिव नियुक्त किया गया था।"
"Which of the following groups were officially members of the 'Chhattisgarh Sudhi Sangh' established in 1925?","1925 में स्थापित 'छत्तीसगढ़ सुधी संघ' के आधिकारिक सदस्य निम्नलिखित में से कौन से समूह थे?","Only Kings and Zamindars","केवल राजा और जमींदार","Only Lawyers and Gauntias","केवल वकील और गौंटिया","Kings, Zamindars, Lawyers, and Gauntias","राजा, जमींदार, वकील और गौंटिया","Only Farmers and Laborers","केवल किसान और मजदूर","3","According to historical records of the 1925 Chhattisgarh Sudhi Sangh, its membership was diverse and prominently included kings, zamindars, lawyers, and gauntias of the region.","1925 के छत्तीसगढ़ सुधी संघ के ऐतिहासिक अभिलेखों के अनुसार, इसकी सदस्यता विविध थी और इसमें मुख्य रूप से क्षेत्र के राजा, जमींदार, वकील और गौंटिया शामिल थे।"
"In 1936, the Central Provinces were reorganized, and Berar was formally merged into it. Following this reorganization, how many administrative divisions and districts did the 'Central Provinces and Berar' have?","1936 में मध्यप्रांत का पुनर्गठन किया गया और बरार को औपचारिक रूप से इसमें मिला दिया गया। इस पुनर्गठन के बाद, 'मध्यप्रांत एवं बरार' में कितने प्रशासनिक संभाग और जिले हो गए थे?","4 Divisions and 18 Districts","4 संभाग और 18 जिले","5 Divisions and 24 Districts","5 संभाग और 24 जिले","6 Divisions and 26 Districts","6 संभाग और 26 जिले","3 Divisions and 15 Districts","3 संभाग और 15 जिले","2","Following the 1936 reorganization that merged Berar into the Central Provinces, the newly formed 'Central Provinces and Berar' comprised exactly 5 divisions and 24 districts.","1936 के पुनर्गठन के बाद, जिसमें बरार को मध्यप्रांत में मिलाया गया था, नवगठित 'मध्यप्रांत एवं बरार' में ठीक 5 संभाग और 24 जिले शामिल हो गए थे।"
"Who among the following prominently raised the demand for a separate Chhattisgarh state during the Tripuri Session of the Indian National Congress in 1939?","1939 में भारतीय राष्ट्रीय कांग्रेस के त्रिपुरी अधिवेशन के दौरान निम्नलिखित में से किसने पृथक छत्तीसगढ़ राज्य की मांग प्रमुखता से उठाई थी?","Dr. Khoobchand Baghel","डॉ. खूबचंद बघेल","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","3","During the historic 1939 Tripuri Session of the Indian National Congress, Pt. Sundarlal Sharma actively raised the issue and demanded a separate state for Chhattisgarh.","भारतीय राष्ट्रीय कांग्रेस के ऐतिहासिक 1939 के त्रिपुरी अधिवेशन के दौरान, पं. सुंदरलाल शर्मा ने सक्रिय रूप से यह मुद्दा उठाया और छत्तीसगढ़ के लिए एक पृथक राज्य की मांग की।"
"Which was the very first dedicated organization formed in 1946 explicitly for the purpose of demanding the creation of a separate Chhattisgarh state?","पृथक छत्तीसगढ़ राज्य के निर्माण की मांग के उद्देश्य से स्पष्ट रूप से 1946 में गठित पहला समर्पित संगठन कौन सा था?","Chhattisgarh Sudhi Sangh","छत्तीसगढ़ सुधी संघ","Chhattisgarh Mahasabha","छत्तीसगढ़ महासभा","Shoshan Virodhi Manch","शोषण विरोधी मंच","Chhattisgarh Bhratritva Sangh","छत्तीसगढ़ भ्रातृत्व संघ","3","Formed in 1946 by Thakur Pyarelal Singh, the 'Shoshan Virodhi Manch' (Anti-Exploitation Platform) holds the historical distinction of being the first organization dedicated specifically to the formation of Chhattisgarh.","ठाकुर प्यारेलाल सिंह द्वारा 1946 में गठित 'शोषण विरोधी मंच' को विशेष रूप से छत्तीसगढ़ निर्माण के लिए समर्पित पहला संगठन होने का ऐतिहासिक गौरव प्राप्त है।"
"Who was the founder of the 'Shoshan Virodhi Manch' established in 1946 to raise the demand for a separate Chhattisgarh?","पृथक छत्तीसगढ़ की मांग उठाने के लिए 1946 में स्थापित 'शोषण विरोधी मंच' के संस्थापक कौन थे?","Thakur Pyarelal Singh","ठाकुर प्यारेलाल सिंह","Dr. Khoobchand Baghel","डॉ. खूबचंद बघेल","Thakur Ramakrishna Singh","ठाकुर रामकृष्ण सिंह","Pt. Shivdas Pandey","पं. शिवदास पांडेय","1","Thakur Pyarelal Singh founded the 'Shoshan Virodhi Manch' in 1946 to fight against the exploitation of the local populace and to formally demand a separate Chhattisgarh state.","ठाकुर प्यारेलाल सिंह ने स्थानीय लोगों के शोषण के खिलाफ लड़ने और औपचारिक रूप से पृथक छत्तीसगढ़ राज्य की मांग करने के लिए 1946 में 'शोषण विरोधी मंच' की स्थापना की थी।"
"What was the exact administrative status of Chhattisgarh at the time of India's independence in 1947?","1947 में भारत की स्वतंत्रता के समय छत्तीसगढ़ की सटीक प्रशासनिक स्थिति क्या थी?","It was an independent Chief Commissionership.","यह एक स्वतंत्र चीफ कमिश्नरी था।","It was a part of the United Provinces.","यह संयुक्त प्रांत का हिस्सा था।","It was a part of the Central Provinces and Berar.","यह मध्यप्रांत एवं बरार का हिस्सा था।","It was merged with the Eastern States Union.","इसे ईस्टर्न स्टेट्स यूनियन में मिला दिया गया था।","3","At the time of India's independence in 1947, the Chhattisgarh region was administratively a part of the Central Provinces and Berar.","1947 में भारत की स्वतंत्रता के समय, छत्तीसगढ़ क्षेत्र प्रशासनिक रूप से मध्यप्रांत एवं बरार का एक हिस्सा था।"
"In 1955, who among the following presented an informal (non-official) resolution for the creation of a separate Chhattisgarh state in the Central Provinces (Madhya Prant) Legislative Assembly?","1955 में, निम्नलिखित में से किसने मध्यप्रांत की विधानसभा में पृथक छत्तीसगढ़ राज्य के निर्माण के लिए एक अनौपचारिक प्रस्ताव प्रस्तुत किया था?","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Thakur Ramakrishna Singh","ठाकुर रामकृष्ण सिंह","Dr. Khoobchand Baghel","डॉ. खूबचंद बघेल","E. Raghavendra Rao","ई. राघवेंद्र राव","2","In 1955, MLA Thakur Ramakrishna Singh presented an informal resolution in the Central Provinces (Madhya Prant) Legislative Assembly demanding the creation of a separate Chhattisgarh state.","1955 में, विधायक ठाकुर रामकृष्ण सिंह ने मध्यप्रांत की विधानसभा में एक अनौपचारिक प्रस्ताव प्रस्तुत कर पृथक छत्तीसगढ़ राज्य के निर्माण की मांग की थी।"
