Quiz Title: Vakataka Dynasty & the Nala Conflict
क्विज़ शीर्षक: वाकाटक वंश एवं नल संघर्ष
Quiz Description: This quiz rigorously tests your knowledge of the Vakataka and Nala dynasties in ancient Chhattisgarh. It covers crucial epigraphical records, the intense Nala-Vakataka military conflicts, chronological sequences, and architectural contributions essential for CGPSC Prelims.
क्विज़ विवरण: यह क्विज़ प्राचीन छत्तीसगढ़ में वाकाटक और नल राजवंशों के आपके ज्ञान का कड़ाई से परीक्षण करता है। इसमें सीजीपीएससी प्रारंभिक परीक्षा के लिए आवश्यक महत्वपूर्ण पुरालेखीय अभिलेख, तीव्र नल-वाकाटक सैन्य संघर्ष, कालानुक्रमिक क्रम और स्थापत्य योगदान शामिल हैं।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Match the following Nala rulers with their respective historical inscriptions:\n\nList-I\n(a) Bhavadattavarman\n(b) Arthapati Bhattarak\n(c) Skandavarman\n(d) Vilastunga\n\nList-II\n(i) Podagadh Inscription\n(ii) Rajim Inscription\n(iii) Rithapur Inscription\n(iv) Kesaribeda Inscription\n\nCodes:","निम्नलिखित नल शासकों को उनके संबंधित ऐतिहासिक अभिलेखों के साथ सुमेलित करें:\n\nसूची-I\n(a) भवदत्त वर्मन\n(b) अर्थपति भट्टारक\n(c) स्कंदवर्मन\n(d) विलास्तुंग\n\nसूची-II\n(i) पोड़ागढ़ अभिलेख\n(ii) राजिम अभिलेख\n(iii) रिठापुर अभिलेख\n(iv) केसरीबेड़ा अभिलेख\n\nकूट:","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iii), (b)-(i), (c)-(iv), (d)-(ii)","(a)-(iii), (b)-(i), (c)-(iv), (d)-(ii)","(a)-(i), (b)-(iv), (c)-(iii), (d)-(ii)","(a)-(i), (b)-(iv), (c)-(iii), (d)-(ii)","1","Based on epigraphical evidence in Chhattisgarh history: Bhavadattavarman issued the Rithapur copper plate, Arthapati Bhattarak issued the Kesaribeda plate, Skandavarman's achievements are recorded in the Podagadh inscription, and Vilastunga is associated with the Rajim stone inscription.","छत्तीसगढ़ के इतिहास में पुरालेखीय साक्ष्यों के आधार पर: भवदत्त वर्मन ने रिठापुर ताम्रपत्र जारी किया, अर्थपति भट्टारक ने केसरीबेड़ा ताम्रपत्र जारी किया, स्कंदवर्मन की उपलब्धियां पोड़ागढ़ अभिलेख में दर्ज हैं, और विलास्तुंग राजिम प्रस्तर अभिलेख से जुड़े हैं।"
"Consider the following statements regarding the Nala-Vakataka military conflict:\n\n1. Nala king Bhavadattavarman successfully defeated the Vakataka ruler Narendrasena.\n2. Vakataka king Prithvishena II avenged this by defeating Arthapati Bhattarak and destroying Pushkari.\n\nChoose the correct answer:","नल-वाकाटक सैन्य संघर्ष के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. नल राजा भवदत्त वर्मन ने वाकाटक शासक नरेंद्रसेन को सफलतापूर्वक पराजित किया।\n2. वाकाटक राजा पृथ्वीषेण द्वितीय ने अर्थपति भट्टारक को हराकर और पुष्करी को नष्ट करके इसका बदला लिया।\n\nसही उत्तर चुनें:","Only 1 is correct","केवल 1 सही है","Only 2 is correct","केवल 2 सही है","Both 1 and 2 are correct","1 और 2 दोनों सही हैं","Neither 1 nor 2 is correct","न तो 1 और न ही 2 सही है","3","Both statements are historically accurate. Bhavadattavarman invaded the Vakataka empire and captured their capital Nandivardhana. Later, Narendrasena's son, Prithvishena II, avenged his father by defeating Bhavadatta's successor Arthapati and completely destroying the Nala capital, Pushkari.","दोनों कथन ऐतिहासिक रूप से सटीक हैं। भवदत्त वर्मन ने वाकाटक साम्राज्य पर आक्रमण किया और उनकी राजधानी नंदीवर्धन पर कब्जा कर लिया। बाद में, नरेंद्रसेन के पुत्र पृथ्वीषेण द्वितीय ने भवदत्त के उत्तराधिकारी अर्थपति को हराकर और नल की राजधानी पुष्करी को पूरी तरह से नष्ट करके अपने पिता का बदला लिया।"
"A significant hoard of 32 gold coins belonging to the early Nala rulers was discovered at Edenga. Out of these, the maximum number of coins (29 coins) belonged to which ruler?","प्रारंभिक नल शासकों के 32 सोने के सिक्कों का एक महत्वपूर्ण भंडार एड़ेंगा में खोजा गया था। इनमें से सर्वाधिक सिक्के (29 सिक्के) किस शासक के थे?","Bhavadattavarman","भवदत्त वर्मन","Arthapati Bhattarak","अर्थपति भट्टारक","Skandavarman","स्कंदवर्मन","Varahraja","वराहराज","4","In the famous Edenga (Kondagaon) hoard of 32 Nala gold coins, 29 strictly belonged to Varahraja, 1 belonged to Bhavadattavarman, and 2 to Arthapati. This numismatic evidence establishes Varahraja as an early, prosperous sovereign of the dynasty.","32 नल स्वर्ण सिक्कों के प्रसिद्ध एड़ेंगा (कोंडागांव) भंडार में, 29 वराहराज के थे, 1 भवदत्त वर्मन का और 2 अर्थपति के थे। यह मुद्रा साक्ष्य वराहराज को राजवंश के प्रारंभिक, समृद्ध संप्रभु के रूप में स्थापित करता है।"
"Assertion (A): The great poet Kalidasa visited the Ramgarh hills in Surguja and composed 'Meghadutam' there.\n\nReason (R): He travelled to the Vakataka court of Pravarasena II, whose mother Prabhavati Gupta was the daughter of Gupta emperor Chandragupta II.\n\nChoose the correct code:","कथन (A): महान कवि कालिदास ने सरगुजा में रामगढ़ की पहाड़ियों की यात्रा की और वहां 'मेघदूतम्' की रचना की।\n\nकारण (R): उन्होंने प्रवरसेन द्वितीय के वाकाटक दरबार की यात्रा की थी, जिनकी माँ प्रभावती गुप्त गुप्त सम्राट चंद्रगुप्त द्वितीय की पुत्री थीं।\n\nसही कूट चुनें:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","The assertion is true, and the reason provides the correct political context. The matrimonial alliance between the Guptas and Vakatakas (Prabhavati Gupta's marriage to Rudrasena II) led to significant cultural exchange, bringing Kalidasa to the Vakataka court and subsequently to Ramgarh.","कथन सत्य है, और कारण सही राजनीतिक संदर्भ प्रदान करता है। गुप्तों और वाकाटकों के बीच वैवाहिक गठबंधन (प्रभावती गुप्त का रुद्रसेन द्वितीय से विवाह) के कारण महत्वपूर्ण सांस्कृतिक आदान-प्रदान हुआ, जिससे कालिदास वाकाटक दरबार और बाद में रामगढ़ आए।"
"Which capital city of the Nala dynasty was thoroughly destroyed by the Vakataka ruler Prithvishena II during his retaliatory campaign?","वाकाटक शासक पृथ्वीषेण द्वितीय ने अपने प्रतिशोधात्मक अभियान के दौरान नल वंश की किस राजधानी को पूरी तरह से नष्ट कर दिया था?","Nandivardhana","नंदीवर्धन","Pushkari","पुष्करी","Sirpur","सिरपुर","Purika","पुरिका","2","Pushkari (identified with modern Bhopalpatnam) was the capital of the Nala dynasty. It was devastated by Prithvishena II to avenge his father Narendrasena's defeat. It was later rebuilt and repopulated by the Nala king Skandavarman.","पुष्करी (आधुनिक भोपालपट्टनम के रूप में पहचानी गई) नल वंश की राजधानी थी। अपने पिता नरेंद्रसेन की हार का बदला लेने के लिए पृथ्वीषेण द्वितीय द्वारा इसे तबाह कर दिया गया था। बाद में नल राजा स्कंदवर्मन द्वारा इसका पुनर्निर्माण और पुनः बसावट की गई।"
"Arrange the following rulers of the Nala dynasty in their correct chronological order:\n\n1. Skandavarman\n2. Varahraja\n3. Bhavadattavarman\n4. Arthapati Bhattarak\n\nChoose the correct code:","निम्नलिखित नल शासकों को उनके सही कालानुक्रमिक क्रम में व्यवस्थित करें:\n\n1. स्कंदवर्मन\n2. वराहराज\n3. भवदत्त वर्मन\n4. अर्थपति भट्टारक\n\nसही कूट चुनें:","2, 3, 4, 1","2, 3, 4, 1","3, 2, 4, 1","3, 2, 4, 1","2, 4, 3, 1","2, 4, 3, 1","3, 4, 1, 2","3, 4, 1, 2","1","Based on epigraphical and numismatic evidence, the established chronology of these Nala kings is: Varahraja (early ruler with 29 Edenga coins), Bhavadattavarman (invader of Nandivardhana), Arthapati Bhattarak (defeated by Vakatakas), and Skandavarman (who restored the empire).","पुरालेखीय और मुद्रा साक्ष्यों के आधार पर, इन नल राजाओं का स्थापित कालानुक्रम है: वराहराज (29 एड़ेंगा सिक्कों वाले प्रारंभिक शासक), भवदत्त वर्मन (नंदीवर्धन के आक्रमणकारी), अर्थपति भट्टारक (वाकाटकों द्वारा पराजित), और स्कंदवर्मन (जिन्होंने साम्राज्य को बहाल किया)।"
"Which of the following kings of the Nala dynasty is NOT historically recorded as having engaged in a military conflict with the Vakataka dynasty?","ऐतिहासिक रूप से नल वंश के निम्नलिखित में से किस राजा का वाकाटक वंश के साथ सैन्य संघर्ष में शामिल होने का उल्लेख नहीं है?","Bhavadattavarman","भवदत्त वर्मन","Arthapati Bhattarak","अर्थपति भट्टारक","Skandavarman","स्कंदवर्मन","Vilastunga","विलास्तुंग","4","Bhavadattavarman, Arthapati, and Skandavarman were directly involved in the fierce 5th-century Nala-Vakataka struggle. Vilastunga ruled much later, in the 8th century AD, and is known for building the Rajiv Lochan temple, with no recorded Vakataka conflicts.","भवदत्त वर्मन, अर्थपति और स्कंदवर्मन 5वीं शताब्दी के भयंकर नल-वाकाटक संघर्ष में सीधे तौर पर शामिल थे। विलास्तुंग ने बहुत बाद में, 8वीं शताब्दी ई. में शासन किया, और उन्हें राजीव लोचन मंदिर बनाने के लिए जाना जाता है, वाकाटक संघर्ष का कोई रिकॉर्ड नहीं है।"
"Consider the following statements regarding the Vakataka dynasty in Chhattisgarh:\n\n1. Their early capital was Purika, which later shifted to Nandivardhana.\n2. The Ajanta inscription of Harishena confirms their authority over the Kosala and Mekal regions.\n3. Their official inscriptions in Chhattisgarh were written exclusively using the Northern Nagari script.\n\nChoose the correct statement(s):","छत्तीसगढ़ में वाकाटक वंश के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. उनकी प्रारंभिक राजधानी पुरिका थी, जो बाद में नंदीवर्धन स्थानांतरित हो गई।\n2. हरिषेण का अजंता अभिलेख कोसल और मैकल क्षेत्रों पर उनके अधिकार की पुष्टि करता है।\n3. छत्तीसगढ़ में उनके आधिकारिक अभिलेख विशेष रूप से उत्तरी नागरी लिपि का उपयोग करके लिखे गए थे।\n\nसही कथन चुनें:","Only 1 and 2","केवल 1 और 2","Only 2 and 3","केवल 2 और 3","Only 1 and 3","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are factual regarding Vakataka history. Statement 3 is incorrect because the Vakatakas, along with the Nalas and Sharabhapuriyas, explicitly used the 'Box-headed' (Petika-shirsha) variety of the Brahmi script, not the Northern Nagari script.","वाकाटक इतिहास के संबंध में कथन 1 और 2 तथ्यात्मक हैं। कथन 3 गलत है क्योंकि वाकाटकों ने, नलों और शरभपुरीयों के साथ, स्पष्ट रूप से उत्तरी नागरी लिपि का नहीं, बल्कि ब्राह्मी लिपि की 'पेटिका-शीर्ष' (बॉक्स-हेडेड) विविधता का उपयोग किया था।"
"Match the Vakataka kings with the key events of their reign:\n\nList-I\n(a) Pravarasena I\n(b) Rudrasena II\n(c) Narendrasena\n(d) Prithvishena II\n\nList-II\n(i) Destroyed the Nala capital Pushkari\n(ii) Defeated by Bhavadattavarman\n(iii) Married Prabhavati Gupta\n(iv) Real founder of Vakataka power in Dakshin Kosal\n\nCodes:","वाकाटक राजाओं को उनके शासनकाल की प्रमुख घटनाओं के साथ सुमेलित करें:\n\nसूची-I\n(a) प्रवरसेन प्रथम\n(b) रुद्रसेन द्वितीय\n(c) नरेंद्रसेन\n(d) पृथ्वीषेण द्वितीय\n\nसूची-II\n(i) नल की राजधानी पुष्करी को नष्ट किया\n(ii) भवदत्त वर्मन द्वारा पराजित\n(iii) प्रभावती गुप्त से विवाह किया\n(iv) दक्षिण कोसल में वाकाटक सत्ता के वास्तविक संस्थापक\n\nकूट:","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","1","Pravarasena I established Vakataka rule in Chhattisgarh. Rudrasena II married the Gupta princess Prabhavati. Narendrasena suffered a humiliating defeat from Bhavadattavarman. Prithvishena II retaliated by completely destroying Pushkari.","प्रवरसेन प्रथम ने छत्तीसगढ़ में वाकाटक शासन की स्थापना की। रुद्रसेन द्वितीय ने गुप्त राजकुमारी प्रभावती से विवाह किया। नरेंद्रसेन को भवदत्त वर्मन से अपमानजनक हार का सामना करना पड़ा। पृथ्वीषेण द्वितीय ने पुष्करी को पूरी तरह से नष्ट करके जवाबी कार्रवाई की।"
"Which Nala ruler is credited with repopulating the devastated capital of Pushkari and building a Vishnu temple at Podagadh?","किस नल शासक को पुष्करी की तबाह राजधानी को फिर से बसाने और पोड़ागढ़ में एक विष्णु मंदिर बनाने का श्रेय दिया जाता है?","Varahraja","वराहराज","Arthapati Bhattarak","अर्थपति भट्टारक","Skandavarman","स्कंदवर्मन","Vilastunga","विलास्तुंग","3","After Pushkari was destroyed by the Vakatakas, Skandavarman bravely defeated his enemies, recovered the lost territories, repopulated Pushkari, and commissioned a Vishnu temple at Podagadh, as recorded in his stone inscription.","वाकाटकों द्वारा पुष्करी को नष्ट किए जाने के बाद, स्कंदवर्मन ने बहादुरी से अपने दुश्मनों को हराया, खोए हुए क्षेत्रों को पुनः प्राप्त किया, पुष्करी को फिर से बसाया, और पोड़ागढ़ में एक विष्णु मंदिर का निर्माण करवाया, जैसा कि उनके प्रस्तर अभिलेख में दर्ज है।"
