TOPIC - JUNE 2026 Chhattisgarh Current Affairs June 2026 Part-2
छत्तीसगढ़ करेंट अफेयर्स जून 2026 भाग-2
Master the crucial June 2026 current affairs of Chhattisgarh with this examiner-aligned quiz. Covering key schemes, new policies, archaeological finds, and sports achievements for CGPSC preparation.
इस परीक्षक-संरेखित क्विज़ के साथ छत्तीसगढ़ के महत्वपूर्ण जून 2026 करेंट अफेयर्स पर पकड़ बनाएं। सीजीपीएससी की तैयारी के लिए इसमें प्रमुख योजनाओं, नई नीतियों, पुरातात्विक खोजों और खेल उपलब्धियों को शामिल किया गया है।
"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"Consider the following statements regarding the 'Sughghar Chhattisgarh Abhiyan' launched recently:\n\n1. It is being implemented in 23 districts covering 31 individual beneficiary schemes.\n\n2. Real-time monitoring of the campaign is conducted via a dashboard developed by CHiPS.\n\n3. The core mantra of this campaign is 'Sushasan Se Santripti Ki Aur' (From Good Governance to Saturation).\n\nChoose the correct answer:","हाल ही में शुरू किए गए 'सुघ्घर छत्तीसगढ़ अभियान' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसे 23 जिलों में लागू किया जा रहा है जिसमें 31 व्यक्तिगत लाभार्थी योजनाएं शामिल हैं।\n\n2. अभियान की रियल-टाइम निगरानी CHiPS द्वारा विकसित डैशबोर्ड के माध्यम से की जाती है।\n\n3. इस अभियान का मूल मंत्र 'सुशासन से संतृप्ति की ओर' है।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are correct. Based on the Niyad Nellanar model, the Sughghar Chhattisgarh Abhiyan runs in 23 districts (excluding 10 Maoist-affected ones). It covers 31 schemes and is monitored real-time by the CHiPS dashboard with the mantra 'Sushasan Se Santripti Ki Aur'.","सभी कथन सही हैं। नियद नेल्लानार मॉडल पर आधारित, सुघ्घर छत्तीसगढ़ अभियान 23 जिलों (10 माओवाद प्रभावित जिलों को छोड़कर) में चलाया जा रहा है। इसमें 31 योजनाएं शामिल हैं और CHiPS डैशबोर्ड द्वारा 'सुशासन से संतृप्ति की ओर' मंत्र के साथ इसकी रियल-टाइम निगरानी की जाती है।"
"The state cabinet formed a 5-member committee in 2026 to draft the Uniform Civil Code (UCC) for Chhattisgarh. Apart from Chairperson Retd. Justice Ranjana Prakash Desai, who is the only female member of this committee?","राज्य मंत्रिमंडल ने 2026 में छत्तीसगढ़ के लिए समान नागरिक संहिता (UCC) का मसौदा तैयार करने हेतु 5 सदस्यीय समिति का गठन किया। अध्यक्ष सेवानिवृत्त न्यायाधीश रंजना प्रकाश देसाई के अलावा, इस समिति की एकमात्र महिला सदस्य कौन हैं?","Shamshad Begum","शमशाद बेगम","Chauri Soni","चौरी सोनी","Jyoti Rani Singh","ज्योति रानी सिंह","Durgawati Devi","दुर्गावती देवी","3","The 5-member UCC drafting committee for Chhattisgarh, headed by Retd. Justice Ranjana Prakash Desai, includes Shatrughna Singh, M.K. Raut, Mohan Pawar, and Jyoti Rani Singh as the only other female member.","सेवानिवृत्त न्यायाधीश रंजना प्रकाश देसाई की अध्यक्षता वाली छत्तीसगढ़ की 5 सदस्यीय यूसीसी मसौदा समिति में शत्रुघ्न सिंह, एम.के. राउत, मोहन पवार और एकमात्र अन्य महिला सदस्य के रूप में ज्योति रानी सिंह शामिल हैं।"
"Match the following teams of the Chhattisgarh Cricket Premier League (CCPL) Season 3 (June 2026) with their respective Captains:\n\nList-I\n(a) Bilaspur Bulls\n(b) Raigarh Lions\n(c) Bastar Bisons\n(d) Surguja Tigers\n\nList-II\n(i) Rishabh Tiwari\n(ii) Ayush Pandey\n(iii) Ashutosh Singh\n(iv) Anuj Tiwari\n\nCodes:","छत्तीसगढ़ क्रिकेट प्रीमियर लीग (CCPL) सीज़न 3 (जून 2026) की निम्नलिखित टीमों को उनके संबंधित कप्तानों से सुमेलित कीजिए:\n\nसूची-I\n(a) बिलासपुर बुल्स\n(b) रायगढ़ लायंस\n(c) बस्तर बायसंस\n(d) सरगुजा टाइगर्स\n\nसूची-II\n(i) ऋषभ तिवारी\n(ii) आयुष पांडे\n(iii) आशुतोष सिंह\n(iv) अनुज तिवारी\n\nकूट:","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","(a)-(ii), (b)-(iv), (c)-(i), (d)-(iii)","1","In CCPL Season 3, the winning team Bilaspur Bulls was captained by Ayush Pandey. Runner-up Raigarh Lions was led by Rishabh Tiwari. Bastar Bisons was captained by Anuj Tiwari, and Surguja Tigers by Ashutosh Singh.","CCPL सीज़न 3 में, विजेता टीम बिलासपुर बुल्स के कप्तान आयुष पांडे थे। उपविजेता रायगढ़ लायंस का नेतृत्व ऋषभ तिवारी ने किया। बस्तर बायसंस के कप्तान अनुज तिवारी थे, और सरगुजा टाइगर्स के आशुतोष सिंह।"
"Consider the following statements regarding the recent international achievements of Chhattisgarh's sprint runner Animesh Kujur in 2026:\n\n1. He won the Gold medal in the 200m sprint at the Saudi Athletics Grand Prix in Riyadh.\n\n2. He secured the Silver medal in the 100m sprint at the New Taipei City Athletics Open.\n\nChoose the correct answer:","2026 में छत्तीसगढ़ के स्प्रिंट धावक अनिमेष कुजूर की हालिया अंतरराष्ट्रीय उपलब्धियों के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उन्होंने रियाद में सऊदी एथलेटिक्स ग्रैंड प्रिक्स में 200 मीटर दौड़ में स्वर्ण पदक जीता।\n\n2. उन्होंने न्यू ताइपे सिटी एथलेटिक्स ओपन में 100 मीटर दौड़ में रजत पदक हासिल किया।\n\nसही उत्तर चुनिए:","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","ना तो 1 ना ही 2","3","Both statements are true. Animesh Kujur, hailing from Jashpur, has been performing exceptionally in 2026, winning Gold in 200m at the Saudi GP (20.77s) and Silver in the 200m/100m events at the New Taipei City Open.","दोनों कथन सत्य हैं। जशपुर के रहने वाले अनिमेष कुजूर 2026 में असाधारण प्रदर्शन कर रहे हैं, उन्होंने सऊदी जीपी (20.77 सेकंड) में 200 मीटर में स्वर्ण और न्यू ताइपे सिटी ओपन में 200 मीटर/100 मीटर स्पर्धाओं में रजत जीता।"
"Under the newly implemented V.B.G. RAM G Adhiniyam 2025 (which replaced MGNREGA), what is the revised daily wage for unskilled rural laborers in Chhattisgarh effective from July 1, 2026?","नव लागू वी.बी.जी. राम जी अधिनियम 2025 (जिसने मनरेगा का स्थान लिया) के तहत, 1 जुलाई 2026 से छत्तीसगढ़ में अकुशल ग्रामीण मजदूरों के लिए संशोधित दैनिक मजदूरी क्या है?","₹261","₹261","₹298.80","₹298.80","₹300","₹300","₹327.40","₹327.40","3","From July 1, 2026, under the new VBG RAM G Act guaranteeing 125 days of employment, the daily wage for unskilled laborers in Chhattisgarh has been increased from ₹261 to ₹300. (The national average notified wage is ₹327.40).","1 जुलाई 2026 से, 125 दिनों के रोजगार की गारंटी देने वाले नए VBG RAM G अधिनियम के तहत, छत्तीसगढ़ में अकुशल मजदूरों के लिए दैनिक मजदूरी ₹261 से बढ़ाकर ₹300 कर दी गई है। (राष्ट्रीय औसत अधिसूचित मजदूरी ₹327.40 है)।"
"The state government launched the 'Bastar Munne' campaign on May 1, 2026, to ensure 100% saturation of basic schemes in the 7 districts of the Bastar division. What does the Gondi term 'Bastar Munne' literally translate to?","राज्य सरकार ने बस्तर संभाग के 7 जिलों में बुनियादी योजनाओं की 100% संतृप्ति सुनिश्चित करने के लिए 1 मई 2026 को 'बस्तर मुन्ने' अभियान शुरू किया। गोंडी शब्द 'बस्तर मुन्ने' का शाब्दिक अर्थ क्या है?","Shanti Bastar (Peaceful Bastar)","शांति बस्तर","Agrani Bastar (Leading Bastar)","अग्रणी बस्तर","Nawa Bastar (New Bastar)","नवा बस्तर","Hariyali Bastar (Green Bastar)","हरियाली बस्तर","2","The term 'Bastar Munne' in the Gondi dialect literally translates to 'Agrani Bastar' (Leading Bastar). This campaign acts as an extension to the Niyad Nellanar Yojana to provide essential infrastructure to previously uncovered tribal villages.","गोंडी बोली में 'बस्तर मुन्ने' शब्द का शाब्दिक अर्थ 'अग्रणी बस्तर' है। यह अभियान पहले से वंचित आदिवासी गांवों को आवश्यक बुनियादी ढांचा प्रदान करने के लिए नियद नेल्लानार योजना के विस्तार के रूप में कार्य करता है।"
"Which historic milestone was achieved by Chhattisgarh's Mahak Narwase in June 2026?","जून 2026 में छत्तीसगढ़ की महक नरवासे ने कौन सी ऐतिहासिक उपलब्धि हासिल की?","She became the first female from the state to win an international Judo gold.","वह अंतरराष्ट्रीय जूडो स्वर्ण जीतने वाली राज्य की पहली महिला बनीं।","She became the first female cricketer from CG to be appointed Vice-Captain of the India U-19 Women's Team.","वह भारत की अंडर-19 महिला टीम की उप-कप्तान नियुक्त होने वाली छ.ग. की पहली महिला क्रिकेटर बनीं।","She became the first tribal woman from Bastar to scale Mount Everest.","वह माउंट एवरेस्ट फतह करने वाली बस्तर की पहली आदिवासी महिला बनीं।","She became the first female FIFA referee from Chhattisgarh.","वह छत्तीसगढ़ से पहली महिला फीफा रेफरी बनीं।","2","Mahak Narwase from Rajnandgaon scripted history by becoming the first female cricketer from Chhattisgarh to be selected for the Indian Women's U-19 team (T20 and ODI) and appointed as its Vice-Captain for the Sri Lanka tour.","राजनांदगांव की महक नरवासे ने भारतीय महिला अंडर-19 टीम (टी20 और वनडे) के लिए चुनी जाने वाली और श्रीलंका दौरे के लिए इसकी उप-कप्तान नियुक्त होने वाली छत्तीसगढ़ की पहली महिला क्रिकेटर बनकर इतिहास रच दिया।"
"The 'Gems and Jewellery Park', which will be the 4th such park in India and the largest in Central India, was formally approved in June 2026. Where is it being developed?","'जेम्स एंड ज्वैलरी पार्क', जो भारत में ऐसा चौथा और मध्य भारत का सबसे बड़ा पार्क होगा, को जून 2026 में औपचारिक मंजूरी दी गई। इसे कहाँ विकसित किया जा रहा है?","Sector 22, Nava Raipur","सेक्टर 22, नवा रायपुर","Pandri (Devendra Nagar), Raipur","पंडरी (देवेंद्र नगर), रायपुर","Urla Industrial Area, Raipur","उरला औद्योगिक क्षेत्र, रायपुर","Borjhara, Durg","बोरझरा, दुर्ग","2","After an 11-year wait, the CSIDC approved the Gems and Jewellery Park to be built at a cost of ₹112.40 crore over 10 acres at the Krishi Upaj Mandi premises in Pandri (Devendra Nagar), Raipur.","11 साल के इंतजार के बाद, CSIDC ने रायपुर के पंडरी (देवेंद्र नगर) में कृषि उपज मंडी परिसर में 10 एकड़ में ₹112.40 करोड़ की लागत से बनने वाले जेम्स एंड ज्वैलरी पार्क को मंजूरी दी।"
"Consider the following statements regarding the newly approved 'Chhattisgarh Compressed Biogas (CBG) Policy 2026':\n\n1. It targets an annual production capacity of 5 lakh tons of CBG by 2047.\n\n2. The policy proposes an investment of ₹3600 crore.\n\n3. In the first phase, CBG plants will be set up in all 33 districts of the state.\n\nChoose the correct answer:","हाल ही में स्वीकृत 'छत्तीसगढ़ कंप्रेस्ड बायोगैस (CBG) नीति 2026' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह 2047 तक 5 लाख टन CBG की वार्षिक उत्पादन क्षमता का लक्ष्य रखता है।\n\n2. यह नीति ₹3600 करोड़ के निवेश का प्रस्ताव करती है।\n\n3. पहले चरण में, राज्य के सभी 33 जिलों में CBG प्लांट स्थापित किए जाएंगे।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. The policy aims to produce 5 lakh tons of CBG from agri-waste by 2047 with a 3600 Cr investment. Statement 3 is false because initially, plants will be established in only 8 major locations, not all 33 districts.","कथन 1 और 2 सही हैं। इस नीति का लक्ष्य 2047 तक कृषि-अपशिष्ट से 5 लाख टन सीबीजी का उत्पादन करना है जिसमें 3600 करोड़ का निवेश होगा। कथन 3 गलत है क्योंकि शुरुआत में केवल 8 प्रमुख स्थानों पर प्लांट स्थापित किए जाएंगे, सभी 33 जिलों में नहीं।"
"The recently approved 291.88 km long Dharamjaigarh-Pathalgaon-Lohardaga new rail line project will connect the railway network for the very first time to which district of Chhattisgarh?","हाल ही में स्वीकृत 291.88 कि.मी लंबी धरमजयगढ़-पत्थलगांव-लोहरदगा नई रेल लाइन परियोजना छत्तीसगढ़ के किस जिले को पहली बार रेल नेटवर्क से जोड़ेगी?","Surguja","सरगुजा","Balrampur","बलरामपुर","Jashpur","जशपुर","Mungeli","मुंगेली","3","The Dharamjaigarh (Raigarh) - Pathalgaon (Jashpur) - Lohardaga (Jharkhand) rail line has been notified as a special project. Once completed, it will provide the Jashpur district with its first-ever direct railway connectivity.","धरमजयगढ़ (रायगढ़) - पत्थलगांव (जशपुर) - लोहरदगा (झारखंड) रेल लाइन को एक विशेष परियोजना के रूप में अधिसूचित किया गया है। इसके पूरा होने पर, यह जशपुर जिले को पहली बार सीधा रेलवे संपर्क प्रदान करेगी।"
