Quiz Title: Restoration of Marathas: Zilhedari System (1830–1854)
Quiz Title (Hindi): मराठों की पुनर्स्थापना: जिलेदारी व्यवस्था (1830–1854)
Quiz Description: Master the Maratha Restoration period in Chhattisgarh under Raghuji III. This quiz covers the Zilhedari administration, key revolts, social reforms, and the final British annexation for CGPSC Prelims.
Quiz Description (Hindi): रघुजी तृतीय के अधीन छत्तीसगढ़ में मराठा पुनर्स्थापना काल पर महारत हासिल करें। इस क्विज़ में सीजीपीएससी प्रीलिम्स के लिए जिलेदारी प्रशासन, प्रमुख विद्रोहों, सामाजिक सुधारों और अंतिम ब्रिटिश विलय को शामिल किया गया है।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"On which exact date did the British Superintendent Capt. Crawford officially hand over the administration of Chhattisgarh to the Bhonsle representative, marking the start of the Zilhedari system?","ब्रिटिश अधीक्षक कैप्टन क्रॉफर्ड ने किस सटीक तिथि को आधिकारिक तौर पर छत्तीसगढ़ का प्रशासन भोंसले प्रतिनिधि को सौंप दिया, जिससे जिलेदारी व्यवस्था की शुरुआत हुई?","27th December 1829","27 दिसंबर 1829","6th June 1830","6 जून 1830","11th December 1853","11 दिसंबर 1853","13th March 1854","13 मार्च 1854","2","While the agreement between the British and Raghuji III was signed on 27th December 1829, the actual transfer of power to the first Zilhedar, Krishna Rao Appa, took place on 6th June 1830.","जबकि अंग्रेजों और रघुजी तृतीय के बीच समझौते पर 27 दिसंबर 1829 को हस्ताक्षर किए गए थे, प्रथम जिलेदार, कृष्ण राव अप्पा को सत्ता का वास्तविक हस्तांतरण 6 जून 1830 को हुआ था।"
"Who was appointed as the first Zilhedar of Chhattisgarh by the Bhonsle ruler Raghuji III in 1830?","1830 में भोंसले शासक रघुजी तृतीय द्वारा छत्तीसगढ़ के प्रथम जिलेदार के रूप में किसे नियुक्त किया गया था?","Gopal Rao Appa","गोपाल राव अप्पा","Sadruddin","सदरुद्दीन","Amrit Rao Appa","अमृत राव अप्पा","Krishna Rao Appa","कृष्ण राव अप्पा","4","Krishna Rao Appa was appointed as the first Zilhedar of Chhattisgarh by Raghuji III. He took over the administration from British Superintendent Capt. Crawford on 6th June 1830.","रघुजी तृतीय द्वारा कृष्ण राव अप्पा को छत्तीसगढ़ का प्रथम जिलेदार नियुक्त किया गया था। उन्होंने 6 जून 1830 को ब्रिटिश अधीक्षक कैप्टन क्रॉफर्ड से प्रशासन का कार्यभार संभाला।"
"During the Zilhedari period (1830-1854), what was the administrative headquarters of Chhattisgarh?","जिलेदारी काल (1830-1854) के दौरान, छत्तीसगढ़ का प्रशासनिक मुख्यालय क्या था?","Ratanpur","रतनपुर","Nagpur","नागपुर","Raipur","रायपुर","Bilaspur","बिलासपुर","3","During the Zilhedari period, the administrative headquarters of Chhattisgarh was Raipur. The region was known as 'Zilha' and its administrator was called 'Zilhedar'.","जिलेदारी काल के दौरान, छत्तीसगढ़ का प्रशासनिक मुख्यालय रायपुर था। इस क्षेत्र को 'जिला' के रूप में जाना जाता था और इसके प्रशासक को 'जिलेदार' कहा जाता था।"
"In which year did the Bhonsle ruler Raghuji III officially prohibit the practice of Sati in Chhattisgarh?","भोंसले शासक रघुजी तृतीय ने छत्तीसगढ़ में सती प्रथा को आधिकारिक तौर पर किस वर्ष प्रतिबंधित किया था?","1829 A.D.","1829 ई.","1830 A.D.","1830 ई.","1831 A.D.","1831 ई.","1842 A.D.","1842 ई.","3","Although Lord William Bentinck banned Sati in British India in 1829, the Bhonsle ruler Raghuji III officially prohibited this inhuman practice in the Chhattisgarh region in the year 1831 A.D.","यद्यपि लॉर्ड विलियम बेंटिंक ने 1829 में ब्रिटिश भारत में सती प्रथा पर प्रतिबंध लगा दिया था, लेकिन भोंसले शासक रघुजी तृतीय ने 1831 ई. में छत्तीसगढ़ क्षेत्र में इस अमानवीय प्रथा को आधिकारिक तौर पर प्रतिबंधित कर दिया था।"
"Consider the following statements regarding the suppression of Thugs in Chhattisgarh:\n\n1. It was carried out in the year 1830.\n\n2. It was completely eliminated by Colonel Sleeman.\n\n3. The operation was ordered by the British Governor-General Lord Dalhousie.\n\nWhich of the statements given above are correct?","छत्तीसगढ़ में ठगों के दमन के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसे वर्ष 1830 में अंजाम दिया गया था।\n\n2. कर्नल स्लीमन द्वारा इसे पूरी तरह से समाप्त कर दिया गया था।\n\n3. इस अभियान का आदेश ब्रिटिश गवर्नर-जनरल लॉर्ड डलहौजी ने दिया था।\n\nउपर्युक्त कथनों में से कौन-से सही हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. Statement 3 is incorrect because the suppression of Thugs was ordered by Governor-General Lord William Bentinck, not Lord Dalhousie.","कथन 1 और 2 सही हैं। कथन 3 गलत है क्योंकि ठगों के दमन का आदेश गवर्नर-जनरल लॉर्ड विलियम बेंटिंक ने दिया था, न कि लॉर्ड डलहौजी ने।"
"Which two Tahutdaris were established in Chhattisgarh during the direct reign of Maratha ruler Raghuji III?","मराठा शासक रघुजी तृतीय के प्रत्यक्ष शासनकाल के दौरान छत्तीसगढ़ में कौन सी दो ताहूतदारियां स्थापित की गई थीं?","Lormi and Tarenga","लोरमी और तरेंगा","Sirpur and Lavan","सिरपुर और लवन","Sanjari and Khallari","संजारी और खल्लारी","Sihava and Sanjari","सिहावा और संजारी","2","Sirpur (1843) and Lavan (1848) Tahutdaris were formed during the Maratha Zilhedari period under Raghuji III. Lormi and Tarenga were formed earlier by British Supt. Sandis.","रघुजी तृतीय के अधीन मराठा जिलेदारी काल के दौरान सिरपुर (1843) और लवन (1848) ताहूतदारियां बनाई गई थीं। लोरमी और तरेंगा का गठन पहले ब्रिटिश अधीक्षक सैंडिस द्वारा किया गया था।"
"Match the Tahutdaris with their exact year of establishment:\n\nList-I\n(a) Lormi\n(b) Tarenga\n(c) Sirpur\n(d) Lavan\n\nList-II\n(i) 1848\n(ii) 1826\n(iii) 1843\n(iv) 1828\n\nCodes:","ताहूतदारियों को उनकी स्थापना के सटीक वर्ष के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) लोरमी\n(b) तरेंगा\n(c) सिरपुर\n(d) लवन\n\nसूची-II\n(i) 1848\n(ii) 1826\n(iii) 1843\n(iv) 1828\n\nकूट:","a-ii, b-iv, c-iii, d-i","a-ii, b-iv, c-iii, d-i","a-iv, b-ii, c-i, d-iii","a-iv, b-ii, c-i, d-iii","a-ii, b-iii, c-iv, d-i","a-ii, b-iii, c-iv, d-i","a-iii, b-iv, c-ii, d-i","a-iii, b-iv, c-ii, d-i","1","Lormi was established in 1826 and Tarenga in 1828 by Capt. Sandis. Sirpur was established in 1843 and Lavan in 1848 during the reign of Raghuji III.","कैप्टन सैंडिस द्वारा 1826 में लोरमी और 1828 में तरेंगा की स्थापना की गई थी। रघुजी तृतीय के शासनकाल में 1843 में सिरपुर और 1848 में लवन की स्थापना हुई थी।"
"Who led the Dhamdha Revolt of 1830 against the exploitative policies of the newly appointed Maratha Zilhedar?","नव नियुक्त मराठा जिलेदार की शोषणकारी नीतियों के खिलाफ 1830 के धमधा विद्रोह का नेतृत्व किसने किया था?","Gend Singh","गेंद सिंह","Ram Sai","राम साय","Gond Zamindar of Dhamdha","धमधा के गोंड जमींदार","Narayan Singh","नारायण सिंह","3","The Dhamdha Revolt of 1830 was led by the Gond Zamindar of Dhamdha. The Zamindar was deeply discontented with the exploitative revenue extraction by the new Zilhedar.","1830 के धमधा विद्रोह का नेतृत्व धमधा के गोंड जमींदार ने किया था। जमींदार नए जिलेदार द्वारा राजस्व की शोषणकारी वसूली से गहरे असंतोष में था।"
"Assertion (A): The first Zilhedar, Krishna Rao Appa, successfully suppressed the Dhamdha Revolt of 1830 entirely on his own strength.\n\nReason (R): The Maratha army under the Zilhedar was highly organized and equipped with modern weaponry in Raipur.\n\nCodes:","कथन (A): प्रथम जिलेदार, कृष्ण राव अप्पा ने 1830 के धमधा विद्रोह को पूरी तरह से अपने दम पर सफलतापूर्वक दबा दिया।\n\nकारण (R): जिलेदार के अधीन मराठा सेना अत्यधिक संगठित थी और रायपुर में आधुनिक हथियारों से लैस थी।\n\nकूट:","Both A and R are true and R is the correct explanation of A.","A और R दोनों सत्य हैं और R, A की सही व्याख्या है।","Both A and R are true but R is not the correct explanation of A.","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है।","A is true but R is false.","A सत्य है लेकिन R असत्य है।","Both A and R are false.","A और R दोनों असत्य हैं।","4","Both statements are false. Krishna Rao Appa could not suppress the Dhamdha revolt on his own; he had to seek the military help of the British forces to crush the rebellion.","दोनों कथन असत्य हैं। कृष्ण राव अप्पा अपने दम पर धमधा विद्रोह को नहीं दबा सके; उन्हें विद्रोह को कुचलने के लिए ब्रिटिश सेना की सैन्य सहायता लेनी पड़ी थी।"
"During the Zilhedari period, a major revolt occurred in Bargarh. What was the active period of this Bargarh Revolt?","जिलेदारी काल के दौरान, बरगढ़ में एक बड़ा विद्रोह हुआ था। इस बरगढ़ विद्रोह की सक्रिय अवधि क्या थी?","1818 - 1825","1818 - 1825","1825 - 1830","1825 - 1830","1830 - 1845","1830 - 1845","1842 - 1854","1842 - 1854","3","The Bargarh Revolt, which occurred during the Maratha Zilhedari period in Chhattisgarh, was continuously active for 15 years, lasting from 1830 to 1845 A.D.","छत्तीसगढ़ में मराठा जिलेदारी काल के दौरान हुआ बरगढ़ विद्रोह 15 वर्षों तक लगातार सक्रिय रहा, जो 1830 से 1845 ई. तक चला।"
