Quiz Title: CG History - Chhindak Nagvansh of Chakrakot
Quiz Title (Hindi): छत्तीसगढ़ का इतिहास - चक्रकोट का छिंदक नागवंश
Quiz Description: This examiner-aligned master quiz delves into the Chhindak Nagvansh of Bastar, with a special focus on Someshwar Dev I, epigraphy (Kuruspal, Errakot), and regional conflicts. It rigorously tests chronological precision and deep factual clarity for CGPSC Prelims.
Quiz Description (Hindi): यह परीक्षक-संरेखित मास्टर क्विज़ बस्तर के छिंदक नागवंश, विशेष रूप से सोमेश्वर देव प्रथम, पुरालेख (कुरुषपाल, एर्राकोट) और क्षेत्रीय संघर्षों पर गहराई से प्रकाश डालता है। यह सीजीपीएससी प्रारंभिक परीक्षा के लिए कालानुक्रमिक सटीकता और गहरी तथ्यात्मक स्पष्टता का कड़ाई से परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Based on epigraphical evidence, the foundational history of the Chhindak Naga dynasty in Bastar officially begins with which specific inscription dated 1023 AD (Shaka Samvat 945)?","पुरालेखीय साक्ष्यों के आधार पर, बस्तर में छिंदक नागवंश का आधारभूत इतिहास 1023 ई. (शक संवत 945) के किस विशिष्ट अभिलेख से आधिकारिक तौर पर शुरू होता है?","Kuruspal Stone Inscription","कुरुषपाल प्रस्तर अभिलेख","Rajpur Copper Plate","राजपुर ताम्रपत्र","Errakot Telugu Inscription","एर्राकोट तेलुगु अभिलेख","Barsur Inscription","बारसूर अभिलेख","3","The Errakot Telugu inscription, dated 25 April 1023 AD (Shaka Samvat 945), is the earliest known record of the Chhindak Nagas. It explicitly mentions Nripatibhushana (Kshitibhushana) as the founding ruler of the dynasty in the Chakrakot region.","25 अप्रैल 1023 ई. (शक संवत 945) का एर्राकोट तेलुगु अभिलेख छिंदक नागों का सबसे पहला ज्ञात रिकॉर्ड है। इसमें स्पष्ट रूप से नृपतिभूषण (क्षितिभूषण) का चक्रकोट क्षेत्र में राजवंश के संस्थापक शासक के रूप में उल्लेख है।"
"The royal insignia and flags of the Chhindak Naga dynasty of Chakrakot featured highly specific motifs. What were their officially recognized royal emblem (Lanchhana) and flag symbol (Dhwaja) respectively?","चक्रकोट के छिंदक नागवंश के शाही प्रतीक चिन्हों और झंडों में अत्यधिक विशिष्ट रूपांकन थे। क्रमशः उनका आधिकारिक रूप से मान्यता प्राप्त राजचिह्न (लांछन) और ध्वज प्रतीक क्या था?","Gajashardul and Garuda","गजशार्दूल और गरुड़","Vyaghra-savaka (Tiger with cub) and Serpent","सशावक व्याघ्र (शावक के साथ बाघ) और सर्प","Nandi and Crescent Moon","नंदी और अर्धचंद्र","Dhanuvyaghra (Bow-tiger) and Lion","धनुव्याघ्र और शेर","2","The Chhindak Nagas belonged to the Kashyapa Gotra. Their royal flag prominently featured a serpent (Sarpa), while their official royal emblem (Rajchinh) depicted a tiger with its cub (Vyaghra-savaka/Baagh aur Baagh-shavak).","छिंदक नाग कश्यप गोत्र के थे। उनके शाही ध्वज में प्रमुख रूप से एक सर्प था, जबकि उनके आधिकारिक राजचिह्न में एक शावक के साथ बाघ (सशावक व्याघ्र/बाघ और बाघ-शावक) को दर्शाया गया था।"
"In the context of the political rivalry within the Chhindak Nagas, which ruler usurped the throne from the main line and uniquely used the 'Dhanuvyaghra' (Bow-tiger) emblem instead of the traditional 'Vyaghra-savaka'?","छिंदक नागों के भीतर राजनीतिक प्रतिद्वंद्विता के संदर्भ में, किस शासक ने मुख्य वंश से सिंहासन हड़प लिया और पारंपरिक 'सशावक व्याघ्र' के बजाय विशिष्ट रूप से 'धनुव्याघ्र' (धनुष-बाघ) प्रतीक का उपयोग किया?","Dharavarsha","धारावर्ष","Madhurantaka Dev","मधुरांतक देव","Someshwar Dev I","सोमेश्वर देव प्रथम","Jayasimha Dev","जयसिंह देव","2","Madhurantaka Dev was a rival claimant who temporarily usurped the throne. To distinguish his lineage, his royal emblem was the 'Dhanuvyaghra' (Bow-tiger), and his flag featured an Airavata (elephant) with a lotus, differing from the original line.","मधुरांतक देव एक प्रतिद्वंद्वी दावेदार था जिसने अस्थायी रूप से सिंहासन हड़प लिया था। अपने वंश को अलग करने के लिए, उनका राजचिह्न 'धनुव्याघ्र' था, और उनके झंडे में कमल के साथ एक ऐरावत (हाथी) था, जो मूल वंश से भिन्न था।"
"The famous Chandraditya Temple and Chandraditya Sarovar (lake) in Barsur were commissioned around 1060 AD by Mahamandaleshwar Chandraditya. He served as a trusted feudatory under which Chhindak Naga king?","बारसूर में प्रसिद्ध चंद्रादित्य मंदिर और चंद्रादित्य सरोवर (झील) का निर्माण लगभग 1060 ई. में महामंडलेश्वर चंद्रादित्य द्वारा करवाया गया था। उन्होंने किस छिंदक नाग राजा के अधीन एक विश्वसनीय सामंत के रूप में कार्य किया?","Nripatibhushana","नृपतिभूषण","Madhurantaka Dev","मधुरांतक देव","Someshwar Dev I","सोमेश्वर देव प्रथम","Jagdekabhushana Dharavarsha","जगदेकभूषण धारावर्ष","4","According to the Barsur inscription of 1060 AD, Chandraditya was a Telugu-Choda feudatory (Samanta) of King Jagdekabhushana Dharavarsha. He constructed the Chandraditya Shiva temple and the adjacent lake in the capital city of Barsur.","1060 ई. के बारसूर अभिलेख के अनुसार, चंद्रादित्य राजा जगदेकभूषण धारावर्ष के एक तेलुगु-चोड सामंत थे। उन्होंने राजधानी बारसूर में चंद्रादित्य शिव मंदिर और उससे सटी झील का निर्माण करवाया था।"
"Consider the following statements regarding the Kuruspal Stone Inscription:\n\n1. It is a dated inscription issued during the reign of Someshwar Dev I.\n2. It is composed in the Sanskrit language using the Nagari script.\n3. It consists of exactly 39 lines detailing extensive military conquests.\n\nChoose the correct statement(s):","कुरुषपाल प्रस्तर अभिलेख के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. यह सोमेश्वर देव प्रथम के शासनकाल के दौरान जारी किया गया एक तिथि-युक्त अभिलेख है।\n2. यह नागरी लिपि का उपयोग करके संस्कृत भाषा में रचित है।\n3. इसमें ठीक 39 पंक्तियाँ हैं जो व्यापक सैन्य विजय का विवरण देती हैं।\n\nसही कथन चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2, and 3","1, 2, और 3","2","Statements 2 and 3 are correct. Statement 1 is historically false because the Kuruspal inscription of Someshwar Dev I is notoriously 'Tithi-vihin' (undated), which creates chronological challenges for historians despite its detailed 39-line Sanskrit text.","कथन 2 और 3 सही हैं। कथन 1 ऐतिहासिक रूप से गलत है क्योंकि सोमेश्वर देव प्रथम का कुरुषपाल अभिलेख 'तिथि-विहीन' है, जो इसके विस्तृत 39-पंक्ति संस्कृत पाठ के बावजूद इतिहासकारों के लिए कालानुक्रमिक चुनौतियाँ पैदा करता है।"
"According to the 16th shloka of the Kuruspal inscription, Someshwar Dev I undertook a massive military campaign against Dakshina Kosala and successfully annexed '6 lakh 96 thousand' villages. From which contemporary ruling dynasty did he wrest this territory?","कुरुषपाल अभिलेख के 16वें श्लोक के अनुसार, सोमेश्वर देव प्रथम ने दक्षिण कोसल के खिलाफ एक बड़े पैमाने पर सैन्य अभियान चलाया और '6 लाख 96 हजार' गांवों पर सफलतापूर्वक कब्जा कर लिया। उसने किस समकालीन शासक वंश से यह क्षेत्र छीना था?","Kalchuris of Ratanpur","रतनपुर के कलचुरी","Somvanshis of Kosala (Abhimanyu)","कोसल के सोमवंशी (अभिमन्यु)","Banas of Pali","पाली के बाण","Kaktiyas of Warangal","वारंगल के काकतीय","2","Although Someshwar claimed victory over Kosala, historians conclude he seized the 6,96,000 villages not directly from the powerful Kalchuris, but from a weaker Somvanshi feudatory named Abhimanyu who governed the Sonpur-Kosal tract.","यद्यपि सोमेश्वर ने कोसल पर जीत का दावा किया था, इतिहासकारों का निष्कर्ष है कि उसने 6,96,000 गांवों को सीधे शक्तिशाली कलचुरियों से नहीं, बल्कि सोनपुर-कोसल पथ पर शासन करने वाले अभिमन्यु नामक एक कमजोर सोमवंशी सामंत से छीना था।"
"The military prowess of Someshwar Dev I is meticulously recorded in the Kuruspal inscription. During his 'Vengi Vijay' campaign, which specific Vengi ruler did he defeat twice and subsequently burn down his territory?","सोमेश्वर देव प्रथम की सैन्य शक्ति कुरुषपाल अभिलेख में सावधानीपूर्वक दर्ज है। अपने 'वेंगी विजय' अभियान के दौरान, उसने किस विशिष्ट वेंगी शासक को दो बार हराया और बाद में उसके क्षेत्र को जला दिया?","Kulothunga Chola","कुलोत्तुंग चोल","Rajendra Chola","राजेंद्र चोल","Virachoda","वीरचोड़","Vishnuvardhana","विष्णुवर्धन","3","The Kuruspal inscription explicitly states that Someshwar Dev I attacked Vengi twice. He defeated the contemporary Vengi ruler 'Virachoda' (who governed as a viceroy from 1078-1092 AD) and burnt the Vengi territory.","कुरुषपाल अभिलेख में स्पष्ट रूप से कहा गया है कि सोमेश्वर देव प्रथम ने वेंगी पर दो बार हमला किया। उसने समकालीन वेंगी शासक 'वीरचोड़' (जिसने 1078-1092 ई. तक वायसराय के रूप में शासन किया) को हराया और वेंगी क्षेत्र को जला दिया।"
"Assertion (A): Kalchuri King Jajalladeva I launched a fierce invasion on Chakrakot and took Someshwar Dev I as a prisoner.\n\nReason (R): Jajalladeva I wanted to avenge the earlier Kalchuri defeat and the loss of Kosala's 6 lakh 96 thousand villages to Someshwar Dev I.\n\nChoose the correct code:","कथन (A): कलचुरी राजा जाजल्लदेव प्रथम ने चक्रकोट पर भयंकर आक्रमण किया और सोमेश्वर देव प्रथम को बंदी बना लिया।\n\nकारण (R): जाजल्लदेव प्रथम कोसल के 6 लाख 96 हजार गांवों के नुकसान और पिछली कलचुरी हार का सोमेश्वर देव प्रथम से बदला लेना चाहता था।\n\nसही कूट चुनें:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","1","The Assertion and Reason are both historically accurate. Someshwar Dev I's expansionist policies and seizure of Kosala territories provoked a retaliatory invasion by the Kalchuris, culminating in Jajalladeva I capturing him around 1110 AD.","कथन और कारण दोनों ऐतिहासिक रूप से सटीक हैं। सोमेश्वर देव प्रथम की विस्तारवादी नीतियों और कोसल क्षेत्रों पर कब्जे ने कलचुरियों द्वारा जवाबी आक्रमण को उकसाया, जिसकी परिणति 1110 ई. के आसपास जाजल्लदेव प्रथम द्वारा उसे पकड़ने में हुई।"
"In a fascinating instance of inter-dynasty matrimonial alliances, Someshwar Dev I and the Kalchuri king Jajalladeva I were technically 'Sadhu-Bhai' (brothers-in-law). They were married to the princesses of which specific regional dynasty?","अंतर-राजवंश वैवाहिक गठबंधनों के एक आकर्षक उदाहरण में, सोमेश्वर देव प्रथम और कलचुरी राजा जाजल्लदेव प्रथम तकनीकी रूप से 'साढू-भाई' थे। उनका विवाह किस विशिष्ट क्षेत्रीय राजवंश की राजकुमारियों से हुआ था?","Somvanshis of Kanker","कांकेर के सोमवंशी","Phani Nagvansh of Kawardha","कवर्धा के फणी नागवंश","Banas of Pali","पाली के बाण","Kakatiyas of Warangal","वारंगल के काकतीय","2","Someshwar I's wife Dharana Mahadevi and Jajalladeva I's wife Lachchhaladevi were both daughters of the Phani Nagvanshi rulers of Kawardha (Dharanidhar and Rajalla respectively), making the two rival kings 'Sadhu-Bhai'.","सोमेश्वर प्रथम की पत्नी धारणा महादेवी और जाजल्लदेव प्रथम की पत्नी लच्छलादेवी दोनों कवर्धा के फणी नागवंशी शासकों (क्रमशः धरणीधर और राजल्ला) की बेटियां थीं, जिससे दोनों प्रतिद्वंद्वी राजा 'साढू-भाई' बन गए।"
"According to the Ratanpur inscription of Jajalladeva I, upon whose specific earnest request did the Kalchuri monarch finally release the captive Chhindak Naga king Someshwar Dev I?","जाजल्लदेव प्रथम के रतनपुर अभिलेख के अनुसार, किसके विशेष आग्रह पर कलचुरी सम्राट ने अंततः बंदी छिंदक नाग राजा सोमेश्वर देव प्रथम को रिहा किया?","Dharana Mahadevi","धारणा महादेवी","Gunda Mahadevi","गुंड महादेवी","Lachchhala Devi","लच्छला देवी","Manikya Devi","माणिक्य देवी","2","Jajalladeva I captured Someshwar Dev I but later released him and restored his kingdom. This diplomatic release was granted specifically upon the plea of Someshwar's mother, the influential Queen Gunda Mahadevi.","जाजल्लदेव प्रथम ने सोमेश्वर देव प्रथम को पकड़ लिया लेकिन बाद में उसे रिहा कर दिया और उसका राज्य बहाल कर दिया। यह कूटनीतिक रिहाई विशेष रूप से सोमेश्वर की माता, प्रभावशाली रानी गुंड महादेवी की दलील पर दी गई थी।"
