Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"According to the Kalinjar rock inscription, who is considered the 'Aadipurush' (founder) of the Panduvanshi dynasty of Sirpur, credited with constructing the Bhadreshwar Shiva temple?","कालिंजर शिलालेख के अनुसार, सिरपुर के पांडुवंशी राजवंश का 'आदिपुरुष' (संस्थापक) किसे माना जाता है, जिसे भद्रेश्वर शिव मंदिर के निर्माण का श्रेय दिया जाता है?","Indrabal","इंद्रबल","Udayan","उदयन","Nannaraj I","नन्नराज प्रथम","Tivaradev","तीवरदेव","2","According to the Kalinjar inscription located in Uttar Pradesh, Udayan is explicitly described as the Aadipurush (founding ancestor) of the Panduvanshi dynasty. He built the Bhadreshwar Shiva temple there.","उत्तर प्रदेश में स्थित कालिंजर शिलालेख के अनुसार, उदयन को स्पष्ट रूप से पांडुवंशी राजवंश के आदिपुरुष (संस्थापक पूर्वज) के रूप में वर्णित किया गया है। उन्होंने वहां भद्रेश्वर शिव मंदिर का निर्माण करवाया था।"
"Assertion (A): Indrabal is considered the actual founder of the Panduvanshi rule in Chhattisgarh.\n\nReason (R): He served as the 'Sarvadhikaradhikarta' and overthrew the last Sharabhpuriya ruler Pravararaj II to establish his independent dynasty in Sirpur.\n\nChoose the correct code:","कथन (A): इंद्रबल को छत्तीसगढ़ में पांडुवंशी शासन का वास्तविक संस्थापक माना जाता है।\n\nकारण (R): उन्होंने 'सर्वाधिकाराधिकर्ता' के रूप में कार्य किया और सिरपुर में अपना स्वतंत्र राजवंश स्थापित करने के लिए अंतिम शरभपुरीय शासक प्रवरराज द्वितीय को उखाड़ फेंका।\n\nसही कूट चुनिए:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","1","The assertion is a core historical fact. Indrabal capitalized on his high administrative position (Sarvadhikaradhikarta) in the Sharabhpuriya court to assassinate Pravararaj II and lay the foundation of the Panduvanshis in Dakshin Kosal.","कथन एक मुख्य ऐतिहासिक तथ्य है। इंद्रबल ने शरभपुरीय दरबार में अपने उच्च प्रशासनिक पद (सर्वाधिकाराधिकर्ता) का लाभ उठाते हुए प्रवरराज द्वितीय की हत्या कर दी और दक्षिण कोसल में पांडुवंशियों की नींव रखी।"
"Which specific combination of scripts was uniquely employed by the Panduvanshi rulers of Sirpur for documenting their official records?","सिरपुर के पांडुवंशी शासकों द्वारा अपने आधिकारिक अभिलेखों के दस्तावेजीकरण के लिए विशिष्ट रूप से किस लिपि संयोजन का उपयोग किया गया था?","Brahmi script for copper plates and Kharosthi for stone inscriptions","ताम्रपत्रों के लिए ब्राह्मी लिपि और शिलालेखों के लिए खरोष्ठी","Petika-shirsha (Box-headed) for copper plates and Kilakshar (Nail-headed) for stone inscriptions","ताम्रपत्रों के लिए पेटिका-शीर्ष (बॉक्स-हेडेड) और शिलालेखों के लिए कीलाक्षर (नेल-हेडेड)","Northern Nagari for both copper plates and stone inscriptions","ताम्रपत्रों और शिलालेखों दोनों के लिए उत्तरी नागरी","Kilakshar for copper plates and Petika-shirsha for stone inscriptions","ताम्रपत्रों के लिए कीलाक्षर और शिलालेखों के लिए पेटिका-शीर्ष","2","The Panduvanshis utilized a dual-script system: their royal copper plates were engraved in the Box-headed (Petika-shirsha) script (inherited from Sharabhpuriyas), while their stone inscriptions used the Kilakshar (Nail-headed) script.","पांडुवंशियों ने एक दोहरी-लिपि प्रणाली का उपयोग किया: उनके शाही ताम्रपत्र बॉक्स-हेडेड (पेटिका-शीर्ष) लिपि (शरभपुरीयों से विरासत में मिली) में उकेरे गए थे, जबकि उनके शिलालेखों में कीलाक्षर (नेल-हेडेड) लिपि का उपयोग किया गया था।"
"The historically significant 'Lakshmaneshwar Temple' in Kharod, locally renowned as the 'Lakh Chaur Temple', was originally constructed by which Panduvanshi prince?","खरौद में ऐतिहासिक रूप से महत्वपूर्ण 'लक्ष्मणेश्वर मंदिर', जिसे स्थानीय रूप से 'लाख चाउर मंदिर' के रूप में जाना जाता है, मूल रूप से किस पांडुवंशी राजकुमार द्वारा बनवाया गया था?","Bhavadeva Ranakesari","भवदेव रणकेसरी","Chandragupta","चंद्रगुप्त","Nannaraj II","नन्नराज द्वितीय","Ishandev","ईशानदेव","4","According to the Kharod inscription, Ishandev (the son of Indrabal) constructed the Lakshmaneshwar temple. It is famous for the tradition of offering one lakh rice grains (Lakh Chaur) to the Shivalinga.","खरौद शिलालेख के अनुसार, ईशानदेव (इंद्रबल के पुत्र) ने लक्ष्मणेश्वर मंदिर का निर्माण करवाया था। यह शिवलिंग पर एक लाख चावल के दाने (लाख चाउर) चढ़ाने की परंपरा के लिए प्रसिद्ध है।"
"According to the Bhandak stone inscription, which Panduvanshi ruler (also known as Ranakesari) restored the ancient 'Sugat' (Buddhist) temple originally built by King Suryaghosha?","भांडक शिलालेख के अनुसार, किस पांडुवंशी शासक (जिन्हें रणकेसरी के नाम से भी जाना जाता है) ने मूल रूप से राजा सूर्यघोष द्वारा निर्मित प्राचीन 'सुगत' (बौद्ध) मंदिर का जीर्णोद्धार करवाया था?","Mahashivgupt Balarjuna","महाशिवगुप्त बालार्जुन","Nannaraj I","नन्नराज प्रथम","Bhavadeva","भवदेव","Harshagupta","हर्षगुप्त","3","The Bhandak inscription provides detailed information about Bhavadeva Ranakesari (Indrabal's youngest son). It specifically credits him with the restoration (Jeernoddhar) of the dilapidated Sugat temple constructed by Suryaghosha.","भांडक शिलालेख भवदेव रणकेसरी (इंद्रबल के सबसे छोटे पुत्र) के बारे में विस्तृत जानकारी प्रदान करता है। यह विशेष रूप से उन्हें सूर्यघोष द्वारा निर्मित जीर्ण सुगत मंदिर के जीर्णोद्धार का श्रेय देता है।"
"Which of the following copper plate inscriptions does NOT belong to the reign of the paramount Panduvanshi ruler Mahashiv Tivaradev?","निम्नलिखित में से कौन सा ताम्रपत्र शिलालेख सर्वोच्च पांडुवंशी शासक महाशिव तीवरदेव के शासनकाल से संबंधित नहीं है?","Rajim Copper Plate","राजिम ताम्रपत्र","Balod Copper Plate","बालोद ताम्रपत्र","Bonda Copper Plate","बोंडा ताम्रपत्र","Adhabhar Copper Plate","अड़भार ताम्रपत्र","4","Mahashiv Tivaradev's military and administrative might is documented in his Rajim, Balod, and Bonda plates. The Adhabhar plate, however, was issued by his son and successor, Nannaraj II.","महाशिव तीवरदेव की सैन्य और प्रशासनिक शक्ति का दस्तावेजीकरण उनके राजिम, बालोद और बोंडा ताम्रपत्रों में किया गया है। हालाँकि, अड़भार ताम्रपत्र उनके पुत्र और उत्तराधिकारी नन्नराज द्वितीय द्वारा जारी किया गया था।"
"Despite his extensive conquests in Dakshin Kosal, Mahashiv Tivaradev faced a major military defeat at the hands of Vishnukundin king Madhavavarman II. Which epigraphical sources confirm this event?","दक्षिण कोसल में अपनी व्यापक विजयों के बावजूद, महाशिव तीवरदेव को विष्णुकुंडिन राजा माधववर्मन द्वितीय के हाथों एक बड़ी सैन्य हार का सामना करना पड़ा। कौन से पुरालेखीय स्रोत इस घटना की पुष्टि करते हैं?","Aihole Inscription","एहोल शिलालेख","Ipur and Polamuru Copper Plates","ईपुर और पोलामुरु ताम्रपत्र","Kuruspal Inscription","कुरुसपाल शिलालेख","Bhandak Inscription","भांडक शिलालेख","2","Tivaradev engaged in a fierce battle with the Vishnukundin ruler Madhavavarman II Janashraya and was defeated. This crucial geopolitical conflict is explicitly recorded in Madhavavarman's Ipur and Polamuru copper plates.","तीवरदेव ने विष्णुकुंडिन शासक माधववर्मन द्वितीय जनाक्षय के साथ एक भयंकर युद्ध किया और हार गया। यह महत्वपूर्ण भू-राजनीतिक संघर्ष माधववर्मन के ईपुर और पोलामुरु ताम्रपत्रों में स्पष्ट रूप से दर्ज है।"
"In which specific year did the Chinese Buddhist traveler Hiuen Tsang (Yuan Chwang) visit the capital of Dakshin Kosal during the reign of Mahashivgupt Balarjuna?","चीनी बौद्ध यात्री ह्वेनसांग (युआन च्वांग) ने महाशिवगुप्त बालार्जुन के शासनकाल के दौरान दक्षिण कोसल की राजधानी का दौरा किस विशिष्ट वर्ष में किया था?","606 AD","606 ई.","639 AD","639 ई.","647 AD","647 ई.","675 AD","675 ई.","2","Hiuen Tsang visited Dakshin Kosal (Sirpur and Malhar) exactly in 639 AD (7th century). His travelogue 'Si-Yu-Ki' provides an invaluable first-hand account of the region's religious and political status.","ह्वेनसांग ने ठीक 639 ई. (7वीं शताब्दी) में दक्षिण कोसल (सिरपुर और मल्हार) का दौरा किया था। उनका यात्रा वृत्तांत 'सी-यू-की' क्षेत्र की धार्मिक और राजनीतिक स्थिति का एक अमूल्य प्रत्यक्ष विवरण प्रदान करता है।"
"Consider the following statements regarding Hiuen Tsang's account ('Si-Yu-Ki') of Dakshin Kosal:\n\n1. He mentioned the region as 'Kia-sa-lo'.\n2. He noted that the king was a Kshatriya but highly sympathetic to Buddhism.\n3. He observed the presence of exactly 10,000 Mahayana Buddhist monks residing in 100 Sangharamas.\n\nChoose the correct statement(s):","दक्षिण कोसल के बारे में ह्वेनसांग के विवरण ('सी-यू-की') के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उन्होंने इस क्षेत्र का उल्लेख 'किया-स-लो' के रूप में किया।\n2. उन्होंने ध्यान दिया कि राजा एक क्षत्रिय था लेकिन बौद्ध धर्म के प्रति अत्यधिक सहानुभूति रखता था।\n3. उन्होंने 100 संघारामों में रहने वाले ठीक 10,000 महायान बौद्ध भिक्षुओं की उपस्थिति देखी।\n\nसही कथन चुनिए:","Only 1 and 2","केवल 1 और 2","Only 2 and 3","केवल 2 और 3","Only 1 and 3","केवल 1 और 3","1, 2, and 3","1, 2, और 3","4","All three statements are precisely accurate according to his travelogue. Hiuen Tsang was deeply impressed by the religious tolerance of the Shaivite Kshatriya king (Balarjuna) and the flourishing Mahayana Buddhist centers.","उनके यात्रा वृत्तांत के अनुसार तीनों कथन पूरी तरह से सटीक हैं। ह्वेनसांग शैव क्षत्रिय राजा (बालार्जुन) की धार्मिक सहिष्णुता और फलते-फूलते महायान बौद्ध केंद्रों से बहुत प्रभावित थे।"
"The Adhabhar copper plate inscription, which describes Mahashiv Tivaradev as having conquered not only Kosal but also Utkal and other provinces, was issued by:","अड़भार ताम्रपत्र शिलालेख, जिसमें महाशिव तीवरदेव को न केवल कोसल बल्कि उत्कल और अन्य प्रांतों पर भी विजय प्राप्त करने वाला बताया गया है, किसके द्वारा जारी किया गया था?","Nannaraj I","नन्नराज प्रथम","Bhavadeva","भवदेव","Nannaraj II","नन्नराज द्वितीय","Chandragupta","चंद्रगुप्त","3","The Adhabhar plate (found in Sakti) belongs to Nannaraj II, the son of Tivaradev. It glorifies his father's extensive military campaigns, explicitly stating Tivaradev defeated Utkal and extended his empire.","अड़भार ताम्रपत्र (सक्ती में पाया गया) तीवरदेव के पुत्र नन्नराज द्वितीय का है। यह उनके पिता के व्यापक सैन्य अभियानों का महिमामंडन करता है, जिसमें स्पष्ट रूप से कहा गया है कि तीवरदेव ने उत्कल को हराया और अपने साम्राज्य का विस्तार किया।"
