Quiz Title: Maratha Invasion & Bimbaji Bhonsle's Direct Rule
Quiz Title (Hindi): मराठा आक्रमण और बिंबाजी भोंसले का प्रत्यक्ष शासन
Quiz Description: Test your knowledge on the Maratha Paramountcy and the transition period in Chhattisgarh with this CGPSC Prelims quiz. It covers the 1741 Maratha invasion, the defeat of Kalchuris, and Bimbaji Bhonsle's direct administration.
Quiz Description (Hindi): इस सीजीपीएससी प्रीलिम्स क्विज़ के साथ छत्तीसगढ़ में मराठा सर्वोपरिता और संक्रमण काल पर अपने ज्ञान का परीक्षण करें। इसमें 1741 का मराठा आक्रमण, कल्चुरियों की हार और बिंबाजी भोंसले का प्रत्यक्ष शासन शामिल है।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"In which year did the Maratha army under the leadership of Bhaskar Pant invade Chhattisgarh?","भास्कर पंत के नेतृत्व में मराठा सेना ने छत्तीसगढ़ पर किस वर्ष आक्रमण किया था?","1740","1740","1741","1741","1742","1742","1745","1745","2","The Maratha army under Bhaskar Pant invaded Ratanpur in 1741 AD. At that time, the Kalchuri ruler Raghunath Singh was ruling.","भास्कर पंत के नेतृत्व में मराठा सेना ने 1741 ई. में रतनपुर पर आक्रमण किया था। उस समय कल्चुरी शासक रघुनाथ सिंह का शासन था।"
"At the time of the Maratha invasion in 1741, who was the Kalchuri ruler of Ratanpur?","1741 में मराठा आक्रमण के समय रतनपुर का कल्चुरी शासक कौन था?","Amar Singh","अमर सिंह","Mohan Singh","मोहन सिंह","Raghunath Singh","रघुनाथ सिंह","Shivraj Singh","शिवराज सिंह","3","Raghunath Singh, aged 68, was the Kalchuri ruler of Ratanpur during the 1741 Maratha invasion. He surrendered without a fight due to his age and grief over his son's death.","1741 के मराठा आक्रमण के समय रतनपुर के कल्चुरी शासक रघुनाथ सिंह (68 वर्ष) थे। उन्होंने आयु और पुत्र वियोग के कारण बिना युद्ध किए आत्मसमर्पण कर दिया था।"
"Consider the following statements regarding the Maratha invasion of Chhattisgarh in 1741:\n\n1. It was led by Bhaskar Pant, a commander of Raghuji I.\n\n2. The Maratha army was originally sent to attack Bengal upon the invitation of Mir Habib.\n\n3. Raghunath Singh fought a fierce battle but was ultimately defeated.\n\nChoose the correct answer:","1741 में छत्तीसगढ़ पर मराठा आक्रमण के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका नेतृत्व रघुजी प्रथम के सेनापति भास्कर पंत ने किया था।\n\n2. मराठा सेना मूल रूप से मीर हबीब के निमंत्रण पर बंगाल पर आक्रमण करने के लिए भेजी गई थी।\n\n3. रघुनाथ सिंह ने भीषण युद्ध किया लेकिन अंततः पराजित हुए।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. Statement 3 is incorrect because Raghunath Singh did not fight; he surrendered to the Marathas without a battle.","कथन 1 और 2 सही हैं। कथन 3 गलत है क्योंकि रघुनाथ सिंह ने युद्ध नहीं किया था; उन्होंने मराठों के सामने बिना युद्ध किए ही आत्मसमर्पण कर दिया था।"
"Match the following architectural/religious acts of Bimbaji Bhonsle:\n\nList-I\n(a) Ramtekari Temple\n(b) Dudhadhari Math\n(c) Mahamaya Temple\n(d) Sangameshwar Temple\n\nList-II\n(i) Renovated by Bimbaji\n(ii) Built in Ratanpur\n(iii) Annual grant given to Pandit Pachkaud\n(iv) Built at the confluence\n\nCodes:","बिंबाजी भोंसले के निम्नलिखित स्थापत्य/धार्मिक कार्यों को सुमेलित कीजिए:\n\nसूची-I\n(a) रामटेकरी मंदिर\n(b) दूधाधारी मठ\n(c) महामाया मंदिर\n(d) संगमेश्वर मंदिर\n\nसूची-II\n(i) बिंबाजी द्वारा जीर्णोद्धार\n(ii) रतनपुर में निर्मित\n(iii) पंडित पचकौड़ को वार्षिक अनुदान\n(iv) संगम पर निर्मित\n\nकूट:","a-ii, b-i, c-iii, d-iv","a-ii, b-i, c-iii, d-iv","a-i, b-ii, c-iv, d-iii","a-i, b-ii, c-iv, d-iii","a-ii, b-iii, c-i, d-iv","a-ii, b-iii, c-i, d-iv","a-iii, b-i, c-ii, d-iv","a-iii, b-i, c-ii, d-iv","1","Bimbaji built Ramtekari and Sangameshwar temples in Ratanpur, renovated Dudhadhari Math in Raipur, and gave an annual grant to Pandit Pachkaud of Mahamaya Temple in 1758.","बिंबाजी ने रतनपुर में रामटेकरी और संगमेश्वर मंदिर बनवाए, रायपुर में दूधाधारी मठ का जीर्णोद्धार किया, और 1758 में महामाया मंदिर के पंडित पचकौड़ को वार्षिक अनुदान दिया।"
"Assertion (A): Bimbaji Bhonsle functioned practically as an independent ruler in Chhattisgarh.\n\nReason (R): He established a regular court at Ratanpur, united the administration of Raipur and Ratanpur, and did not send land revenue to Nagpur.\n\nCodes:","कथन (A): बिंबाजी भोंसले ने छत्तीसगढ़ में व्यावहारिक रूप से एक स्वतंत्र शासक के रूप में कार्य किया।\n\nकारण (R): उन्होंने रतनपुर में एक नियमित न्यायालय की स्थापना की, रायपुर और रतनपुर के प्रशासन को एकजुट किया, और नागपुर को भू-राजस्व नहीं भेजा।\n\nकूट:","Both A and R are true and R is the correct explanation of A.","A और R दोनों सही हैं और R, A की सही व्याख्या है।","Both A and R are true but R is not the correct explanation of A.","A और R दोनों सही हैं लेकिन R, A की सही व्याख्या नहीं है।","A is true but R is false.","A सही है लेकिन R गलत है।","A is false but R is true.","A गलत है लेकिन R सही है।","1","Both statements are true and the reason correctly explains why Bimbaji is considered an independent ruler despite being officially a representative of the Bhonsle kingdom.","दोनों कथन सत्य हैं और कारण सही ढंग से स्पष्ट करता है कि भोंसले साम्राज्य के आधिकारिक प्रतिनिधि होने के बावजूद बिंबाजी को एक स्वतंत्र शासक क्यों माना जाता है।"
"Who among the following hoisted the white flag of surrender from the Ratanpur fort during the Maratha invasion of 1741?","1741 के मराठा आक्रमण के दौरान रतनपुर किले से आत्मसमर्पण का सफेद झंडा किसने फहराया था?","Raghunath Singh","रघुनाथ सिंह","Mohan Singh","मोहन सिंह","Kalyan Giri Gosain","कल्याण गिरि गोसाईं","Laxman Kunwar and Padm Kunwar","लक्ष्मण कुंवर और पद्म कुंवर","4","Due to Raghunath Singh's weakness and lack of a strong army, his wives Laxman Kunwar and Padm Kunwar hoisted a white flag from the fort's bastion to stop the battle.","रघुनाथ सिंह की दुर्बलता और मजबूत सेना की कमी के कारण, उनकी पत्नियों लक्ष्मण कुंवर और पद्म कुंवर ने युद्ध रोकने के लिए किले के बुर्ज से सफेद झंडा फहराया था।"
"What was the primary destination of Bhaskar Pant's military expedition when he invaded Chhattisgarh in 1741?","1741 में छत्तीसगढ़ पर आक्रमण करते समय भास्कर पंत के सैन्य अभियान का प्राथमिक गंतव्य क्या था?","Sambalpur","संबलपुर","Bengal","बंगाल","Nagpur","नागपुर","Awadh","अवध","2","Bhaskar Pant was primarily sent to attack Bengal (under Alivardi Khan) upon Mir Habib's invitation. Chhattisgarh was conquered since it lay on the route.","भास्कर पंत को मुख्य रूप से मीर हबीब के निमंत्रण पर बंगाल (अलीवर्दी खान के अधीन) पर आक्रमण करने के लिए भेजा गया था। चूँकि छत्तीसगढ़ मार्ग में था, इसलिए इस पर विजय प्राप्त की गई।"
"Consider the following statements regarding the wives of Bimbaji Bhonsle:\n\n1. Anandi Bai took control of the administration from 1787 to 1801 A.D.\n\n2. Uma Bai committed Sati after Bimbaji's death.\n\n3. Rama Bai went to the jungle after Bimbaji's death.\n\nChoose the correct answer:","बिंबाजी भोंसले की पत्नियों के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. आनंदी बाई ने 1787 से 1801 ई. तक प्रशासन का नियंत्रण अपने हाथ में लिया।\n\n2. बिंबाजी की मृत्यु के बाद उमा बाई सती हो गईं।\n\n3. रमा बाई बिंबाजी की मृत्यु के बाद जंगल में चली गईं।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are correct. Bimbaji had three wives: Anandi Bai managed the administration, Uma Bai committed Sati, and Rama Bai went to the forest.","सभी कथन सही हैं। बिंबाजी की तीन पत्नियां थीं: आनंदी बाई ने प्रशासन संभाला, उमा बाई सती हुईं और रमा बाई जंगल चली गईं।"
"Arrange the following events in chronological order:\n\n1. Bimbaji Bhonsle assumes direct rule in Ratanpur.\n\n2. Mohan Singh is appointed as the ruler of Ratanpur.\n\n3. Maratha invasion led by Bhaskar Pant.\n\n4. Death of Bimbaji Bhonsle.\n\nChoose the correct sequence:","निम्नलिखित घटनाओं को कालक्रमानुसार व्यवस्थित कीजिए:\n\n1. बिंबाजी भोंसले ने रतनपुर में प्रत्यक्ष शासन ग्रहण किया।\n\n2. मोहन सिंह को रतनपुर का शासक नियुक्त किया गया।\n\n3. भास्कर पंत के नेतृत्व में मराठा आक्रमण।\n\n4. बिंबाजी भोंसले की मृत्यु।\n\nसही क्रम चुनिए:","3, 2, 1, 4","3, 2, 1, 4","3, 1, 2, 4","3, 1, 2, 4","2, 3, 1, 4","2, 3, 1, 4","1, 3, 2, 4","1, 3, 2, 4","1","The correct order is: Maratha invasion (1741), Mohan Singh appointed (1745), Bimbaji assumes direct rule (1758), and Bimbaji's death (1787).","सही क्रम है: मराठा आक्रमण (1741), मोहन सिंह की नियुक्ति (1745), बिंबाजी का प्रत्यक्ष शासन (1758), और बिंबाजी की मृत्यु (1787)।"
"Which of the following temples was NOT built by Bimbaji Bhonsle in Ratanpur?","निम्नलिखित में से कौन सा मंदिर बिंबाजी भोंसले द्वारा रतनपुर में नहीं बनवाया गया था?","Ramtekari Temple","रामटेकरी मंदिर","Sangameshwar Shiv Temple","संगमेश्वर शिव मंदिर","Bhoramdeo Temple","भोरमदेव मंदिर","Khandoba Temple","खंडोबा मंदिर","3","The Bhoramdeo Temple was built by the Nagvanshi rulers in Kawardha, not by Bimbaji Bhonsle. Ramtekari, Sangameshwar, and Khandoba temples in Ratanpur were built by Bimbaji.","भोरमदेव मंदिर कवर्धा में नागवंशी शासकों द्वारा बनवाया गया था, बिंबाजी भोंसले द्वारा नहीं। रतनपुर में रामटेकरी, संगमेश्वर और खंडोबा मंदिर बिंबाजी ने बनवाए थे।"
"Which Zamindar committed suicide by drowning in water in 1781 due to the fear of an attack by Bimbaji Bhonsle?","1781 में बिंबाजी भोंसले के आक्रमण के डर से किस जमींदार ने पानी में डूबकर आत्महत्या कर ली थी?","Zamindar of Dhamdha","धमधा के जमींदार","Zamindar of Tarapur","तारापुर के जमींदार","Zamindar of Korba","कोरबा के जमींदार","Zamindar of Champa","चांपा के जमींदार","1","The Zamindar of Dhamdha revolted and later committed suicide in 1781 by drowning in water out of fear of an attack by Bimbaji Bhonsle.","धमधा के जमींदार ने विद्रोह किया था और बाद में बिंबाजी भोंसले के आक्रमण के डर से 1781 में पानी में डूबकर आत्महत्या कर ली थी।"
"Which Zamindari was completely confiscated by Bimbaji Bhonsle as a result of a revolt?","विद्रोह के परिणामस्वरूप बिंबाजी भोंसले द्वारा किस जमींदारी को पूरी तरह से जब्त (कुर्क) कर लिया गया था?","Pandariya","पंडरिया","Changbhakhar","चांगभखार","Korba","कोरबा","Khujji","खुज्जी","3","The Zamindar of Korba revolted against Bimbaji Bhonsle. As a result, Bimbaji aggressively suppressed the revolt and seized/confiscated the Korba Zamindari.","कोरबा के जमींदार ने बिंबाजी भोंसले के खिलाफ विद्रोह किया था। इसके परिणामस्वरूप बिंबाजी ने आक्रामकता से विद्रोह को दबा दिया और कोरबा जमींदारी को जब्त (कुर्क) कर लिया।"
"Match the Zamindaris with Bimbaji Bhonsle's actions/relations with them:\n\nList-I\n(a) Champa\n(b) Changbhakhar\n(c) Sarguja\n(d) Dhamdha\n\nList-II\n(i) Zamindar committed suicide\n(ii) Zamindar was called Diwan\n(iii) Attacked in 1775 for refusing Takoli\n(iv) Attacked under Mahipatrao Kanshi in 1781\n\nCodes:","जमींदारियों को बिंबाजी भोंसले के कार्यों/संबंधों के साथ सुमेलित कीजिए:\n\nसूची-I\n(a) चांपा\n(b) चांगभखार\n(c) सरगुजा\n(d) धमधा\n\nसूची-II\n(i) जमींदार ने आत्महत्या कर ली\n(ii) जमींदार को दीवान कहा जाता था\n(iii) टकोली देने से इंकार पर 1775 में आक्रमण\n(iv) 1781 में महीपतराव कांशी के नेतृत्व में आक्रमण\n\nकूट:","a-ii, b-iii, c-iv, d-i","a-ii, b-iii, c-iv, d-i","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-iv, b-i, c-ii, d-iii","a-iv, b-i, c-ii, d-iii","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","1","In Champa, the Zamindar was called Diwan. Changbhakhar was attacked in 1775. Sarguja was attacked under Mahipatrao Kanshi in 1781. The Dhamdha Zamindar committed suicide.","चांपा में जमींदार को दीवान कहा जाता था। 1775 में चांगभखार पर आक्रमण हुआ। 1781 में सरगुजा पर महीपतराव कांशी के नेतृत्व में हमला हुआ। धमधा जमींदार ने आत्महत्या की।"
"Assertion (A): The Marathas initially allowed Raghunath Singh to continue on the throne of Ratanpur after their conquest in 1741.\n\nReason (R): The Maratha commander Bhaskar Pant wanted to maintain peace, so he appointed Kalyan Giri Gosain to merely oversee state affairs while giving Raghunath full autonomy.\n\nCodes:","कथन (A): मराठों ने 1741 में अपनी विजय के बाद शुरू में रघुनाथ सिंह को रतनपुर की गद्दी पर बने रहने दिया।\n\nकारण (R): मराठा सेनापति भास्कर पंत शांति बनाए रखना चाहते थे, इसलिए उन्होंने राज्य के मामलों की देखरेख के लिए कल्याण गिरि गोसाईं को नियुक्त किया और रघुनाथ को पूर्ण स्वायत्तता दी।\n\nकूट:","Both A and R are true and R is the correct explanation of A.","A और R दोनों सही हैं और R, A की सही व्याख्या है।","Both A and R are true but R is not the correct explanation of A.","A और R दोनों सही हैं लेकिन R, A की सही व्याख्या नहीं है।","A is true but R is false.","A सही है लेकिन R गलत है।","A is false but R is true.","A गलत है लेकिन R सही है।","3","A is true as Raghunath Singh was retained as a representative. R is false because Raghunath Singh was not given full autonomy; Kalyan Giri Gosain was appointed to control the state on behalf of Raghuji I.","A सत्य है क्योंकि रघुनाथ सिंह को प्रतिनिधि के रूप में रखा गया था। R गलत है क्योंकि रघुनाथ सिंह को पूर्ण स्वायत्तता नहीं दी गई थी; रघुजी प्रथम की ओर से राज्य को नियंत्रित करने के लिए कल्याण गिरि गोसाईं को नियुक्त किया गया था।"
"Consider the following statements about the Treaty of Kotpad:\n\n1. It was signed on 6th April 1778.\n\n2. It was signed between the Marathas and Kakatiya ruler Daryao Dev.\n\n3. Through this treaty, Bastar became an inseparable part of Chhattisgarh.\n\nWhich of the statements given above is/are correct?","कोटपाड़ की संधि के बारे में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इस पर 6 अप्रैल 1778 को हस्ताक्षर किए गए थे।\n\n2. इस पर मराठों और काकतीय शासक दरियाव देव के बीच हस्ताक्षर किए गए थे।\n\n3. इस संधि के माध्यम से, बस्तर छत्तीसगढ़ का एक अभिन्न अंग बन गया।\n\nउपर्युक्त कथनों में से कौन-सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","The Treaty of Kotpad (April 6, 1778) was signed between the Marathas and Daryao Dev. It made the Bastar estate an inseparable part of central Chhattisgarh and required Bastar to pay Takoli.","कोटपाड़ की संधि (6 अप्रैल 1778) पर मराठों और दरियाव देव के बीच हस्ताक्षर किए गए थे। इसने बस्तर रियासत को मध्य छत्तीसगढ़ का अभिन्न अंग बना दिया और बस्तर को टकोली देने के लिए बाध्य किया।"
