Quiz Title: Later Kakatiyas & British Treaties (Daryao Dev to Pravir Chandra)
Quiz Title (Hindi): उत्तर काकतीय वंश और ब्रिटिश संधियां (दरियाव देव से प्रवीर चंद्र)
Quiz Description: This master quiz rigorously evaluates knowledge of the Later Kakatiya dynasty of Bastar. It meticulously covers the complex Maratha-British transitions, the Kotpad Treaty, the chain of major tribal rebellions (Paralkot to Bhumkal), and the final integration of Bastar, perfectly aligned with CGPSC Prelims standards.
Quiz Description (Hindi): यह मास्टर क्विज़ बस्तर के उत्तर काकतीय राजवंश के ज्ञान का कड़ाई से मूल्यांकन करता है। यह जटिल मराठा-ब्रिटिश संक्रमणों, कोटपाड़ की संधि, प्रमुख आदिवासी विद्रोहों (परलकोट से भूमकाल तक) की श्रृंखला, और बस्तर के अंतिम एकीकरण को सावधानीपूर्वक कवर करता है, जो सीजीपीएससी प्रारंभिक मानकों के साथ पूरी तरह से संरेखित है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"On 6th April 1778, the historic 'Treaty of Kotpad' fundamentally altered the political destiny of Bastar. Who were the primary signatories of this treaty?","6 अप्रैल 1778 को, ऐतिहासिक 'कोटपाड़ की संधि' ने बस्तर की राजनीतिक नियति को मौलिक रूप से बदल दिया। इस संधि के प्राथमिक हस्ताक्षरकर्ता कौन थे?","Daryao Dev, Jeypore King Vikram Dev, and the Marathas.","दरियाव देव, जयपुर के राजा विक्रम देव और मराठे।","Ajmer Singh, British East India Company, and the Nizam.","अजमेर सिंह, ब्रिटिश ईस्ट इंडिया कंपनी और निज़ाम।","Mahipal Dev, Raghuji II, and the British Resident.","महिपाल देव, रघूजी द्वितीय और ब्रिटिश रेजिडेंट।","Pravir Chandra, Lord Mountbatten, and the Indian Union.","प्रवीर चंद्र, लॉर्ड माउंटबेटन और भारतीय संघ।","1","Daryao Dev sought military assistance from Jeypore's King Vikram Dev and the Marathas to defeat his brother Ajmer Singh. In return, he signed the Treaty of Kotpad, ceding territories to Jeypore and accepting Maratha suzerainty.","दरियाव देव ने अपने भाई अजमेर सिंह को हराने के लिए जयपुर के राजा विक्रम देव और मराठों से सैन्य सहायता मांगी। बदले में, उसने कोटपाड़ की संधि पर हस्ताक्षर किए, जयपुर को क्षेत्र सौंप दिए और मराठा आधिपत्य स्वीकार कर लिया।"
"The Halba Rebellion (1774-1777 AD) is considered the first major tribal revolt of Chhattisgarh. Which of the following statements about it is INCORRECT?","हलबा विद्रोह (1774-1777 ई.) को छत्तीसगढ़ का पहला प्रमुख आदिवासी विद्रोह माना जाता है। इसके बारे में निम्नलिखित में से कौन सा कथन गलत है?","It was fought to establish Ajmer Singh as the independent ruler of Bastar.","यह अजमेर सिंह को बस्तर के स्वतंत्र शासक के रूप में स्थापित करने के लिए लड़ा गया था।","Ajmer Singh is widely remembered as the 'Messiah of the Revolution' (Kranti ka Masiha).","अजमेर सिंह को व्यापक रूप से 'क्रांति के मसीहा' के रूप में याद किया जाता है।","The rebellion successfully overthrew the Maratha-backed Daryao Dev and restored Kakatiya independence.","विद्रोह ने मराठा-समर्थित दरियाव देव को सफलतापूर्वक उखाड़ फेंका और काकतीय स्वतंत्रता बहाल की।","Following Ajmer Singh's defeat, a brutal massacre of the Halba tribe occurred, known as 'Tad Jhokni'.","अजमेर सिंह की हार के बाद, हलबा जनजाति का एक क्रूर नरसंहार हुआ, जिसे 'ताड़ झोकनी' के नाम से जाना जाता है।","3","Statement 3 is historically incorrect. The rebellion failed; Ajmer Singh was killed, and Daryao Dev secured the throne, resulting in Bastar permanently losing its independent status to the Marathas.","कथन 3 ऐतिहासिक रूप से गलत है। विद्रोह विफल रहा; अजमेर सिंह मारा गया, और दरियाव देव ने सिंहासन हासिल कर लिया, जिसके परिणामस्वरूप बस्तर ने स्थायी रूप से मराठों के हाथों अपनी स्वतंत्र स्थिति खो दी।"
"During the reign of Kakatiya ruler Mahipal Dev (1800-1842 AD), why did the Maratha commander Ramchandra Bagh launch a military invasion on the Bastar region in 1809 AD?","काकतीय शासक महिपाल देव (1800-1842 ई.) के शासनकाल के दौरान, मराठा कमांडर रामचंद्र बाग ने 1809 ई. में बस्तर क्षेत्र पर सैन्य आक्रमण क्यों किया?","To suppress the Paralkot Rebellion led by Gend Singh.","गेंद सिंह के नेतृत्व में परलकोट विद्रोह को दबाने के लिए।","Because Mahipal Dev outright refused to pay the annual 'Takoli' (tribute) to the Maratha empire.","क्योंकि महिपाल देव ने मराठा साम्राज्य को वार्षिक 'टकोली' (श्रद्धांजलि) देने से साफ इनकार कर दिया था।","To annex the Danteshwari temple treasury.","दंतेश्वरी मंदिर के खजाने पर कब्जा करने के लिए।","To capture and execute the rebel leader Nangul Dorla.","विद्रोही नेता नांगुल दोरला को पकड़ने और फाँसी देने के लिए।","2","Mahipal Dev refused to pay the pre-agreed annual Takoli to the Marathas. Consequently, Ramchandra Bagh invaded Bastar in 1809, forced him to pay, and also seized the Sihawa pargana.","महिपाल देव ने मराठों को पूर्व-निर्धारित वार्षिक टकोली देने से इनकार कर दिया। नतीजतन, रामचंद्र बाग ने 1809 में बस्तर पर आक्रमण किया, उसे भुगतान करने के लिए मजबूर किया, और सिहावा परगना पर भी कब्जा कर लिया।"
"The heroic Paralkot Rebellion (1824-25 AD) was primarily driven by the Abujhmadia tribe's fear of losing their identity to Maratha and British exploitation. What specific symbol was used by the rebels to mobilize the masses?","वीरतापूर्ण परलकोट विद्रोह (1824-25 ई.) मुख्य रूप से अभुझमाड़िया जनजाति के मराठा और ब्रिटिश शोषण के कारण अपनी पहचान खोने के डर से प्रेरित था। विद्रोहियों द्वारा जनता को लामबंद करने के लिए किस विशिष्ट प्रतीक का उपयोग किया गया था?","Red chillies and arrows","लाल मिर्च और तीर","Branches of the Sal tree (Sal vriksha)","साल के पेड़ की शाखाएँ (साल वृक्ष)","Branches of the Dhauda tree (Dhawda vriksha ki tahni)","धावड़ा पेड़ की शाखाएँ (धावड़ा वृक्ष की टहनी)","Mango leaves and soil clods","आम के पत्ते और मिट्टी के ढेले","3","Led by Zamindar Gend Singh, the revolutionaries of Paralkot used branches of the Dhauda tree (Dhawda vriksha ki tahni) as their primary symbol to communicate and organize the uprising.","ज़मींदार गेंद सिंह के नेतृत्व में, परलकोट के क्रांतिकारियों ने विद्रोह को संप्रेषित करने और व्यवस्थित करने के लिए अपने प्राथमिक प्रतीक के रूप में धावड़ा पेड़ की शाखाओं (धावड़ा वृक्ष की टहनी) का उपयोग किया।"
"Gend Singh, the courageous Zamindar of Paralkot who led the rebellion against British and Maratha oppression, is revered as the first martyr of Chhattisgarh. On which exact date was he executed?","गेंद सिंह, परलकोट के साहसी ज़मींदार जिन्होंने ब्रिटिश और मराठा उत्पीड़न के खिलाफ विद्रोह का नेतृत्व किया, को छत्तीसगढ़ के पहले शहीद के रूप में सम्मानित किया जाता है। उन्हें किस सटीक तारीख को फाँसी दी गई थी?","10 December 1824","10 दिसंबर 1824","20 January 1825","20 जनवरी 1825","15 August 1826","15 अगस्त 1826","24 May 1830","24 मई 1830","2","Captain Pebey violently suppressed the Paralkot Rebellion. Gend Singh was arrested and publicly hanged outside his own palace in Paralkot on 20th January 1825.","कैप्टन पेबे ने परलकोट विद्रोह को हिंसक रूप से दबा दिया। गेंद सिंह को गिरफ्तार कर लिया गया और 20 जनवरी 1825 को परलकोट में उनके अपने महल के बाहर सार्वजनिक रूप से फाँसी दे दी गई।"
"Which British Superintendent of Chhattisgarh successfully mediated and resolved the lingering border and political dispute between the Bastar state and the Karound (Kalahandi) estate?","छत्तीसगढ़ के किस ब्रिटिश अधीक्षक ने बस्तर राज्य और करौंद (कालाहांडी) एस्टेट के बीच लंबे समय से चल रहे सीमा और राजनीतिक विवाद को सफलतापूर्वक मध्यस्थता कर सुलझाया था?","Captain Agnew","कैप्टन एग्न्यू","Captain Sandis","कैप्टन सैंडिस","Captain Crawford","कैप्टन क्रॉफर्ड","Major Wilkinson","मेजर विल्किंसन","2","During the British Protectorate period (1818-1830), Captain Sandis played a crucial administrative role by mediating and resolving the intense territorial disputes between Bastar, Kanker, and Karound (Kalahandi).","ब्रिटिश संरक्षण काल (1818-1830) के दौरान, कैप्टन सैंडिस ने बस्तर, कांकेर और करौंद (कालाहांडी) के बीच तीव्र क्षेत्रीय विवादों की मध्यस्थता और समाधान करके एक महत्वपूर्ण प्रशासनिक भूमिका निभाई।"
"Consider the following statements regarding the Tarapur Rebellion (1842-1854 AD):\n\n1. It occurred during the reign of Kakatiya ruler Bhupal Dev.\n2. It was primarily led by Dalganjan Singh against the unconstitutional increase in 'Takoli' tax.\n3. The British fully supported the rebels and permanently abolished the Takoli system.\n\nChoose the correct statement(s):","तारापुर विद्रोह (1842-1854 ई.) के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. यह काकतीय शासक भूपाल देव के शासनकाल के दौरान हुआ था।\n2. इसका नेतृत्व मुख्य रूप से दलगंजन सिंह ने 'टकोली' कर में असंवैधानिक वृद्धि के खिलाफ किया था।\n3. अंग्रेजों ने विद्रोहियों का पूरा समर्थन किया और टकोली प्रणाली को स्थायी रूप से समाप्त कर दिया।\n\nसही कथन चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2, and 3","1, 2, और 3","1","Statements 1 and 2 are perfectly correct. Statement 3 is false because the British (Major MacPherson) intervened to suppress the revolt, though they did eventually remove the oppressive Diwan and adjust the taxes.","कथन 1 और 2 बिल्कुल सही हैं। कथन 3 गलत है क्योंकि अंग्रेजों (मेजर मैकफर्सन) ने विद्रोह को दबाने के लिए हस्तक्षेप किया, हालांकि उन्होंने अंततः दमनकारी दीवान को हटा दिया और करों को समायोजित किया।"
"The Meriya Rebellion (1842-1863 AD) is one of the longest tribal uprisings in Bastar. What was the central cause of this fierce conflict?","मेरिया विद्रोह (1842-1863 ई.) बस्तर के सबसे लंबे आदिवासी विद्रोहों में से एक है। इस भयंकर संघर्ष का मुख्य कारण क्या था?","The forced conscription of tribals into the British army.","ब्रिटिश सेना में आदिवासियों की जबरन भर्ती।","The British attempt to completely abolish the traditional 'Narabali' (human sacrifice) practice at the Danteshwari Temple.","दंतेश्वरी मंदिर में पारंपरिक 'नरबलि' (मानव बलि) प्रथा को पूरी तरह से समाप्त करने का ब्रिटिश प्रयास।","The heavy taxation imposed on minor forest produce like Mahua and Tendu.","महुआ और तेंदू जैसे लघु वनोपज पर लगाया गया भारी कर।","The displacement of tribals for the construction of the Raipur-Jagdalpur railway line.","रायपुर-जगदलपुर रेलवे लाइन के निर्माण के लिए आदिवासियों का विस्थापन।","2","'Meriya' was the term used for the person offered in human sacrifice. The British (officer Campbell) strictly prohibited this traditional practice at the Danteshwari temple, sparking a massive 20-year tribal revolt led by Hidma Manjhi.","'मेरिया' शब्द का प्रयोग मानव बलि में चढ़ाए जाने वाले व्यक्ति के लिए किया जाता था। अंग्रेजों (अधिकारी कैंपबेल) ने दंतेश्वरी मंदिर में इस पारंपरिक प्रथा पर सख्ती से रोक लगा दी, जिससे हिडमा मांझी के नेतृत्व में 20 साल का व्यापक आदिवासी विद्रोह भड़क उठा।"
"Who among the following Kakatiya rulers holds the distinction of having the maximum number of major tribal rebellions (including Lingagiri, Koi, and Muria) occur during his reign?","निम्नलिखित काकतीय शासकों में से किसके शासनकाल में सबसे अधिक प्रमुख आदिवासी विद्रोह (लिंगागिरी, कोई और मुरिया सहित) होने का गौरव/विशिष्टता प्राप्त है?","Mahipal Dev","महिपाल देव","Bhupal Dev","भूपाल देव","Bhairam Dev","भैरम देव","Rudrapratap Deo","रुद्रप्रताप देव","3","King Bhairam Dev's reign (1853-1891 AD) was highly turbulent. The Lingagiri (1856), Koi (1859), and Muria (1876) rebellions took place during his era due to rampant exploitation by Diwans and British officials.","राजा भैरम देव का शासनकाल (1853-1891 ई.) अत्यधिक अशांत था। दीवानों और ब्रिटिश अधिकारियों द्वारा बड़े पैमाने पर शोषण के कारण लिंगागिरी (1856), कोई (1859) और मुरिया (1876) विद्रोह उनके युग के दौरान हुए।"
"In 1856 AD, which prominent British officer became the first European official to formally visit the Bastar region and compile extensive administrative reports?","1856 ई. में, कौन सा प्रमुख ब्रिटिश अधिकारी बस्तर क्षेत्र का औपचारिक रूप से दौरा करने और व्यापक प्रशासनिक रिपोर्ट संकलित करने वाला पहला यूरोपीय अधिकारी बना?","Captain J.T. Blunt","कैप्टन जे.टी. ब्लंट","Charles Elliot","चार्ल्स इलियट","Richard Temple","रिचर्ड टेम्पल","Colonel Agnew","कर्नल एग्न्यू","2","Charles Elliot, the first Deputy Commissioner of Chhattisgarh after the 1854 British annexation, undertook an extensive official tour of the Bastar region in 1856 AD during Bhairam Dev's reign.","1854 के ब्रिटिश विलय के बाद छत्तीसगढ़ के पहले उपायुक्त चार्ल्स इलियट ने भैरम देव के शासनकाल के दौरान 1856 ई. में बस्तर क्षेत्र का व्यापक आधिकारिक दौरा किया।"
