Topic National and International Current Affairs (January 2026)  - National/International Current Affairs January 2026 Part 3
राष्ट्रीय/अंतर्राष्ट्रीय समसामयिकी जनवरी 2026 भाग 3
This final part of the January 2026 current affairs set tests advanced knowledge on national schemes, defense tech, appointments, and international summits. Carefully tailored for CGPSC Prelims and UPSC, this quiz challenges aspirants with statement-based and matching questions to evaluate deep preparation.
जनवरी 2026 समसामयिकी का यह अंतिम भाग राष्ट्रीय योजनाओं, रक्षा तकनीक, नियुक्तियों और अंतर्राष्ट्रीय शिखर सम्मेलनों पर उन्नत ज्ञान का परीक्षण करता है। सीजीपीएससी प्रारंभिक परीक्षा और यूपीएससी के लिए विशेष रूप से तैयार किया गया यह क्विज़, उम्मीदवारों की गहन तैयारी का मूल्यांकन करने के लिए बहु-कथन और सुमेलित प्रश्नों के साथ चुनौती देता है।
Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Match the following newly appointed Chief Justices of High Courts (Jan 2026):\n\nList-I\n(a) Meghalaya\n(b) Jharkhand\n(c) Patna\n(d) Calcutta\n\nList-II\n(i) Justice Sujoy Paul\n(ii) Justice Mahesh Sharadchandra Sonak\n(iii) Justice Revati Mohite Dere\n(iv) Justice Sangam Kumar Sahu\n\nCodes:","निम्नलिखित नवनियुक्त उच्च न्यायालय के मुख्य न्यायाधीशों (जनवरी 2026) का मिलान करें:\n\nसूची-I\n(a) मेघालय\n(b) झारखंड\n(c) पटना\n(d) कलकत्ता\n\nसूची-II\n(i) जस्टिस सुजॉय पॉल\n(ii) जस्टिस महेश शरदचंद्र सोनक\n(iii) जस्टिस रेवती मोहिते डेरे\n(iv) जस्टिस संगम कुमार साहू\n\nकूट:","(a)-(iii), (b)-(ii), (c)-(iv), (d)-(i)","(a)-(iii), (b)-(ii), (c)-(iv), (d)-(i)","(a)-(ii), (b)-(iii), (c)-(i), (d)-(iv)","(a)-(ii), (b)-(iii), (c)-(i), (d)-(iv)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(iv), (b)-(i), (c)-(ii), (d)-(iii)","(a)-(i), (b)-(iv), (c)-(iii), (d)-(ii)","(a)-(i), (b)-(iv), (c)-(iii), (d)-(ii)",1,"Justice Revati Mohite Dere became Meghalaya's first woman CJ. Justice Mahesh Sonak was appointed in Jharkhand. Justice Sangam Kumar Sahu in Patna. Justice Sujoy Paul in Calcutta.","जस्टिस रेवती मोहिते डेरे मेघालय की पहली महिला मुख्य न्यायाधीश बनीं। जस्टिस महेश सोनक को झारखंड में, जस्टिस संगम कुमार साहू को पटना में और जस्टिस सुजॉय पॉल को कलकत्ता में नियुक्त किया गया।"
"Consider the following statements regarding the Pradhan Mantri Matru Vandana Yojana (PMMVY):\n\n1. It is a Central Sector Scheme operating under the Ministry of Women and Child Development.\n\n2. It provides a financial incentive of Rs 5,000 for the birth of the first child.\n\n3. It provides Rs 6,000 for the birth of the second child, irrespective of the child's gender.\n\nChoose the correct answer:","प्रधानमंत्री मातृ वंदना योजना (PMMVY) के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. यह महिला एवं बाल विकास मंत्रालय के तहत संचालित एक केंद्रीय क्षेत्र की योजना (Central Sector Scheme) है।\n\n2. यह पहले बच्चे के जन्म पर 5,000 रुपये का वित्तीय प्रोत्साहन प्रदान करती है।\n\n3. यह दूसरे बच्चे के जन्म पर 6,000 रुपये प्रदान करती है, चाहे बच्चे का लिंग कुछ भी हो।\n\nसही उत्तर चुनें:","1 and 2 only","केवल 1 और 2","2 only","केवल 2","2 and 3 only","केवल 2 और 3","1, 2 and 3","1, 2 और 3",2,"Statement 2 is correct. Statement 1 is false because it is a Centrally Sponsored Scheme, not a Central Sector Scheme. Statement 3 is false because the Rs 6,000 incentive for the second child is provided only if the child is a girl.","कथन 2 सही है। कथन 1 गलत है क्योंकि यह एक केंद्र प्रायोजित योजना है, न कि केंद्रीय क्षेत्र की योजना। कथन 3 गलत है क्योंकि दूसरे बच्चे के लिए 6,000 रुपये का प्रोत्साहन केवल तभी प्रदान किया जाता है जब बच्चा लड़की हो।"
"Match the winners of the 77th Republic Day Parade Awards (2026):\n\nList-I\n(a) Best State Tableau (Popular Choice)\n(b) Best Ministry Tableau\n(c) Best Marching Contingent (Services - Judges' Choice)\n(d) Best Marching Contingent (Services - Popular Choice)\n\nList-II\n(i) Gujarat\n(ii) Ministry of Culture\n(iii) Indian Navy\n(iv) Assam Regiment\n\nCodes:","77वें गणतंत्र दिवस परेड पुरस्कार (2026) के विजेताओं का मिलान करें:\n\nसूची-I\n(a) सर्वश्रेष्ठ राज्य झांकी (लोकप्रिय पसंद)\n(b) सर्वश्रेष्ठ मंत्रालय झांकी\n(c) सर्वश्रेष्ठ मार्चिंग टुकड़ी (सेवाएं - जजों की पसंद)\n(d) सर्वश्रेष्ठ मार्चिंग टुकड़ी (सेवाएं - लोकप्रिय पसंद)\n\nसूची-II\n(i) गुजरात\n(ii) संस्कृति मंत्रालय\n(iii) भारतीय नौसेना\n(iv) असम रेजिमेंट\n\nकूट:","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(i), (b)-(ii), (c)-(iii), (d)-(iv)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)",2,"Gujarat won Best State Tableau in Popular Choice. The Ministry of Culture won Best Ministry Tableau. The Indian Navy won Best Marching Contingent in Judges' Choice, and Assam Regiment in Popular Choice.","गुजरात ने लोकप्रिय पसंद में सर्वश्रेष्ठ राज्य की झांकी जीती। संस्कृति मंत्रालय ने सर्वश्रेष्ठ मंत्रालय की झांकी जीती। भारतीय नौसेना ने जजों की पसंद में और असम रेजिमेंट ने लोकप्रिय पसंद में सर्वश्रेष्ठ मार्चिंग टुकड़ी का पुरस्कार जीता।"
"Which of the following statements correctly describes the newly proposed Battery Pack Aadhaar Number (BPAN) in India?","निम्नलिखित में से कौन सा कथन भारत में नव प्रस्तावित बैटरी पैक आधार नंबर (BPAN) का सही वर्णन करता है?","It is a 12-character alphanumeric ID without a QR code for tracking solar panels.","यह सौर पैनलों को ट्रैक करने के लिए बिना क्यूआर कोड वाला 12-वर्णों का अल्फ़ान्यूमेरिक आईडी है।","It is a 16-character unique ID exclusively for hydrogen fuel cells.","यह विशेष रूप से हाइड्रोजन ईंधन सेल के लिए 16-वर्णों की एक विशिष्ट आईडी है।","It is a 21-character unique ID linked to a QR code for tracing the lifecycle of EV batteries.","यह ईवी (EV) बैटरी के जीवनचक्र का पता लगाने के लिए क्यूआर कोड से जुड़ी 21-वर्णों की एक विशिष्ट आईडी है।","It is a 10-character code managed by UIDAI for vehicle registration.","यह वाहन पंजीकरण के लिए UIDAI द्वारा प्रबंधित 10-वर्णों का कोड है।",3,"BPAN is an indigenous digital identification system consisting of a 21-character unique ID with an accompanying QR code to trace the end-to-end lifecycle and health of EV batteries.","BPAN एक स्वदेशी डिजिटल पहचान प्रणाली है जिसमें 21-वर्णों की विशिष्ट आईडी और साथ में एक क्यूआर कोड होता है, जो ईवी बैटरी के संपूर्ण जीवनचक्र और स्वास्थ्य का पता लगाने के लिए है।"
"Who among the following has become the first Indian to be nominated to chair the UN Advisory Board on Disarmament Matters (ABDM) for the 2026-27 term?","निम्नलिखित में से कौन 2026-27 के कार्यकाल के लिए निरस्त्रीकरण मामलों पर संयुक्त राष्ट्र सलाहकार बोर्ड (ABDM) की अध्यक्षता करने वाले पहले भारतीय बन गए हैं?","Syed Akbaruddin","सैयद अकबरुद्दीन","D.B. Venkatesh Varma","डी.बी. वेंकटेश वर्मा","Ruchira Kamboj","रुचिरा कंबोज","T.S. Tirumurti","टी.एस. तिरुमूर्ति",2,"Senior Indian diplomat D.B. Venkatesh Varma has been nominated to chair the UN Disarmament Advisory Board (ABDM) for the 2026-27 term, becoming the first Indian to hold this position.","वरिष्ठ भारतीय राजनयिक डी.बी. वेंकटेश वर्मा को 2026-27 के कार्यकाल के लिए संयुक्त राष्ट्र निरस्त्रीकरण सलाहकार बोर्ड (ABDM) की अध्यक्षता करने के लिए नामित किया गया है, यह पद संभालने वाले वे पहले भारतीय बन गए हैं।"
"Consider the following statements regarding the 86th All India Presiding Officers' Conference:\n\n1. It was held in Lucknow, Uttar Pradesh.\n\n2. The official theme of the conference was ""Strong Legislature, Prosperous Nation"".\n\nChoose the correct answer:","86वें अखिल भारतीय पीठासीन अधिकारी सम्मेलन के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. यह लखनऊ, उत्तर प्रदेश में आयोजित किया गया था।\n\n2. सम्मेलन का आधिकारिक विषय ""मजबूत विधायिका, समृद्ध राष्ट्र"" था।\n\nसही उत्तर चुनें:","1 only","केवल 1","2 only","केवल 2","Both 1 and 2","1 और 2 दोनों","Neither 1 nor 2","न तो 1 और न ही 2",3,"Both statements are correct. The 86th All India Presiding Officers' Conference was inaugurated in Lucknow by UP Governor Anandiben Patel. The theme was 'Strong Legislature, Prosperous Nation'.","दोनों कथन सही हैं। 86वें अखिल भारतीय पीठासीन अधिकारी सम्मेलन का उद्घाटन यूपी की राज्यपाल आनंदीबेन पटेल ने लखनऊ में किया। इसका विषय 'मजबूत विधायिका, समृद्ध राष्ट्र' था।"
"Match the following recently launched books with their authors/editors (Jan 2026):\n\nList-I\n(a) Premanu Vishwa Vishwanu Prem\n(b) Sing, Dance and Lead\n(c) History That India Ignored\n\nList-II\n(i) Srimad Vijay Ratna Sundar Surishwar Ji Maharaj\n(ii) Hindol Sengupta\n(iii) Prem Prakash\n\nCodes:","हाल ही में लॉन्च की गई निम्नलिखित पुस्तकों का उनके लेखकों/संपादकों (जनवरी 2026) के साथ मिलान करें:\n\nसूची-I\n(a) प्रेमनु विश्व विश्वानु प्रेम\n(b) सिंग, डांस एंड लीड (Sing, Dance and Lead)\n(c) हिस्ट्री दैट इंडिया इग्नोरर्ड (History That India Ignored)\n\nसूची-II\n(i) श्रीमद् विजय रत्न सुंदर सूरीश्वर जी महाराज\n(ii) हिंडोल सेनगुप्ता\n(iii) प्रेम प्रकाश\n\nकूट:","(a)-(ii), (b)-(i), (c)-(iii)","(a)-(ii), (b)-(i), (c)-(iii)","(a)-(i), (b)-(ii), (c)-(iii)","(a)-(i), (b)-(ii), (c)-(iii)","(a)-(iii), (b)-(ii), (c)-(i)","(a)-(iii), (b)-(ii), (c)-(i)","(a)-(i), (b)-(iii), (c)-(ii)","(a)-(i), (b)-(iii), (c)-(ii)",2,"'Premanu Vishwa Vishwanu Prem' was authored by Srimad Vijay Ratna Sundar Surishwar Ji Maharaj. 'Sing, Dance and Lead' was authored by Hindol Sengupta. 'History That India Ignored' was authored by Prem Prakash.","'प्रेमनु विश्व विश्वानु प्रेम' श्रीमद् विजय रत्न सुंदर सूरीश्वर जी महाराज द्वारा लिखी गई थी। 'सिंग, डांस एंड लीड' हिंडोल सेनगुप्ता द्वारा लिखी गई थी। 'हिस्ट्री दैट इंडिया इग्नोरर्ड' प्रेम प्रकाश द्वारा लिखी गई थी।"
"Consider the following statements regarding the Jeevan Raksha Padak awards conferred in 2026:\n\n1. The Sarvottam Jeevan Raksha Padak carries a prize money of ₹2 Lakh.\n\n2. The Uttam Jeevan Raksha Padak carries a prize money of ₹1.5 Lakh.\n\n3. A total of 130 awards were given in 2026 across all categories.\n\nWhich of the statements given above are correct?","2026 में प्रदान किए गए जीवन रक्षा पदक पुरस्कारों के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. सर्वोत्तम जीवन रक्षा पदक में ₹2 लाख की पुरस्कार राशि होती है।\n\n2. उत्तम जीवन रक्षा पदक में ₹1.5 लाख की पुरस्कार राशि होती है।\n\n3. 2026 में सभी श्रेणियों में कुल 130 पुरस्कार दिए गए।\n\nउपरोक्त कथनों में से कौन से सही हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",1,"Statements 1 and 2 are correct. Statement 3 is false because a total of 30 awards were given in 2026, not 130 (6 Sarvottam, 6 Uttam, and 18 Jeevan Raksha).","कथन 1 और 2 सही हैं। कथन 3 गलत है क्योंकि 2026 में कुल 130 नहीं, बल्कि 30 पुरस्कार दिए गए (6 सर्वोत्तम, 6 उत्तम और 18 जीवन रक्षा)।"
"Which of the following best describes MAPSS, recently inducted by the Indian Army?","निम्नलिखित में से कौन भारतीय सेना द्वारा हाल ही में शामिल किए गए MAPSS का सबसे अच्छा वर्णन करता है?","A nuclear-powered autonomous submarine","एक परमाणु-संचालित स्वायत्त पनडुब्बी","A fully electric, solar-powered Unmanned Aerial Vehicle (UAV)","एक पूर्णतः इलेक्ट्रिक, सौर-संचालित मानवरहित हवाई वाहन (UAV)","An anti-tank guided missile with top-attack capability","शीर्ष-हमले (top-attack) क्षमता वाली एक एंटी-टैंक गाइडेड मिसाइल","A satellite communication terminal for remote border areas","दूरस्थ सीमावर्ती क्षेत्रों के लिए एक उपग्रह संचार टर्मिनल",2,"MAPSS (Medium Altitude Persistent Surveillance System) is a fully electric, solar-powered UAV inducted by the Indian Army for surveillance, developed by NewSpace Research.","एमएपीएसएस (मीडियम एल्टीट्यूड पर्सिस्टेंट सर्विलांस सिस्टम) एक पूर्णतः इलेक्ट्रिक, सौर ऊर्जा संचालित यूएवी है जिसे निगरानी के लिए भारतीय सेना में शामिल किया गया है, इसे न्यूस्पेस रिसर्च द्वारा विकसित किया गया है।"
"Match the following international leaders appointed/elected in January 2026 with their respective countries:\n\nList-I\n(a) Mamady Doumbouya\n(b) Yoweri Museveni\n(c) Shaya Mohsin Zindani\n\nList-II\n(i) Uganda\n(ii) Yemen\n(iii) Guinea\n\nCodes:","जनवरी 2026 में नियुक्त/निर्वाचित निम्नलिखित अंतर्राष्ट्रीय नेताओं का उनके संबंधित देशों के साथ मिलान करें:\n\nसूची-I\n(a) ममाडी डोमबोया\n(b) योवेरी मुसेवेनी\n(c) शाया मोहसिन जिंदानी\n\nसूची-II\n(i) युगांडा\n(ii) यमन\n(iii) गिनी\n\nकूट:","(a)-(ii), (b)-(i), (c)-(iii)","(a)-(ii), (b)-(i), (c)-(iii)","(a)-(iii), (b)-(i), (c)-(ii)","(a)-(iii), (b)-(i), (c)-(ii)","(a)-(i), (b)-(iii), (c)-(ii)","(a)-(i), (b)-(iii), (c)-(ii)","(a)-(iii), (b)-(ii), (c)-(i)","(a)-(iii), (b)-(ii), (c)-(i)",2,"Mamady Doumbouya became the President of Guinea. Yoweri Museveni was elected President of Uganda. Shaya Mohsin Zindani became the Prime Minister of Yemen.","ममाडी डोमबोया गिनी के राष्ट्रपति बने। योवेरी मुसेवेनी युगांडा के राष्ट्रपति चुने गए। शाया मोहसिन जिंदानी यमन के प्रधान मंत्री बने।"
