Quiz Title (English): Chhattisgarh Current Affairs (May 2026) Part 2
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (मई 2026) भाग 2
Quiz Description (English): Test your preparation for CGPSC Prelims with this second part of the May 2026 Current Affairs module. This set covers advanced insights into rural schemes, archaeological discoveries, and major state administrative reports.
Quiz Description (Hindi): मई 2026 करेंट अफेयर्स मॉड्यूल के इस दूसरे भाग के साथ सीजीपीएससी प्रारंभिक परीक्षा के लिए अपनी तैयारी का परीक्षण करें। यह सेट ग्रामीण योजनाओं, पुरातात्विक खोजों और प्रमुख राज्य प्रशासनिक रिपोर्टों की गहन जानकारी को कवर करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the recent diamond discovery in Chhattisgarh:\n\n1. Five rough diamonds were found in the Baloda Belmundi diamond block of Mahasamund district.\n\n2. The exploration was conducted by NMDC-CMDC Limited, a joint venture.\n\n3. The recovered diamonds are currently kept in the NMDC vault located in Panna, Madhya Pradesh.\n\nChoose the correct answer:","छत्तीसगढ़ में हाल ही में हुई हीरे की खोज के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. महासमुंद जिले के बलौदा बेलमुंडी डायमंड ब्लॉक में पांच रफ हीरे पाए गए हैं।\n\n2. अन्वेषण कार्य एक संयुक्त उपक्रम एनएमडीसी-सीएमडीसी लिमिटेड (NMDC-CMDC Limited) द्वारा किया गया था।\n\n3. बरामद हीरों को वर्तमान में पन्ना, मध्य प्रदेश स्थित एनएमडीसी वॉल्ट में रखा गया है।\n\nसही कथन चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. Five rough diamonds weighing 1.22 carats were discovered in the Baloda Belmundi block. The exploration was a joint venture of NMDC and CMDC, and the precious stones are securely preserved in the Panna NMDC vault.","सभी कथन सही हैं। बलौदा बेलमुंडी ब्लॉक में 1.22 कैरेट वजन के पांच रफ हीरे खोजे गए। अन्वेषण एनएमडीसी और सीएमडीसी का एक संयुक्त उपक्रम था, और कीमती पत्थरों को पन्ना एनएमडीसी वॉल्ट में सुरक्षित रूप से संरक्षित किया गया है।"
"Under the 'Gyan Bharatam' manuscript survey campaign, a 337-year-old original manuscript of the text 'Khub Tamasha' written in Devnagari script was discovered from which village of Korba district?","'ज्ञान भारतम' पांडुलिपि सर्वेक्षण अभियान के तहत, कोरबा जिले के किस गांव से देवनागरी लिपि में लिखित ग्रंथ 'खूब तमाशा' की 337 वर्ष पुरानी मूल पांडुलिपि खोजी गई?","Shivpur","शिवपुर","Chhatauna","छतौना","Rajgahi","राजगाही","Dhanouli","धनौली",1,"The manuscript of 'Khub Tamasha', authored by Gopal Mishra (court poet of Kalchuri king Raj Singh) in 1689, was found in Shivpur village of Pali block, Korba. It contains the earliest written reference to the word 'Chhattisgarh'.","1689 में गोपाल मिश्र (कलचुरी राजा राज सिंह के दरबारी कवि) द्वारा लिखित 'खूब तमाशा' की पांडुलिपि कोरबा के पाली ब्लॉक के शिवपुर गांव में मिली। इसमें 'छत्तीसगढ़' शब्द का सबसे पहला लिखित संदर्भ शामिल है।"
"Which district of Chhattisgarh ranked first in the country to successfully digitize 15,735 files of Gram Panchayats and implement the 'e-Office' system for paperless administration?","ग्राम पंचायतों की 15,735 फाइलों को सफलतापूर्वक डिजिटाइज़ करने और पेपरलेस प्रशासन के लिए 'ई-ऑफिस' प्रणाली लागू करने वाला छत्तीसगढ़ का कौन सा जिला देश में प्रथम स्थान पर रहा?","Raigarh","रायगढ़","Sakti","सक्ती","Balod","बालोद","Dhamtari","धमतरी",2,"Sakti district secured the first position nationally by digitizing 15,735 files under the e-Office system. The system was implemented on 1 April 2025 in collaboration with NIC and CHiPS to ensure transparency.","सक्ती जिले ने ई-ऑफिस प्रणाली के तहत 15,735 फाइलों को डिजिटाइज़ कर राष्ट्रीय स्तर पर पहला स्थान हासिल किया। पारदर्शिता सुनिश्चित करने के लिए एनआईसी और चिप्स के सहयोग से यह प्रणाली 1 अप्रैल 2025 को लागू की गई थी।"
"Match the Gram Panchayats of Chhattisgarh with the specific themes in which they excelled under the Panchayat Development Index (PDI) 2.0:\n\nList-I (Gram Panchayat)\n(a) Mandroud\n(b) Khamhariya\n(c) Kachhiya\n(d) Bhorgahan\n\nList-II (PDI Theme)\n(i) Healthy Panchayat\n(ii) Water Sufficient Panchayat\n(iii) Poverty Free & Enhanced Livelihood\n(iv) Child-Friendly Panchayat\n\nCodes:","पंचायत विकास सूचकांक (PDI) 2.0 के तहत छत्तीसगढ़ की ग्राम पंचायतों को उन विशिष्ट थीमों के साथ सुमेलित कीजिए जिनमें उन्होंने उत्कृष्ट प्रदर्शन किया है:\n\nसूची-I (ग्राम पंचायत)\n(a) मंदरौद\n(b) खमहरिया\n(c) कछिया\n(d) भोरगहन\n\nसूची-II (PDI थीम)\n(i) स्वस्थ पंचायत\n(ii) जल पर्याप्त पंचायत\n(iii) गरीबी मुक्त और उन्नत आजीविका\n(iv) बाल-हितैषी पंचायत\n\nकूट:","a-iii, b-i, c-iv, d-ii","a-iii, b-i, c-iv, d-ii","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii","a-iii, b-iv, c-i, d-ii","a-iii, b-iv, c-i, d-ii","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv",1,"Mandroud (Dhamtari) topped in Poverty Free (Theme 1). Khamhariya topped in Healthy Panchayat (Theme 2). Kachhiya (Balrampur) topped in Child-Friendly (Theme 3). Bhorgahan topped in Water Sufficient (Theme 4).","मंदरौद (धमतरी) गरीबी मुक्त (थीम 1) में शीर्ष पर रहा। खमहरिया स्वस्थ पंचायत (थीम 2) में शीर्ष पर रहा। कछिया (बलरामपुर) बाल-हितैषी (थीम 3) में शीर्ष पर रहा। भोरगहन जल पर्याप्त (थीम 4) में शीर्ष पर रहा।"
"Consider the following statements regarding the Mukhyamantri Adarsh Shahar Samriddhi Yojana:\n\n1. It aims to develop Nagar Palikas and Nagar Panchayats with modern infrastructure, with a budget provision of Rs 200 crore.\n\n2. In the first phase, 32 urban bodies have been selected.\n\n3. The maximum number of urban bodies selected in the first phase are from the Bilaspur division.\n\nChoose the correct answer:","मुख्यमंत्री आदर्श शहर समृद्धि योजना के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका उद्देश्य 200 करोड़ रुपये के बजट प्रावधान के साथ आधुनिक बुनियादी ढांचे के साथ नगर पालिकाओं और नगर पंचायतों को विकसित करना है।\n\n2. पहले चरण में, 32 नगरीय निकायों का चयन किया गया है।\n\n3. पहले चरण में चयनित नगरीय निकायों की अधिकतम संख्या बिलासपुर संभाग से है।\n\nसही कथन चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. Modeled after the Mukhyamantri Nagarotthan Yojana (which is for Municipal Corporations), this scheme targets Nagar Palikas/Panchayats. Bilaspur division has the highest number (9) among the 32 selected bodies.","सभी कथन सही हैं। मुख्यमंत्री नगरोत्थान योजना (जो नगर निगमों के लिए है) की तर्ज पर बनी यह योजना नगर पालिकाओं/पंचायतों को लक्षित करती है। 32 चयनित निकायों में बिलासपुर संभाग की संख्या सबसे अधिक (9) है।"
"The 'Viksit Bharat GRMG' scheme, which is set to replace the MGNREGA across the country including Chhattisgarh from 1 July 2026, guarantees how many days of wage employment to rural households?","'विकसित भारत GRMG' योजना, जो 1 जुलाई 2026 से छत्तीसगढ़ सहित पूरे देश में मनरेगा (MGNREGA) का स्थान लेने के लिए तैयार है, ग्रामीण परिवारों को कितने दिनों के वेतन रोजगार की गारंटी देती है?","100 days","100 दिन","125 days","125 दिन","150 days","150 दिन","200 days","200 दिन",2,"The Viksit Bharat Guarantee for Rojgar & Aajeevika Mission Gramin (VB-GRMG) upgrades the MGNREGA mandate, increasing the guaranteed employment limit from 100 days to 125 days, supported by a Rs 400 crore state budget allocation.","विकसित भारत गारंटी फॉर रोजगार एंड आजीविका मिशन ग्रामीण (VB-GRMG) मनरेगा जनादेश को अपग्रेड करता है, जिसमें 400 करोड़ रुपये के राज्य बजट आवंटन के सहयोग से रोजगार गारंटी सीमा 100 दिनों से बढ़ाकर 125 दिन कर दी गई है।"
"Under the 'Science on Wheels - Towards Fast Justice' initiative launched by Union Home Minister Amit Shah in Raipur, how many Mobile Forensic Vans were inducted to enhance scientific investigation at crime scenes?","केंद्रीय गृह मंत्री अमित शाह द्वारा रायपुर में शुरू की गई 'साइंस ऑन व्हील्स - टुवर्ड्स फास्ट जस्टिस' पहल के तहत, अपराध स्थलों पर वैज्ञानिक जांच को बढ़ाने के लिए कितनी मोबाइल फोरेंसिक वैन शामिल की गईं?","16","16","24","24","32","32","45","45",3,"Under this initiative, 32 Mobile Forensic Vans were inducted into the Chhattisgarh Police. These vans are equipped with modern tech for on-the-spot scientific investigation and digital documentation across districts.","इस पहल के तहत, छत्तीसगढ़ पुलिस में 32 मोबाइल फोरेंसिक वैन शामिल की गईं। ये वैन विभिन्न जिलों में मौके पर ही वैज्ञानिक जांच और डिजिटल दस्तावेजीकरण के लिए आधुनिक तकनीक से लैस हैं।"
"According to the 'Improved Rice Scheme' set to be implemented from 1 July 2026 in Chhattisgarh, what are the strict quality parameter limits set for 'Arwa broken rice' and 'Usna broken rice' respectively?","छत्तीसगढ़ में 1 जुलाई 2026 से लागू होने वाली 'इंप्रूव्ड राइस स्कीम' के अनुसार, क्रमशः 'अरवा ब्रोकन राइस' और 'उसना ब्रोकन राइस' के लिए निर्धारित सख्त गुणवत्ता पैरामीटर सीमाएं क्या हैं?","10% and 5%","10% और 5%","15% and 10%","15% और 10%","5% and 2%","5% और 2%","12% and 8%","12% और 8%",1,"To combat malnutrition and upgrade rice mill quality, the scheme mandates a strict tolerance limit: a maximum of 10% broken grains for Arwa rice and 5% broken grains for Usna rice.","कुपोषण से निपटने और राइस मिल की गुणवत्ता को अपग्रेड करने के लिए, योजना सख्त सहनशीलता सीमा को अनिवार्य करती है: अरवा चावल के लिए अधिकतम 10% टूटे दाने और उसना चावल के लिए 5% टूटे दाने।"
"A rare 1965 edition of the handwritten magazine 'Udgar' was rediscovered from Ambikapur during the manuscript survey. Who was the original editor of this magazine?","पांडुलिपि सर्वेक्षण के दौरान अंबिकापुर से हस्तलिखित पत्रिका 'उद्गार' का 1965 का दुर्लभ संस्करण फिर से खोजा गया। इस पत्रिका के मूल संपादक कौन थे?","Gopal Mishra","गोपाल मिश्र","Laxman Dhari Mishra","लक्ष्मण धारी मिश्र","Diwakar Sharma","दिवाकर शर्मा","Pandit Ramlal Bareth","पंडित रामलाल बरेट",2,"The 'Udgar' magazine (published in May 1965) was originally edited by the late Laxman Dhari Mishra. It was recently rediscovered and preserved by Diwakar Sharma during the Gyan Bharatam Abhiyan.","'उद्गार' पत्रिका (मई 1965 में प्रकाशित) मूल रूप से स्वर्गीय लक्ष्मण धारी मिश्र द्वारा संपादित की गई थी। हाल ही में ज्ञान भारतम अभियान के दौरान दिवाकर शर्मा द्वारा इसे फिर से खोजा गया और संरक्षित किया गया।"
"The Lift Irrigation Project of which development block in Dhamtari district has been declared a 'Success Model' nationally under the PMKSY 2.0 (Watershed Development Component)?","धमतरी जिले के किस विकास खंड की लिफ्ट इरिगेशन परियोजना को PMKSY 2.0 (वाटरशेड डेवलपमेंट कंपोनेंट) के तहत राष्ट्रीय स्तर पर 'सक्सेस मॉडल' घोषित किया गया है?","Kurud","कुरुद","Magarlod","मगरलोड","Nagri","नगरी","Gunderdehi","गुंडरदेही",2,"The Lift Irrigation Project executed in the Magarlod development block of Dhamtari utilizes the Mahanadi river's water. It was recognized as a national success model for soil and water conservation by the Union Land Resources Department.","धमतरी के मगरलोड विकास खंड में निष्पादित लिफ्ट इरिगेशन परियोजना महानदी के पानी का उपयोग करती है। केंद्रीय भूमि संसाधन विभाग द्वारा इसे मिट्टी और जल संरक्षण के लिए एक राष्ट्रीय सफलता मॉडल के रूप में मान्यता दी गई थी।"
