Quiz Title (English)
The Gandhian Era & Mass Movements: Non-Cooperation & Gandhi's First Visit

Quiz Title (Hindi)
गांधीवादी युग और जन आंदोलन: असहयोग आंदोलन व गांधीजी की प्रथम यात्रा

Quiz Description (English)
Master the core concepts of the Non-Cooperation Movement and Mahatma Gandhi's seminal first visit to Chhattisgarh in 1920. This quiz tests specific historical facts, dates, and local leadership crucial for CGPSC Prelims preparation.

Quiz Description (Hindi)
1920 में छत्तीसगढ़ में असहयोग आंदोलन और महात्मा गांधी की ऐतिहासिक प्रथम यात्रा से संबंधित महत्वपूर्ण तथ्यों का अभ्यास करें। यह क्विज CGPSC प्रारंभिक परीक्षा के लिए स्थानीय नेताओं, महत्वपूर्ण तिथियों और घटनाओं पर केंद्रित है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"On which exact date did Mahatma Gandhi make his first visit to Chhattisgarh to gain support for the Non-Cooperation Movement?","महात्मा गांधी ने असहयोग आंदोलन के लिए समर्थन जुटाने के उद्देश्य से छत्तीसगढ़ की अपनी पहली यात्रा किस तिथि को की थी?","18 December 1920","18 दिसंबर 1920","19 December 1920","19 दिसंबर 1920","20 December 1920","20 दिसंबर 1920","21 December 1920","21 दिसंबर 1920",3,"Mahatma Gandhi arrived in Raipur on 20 December 1920 for his first visit. He was accompanied by Maulana Shaukat Ali to gather support for the Non-Cooperation Movement.","महात्मा गांधी अपनी पहली यात्रा पर 20 दिसंबर 1920 को रायपुर पहुंचे थे। असहयोग आंदोलन के लिए समर्थन जुटाने हेतु उनके साथ मौलाना शौकत अली भी आए थे।"
"Consider the following statements regarding Mahatma Gandhi's first visit to Raipur:\n\n1. He addressed the public at Gandhi Chowk highlighting the importance of the Non-Cooperation Movement.\n\n2. He addressed a women's group near the Anand Samaj Library.\n\n3. Under his guidance, Pt. Ravishankar Shukla was elected as the first president of the Raipur District Council.\n\nChoose the correct answer:","रायपुर में महात्मा गांधी की पहली यात्रा के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. उन्होंने गांधी चौक पर जनता को संबोधित करते हुए असहयोग आंदोलन के महत्व पर प्रकाश डाला।\n\n2. उन्होंने आनंद समाज वाचनालय के पास एक महिला समूह को संबोधित किया।\n\n3. उनके मार्गदर्शन में पं. रविशंकर शुक्ल को रायपुर जिला परिषद का पहला अध्यक्ष चुना गया।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",1,"Statements 1 and 2 are correct. Statement 3 is incorrect because under Gandhiji's guidance, Barrister C.M. Thakkar was elected as the first president of the Raipur District Council, not Pt. Ravishankar Shukla.","कथन 1 और 2 सही हैं। कथन 3 गलत है क्योंकि गांधीजी के मार्गदर्शन में बैरिस्टर सी.एम. ठक्कर को रायपुर जिला परिषद का पहला अध्यक्ष चुना गया था, न कि पं. रविशंकर शुक्ल को।"
"What was the primary penalty imposed by the British on the villagers during the Kandel Canal Satyagraha (July 1920) before it was eventually revoked?","कंडेल नहर सत्याग्रह (जुलाई 1920) के दौरान ब्रिटिश सरकार द्वारा ग्रामीणों पर मुख्य रूप से क्या जुर्माना लगाया गया था, जिसे बाद में वापस ले लिया गया?","Confiscation of agricultural lands","कृषि भूमि की जब्ती","Imprisonment of all local Zamindars","सभी स्थानीय जमींदारों का कारावास","Imposition of a fine of Rs. 4050","4050 रुपये का जुर्माना लगाना","Deportation of Pt. Sundarlal Sharma","पं. सुंदरलाल शर्मा का निर्वासन",3,"The British imposed a fine of Rs. 4050 on the villagers for their disapproval of a 10-year agreement with the irrigation department regarding canal water use.","ब्रिटिश सरकार ने सिंचाई विभाग के साथ 10 वर्षीय समझौते को अस्वीकार करने और नहर के पानी के उपयोग के आरोप में ग्रामीणों पर 4050 रुपये का जुर्माना लगाया था।"
"Match the following local leaders with their respective regions whom they represented in the Nagpur Session of the Indian National Congress (1920):\n\nList-I (Leader)\n(a) Narayanrao Meghawale\n(b) Vamanrao Lakhe\n(c) E. Raghavendra Rao\n(d) Thakur Pyarelal Singh\n\nList-II (Region)\n(i) Bilaspur\n(ii) Dhamtari\n(iii) Rajnandgaon\n(iv) Raipur\n\nCodes:","भारतीय राष्ट्रीय कांग्रेस के नागपुर अधिवेशन (1920) में शामिल होने वाले स्थानीय नेताओं को उनके संबंधित क्षेत्रों के साथ सुमेलित कीजिए:\n\nसूची-I (नेता)\n(a) नारायणराव मेघावाले\n(b) वामनराव लाखे\n(c) ई. राघवेंद्र राव\n(d) ठाकुर प्यारेलाल सिंह\n\nसूची-II (क्षेत्र)\n(i) बिलासपुर\n(ii) धमतरी\n(iii) राजनांदगांव\n(iv) रायपुर\n\nकूट:","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii","a-iv, b-ii, c-iii, d-i","a-iv, b-ii, c-iii, d-i","a-ii, b-iv, c-iii, d-i","a-ii, b-iv, c-iii, d-i","a-i, b-ii, c-iv, d-iii","a-i, b-ii, c-iv, d-iii",1,"In the 1920 Nagpur Session, Narayanrao Meghawale represented Dhamtari, Vamanrao Lakhe represented Raipur, E. Raghavendra Rao represented Bilaspur, and Thakur Pyarelal represented Rajnandgaon.","1920 के नागपुर अधिवेशन में धमतरी का प्रतिनिधित्व नारायणराव मेघावाले ने, रायपुर का वामनराव लाखे ने, बिलासपुर का ई. राघवेंद्र राव ने और राजनांदगांव का ठाकुर प्यारेलाल सिंह ने किया था।"
"During the Non-Cooperation Movement, who among the following prominent personalities of Chhattisgarh renounced the title of 'Khan Saheb'?","असहयोग आंदोलन के दौरान, छत्तीसगढ़ की निम्नलिखित प्रमुख हस्तियों में से किसने 'खान साहब' की उपाधि का त्याग किया था?","Sher Khan","शेर खान","Sheikh Muntajimuddin","शेख मुंतजिमुद्दीन","Seth Gopikishan","सेठ गोपीकिशन","Kaji Shamsher Khan","काजी शमशेर खान",4,"During the Non-Cooperation Movement, Kaji Shamsher Khan renounced the title of 'Khan Saheb' as part of the boycott of British honorary titles.","असहयोग आंदोलन के दौरान ब्रिटिश मानद उपाधियों के बहिष्कार के तहत काजी शमशेर खान ने 'खान साहब' की उपाधि का त्याग कर दिया था।"
"Which of the following Jungle Satyagrahas is uniquely recognized as the ONLY one organized in Chhattisgarh during the Non-Cooperation Movement phase (1922)?","असहयोग आंदोलन (1920-22) के चरण के दौरान छत्तीसगढ़ में आयोजित होने वाले एकमात्र जंगल सत्याग्रह के रूप में निम्नलिखित में से किसे विशिष्ट रूप से मान्यता प्राप्त है?","Gattasilli","गट्टासिल्ली","Mohbana Pondi","मोहबना पोंडी","Nagari Sihawa","नगरी सिहावा","Rudri Navagaon","रुद्री नवागांव",3,"The Nagari Sihawa Jungle Satyagraha (January 1922) was the only Jungle Satyagraha to take place during the Non-Cooperation Movement. The others were part of the Civil Disobedience Movement in 1930.","नगरी सिहावा जंगल सत्याग्रह (जनवरी 1922) एकमात्र ऐसा जंगल सत्याग्रह था जो असहयोग आंदोलन के दौरान हुआ था। अन्य सभी 1930 के सविनय अवज्ञा आंदोलन का हिस्सा थे।"
"Consider the following statements about the Kandel Canal Satyagraha:\n\n1. It was organized in Dhamtari district against the imposition of a heavy fine on villagers.\n\n2. Narayanrao Meghawale and Nathuji Jagtap actively assisted Pt. Sundarlal Sharma in this movement.\n\n3. Pt. Sundarlal Sharma went to Bombay in December 1920 to invite Mahatma Gandhi to lead the Satyagraha.\n\nWhich of the statements is/are NOT correct?","कंडेल नहर सत्याग्रह के बारे में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह ग्रामीणों पर भारी जुर्माना लगाए जाने के विरोध में धमतरी जिले में आयोजित किया गया था।\n\n2. नारायणराव मेघावाले और नत्थूजी जगताप ने इस आंदोलन में पं. सुंदरलाल शर्मा की सक्रिय रूप से सहायता की।\n\n3. पं. सुंदरलाल शर्मा सत्याग्रह का नेतृत्व करने के लिए महात्मा गांधी को आमंत्रित करने दिसंबर 1920 में बॉम्बे गए थे।\n\nउपरोक्त में से कौन सा/से कथन गलत है/हैं?","1 only","केवल 1","2 only","केवल 2","3 only","केवल 3","None of these","इनमें से कोई नहीं",3,"Statement 3 is incorrect because Pt. Sundarlal Sharma went to Calcutta (not Bombay) on 2nd December 1920 to invite Mahatma Gandhi to lead the Satyagraha.","कथन 3 गलत है क्योंकि पं. सुंदरलाल शर्मा सत्याग्रह का नेतृत्व करने हेतु महात्मा गांधी को आमंत्रित करने 2 दिसंबर 1920 को बॉम्बे नहीं, बल्कि कलकत्ता गए थे।"
"Who among the following donated Rs. 5011 to Mahatma Gandhi on behalf of the people of Dhamtari for the Tilak Swaraj Fund during his first visit to Chhattisgarh?","महात्मा गांधी की छत्तीसगढ़ की पहली यात्रा के दौरान धमतरी के लोगों की ओर से तिलक स्वराज्य फंड के लिए 5011 रुपये का दान किसने दिया था?","Babu Chhotelal Shrivastava","बाबू छोटेलाल श्रीवास्तव","Bajirao Kridant","बाजीराव कृदंत","Narayanrao Meghawale","नारायणराव मेघावाले","Nathuji Jagtap","नत्थूजी जगताप",2,"During Gandhiji's first visit, the Zamindar of Dhamtari, Bajirao Kridant, donated Rs. 5011 to the Tilak Swaraj Fund on behalf of the local people.","गांधीजी की पहली यात्रा के दौरान, धमतरी के जमींदार बाजीराव कृदंत ने स्थानीय लोगों की ओर से तिलक स्वराज्य फंड में 5011 रुपये का दान दिया था।"
"Arrange the following major events of the freedom struggle in Chhattisgarh in chronological order:\n\n1. Kandel Canal Satyagraha\n2. Mahatma Gandhi's first visit to Chhattisgarh\n3. Nagari Sihawa Jungle Satyagraha\n4. Raipur Political Council Session\n\nChoose the correct code:","छत्तीसगढ़ में स्वतंत्रता संग्राम की निम्नलिखित प्रमुख घटनाओं को कालक्रमानुसार व्यवस्थित कीजिए:\n\n1. कंडेल नहर सत्याग्रह\n2. महात्मा गांधी की पहली छत्तीसगढ़ यात्रा\n3. नगरी सिहावा जंगल सत्याग्रह\n4. रायपुर प्रांतीय राजनीतिक परिषद का अधिवेशन\n\nसही कूट का चयन कीजिए:","1-2-3-4","1-2-3-4","2-1-4-3","2-1-4-3","1-3-2-4","1-3-2-4","2-3-1-4","2-3-1-4",1,"Chronology: Kandel Canal Satyagraha (July 1920), Gandhi's first visit (20 Dec 1920), Nagari Sihawa Jungle Satyagraha (Jan 1922), and Raipur Political Council Session (23 March 1922).","सही क्रम है: कंडेल नहर सत्याग्रह (जुलाई 1920), गांधीजी की पहली यात्रा (20 दिसंबर 1920), नगरी सिहावा जंगल सत्याग्रह (जनवरी 1922), और रायपुर प्रांतीय राजनीतिक परिषद अधिवेशन (23 मार्च 1922)।"
"Who accompanied Mahatma Gandhi from Calcutta to Raipur during his first visit to Chhattisgarh on 20th December 1920?","20 दिसंबर 1920 को छत्तीसगढ़ की अपनी पहली यात्रा के दौरान कलकत्ता से रायपुर तक महात्मा गांधी के साथ कौन आया था?","Maulana Azad","मौलाना आजाद","Maulana Shaukat Ali","मौलाना शौकत अली","Seth Jamnalal Bajaj","सेठ जमनालाल बजाज","C. Rajagopalachari","सी. राजगोपालाचारी",2,"Maulana Shaukat Ali accompanied Mahatma Gandhi during his first visit to Chhattisgarh on 20 December 1920 to mobilize support for the Khilafat and Non-Cooperation Movement.","खिलाफत और असहयोग आंदोलन के लिए समर्थन जुटाने के उद्देश्य से 20 दिसंबर 1920 को छत्तीसगढ़ की पहली यात्रा के दौरान मौलाना शौकत अली महात्मा गांधी के साथ आए थे।"
