Quiz Title: Kalchuri Economy, Religion, Art & Architecture
Quiz Title (Hindi): कलचुरी अर्थव्यवस्था, धर्म, कला और वास्तुकला
Quiz Description: This advanced quiz meticulously examines the socio-economic, religious, and architectural dimensions of the Kalchuri era in Chhattisgarh. It covers land measurement (Hal), revenue systems, literature, temple construction, and the cultural zenith of the Ratanpur and Raipur branches, strictly adhering to CGPSC Prelims standards.
Quiz Description (Hindi): यह उन्नत क्विज़ छत्तीसगढ़ में कलचुरी युग के सामाजिक-आर्थिक, धार्मिक और स्थापत्य आयामों का सावधानीपूर्वक परीक्षण करता है। यह भूमि माप (हल), राजस्व प्रणाली, साहित्य, मंदिर निर्माण और रतनपुर तथा रायपुर शाखाओं के सांस्कृतिक चरमोत्कर्ष को कवर करता है, जो सीजीपीएससी प्रारंभिक परीक्षा मानकों का कड़ाई से पालन करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"In the agrarian economy of the Kalchuris of Dakshin Kosala, the primary unit used for land measurement and revenue assessment was known as 'Hal' (Plough). What exactly did one 'Hal' represent?","दक्षिण कोसल के कलचुरियों की कृषि अर्थव्यवस्था में, भूमि माप और राजस्व मूल्यांकन के लिए उपयोग की जाने वाली प्राथमिक इकाई को 'हल' के रूप में जाना जाता था। एक 'हल' वास्तव में क्या दर्शाता था?","A fixed 10-acre plot of completely irrigated land.","सिंचित भूमि का एक निश्चित 10 एकड़ का भूखंड।","The amount of land that could be ploughed by a single pair of bullocks in one day (approx. 5 acres).","एक दिन में बैलों की एक ही जोड़ी द्वारा जोती जा सकने वाली भूमि की मात्रा (लगभग 5 एकड़)।","A specific gold coin used exclusively for agricultural trade.","कृषि व्यापार के लिए विशेष रूप से उपयोग किया जाने वाला एक विशिष्ट सोने का सिक्का।","A fixed tax levied strictly on the use of state-owned irrigation canals.","राज्य के स्वामित्व वाली सिंचाई नहरों के उपयोग पर कड़ाई से लगाया गया एक निश्चित कर।","2","During the Kalchuri period, land was traditionally measured using the 'Hal' system rather than modern standard units. Historically, one Hal represented the area a single pair of bullocks could plough in a day, which was approximately 5 acres.","कलचुरी काल के दौरान, भूमि को आधुनिक मानक इकाइयों के बजाय पारंपरिक रूप से 'हल' प्रणाली का उपयोग करके मापा जाता था। ऐतिहासिक रूप से, एक हल उस क्षेत्र का प्रतिनिधित्व करता था जिसे एक दिन में बैलों की एक जोड़ी जोत सकती थी, जो लगभग 5 एकड़ था।"
"During the Kalchuri rule, local urban markets or trade centers, where agricultural goods were sold and commercial taxes were systematically assessed, were officially referred to as:","कलचुरी शासन के दौरान, स्थानीय शहरी बाजार या व्यापार केंद्र, जहां कृषि वस्तुएं बेची जाती थीं और वाणिज्यिक करों का व्यवस्थित रूप से मूल्यांकन किया जाता था, को आधिकारिक तौर पर क्या कहा जाता था?","Shreni","श्रेणी","Agrahara","अग्रहार","Mandapika","मंडपिका","Nigam","निगम","3","Historical texts and inscriptions confirm that in Kalchuri towns and large villages, the market square or bazaar was officially known as 'Mandapika' (the origin of the modern word Mandi). It was the primary hub for assessing commercial trade taxes.","ऐतिहासिक ग्रंथों और शिलालेखों से पुष्टि होती है कि कलचुरी कस्बों और बड़े गांवों में, बाजार चौक या बाजार को आधिकारिक तौर पर 'मंडपिका' (आधुनिक शब्द मंडी की उत्पत्ति) के रूप में जाना जाता था। यह वाणिज्यिक व्यापार करों के आकलन का प्राथमिक केंद्र था।"
"The term 'Lawa-Bata', which was a prominent socio-economic practice among the rural farming communities during the Kalchuri and Maratha periods, refers to:","'लावा-बाटा' शब्द, जो कलचुरी और मराठा काल के दौरान ग्रामीण कृषक समुदायों के बीच एक प्रमुख सामाजिक-आर्थिक प्रथा थी, किसे संदर्भित करता है?","A mutual seed-sharing and cooperative farming system among villagers.","ग्रामीणों के बीच एक आपसी बीज-साझाकरण और सहकारी खेती प्रणाली।","A forced labor tax imposed exclusively on the untouchable castes.","विशेष रूप से अछूत जातियों पर लगाया गया एक मजबूर श्रम कर।","The royal decree regarding the mandatory collection of forest produce.","वनोपज के अनिवार्य संग्रह के संबंध में शाही फरमान।","A specialized military tax collected only during wartime.","युद्धकाल के दौरान ही एकत्र किया जाने वाला एक विशेष सैन्य कर।","1","According to historical economic records (Dr. Ramkumar Behar), 'Lawa-Bata' was an indigenous, mutual agricultural cooperative system. Farmers lacking seeds would borrow them from wealthier peers and return them with a mutually agreed share of the harvest.","ऐतिहासिक आर्थिक अभिलेखों (डॉ. रामकुमार बेहार) के अनुसार, 'लावा-बाटा' एक स्वदेशी, आपसी कृषि सहकारी प्रणाली थी। जिन किसानों के पास बीज नहीं होते थे, वे उन्हें अमीर साथियों से उधार लेते थे और फसल के पारस्परिक रूप से सहमत हिस्से के साथ उन्हें वापस कर देते थे।"
"Consider the following statements regarding the religious practices of the Kalchuri dynasty of Ratanpur:

1. The Kalchuri rulers were devout Vaishnavites and explicitly used the phrase 'Om Namo Narayanaya' to begin all their official copper plates.
2. Their official royal emblem (Kuldevi) was Gajalakshmi, whose image was routinely carved on temple gateways and coins.

Choose the correct answer:","रतनपुर के कलचुरी राजवंश की धार्मिक प्रथाओं के संबंध में निम्नलिखित कथनों पर विचार करें:

1. कलचुरी शासक पक्के वैष्णव थे और उन्होंने अपने सभी आधिकारिक ताम्रपत्रों को शुरू करने के लिए 'ओम नमो नारायणाय' वाक्यांश का स्पष्ट रूप से उपयोग किया था।
2. उनका आधिकारिक शाही प्रतीक (कुलदेवी) गजशार्दूल नहीं बल्कि गजलक्ष्मी थी, जिनकी छवि नियमित रूप से मंदिर के प्रवेश द्वारों और सिक्कों पर उकेरी जाती थी।

सही उत्तर चुनें:","Only 1 is correct","केवल 1 सही है","Only 2 is correct","केवल 2 सही है","Both 1 and 2 are correct","1 और 2 दोनों सही हैं","Neither 1 nor 2 is correct","न तो 1 और न ही 2 सही है","2","Statement 1 is completely false because the Kalchuris were staunch Shaivites (Param Maheshwars) and their inscriptions always began with 'Om Namah Shivaya'. Statement 2 is true; their Kuldevi was Gajalakshmi, prominently featured on their monuments.","कथन 1 पूरी तरह से गलत है क्योंकि कलचुरी पक्के शैव (परम महेश्वर) थे और उनके शिलालेख हमेशा 'ओम नमः शिवाय' से शुरू होते थे। कथन 2 सत्य है; उनकी कुलदेवी गजलक्ष्मी थीं, जिन्हें उनके स्मारकों पर प्रमुखता से प्रदर्शित किया गया था।"
"The highly revered Mahamaya Temple of Ratanpur, which stands as a major architectural centerpiece of the Shakta cult in Chhattisgarh, was originally constructed during the reign of which Kalchuri king?","रतनपुर का अत्यधिक पूजनीय महामाया मंदिर, जो छत्तीसगढ़ में शाक्त संप्रदाय के एक प्रमुख स्थापत्य केंद्र के रूप में खड़ा है, मूल रूप से किस कलचुरी राजा के शासनकाल में बनाया गया था?","Kalingraja","कलिंगराज","Ratnadeva I","रत्नदेव प्रथम","Prithvideva I","पृथ्वीदेव प्रथम","Jajalladeva I","जाजल्लदेव प्रथम","2","King Ratnadeva I, after founding the new capital of Ratanpur around 1045-1065 AD, commissioned the construction of the grand Mahamaya Temple there, dedicating it to the goddess Mahamaya (a form of Durga/Lakshmi).","राजा रत्नदेव प्रथम ने 1045-1065 ई. के आसपास रतनपुर की नई राजधानी की स्थापना के बाद, वहां भव्य महामाया मंदिर के निर्माण का आदेश दिया, जिसे देवी महामाया (दुर्गा/लक्ष्मी का एक रूप) को समर्पित किया गया।"
"Which prominent Kalchuri ruler formally established the city of Janjgir and commissioned the construction of an exquisite, yet incomplete, Vishnu temple locally known today as the 'Nakta Mandir'?","किस प्रमुख कलचुरी शासक ने औपचारिक रूप से जांजगीर शहर की स्थापना की और एक उत्कृष्ट, लेकिन अधूरे, विष्णु मंदिर का निर्माण करवाया जिसे आज स्थानीय रूप से 'नकटा मंदिर' के रूप में जाना जाता है?","Ratnadeva I","रत्नदेव प्रथम","Prithvideva II","पृथ्वीदेव द्वितीय","Jajalladeva I","जाजल्लदेव प्रथम","Ratnadeva III","रत्नदेव तृतीय","3","Jajalladeva I (1090-1120 AD) founded the city of 'Jajallapur' (modern Janjgir). To demonstrate religious tolerance despite being a Shaivite, he began constructing a massive Vishnu temple there, which remained incomplete and devoid of a Shikhara (Nakta Mandir).","जाजल्लदेव प्रथम (1090-1120 ई.) ने 'जाजल्लपुर' (आधुनिक जांजगीर) शहर की स्थापना की। शैव होने के बावजूद धार्मिक सहिष्णुता प्रदर्शित करने के लिए, उन्होंने वहां एक विशाल विष्णु मंदिर का निर्माण शुरू किया, जो अधूरा रहा और बिना शिखर का (नकटा मंदिर) रहा।"
"Assertion (A): The ancient Shiva temple located in Pali (Korba) was extensively renovated by the Kalchuri ruler Jajalladeva I.

Reason (R): The temple was originally constructed by the early Kalchuri king Kalingraja but had suffered severe structural damage over time.

Choose the correct code:","कथन (A): पाली (कोरबा) में स्थित प्राचीन शिव मंदिर का कलचुरी शासक जाजल्लदेव प्रथम द्वारा बड़े पैमाने पर जीर्णोद्धार किया गया था।

कारण (R): मंदिर का निर्माण मूल रूप से प्रारंभिक कलचुरी राजा कलिंगराज द्वारा किया गया था, लेकिन समय के साथ इसे गंभीर संरचनात्मक क्षति हुई थी।

सही कूट चुनें:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","3","The Assertion is true as Jajalladeva I's inscriptions are found on the temple confirming his renovations. However, the Reason is completely false because the temple was originally built by King Vikramaditya of the Bana dynasty in the 9th century.","कथन सत्य है क्योंकि मंदिर पर जाजल्लदेव प्रथम के शिलालेख पाए जाते हैं जो उनके जीर्णोद्धार की पुष्टि करते हैं। हालाँकि, कारण पूरी तरह से गलत है क्योंकि मंदिर मूल रूप से 9वीं शताब्दी में बाण वंश के राजा विक्रमादित्य द्वारा बनाया गया था।"
"The famous Rajiv Lochan temple in Rajim underwent significant renovation and expansion during the Kalchuri period. This vital restoration was carried out by the military commander Jagatpal during the reign of:","राजिम में प्रसिद्ध राजीव लोचन मंदिर का कलचुरी काल के दौरान महत्वपूर्ण जीर्णोद्धार और विस्तार हुआ। यह महत्वपूर्ण जीर्णोद्धार सैन्य कमांडर जगतपाल द्वारा किसके शासनकाल में किया गया था?","Prithvideva I","पृथ्वीदेव प्रथम","Ratnadeva II","रत्नदेव द्वितीय","Prithvideva II","पृथ्वीदेव द्वितीय","Jajalladeva II","जाजल्लदेव द्वितीय","3","The Rajim stone inscription of 1145 AD explicitly records that Commander Jagatpal (Jagpal), serving under the glorious reign of Prithvideva II, successfully conquered southern territories and extensively renovated the ancient Rajiv Lochan Vishnu temple.","1145 ई. का राजिम प्रस्तर शिलालेख स्पष्ट रूप से दर्ज करता है कि पृथ्वीदेव द्वितीय के गौरवशाली शासनकाल में सेवारत कमांडर जगतपाल (जगपाल) ने दक्षिणी क्षेत्रों पर सफलतापूर्वक विजय प्राप्त की और प्राचीन राजीव लोचन विष्णु मंदिर का बड़े पैमाने पर जीर्णोद्धार किया।"
"According to the Kharod stone inscription, the ancient Lakshmaneshwar temple was structurally renovated, and a Mandapa was added by Gangadhar. Gangadhar served as the Prime Minister of which Kalchuri king?","खरौद के शिलालेख के अनुसार, प्राचीन लक्ष्मेश्वर मंदिर का संरचनात्मक रूप से जीर्णोद्धार किया गया था, और गंगाधर द्वारा एक मंडप जोड़ा गया था। गंगाधर ने किस कलचुरी राजा के प्रधान मंत्री के रूप में कार्य किया था?","Prithvideva II","पृथ्वीदेव द्वितीय","Jajalladeva II","जाजल्लदेव द्वितीय","Ratnadeva III","रत्नदेव तृतीय","Pratapmalla","प्रतापमल्ल","3","Gangadhar was a highly capable Brahmin minister who managed the disorganized state affairs during the reign of Ratnadeva III. The 1181 AD Kharod inscription details his numerous architectural and religious contributions, including the Lakshmaneshwar temple renovation.","गंगाधर एक अत्यधिक सक्षम ब्राह्मण मंत्री थे जिन्होंने रत्नदेव तृतीय के शासनकाल के दौरान असंगठित राज्य के मामलों का प्रबंधन किया था। 1181 ई. का खरौद शिलालेख उनके कई स्थापत्य और धार्मिक योगदानों का विवरण देता है, जिसमें लक्ष्मेश्वर मंदिर का जीर्णोद्धार भी शामिल है।"
"The 1415 AD Khallari stone inscription uniquely highlights the social harmony of the Kalchuri era by recording the construction of a Narayan (Vishnu) temple by a shoemaker named 'Devpal'. This occurred during the reign of:","1415 ई. का खल्लारी प्रस्तर शिलालेख 'देवपाल' नामक एक चर्मकार द्वारा नारायण (विष्णु) मंदिर के निर्माण को दर्ज करके कलचुरी युग के सामाजिक सद्भाव को विशिष्ट रूप से उजागर करता है। यह किसके शासनकाल में हुआ था?","Ramchandra Dev","रामचंद्र देव","Brahmadev Rai","ब्रह्मदेव राय","Amarsingh Deo","अमरसिंह देव","Jait Singh","जैत सिंह","2","The Khallari inscription clearly belongs to the reign of the Raipur (Lahuri) branch king Brahmadev Rai. It provides a striking example of religious tolerance and social inclusivity, where a lower-caste Shudra individual (Devpal Mochi) freely built a major temple.","खल्लारी शिलालेख स्पष्ट रूप से रायपुर (लहुरी) शाखा के राजा ब्रह्मदेव राय के शासनकाल का है। यह धार्मिक सहिष्णुता और सामाजिक समावेशिता का एक ज्वलंत उदाहरण प्रदान करता है, जहां एक निचली जाति के शूद्र व्यक्ति (देवपाल मोची) ने स्वतंत्र रूप से एक प्रमुख मंदिर का निर्माण किया था।"
