tOPIC - JUNE 2026 Chhattisgarh Current Affairs June 2026 Part-3
छत्तीसगढ़ करेंट अफेयर्स जून 2026 भाग-3
Evaluate your CGPSC Prelims readiness with the final installment of the June 2026 Chhattisgarh current affairs series. This master quiz tests applied knowledge of state policies, tribal schemes, and administrative updates.
जून 2026 छत्तीसगढ़ करेंट अफेयर्स श्रृंखला की इस अंतिम किस्त के साथ अपनी सीजीपीएससी प्रारंभिक परीक्षा की तैयारी का मूल्यांकन करें। यह मास्टर क्विज़ राज्य की नीतियों, आदिवासी योजनाओं और प्रशासनिक अपडेट के आपके व्यावहारिक ज्ञान का परीक्षण करता है।
"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"The state government recently approved the development of new industrial parks (manufacturing clusters) in four districts. Which of the following is NOT one of them?","राज्य सरकार ने हाल ही में चार जिलों में नए औद्योगिक पार्कों (मैन्युफैक्चरिंग क्लस्टर) के विकास को मंजूरी दी है। निम्नलिखित में से कौन सा उनमें से एक नहीं है?","Rajnandgaon","राजनांदगांव","Dhamtari","धमतरी","Janjgir-Champa","जांजगीर-चांपा","Surguja","सरगुजा","4","The state cabinet approved the establishment of 4 new industrial parks (manufacturing clusters) to boost local manufacturing in Rajnandgaon, Dhamtari, Janjgir-Champa, and Bastar. Surguja is not among the selected districts.","राज्य मंत्रिमंडल ने स्थानीय विनिर्माण को बढ़ावा देने के लिए राजनांदगांव, धमतरी, जांजगीर-चांपा और बस्तर में 4 नए औद्योगिक पार्कों (मैन्युफैक्चरिंग क्लस्टर) की स्थापना को मंजूरी दी। सरगुजा चयनित जिलों में नहीं है।"
"Based on the Sports Department's decision, where is the state's first 'Swimming Day-Boarding Center' being established to provide scientific training and diet to selected players?","खेल विभाग के निर्णय के आधार पर, चयनित खिलाड़ियों को वैज्ञानिक प्रशिक्षण और आहार प्रदान करने के लिए राज्य का पहला 'तैयारी डे-बोर्डिंग सेंटर' कहाँ स्थापित किया जा रहा है?","Bilaspur","बिलासपुर","Raipur","रायपुर","Durg","दुर्ग","Rajnandgaon","राजनांदगांव","2","Following the success of CG swimmers at the Khelo India Tribal Games, the state's first Swimming Day-Boarding Center is being established at the International Swimming Pool in Raipur to provide scientific coaching and diet.","खेलो इंडिया ट्राइबल गेम्स में छ.ग. के तैराकों की सफलता के बाद, वैज्ञानिक कोचिंग और आहार प्रदान करने के लिए रायपुर के अंतर्राष्ट्रीय स्विमिंग पूल में राज्य का पहला तैराकी डे-बोर्डिंग सेंटर स्थापित किया जा रहा है।"
"According to the Home Ministry, the Netanar camp in Jagdalpur is the country's first security camp to be converted into a 'Jan Suvidha Kendra' after the eradication of LWE. What is it officially named?","गृह मंत्रालय के अनुसार, जगदलपुर में नेतानार कैंप वामपंथी उग्रवाद के उन्मूलन के बाद 'जन सुविधा केंद्र' में परिवर्तित होने वाला देश का पहला सुरक्षा कैंप है। इसका आधिकारिक नाम क्या रखा गया है?","Shaheed Veer Gundadhur Seva Dera Kendra","शहीद वीर गुंडाधुर सेवा डेरा केंद्र","Shaheed Mahendra Karma Suvidha Kendra","शहीद महेंद्र कर्मा सुविधा केंद्र","Bastar Shanti aur Vikas Kendra","बस्तर शांति और विकास केंद्र","Shaheed Veer Narayan Singh Jan Dera","शहीद वीर नारायण सिंह जन डेरा","1","The Netanar camp in Jagdalpur (Bastar) has made history as the first security camp to be converted into a public utility center post-Naxalism. It is officially named 'Shaheed Veer Gundadhur Seva Dera Kendra'.","जगदलपुर (बस्तर) में नेतानार कैंप नक्सलवाद के बाद जनोपयोगी केंद्र में परिवर्तित होने वाला पहला सुरक्षा कैंप बनकर इतिहास रच चुका है। इसका आधिकारिक नाम 'शहीद वीर गुंडाधुर सेवा डेरा केंद्र' रखा गया है।"
"In 2026, the process of securing GI tags was initiated for three traditional products: 'Peela Kosra' (Ark), 'Kala Kosra', and 'Tikhur'. Which district and specific region do they belong to?","2026 में, तीन पारंपरिक उत्पादों: 'पीला कोसरा' (आर्क), 'काला कोसरा' और 'तीखुर' के लिए जीआई टैग प्राप्त करने की प्रक्रिया शुरू की गई थी। वे किस जिले और विशिष्ट क्षेत्र से संबंधित हैं?","Jashpur (Sanna)","जशपुर (सन्ना)","Narayanpur (Abujhmad)","नारायणपुर (अबूझमाड़)","Bastar (Lohandiguda)","बस्तर (लोहंडीगुड़ा)","Dantewada (Katakalyan)","दंतेवाड़ा (कटेकल्याण)","2","The Indira Gandhi Agricultural University initiated the GI tag registration process for three rare medicinal and agricultural products—Peela Kosra, Kala Kosra, and Tikhur—which exclusively belong to the Abujhmad region of Narayanpur district.","इंदिरा गांधी कृषि विश्वविद्यालय ने तीन दुर्लभ औषधीय और कृषि उत्पादों—पीला कोसरा, काला कोसरा और तीखुर—के लिए जीआई टैग पंजीकरण प्रक्रिया शुरू की, जो विशेष रूप से नारायणपुर जिले के अबूझमाड़ क्षेत्र से संबंधित हैं।"
"The story of an exceptional human-wildlife bond featuring a crocodile that lived peacefully among villagers for over 130 years has been included in the NCERT syllabus. What was the crocodile's name and which district did it belong to?","130 से अधिक वर्षों तक ग्रामीणों के बीच शांतिपूर्वक रहने वाले एक मगरमच्छ की असाधारण मानव-वन्यजीव बंधन की कहानी को NCERT पाठ्यक्रम में शामिल किया गया है। मगरमच्छ का नाम क्या था और वह किस जिले का था?","Bholaram (Bemetara)","भोलाराम (बेमेतरा)","Gangaram (Bemetara)","गंगाराम (बेमेतरा)","Bholaram (Mungeli)","भोलाराम (मुंगेली)","Gangaram (Mungeli)","गंगाराम (मुंगेली)","2","The story of 'Crocodile Gangaram', who lived peacefully in a village pond in Bawa Mohtara (Bemetara district) until its death in 2019, has been officially included in the NCERT syllabus to teach human-animal coexistence.","2019 में अपनी मृत्यु तक बावा मोहतरा (बेमेतरा जिले) के एक गांव के तालाब में शांतिपूर्वक रहने वाले 'मगरमच्छ गंगाराम' की कहानी को मानव-पशु सह-अस्तित्व सिखाने के लिए आधिकारिक तौर पर NCERT पाठ्यक्रम में शामिल किया गया है।"
"To promote environmental conservation, the Chief Minister flagged off a mobile 'Tree ATM' from the Bagiya helipad. In which district was this unique initiative launched?","पर्यावरण संरक्षण को बढ़ावा देने के लिए, मुख्यमंत्री ने बगिया हेलीपैड से एक मोबाइल 'ट्री एटीएम' को हरी झंडी दिखाई। यह अनूठी पहल किस जिले में शुरू की गई थी?","Surguja","सरगुजा","Jashpur","जशपुर","Balrampur","बलरामपुर","Koriya","कोरिया","2","The 'Tree ATM' is a mobile initiative launched by the CM from the Bagiya helipad in Jashpur district. It aims to easily distribute saplings and create widespread environmental awareness among the locals.","'ट्री एटीएम' जशपुर जिले के बगिया हेलीपैड से मुख्यमंत्री द्वारा शुरू की गई एक मोबाइल पहल है। इसका उद्देश्य आसानी से पौधे वितरित करना और स्थानीय लोगों के बीच व्यापक पर्यावरण जागरूकता पैदा करना है।"
"For the first time, Chhattisgarh is selecting a 'State Butterfly'. An expert committee has shortlisted three species for the final race. Which of the following is NOT in the shortlist?","पहली बार छत्तीसगढ़ 'राजकीय तितली' का चयन कर रहा है। एक विशेषज्ञ समिति ने अंतिम दौड़ के लिए तीन प्रजातियों को शॉर्टलिस्ट किया है। निम्नलिखित में से कौन शॉर्टलिस्ट में नहीं है?","Common Banded Peacock","कॉमन बेंडेड पीकॉक","Spot Swordtail","स्पॉट स्वॉर्डटेल","Orange Oakleaf","ऑरेंज ओकलिफ","Blue Mormon","ब्लू मॉर्मन","4","The expert committee has shortlisted three species for the State Butterfly tag: Common Banded Peacock, Spot Swordtail, and Orange Oakleaf. Blue Mormon is incorrect as it is the state butterfly of Maharashtra.","विशेषज्ञ समिति ने राज्य तितली टैग के लिए तीन प्रजातियों को शॉर्टलिस्ट किया है: कॉमन बेंडेड पीकॉक, स्पॉट स्वॉर्डटेल और ऑरेंज ओकलिफ। ब्लू मॉर्मन गलत है क्योंकि यह महाराष्ट्र की राज्य तितली है।"
"Consider the following statements regarding the 'Chhattisgarh Janjatiya Home Stay Yojana 2026':\n\n1. It covers 50 villages across 7 districts in the Bastar and Surguja divisions.\n\n2. It provides a loan of up to ₹1 lakh per room to villagers for developing homestays.\n\n3. The scheme specifically excludes PVTGs like Baiga and Pahari Korwa.\n\nChoose the correct answer:","'छत्तीसगढ़ जनजातीय होम स्टे योजना 2026' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसमें बस्तर और सरगुजा संभाग के 7 जिलों के 50 गांव शामिल हैं।\n\n2. यह ग्रामीणों को होम स्टे विकसित करने के लिए प्रति कमरा ₹1 लाख तक का ऋण प्रदान करता है।\n\n3. यह योजना विशेष रूप से बैगा और पहाड़ी कोरवा जैसे PVTG को बाहर रखती है।\n\nसही उत्तर चुनिए:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are true. The scheme provides a ₹1 Lakh loan per room for tribal homestays in 50 villages. Statement 3 is false because PVTGs like Baiga and Pahari Korwa are explicitly included to empower them economically.","कथन 1 और 2 सत्य हैं। यह योजना 50 गांवों में आदिवासी होम स्टे के लिए प्रति कमरा ₹1 लाख का ऋण प्रदान करती है। कथन 3 गलत है क्योंकि बैगा और पहाड़ी कोरवा जैसे PVTGs को आर्थिक रूप से सशक्त बनाने के लिए स्पष्ट रूप से शामिल किया गया है।"
"Under Section 5(1) of the Chhattisgarh Municipalities Act 1961, the state government recently upgraded the 'Kota' Nagar Panchayat to the status of a Nagar Palika. In which district is it located?","छत्तीसगढ़ नगर पालिका अधिनियम 1961 की धारा 5(1) के तहत, राज्य सरकार ने हाल ही में 'कोटा' नगर पंचायत को नगर पालिका के दर्जे में अपग्रेड किया है। यह किस जिले में स्थित है?","Mungeli","मुंगेली","Bilaspur","बिलासपुर","Gaurela-Pendra-Marwahi","गौरेला-पेंड्रा-मरवाही","Korba","कोरबा","2","Using its powers under the CG Municipalities Act, the state government officially upgraded the Kota Nagar Panchayat into a Nagar Palika Parishad. Kota is geographically located in the Bilaspur district.","छ.ग. नगर पालिका अधिनियम के तहत अपनी शक्तियों का उपयोग करते हुए, राज्य सरकार ने आधिकारिक तौर पर कोटा नगर पंचायत को नगर पालिका परिषद में अपग्रेड किया। कोटा भौगोलिक रूप से बिलासपुर जिले में स्थित है।"
"18-year-old sports sensation Raunak Chouhan from Raipur recently made history by defeating World No. 6 Chou Tien Chen at the US Open Super 300 tournament in 2026. Which sport is he associated with?","रायपुर के 18 वर्षीय खेल सनसनी रौनक चौहान ने हाल ही में 2026 में यूएस ओपन सुपर 300 टूर्नामेंट में विश्व के नंबर 6 चोउ तिएन चेन को हराकर इतिहास रच दिया। वह किस खेल से जुड़े हैं?","Squash","स्क्वैश","Table Tennis","टेबल टेनिस","Badminton","बैडमिंटन","Tennis","टेनिस","3","Raunak Chouhan, an 18-year-old rising sports star from Raipur, is a badminton player. He achieved an international breakthrough by defeating World No. 6 Chou Tien Chen at the US Open Super 300 Badminton Tournament.","रायपुर के 18 वर्षीय उभरते खेल सितारे रौनक चौहान बैडमिंटन खिलाड़ी हैं। उन्होंने यूएस ओपन सुपर 300 बैडमिंटन टूर्नामेंट में विश्व के नंबर 6 चोउ तिएन चेन को हराकर अंतरराष्ट्रीय स्तर पर सफलता हासिल की।"
"Who has been appointed as the new Inspector General of Police (IG) for the Naxal-affected Bastar Range (Jagdalpur) in 2026, replacing P. Sundar Raj?","2026 में पी. सुंदर राज के स्थान पर नक्सल प्रभावित बस्तर रेंज (जगदलपुर) के लिए पुलिस के नए महानिरीक्षक (IG) के रूप में किसे नियुक्त किया गया है?","Badri Narayan Meena","बद्री नारायण मीणा","Arun Dev Gautam","अरुण देव गौतम","Sanjeev Shukla","संजीव शुक्ला","Santosh Singh","संतोष सिंह","1","Senior IPS officer Badri Narayan Meena has been appointed as the new IG of the Bastar Range, taking charge in Jagdalpur. He replaces P. Sundar Raj, who was transferred to the NIA.","वरिष्ठ आईपीएस अधिकारी बद्री नारायण मीणा को बस्तर रेंज का नया आईजी नियुक्त किया गया है, जिन्होंने जगदलपुर में कार्यभार संभाला है। उन्होंने पी. सुंदर राज की जगह ली है, जिनका एनआईए में तबादला कर दिया गया।"
