Quiz Title (English): Chhattisgarh Current Affairs (April 2026) Part 1
Quiz Title (Hindi): छत्तीसगढ़ समसामयिकी (अप्रैल 2026) भाग 1
Quiz Description (English): Elevate your CGPSC Prelims preparation with Part 1 of the comprehensive April 2026 Chhattisgarh Current Affairs quiz. This examiner-aligned set tests your precision on the Khelo India Tribal Games, newly launched administrative campaigns, wildlife discoveries, and dynamic state metrics.
Quiz Description (Hindi): अप्रैल 2026 छत्तीसगढ़ करेंट अफेयर्स क्विज़ के भाग 1 के साथ अपनी सीजीपीएससी प्रारंभिक परीक्षा की तैयारी को सुदृढ़ करें। यह परीक्षक-संरेखित सेट खेलो इंडिया ट्राइबल गेम्स, नए प्रशासनिक अभियानों, वन्यजीव खोजों और गतिशील राज्य मेट्रिक्स पर आपकी सटीकता का परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the first 'Khelo India Tribal Games 2026' hosted by Chhattisgarh:\n\n1. It was organized from 25 March to 3 April 2026 across Raipur, Jagdalpur, and Ambikapur.\n\n2. The official mascot of the games was 'Morveer', symbolizing courage.\n\n3. Chhattisgarh secured the 3rd position in the overall medal tally with 19 medals.\n\nWhich of the statements given above is/are correct?","छत्तीसगढ़ द्वारा आयोजित पहले 'खेलो इंडिया ट्राइबल गेम्स 2026' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. इसका आयोजन 25 मार्च से 3 अप्रैल 2026 तक रायपुर, जगदलपुर और अंबिकापुर में किया गया था।\n\n2. खेलों का आधिकारिक शुभंकर 'मोरवीर' था, जो साहस का प्रतीक है।\n\n3. छत्तीसगढ़ ने 19 पदकों के साथ समग्र पदक तालिका में तीसरा स्थान हासिल किया।\n\nउपर्युक्त कथनों में से कौन-सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","1","Statements 1 and 2 are correct. Statement 3 is incorrect because Chhattisgarh secured the 9th position in the overall medal tally with 3 Gold, 10 Silver, and 6 Bronze medals (19 total). Karnataka secured the 1st position.","कथन 1 और 2 सही हैं। कथन 3 गलत है क्योंकि छत्तीसगढ़ ने 3 स्वर्ण, 10 रजत और 6 कांस्य पदक (कुल 19) के साथ समग्र पदक तालिका में 9वां स्थान हासिल किया। कर्नाटक ने प्रथम स्थान प्राप्त किया।"
"In the Khelo India Tribal Games 2026, Nikita Taram won Chhattisgarh's first gold medal. In which weight category of weightlifting did she achieve this feat?","खेलो इंडिया ट्राइबल गेम्स 2026 में, निकिता तारम ने छत्तीसगढ़ का पहला स्वर्ण पदक जीता। उन्होंने भारोत्तोलन की किस भार वर्ग श्रेणी में यह उपलब्धि हासिल की?","53 kg category","53 किग्रा श्रेणी","77 kg category","77 किग्रा श्रेणी","86 kg category","86 किग्रा श्रेणी","110 kg category","110 किग्रा श्रेणी","2","Nikita Taram opened Chhattisgarh's gold medal account at the Khelo India Tribal Games by winning gold in the women's 77 kg weightlifting category, lifting a total of 160 kg.","निकिता तारम ने महिलाओं के 77 किग्रा भारोत्तोलन वर्ग में कुल 160 किग्रा वजन उठाकर खेलो इंडिया ट्राइबल गेम्स में छत्तीसगढ़ का पहला स्वर्ण पदक जीता।"
"Assertion (A): The state government launched the 'Bastar Munne' campaign in April 2026 to ensure 100% saturation of basic amenities in Maoist-affected villages.\n\nReason (R): The Gondi term 'Bastar Munne' literally translates to 'Good Village'.\n\nCodes:","कथन (A): राज्य सरकार ने माओवाद प्रभावित गांवों में बुनियादी सुविधाओं की 100% संतृप्ति सुनिश्चित करने के लिए अप्रैल 2026 में 'बस्तर मुन्ने' अभियान शुरू किया।\n\nकारण (R): गोंडी शब्द 'बस्तर मुन्ने' का शाब्दिक अर्थ 'अच्छा गांव' (Good Village) है।\n\nकूट:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","3","Assertion (A) is correct as the campaign aims to saturate basic amenities via Gram Sabhas. Reason (R) is false because 'Bastar Munne' translates to 'Leading Bastar' (Agrani Bastar), whereas 'Niyad Nellanar' means 'Good Village'.","कथन (A) सही है क्योंकि अभियान का उद्देश्य ग्राम सभाओं के माध्यम से बुनियादी सुविधाओं को संतृप्त करना है। कारण (R) गलत है क्योंकि 'बस्तर मुन्ने' का अर्थ 'अग्रणी बस्तर' है, जबकि 'नियत नेल्लानार' का अर्थ 'अच्छा गांव' है।"
"Who has been appointed as the Chairperson of the special committee constituted by the Chhattisgarh Government to prepare the draft for the Uniform Civil Code (UCC) in the state?","छत्तीसगढ़ सरकार द्वारा राज्य में समान नागरिक संहिता (UCC) का मसौदा तैयार करने के लिए गठित विशेष समिति का अध्यक्ष किसे नियुक्त किया गया है?","Justice T.P. Sharma","जस्टिस टी.पी. शर्मा","Justice Bela M. Trivedi","जस्टिस बेला एम. त्रिवेदी","Justice Ranjana Prakash Desai","जस्टिस रंजना प्रकाश देसाई","Justice Prashant Kumar Mishra","जस्टिस प्रशांत कुमार मिश्रा","3","The Chhattisgarh government has formed a 5-member committee to draft the Uniform Civil Code (UCC), which is headed by retired Justice Ranjana Prakash Desai.","छत्तीसगढ़ सरकार ने समान नागरिक संहिता (UCC) का मसौदा तैयार करने के लिए 5 सदस्यीय समिति का गठन किया है, जिसकी अध्यक्षता सेवानिवृत्त जस्टिस रंजना प्रकाश देसाई कर रही हैं।"
"Consider the following statements regarding the international athlete Sanju Devi:\n\n1. She is an international Kabaddi player hailing from Korba district.\n\n2. She was chosen as the Most Valuable Player (MVP) in the Women's Kabaddi World Cup 2025.\n\n3. The Chhattisgarh government recently awarded her an incentive of Rs 50 Lakh.\n\nWhich of the above statements is/are correct?","अंतरराष्ट्रीय एथलीट संजू देवी के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. वह कोरबा जिले की एक अंतरराष्ट्रीय कबड्डी खिलाड़ी हैं।\n\n2. उन्हें महिला कबड्डी विश्व कप 2025 में मोस्ट वैल्यूएबल प्लेयर (MVP) चुना गया था।\n\n3. छत्तीसगढ़ सरकार ने हाल ही में उन्हें 50 लाख रुपये की प्रोत्साहन राशि से सम्मानित किया है।\n\nउपर्युक्त में से कौन-सा/से कथन सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are completely correct. Sanju Devi from Kera Kachar (Korba) is a star Kabaddi player who was the MVP in the 2025 World Cup and recently received a massive ₹50 lakh incentive from Deputy CM Arun Sao.","सभी कथन पूरी तरह से सही हैं। केरा कछार (कोरबा) की संजू देवी एक स्टार कबड्डी खिलाड़ी हैं, जो 2025 विश्व कप में MVP थीं और हाल ही में उन्हें डिप्टी सीएम अरुण साव से 50 लाख रुपये की भारी प्रोत्साहन राशि मिली है।"
"Under the 'Gyan Bharatam Abhiyan', a 2000-year-old copper plate (Tamrapatra) belonging to Panduvanshi ruler Mahashivgupt Balarjun was found in Malhar. What are the script and language used in its inscriptions?","'ज्ञान भारतम अभियान' के तहत, मल्हार में पांडुवंशीय शासक महाशिवगुप्त बालार्जुन का 2000 वर्ष पुराना ताम्रपत्र मिला है। इसके शिलालेखों में प्रयुक्त लिपि और भाषा क्या है?","Devanagari script and Sanskrit language","देवनागरी लिपि और संस्कृत भाषा","Brahmi script and Pali language","ब्राह्मी लिपि और पाली भाषा","Kharosthi script and Prakrit language","खरोष्ठी लिपि और प्राकृत भाषा","Brahmi script and Odia language","ब्राह्मी लिपि और उड़िया भाषा","2","The 2000-year-old copper plate discovered from the house of Sanjeev Pandey in Malhar features inscriptions precisely engraved in the Brahmi script and Pali language, confirming its ancient origins.","मल्हार में संजीव पांडे के घर से खोजे गए 2000 साल पुराने ताम्रपत्र में ब्राह्मी लिपि और पाली भाषा में सटीक रूप से उकेरे गए शिलालेख हैं, जो इसकी प्राचीन उत्पत्ति की पुष्टि करते हैं।"
"What was the official tagline of the 'Mukhyamantri Swasth Bastar Abhiyan' implemented from 13 April to 12 May 2026?","13 अप्रैल से 12 मई 2026 तक लागू किए गए 'मुख्यमंत्री स्वस्थ बस्तर अभियान' की आधिकारिक टैगलाइन क्या थी?","Swasth Bastar Samriddh Bastar","स्वस्थ बस्तर समृद्ध बस्तर","Hamar Sehat Hamar Adhikar","हमर सेहत हमर अधिकार","Mawa Sehat Mawa Bastar","मावा सेहत मावा बस्तर","Nawa Bastar Nawa Sehat","नवा बस्तर नवा सेहत","3","The intensive door-to-door health screening campaign in the LWE-affected areas of Bastar was operated with the tribal-language tagline 'Mawa Sehat Mawa Bastar' (My Health, My Bastar).","बस्तर के वामपंथी उग्रवाद (LWE) प्रभावित क्षेत्रों में गहन घर-घर स्वास्थ्य जांच अभियान आदिवासी भाषा की टैगलाइन 'मावा सेहत मावा बस्तर' (मेरा स्वास्थ्य, मेरा बस्तर) के साथ संचालित किया गया था।"
"Under the 'Niyad Nellanar Yojana 2.0', the scope was expanded from the original 7 districts of the Bastar division to a total of 10 districts. Which of the following is NOT one of the 3 newly added districts?","'नियत नेल्लानार योजना 2.0' के तहत, इसका दायरा बस्तर संभाग के मूल 7 जिलों से बढ़ाकर कुल 10 जिलों तक कर दिया गया। निम्नलिखित में से कौन 3 नए जोड़े गए जिलों में से एक नहीं है?","Gariaband","गरियाबंद","Khairagarh-Chhuikhadan-Gandai","खैरागढ़-छुईखदान-गंडई","Mohla-Manpur-Ambagarh Chowki","मोहला-मानपुर-अंबागढ़ चौकी","Kabirdham","कबीरधाम","4","The scheme initially covered 7 Bastar districts. The 3 newly added LWE-affected districts in the 2.0 expansion are Gariaband, KCG, and MMA Chowki. Kabirdham was not included.","इस योजना में शुरू में बस्तर के 7 जिले शामिल थे। 2.0 विस्तार में 3 नए जोड़े गए LWE-प्रभावित जिले गरियाबंद, केसीजी (KCG) और एमएमए (MMA) चौकी हैं। कबीरधाम को शामिल नहीं किया गया था।"
"Which of the following statements correctly describes the operational model of the 'Surguja Cheri Bank' pilot project in Lakhanpur block?","निम्नलिखित में से कौन सा कथन लखनपुर ब्लॉक में 'सरगुजा छेरी बैंक' पायलट प्रोजेक्ट के परिचालन मॉडल का सही वर्णन करता है?","Beneficiaries receive a cash loan of ₹50,000 for goat farming and return it in 40 EMIs.","लाभार्थियों को बकरी पालन के लिए ₹50,000 का नकद ऋण मिलता है और वे इसे 40 EMI में वापस करते हैं।","Beneficiaries receive 4 Black Bengal goats as a loan and must return 16 kids (12 female, 4 male) within 40 months.","लाभार्थियों को ऋण के रूप में 4 ब्लैक बंगाल बकरियां मिलती हैं और उन्हें 40 महीनों के भीतर 16 मेमने (12 मादा, 4 नर) वापस करने होते हैं।","Beneficiaries deposit ₹3000 monthly to receive lifetime free veterinary services for their cattle.","लाभार्थी अपने मवेशियों के लिए आजीवन मुफ्त पशु चिकित्सा सेवाएं प्राप्त करने के लिए मासिक ₹3000 जमा करते हैं।","Beneficiaries receive 10 goats for free without any condition of returning offspring.","लाभार्थियों को बिना किसी शर्त के संतान वापस किए 10 बकरियां मुफ्त मिलती हैं।","2","The Surguja Cheri Bank operates on a barter-loan system. Beneficiaries pay a ₹3000 service fee, receive 4 Black Bengal goats, and repay the loan by giving back 16 kids within 40 months.","सरगुजा छेरी बैंक वस्तु विनिमय-ऋण प्रणाली पर काम करता है। लाभार्थी ₹3000 सेवा शुल्क का भुगतान करते हैं, 4 ब्लैक बंगाल बकरियां प्राप्त करते हैं, और 40 महीनों के भीतर 16 मेमने वापस करके ऋण चुकाते हैं।"
"Consider the following statements regarding the 'Mandip Khol Cave':\n\n1. It is geographically located in the Khairagarh-Chhuikhadan-Gandai (KCG) district.\n\n2. The doors of the cave are opened for the general public only once a year on the Monday following Akshaya Tritiya.\n\n3. Devotees have to cross the Shwetganga river 16 times to reach the cave.\n\nWhich of the above is/are correct?","'मंडीप खोल गुफा' के संबंध में निम्नलिखित कथनों पर विचार कीजिए:\n\n1. यह भौगोलिक रूप से खैरागढ़-छुईखदान-गंडई (KCG) जिले में स्थित है।\n\n2. गुफा के दरवाजे आम जनता के लिए साल में केवल एक बार अक्षय तृतीया के बाद आने वाले सोमवार को खोले जाते हैं।\n\n3. गुफा तक पहुंचने के लिए भक्तों को श्वेतगंगा नदी को 16 बार पार करना पड़ता है।\n\nउपर्युक्त में से कौन-सा/से सही है/हैं?","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3","4","All statements are factually correct. The Mandip Khol Cave in KCG is an ancient Shiva cave with a strict tradition of opening only once annually, requiring devotees to cross the Shwetganga river 16 times.","सभी कथन तथ्यात्मक रूप से सही हैं। केसीजी (KCG) में मंडीप खोल गुफा एक प्राचीन शिव गुफा है, जिसकी साल में केवल एक बार खुलने की सख्त परंपरा है, जिसमें भक्तों को श्वेतगंगा नदी को 16 बार पार करने की आवश्यकता होती है।"
