Quiz Title (English)
Quit India Movement: Raipur Dynamite & Conspiracy Cases

Quiz Title (Hindi)
भारत छोड़ो आंदोलन: रायपुर डायनामाइट और षड्यंत्र केस

Quiz Description (English)
Analyze your in-depth knowledge of the Quit India Movement in Chhattisgarh (1942). This quiz stringently tests the Raipur Conspiracy Case, the Raipur Dynamite Case, the Malkanpur arrests, and regional uprisings like the Durg arson and Bilaspur jail protests.

Quiz Description (Hindi)
छत्तीसगढ़ में भारत छोड़ो आंदोलन (1942) पर अपने गहन ज्ञान का विश्लेषण करें। यह क्विज़ रायपुर षड्यंत्र केस, रायपुर डायनामाइट केस, मलकानपुर गिरफ्तारी, और दुर्ग आगजनी व बिलासपुर जेल विरोध जैसे क्षेत्रीय विद्रोहों का कड़ाई से परीक्षण करता है।

"Q(EN)","Q(HI)","OptA(EN)","OptA(HI)","OptB(EN)","OptB(HI)","OptC(EN)","OptC(HI)","OptD(EN)","OptD(HI)","Correct(1-4)","Exp(EN)","Exp(HI)"
"During the Raipur Conspiracy Case (1942) led by Parasram Soni, which individual acted as a police informer, ultimately leading to Soni's arrest?","परसराम सोनी के नेतृत्व वाले रायपुर षड्यंत्र केस (1942) के दौरान, किस व्यक्ति ने पुलिस मुखबिर के रूप में कार्य किया, जिसके कारण अंततः सोनी की गिरफ्तारी हुई?","Avinash Sangram","अविनाश संग्राम","Shivnandan Prasad","शिवनंदन प्रसाद","Motilal Shrivastava","मोतीलाल श्रीवास्तव","Jai Narayan Pandey","जय नारायण पांडेय",2,"Shivnandan Prasad acted as the police informer in the Raipur Conspiracy Case, betraying Parasram Soni. Avinash Sangram was the informer for the separate Raipur Dynamite Case led by Bilakh Narayan Agrawal.","रायपुर षड्यंत्र केस में शिवनंदन प्रसाद ने पुलिस मुखबिर के रूप में कार्य किया और परसराम सोनी को धोखा दिया। अविनाश संग्राम बिलख नारायण अग्रवाल के नेतृत्व वाले अलग रायपुर डायनामाइट केस का मुखबिर था।"
"On 15th July 1942, Parasram Soni was arrested due to an informer's tip-off regarding the manufacturing of explosives. Which police officer executed his arrest?","विस्फोटकों के निर्माण के संबंध में एक मुखबिर की सूचना के कारण 15 जुलाई 1942 को परसराम सोनी को गिरफ्तार कर लिया गया था। किस पुलिस अधिकारी ने उनकी गिरफ्तारी की?","Captain Jones","कैप्टन जोंस","Narendra Sinha","नरेंद्र सिन्हा","Mr. Clark","मि. क्लार्क","R.R. Waghal","आर.आर. वघल",2,"Parasram Soni, the mastermind of the Raipur Conspiracy Case, was officially arrested by police officer Narendra Sinha on 15th July 1942 after being betrayed by Shivnandan Prasad.","रायपुर षड्यंत्र केस के मास्टरमाइंड परसराम सोनी को शिवनंदन प्रसाद द्वारा धोखा दिए जाने के बाद 15 जुलाई 1942 को पुलिस अधिकारी नरेंद्र सिन्हा ने आधिकारिक तौर पर गिरफ्तार किया था।"
"Under the Raipur Conspiracy Case (1942), Parasram Soni and his associates planned to manufacture various explosives. Which of the following was NOT among the specific bombs they were developing?","रायपुर षड्यंत्र केस (1942) के तहत, परसराम सोनी और उनके सहयोगियों ने विभिन्न विस्फोटकों के निर्माण की योजना बनाई थी। निम्नलिखित में से कौन सा बम उनके द्वारा विकसित किए जा रहे विशिष्ट बमों में शामिल नहीं था?","Nepam bomb","नेपाम बम","Chloroform bomb","क्लोरोफॉर्म बम","Smoke spreading bomb","धुआं फैलाने वाला बम","Cyanide gas bomb","सायनाइड गैस बम",4,"The revolutionaries successfully worked on revolvers, nepam bombs, fire bombs, bullets, smoke-spreading bombs, time bombs, and chloroform bombs. Cyanide gas bombs were never part of their documented arsenal.","क्रांतिकारियों ने रिवॉल्वर, नेपाम बम, फायर बम, गोलियों, धुआं फैलाने वाले बम, टाइम बम और क्लोरोफॉर्म बमों पर सफलतापूर्वक काम किया। सायनाइड गैस बम कभी भी उनके प्रलेखित शस्त्रागार का हिस्सा नहीं थे।"
"The second testing of the bombs manufactured by Parasram Soni took place at Idgah Ground, Raipur. Who heard the blast and reported it to the police?","परसराम सोनी द्वारा निर्मित बमों का दूसरा परीक्षण ईदगाह मैदान, रायपुर में हुआ था। विस्फोट की आवाज सुनकर पुलिस को इसकी सूचना किसने दी थी?","Mr. Jathar Sahab","मि. जठार साहब","Mr. Pears (Principal of Rajkumar College)","मि. पियर्स (राजकुमार कॉलेज के प्राचार्य)","Mr. Clark (Deputy Commissioner)","मि. क्लार्क (डिप्टी कमिश्नर)","H.M. Larri","एच.एम. लारी",2,"The second test at the Idgah Ground caused a loud blast which was heard by Mr. Pears, the Principal of Rajkumar College. He promptly reported it to the police, alerting them to the conspiracy.","ईदगाह मैदान में हुए दूसरे परीक्षण के दौरान एक जोरदार धमाका हुआ, जिसे राजकुमार कॉलेज के प्राचार्य मि. पियर्स ने सुना। उन्होंने तुरंत पुलिस को इसकी सूचना दी, जिससे वे इस षड्यंत्र के प्रति सतर्क हो गए।"
"The first testing of explosives under the Raipur Conspiracy Case was conducted at Rawanbhatha Ground. In whose presence was this initial test conducted?","रायपुर षड्यंत्र केस के तहत विस्फोटकों का पहला परीक्षण रावणभाटा मैदान में किया गया था। यह प्रारंभिक परीक्षण किसकी उपस्थिति में आयोजित किया गया था?","Shyamsundar Agrawal and Gopal Rai","श्यामसुंदर अग्रवाल और गोपाल राय","Sudhir Mukherjee and Krantikumar","सुधीर मुखर्जी और क्रांतिकुमार","Bilakh Narayan and Avinash Sangram","बिलख नारायण और अविनाश संग्राम","Ranveer Singh and Tretanath","रणवीर सिंह और त्रेतानाथ",1,"The very first bomb testing by Parasram Soni took place at the Rawanbhatha Ground in Raipur, specifically in the presence of his trusted associates Shyamsundar Agrawal and Gopal Rai.","परसराम सोनी द्वारा पहला बम परीक्षण रायपुर के रावणभाटा मैदान में विशेष रूप से उनके विश्वसनीय सहयोगियों श्यामसुंदर अग्रवाल और गोपाल राय की उपस्थिति में किया गया था।"
"The Raipur Dynamite Case (1942) aimed to blow up the jail wall to release nationalist leaders. Who leaked this secret plan to the British police?","रायपुर डायनामाइट केस (1942) का उद्देश्य राष्ट्रवादी नेताओं को रिहा करने के लिए जेल की दीवार को उड़ाना था। यह गुप्त योजना ब्रिटिश पुलिस को किसने लीक की थी?","Shivnandan Prasad","शिवनंदन प्रसाद","Avinash Sangram","अविनाश संग्राम","Mahant Lal Das","महंत लाल दास","Girilal Lohar","गिरीलाल लोहार",2,"The informer for the Raipur Dynamite Case was Avinash Sangram, who leaked the plan to blow up the Raipur jail wall. Shivnandan Prasad was the informer for the earlier Raipur Conspiracy Case.","रायपुर डायनामाइट केस का मुखबिर अविनाश संग्राम था, जिसने रायपुर जेल की दीवार को उड़ाने की योजना लीक कर दी थी। शिवनंदन प्रसाद पहले हुए रायपुर षड्यंत्र केस का मुखबिर था।"
"Which two prominent leaders were the primary masterminds and key figures behind the Raipur Dynamite Case (1942)?","रायपुर डायनामाइट केस (1942) के पीछे मुख्य मास्टरमाइंड और प्रमुख व्यक्ति कौन से दो नेता थे?","Parasram Soni and Sudhir Mukherjee","परसराम सोनी और सुधीर मुखर्जी","Bilakh Narayan Agrawal and Ishwari Charan Shukla","बिलख नारायण अग्रवाल और ईश्वरी चरण शुक्ल","Tretanath Tiwari and Ranveer Singh Shastri","त्रेतानाथ तिवारी और रणवीर सिंह शास्त्री","Yati Yatan Lal and Ramnarayan Harshul","यति यतन लाल और रामनारायण हर्षुल",2,"Bilakh Narayan Agrawal and Ishwari Charan Shukla were the core masterminds behind the Raipur Dynamite Case, aiming to free political prisoners. Parasram Soni led the separate Conspiracy Case.","बिलख नारायण अग्रवाल और ईश्वरी चरण शुक्ल रायपुर डायनामाइट केस के मुख्य मास्टरमाइंड थे, जिनका उद्देश्य राजनीतिक कैदियों को मुक्त करना था। परसराम सोनी ने अलग षड्यंत्र केस का नेतृत्व किया था।"
"Following the Wardha Proposal and Bombay Session of Congress (August 1942), several leaders from Chhattisgarh were arrested at Malkanpur station. Who among the following was NOT part of this arrested group?","वर्धा प्रस्ताव और कांग्रेस के बंबई अधिवेशन (अगस्त 1942) के बाद, छत्तीसगढ़ के कई नेताओं को मलकानपुर स्टेशन पर गिरफ्तार किया गया था। निम्नलिखित में से कौन इस गिरफ्तार समूह का हिस्सा नहीं था?","Pt. Ravishankar Shukla","पं. रविशंकर शुक्ल","Mahant Laxminarayan Das","महंत लक्ष्मीनारायण दास","E. Raghavendra Rao","ई. राघवेंद्र राव","Barrister Chhedilal","बैरिस्टर छेदीलाल",3,"E. Raghavendra Rao was part of the Viceroy's executive council and a loyalist during this period; he was not arrested. Pt. RS Shukla, Laxminarayan Das, and Chhedilal were arrested at Malkanpur.","ई. राघवेंद्र राव इस अवधि के दौरान वायसराय की कार्यकारी परिषद के सदस्य और ब्रिटिश वफादार थे; उन्हें गिरफ्तार नहीं किया गया था। मलकानपुर में पं. आरएस शुक्ल, लक्ष्मीनारायण दास और छेदीलाल को गिरफ्तार किया गया था।"
"Match the leaders of the Quit India Movement in Chhattisgarh with the specific place of their arrest:\n\nList-I\n(a) Tretanath Tiwari\n(b) Raghunandan Singraul\n(c) Pt. Ravishankar Shukla\n(d) Amar Singh Sehgal\n\nList-II\n(i) Bilaspur\n(ii) Raipur\n(iii) Durg\n(iv) Malkanpur\n\nCodes:","छत्तीसगढ़ में भारत छोड़ो आंदोलन के नेताओं को उनकी गिरफ्तारी के विशिष्ट स्थान से सुमेलित कीजिए:\n\nसूची-I\n(a) त्रेतानाथ तिवारी\n(b) रघुनंदन सिंगरोल\n(c) पं. रविशंकर शुक्ल\n(d) अमर सिंह सहगल\n\nसूची-II\n(i) बिलासपुर\n(ii) रायपुर\n(iii) दुर्ग\n(iv) मलकानपुर\n\nकूट:","a-ii, b-iii, c-iv, d-i","a-ii, b-iii, c-iv, d-i","a-ii, b-iv, c-i, d-iii","a-ii, b-iv, c-i, d-iii","a-iii, b-ii, c-iv, d-i","a-iii, b-ii, c-iv, d-i","a-iv, b-iii, c-i, d-ii","a-iv, b-iii, c-i, d-ii",1,"During the Quit India Movement, Tretanath Tiwari was arrested in Raipur, Raghunandan Singraul in Durg, Pt. RS Shukla at Malkanpur (border), and Amar Singh Sehgal in Bilaspur.","भारत छोड़ो आंदोलन के दौरान, त्रेतानाथ तिवारी को रायपुर में, रघुनंदन सिंगरोल को दुर्ग में, पं. आरएस शुक्ल को मलकानपुर (सीमा) में और अमर सिंह सहगल को बिलासपुर में गिरफ्तार किया गया था।"
"On 28th August 1942, Raghunandan Singraul successfully set fire to the Durg District Court and Municipal Council building. Who acted as his primary assistant in this specific event?","28 अगस्त 1942 को, रघुनंदन सिंगरोल ने सफलतापूर्वक दुर्ग जिला न्यायालय और नगर परिषद भवन में आग लगा दी। इस विशिष्ट घटना में उनके प्राथमिक सहायक के रूप में किसने कार्य किया?","Jaswant Singh Thakur","जसवंत सिंह ठाकुर","Motilal Shrivastava","मोतीलाल श्रीवास्तव","Ratnakar Jha","रत्नाकर झा","Keshav Lal Gomasta","केशव लाल गोमास्ता",2,"For the first arson incident on 28 August 1942, Raghunandan Singraul was assisted by Motilal Shrivastava. Jaswant Singh Thakur assisted him in the second arson incident later in September.","28 अगस्त 1942 को पहली आगजनी की घटना के लिए, रघुनंदन सिंगरोल की सहायता मोतीलाल श्रीवास्तव ने की थी। जसवंत सिंह ठाकुर ने सितंबर में बाद की दूसरी आगजनी की घटना में उनकी सहायता की थी।"
