Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Following the obscure 'Dark Age' after Pratapmalla, which Kalchuri ruler successfully restored the dynasty's glory and explicitly recorded his victory over Pathan invaders in the Kosgai inscription?","प्रतापमल्ल के बाद अस्पष्ट 'अंधकार युग' के पश्चात, किस कलचुरी शासक ने सफलतापूर्वक राजवंश की महिमा को बहाल किया और कोसगई शिलालेख में पठान आक्रमणकारियों पर अपनी जीत को स्पष्ट रूप से दर्ज किया?","Kalyan Sai","कल्याण साय","Takhat Singh","तखत सिंह","Baharandradeva (Bahar Sai)","बाहरेंद्रदेव (बाहर साय)","Raj Singh","राज सिंह","3","After a 300-year historical gap post-Pratapmalla, Baharandradeva (Bahar Sai) emerges in 1500 AD. His Kosgai inscription explicitly details his successful defense against invading Pathan forces.","प्रतापमल्ल के बाद 300 वर्षों के ऐतिहासिक अंतराल के पश्चात, बाहरेंद्रदेव (बाहर साय) 1500 ई. में उभरते हैं। उनका कोसगई शिलालेख हमलावर पठान सेनाओं के खिलाफ उनके सफल बचाव का स्पष्ट विवरण देता है।"
"Due to continuous external threats, Baharandradeva strategically shifted the Kalchuri capital from Ratanpur to which highly fortified mountainous location?","लगातार बाहरी खतरों के कारण, बाहरेंद्रदेव ने रणनीतिक रूप से कलचुरी राजधानी को रतनपुर से किस अत्यधिक किलेबंद पहाड़ी स्थान पर स्थानांतरित कर दिया था?","Laphagarh","लाफागढ़","Chhuri-Kosgai","छुरी-कोसगई","Kandadongar","कांदाडोंगर","Sonakhan","सोनाखान","2","To protect his kingdom from recurring invasions, Baharandradeva temporarily shifted the royal capital to the naturally fortified hilly terrain of Chhuri-Kosgai, where he also constructed the Kosgai Mata temple.","अपने राज्य को बार-बार होने वाले आक्रमणों से बचाने के लिए, बाहरेंद्रदेव ने अस्थायी रूप से शाही राजधानी को छुरी-कोसगई के प्राकृतिक रूप से किलेबंद पहाड़ी इलाके में स्थानांतरित कर दिया, जहाँ उन्होंने कोसगई माता मंदिर का निर्माण भी करवाया।"
"Assertion (A): There is chronological confusion among historians regarding Kalchuri king Kalyan Sai's visit to the Mughal court.

Reason (R): While local legends claim he visited Akbar's court, the authentic Mughal text 'Tuzuk-e-Jahangiri' explicitly records his presentation before Emperor Jahangir.

Choose the correct code:","कथन (A): कलचुरी राजा कल्याण साय की मुगल दरबार की यात्रा के संबंध में इतिहासकारों के बीच कालानुक्रमिक भ्रम है।

कारण (R): जबकि स्थानीय किंवदंतियों का दावा है कि उन्होंने अकबर के दरबार का दौरा किया था, प्रामाणिक मुगल ग्रंथ 'तुजुक-ए-जहांगीरी' सम्राट जहांगीर के समक्ष उनकी प्रस्तुति को स्पष्ट रूप से दर्ज करता है।

सही कूट चुनिए:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is NOT the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है","1","The assertion highlights the historical debate. The reason provides the correct explanation: 'Tuzuk-e-Jahangiri' definitively proves he was a contemporary of Jahangir, brought to the court by Prince Parvez, challenging older assumptions of him being Akbar's contemporary.","कथन ऐतिहासिक बहस को उजागर करता है। कारण सही स्पष्टीकरण प्रदान करता है: 'तुजुक-ए-जहांगीरी' निश्चित रूप से साबित करता है कि वह जहांगीर का समकालीन था, जिसे राजकुमार परवेज द्वारा दरबार में लाया गया था, जो उसके अकबर के समकालीन होने की पुरानी मान्यताओं को चुनौती देता है।"
"According to the official accounts in 'Tuzuk-e-Jahangiri', what exact tribute did the Kalchuri Zamindar Kalyan Sai present to the Mughal Emperor to secure his position?","'तुजुक-ए-जहांगीरी' में आधिकारिक वृत्तांतों के अनुसार, कलचुरी जमींदार कल्याण साय ने अपना पद सुरक्षित करने के लिए मुगल सम्राट को क्या सटीक नजराना पेश किया था?","100 elephants and 50,000 gold coins","100 हाथी और 50,000 सोने के सिक्के","80 elephants and 1 lakh rupees","80 हाथी और 1 लाख रुपये","50 elephants and 2 lakh rupees","50 हाथी और 2 लाख रुपये","116 elephants and 1 lakh rupees","116 हाथी और 1 लाख रुपये","2","The Mughal records explicitly state that Kalyan Sai, acknowledging Mughal suzerainty, presented a heavy tribute of 80 elephants and 1 lakh rupees to Emperor Jahangir through Prince Parvez.","मुगल अभिलेख स्पष्ट रूप से बताते हैं कि कल्याण साय ने मुगल आधिपत्य को स्वीकार करते हुए, राजकुमार परवेज के माध्यम से सम्राट जहांगीर को 80 हाथियों और 1 लाख रुपये का भारी नजराना पेश किया था।"
"Which British Settlement Officer systematically utilized the ancient 'Jama Bandi' (revenue records) formulated by Kalchuri king Kalyan Sai to design the revenue system in 1868 AD?","किस ब्रिटिश बंदोबस्त अधिकारी ने 1868 ई. में राजस्व प्रणाली को डिजाइन करने के लिए कलचुरी राजा कल्याण साय द्वारा तैयार की गई प्राचीन 'जमाबंदी' (राजस्व रिकॉर्ड) का व्यवस्थित रूप से उपयोग किया था?","Captain Agnew","कैप्टन एग्न्यू","Mr. J.W. Chisholm","मिस्टर जे.डब्ल्यू. चिशोल्म","Sir Richard Temple","सर रिचर्ड टेम्पल","Captain Crawford","कैप्टन क्रॉफर्ड","2","Mr. J.W. Chisholm, the Settlement Officer of Bilaspur in 1868, discovered and utilized the 'Jama Bandi' records created by Kalyan Sai in the 16th century to understand the historical Garh-based revenue system.","1868 में बिलासपुर के बंदोबस्त अधिकारी मिस्टर जे.डब्ल्यू. चिशोल्म ने ऐतिहासिक गढ़-आधारित राजस्व प्रणाली को समझने के लिए 16वीं शताब्दी में कल्याण साय द्वारा बनाए गए 'जमाबंदी' रिकॉर्ड की खोज की और उसका उपयोग किया।"
"According to the Jama Bandi documents of Kalyan Sai, the entire Dakshin Kosala under Kalchuri rule was systematically divided into how many total 'Garhs' (fortified districts)?","कल्याण साय के जमाबंदी दस्तावेजों के अनुसार, कलचुरी शासन के तहत पूरे दक्षिण कोसल को व्यवस्थित रूप से कुल कितने 'गढ़ों' (किलेबंद जिलों) में विभाजित किया गया था?","18 Garhs","18 गढ़","24 Garhs","24 गढ़","36 Garhs","36 गढ़","48 Garhs","48 गढ़","3","The Jama Bandi explicitly recorded a total of 36 Garhs, maintaining a balanced division between the two branches: 18 Garhs under the Ratanpur branch (North of Shivnath) and 18 Garhs under the Raipur branch (South of Shivnath).","जमाबंदी ने स्पष्ट रूप से कुल 36 गढ़ों को दर्ज किया, दो शाखाओं के बीच एक संतुलित विभाजन बनाए रखा: रतनपुर शाखा (शिवनाथ के उत्तर) के तहत 18 गढ़ और रायपुर शाखा (शिवनाथ के दक्षिण) के तहत 18 गढ़।"
"The Kalchuri king Takhat Singh, who founded the town of Takhatpur, was a direct contemporary of which paramount Mughal Emperor?","कलचुरी राजा तखत सिंह, जिसने तखतपुर शहर की स्थापना की थी, किस सर्वोच्च मुगल सम्राट के प्रत्यक्ष समकालीन थे?","Akbar","अकबर","Jahangir","जहांगीर","Shah Jahan","शाहजहां","Aurangzeb","औरंगजेब","4","Takhat Singh ruled from 1685 to 1689 AD. This period aligns perfectly with the reign of the Mughal Emperor Aurangzeb. His era marks the continued decline of Kalchuri independent authority.","तखत सिंह ने 1685 से 1689 ई. तक शासन किया। यह अवधि मुगल सम्राट औरंगजेब के शासनकाल के साथ पूरी तरह से मेल खाती है। उनका युग कलचुरी स्वतंत्र सत्ता के निरंतर पतन को चिह्नित करता है।"
"Which highly acclaimed court poet of King Raj Singh composed the famous political satire 'Khoob Tamasha' in 1689 AD?","राजा राज सिंह के किस अत्यधिक प्रशंसित दरबारी कवि ने 1689 ई. में प्रसिद्ध राजनीतिक व्यंग्य 'खूब तमाशा' की रचना की थी?","Babu Revaram","बाबू रेवाराम","Gopal Mishra","गोपाल मिश्र","Shivdutt Shastri","शिवदत्त शास्त्री","Makardhwaj Jogi","मकरध्वज जोगी","2","Gopal Mishra was the jewel of Raj Singh's court. He wrote 'Khoob Tamasha' in 1689 AD, which is renowned for its bold and bitter criticism of Emperor Aurangzeb's oppressive policies.","गोपाल मिश्र राज सिंह के दरबार के रत्न थे। उन्होंने 1689 ई. में 'खूब तमाशा' लिखा था, जो सम्राट औरंगजेब की दमनकारी नीतियों की अपनी साहसिक और कड़वी आलोचना के लिए प्रसिद्ध है।"
"Consider the following architectural contributions in Ratanpur:

1. Badal Mahal
2. Rajpur town
3. Mahamaya Temple

Which of the above was/were commissioned by the later Kalchuri king Raj Singh?","रतनपुर में निम्नलिखित स्थापत्य योगदानों पर विचार कीजिए:

1. बादल महल
2. राजपुर शहर
3. महामाया मंदिर

उपरोक्त में से किसे परवर्ती कलचुरी राजा राज सिंह द्वारा बनवाया गया था?","Only 1 and 2","केवल 1 और 2","Only 2 and 3","केवल 2 और 3","Only 1 and 3","केवल 1 और 3","1, 2, and 3","1, 2, और 3","1","Raj Singh founded the town of Rajpur and constructed the Badal Mahal. The Mahamaya Temple was built centuries earlier by Ratnadeva I.","राज सिंह ने राजपुर शहर की स्थापना की और बादल महल का निर्माण करवाया। महामाया मंदिर का निर्माण सदियों पहले रत्नदेव प्रथम द्वारा किया गया था।"
"According to dynastic records, Raj Singh died issueless. Whom did he initially nominate as his successor before circumstances forced him to pass the throne to his uncle Sardar Singh?","राजवंशीय अभिलेखों के अनुसार, राज सिंह की मृत्यु निःसंतान हुई थी। परिस्थितियों के कारण अपने चाचा सरदार सिंह को सिंहासन सौंपने से पहले उसने शुरू में किसे अपना उत्तराधिकारी नामित किया था?","Raghunath Singh","रघुनाथ सिंह","Mohan Singh","मोहन सिंह","Kalyan Sai","कल्याण साय","Dalpat Dev","दलपत देव","2","Raj Singh, having no capable heir, initially nominated Mohan Singh (from the Raipur branch) as his successor. However, Mohan Singh was away on a hunting expedition when Raj Singh's health rapidly declined, forcing him to crown his uncle Sardar Singh instead.","कोई सक्षम उत्तराधिकारी न होने के कारण राज सिंह ने शुरू में मोहन सिंह (रायपुर शाखा से) को अपना उत्तराधिकारी नामित किया था। हालाँकि, जब राज सिंह के स्वास्थ्य में तेजी से गिरावट आई, तब मोहन सिंह शिकार अभियान पर दूर था, जिससे उन्हें अपने चाचा सरदार सिंह को ताज पहनाने के लिए मजबूर होना पड़ा।"
