Topic - January 2026 Quiz Title (English): Chhattisgarh Current Affairs (January 2026) Part-3
Quiz Title (Hindi): छत्तीसगढ़ करेंट अफेयर्स (जनवरी 2026) भाग-3
Quiz Description (English): This is the final installment of the January 2026 Master Quiz series for CGPSC Prelims. It deeply tests your knowledge of state policies, economic targets, tribal welfare schemes, and prominent state awards from the recent current affairs cycle.
Quiz Description (Hindi): यह सीजीपीएससी प्रारंभिक परीक्षा के लिए जनवरी 2026 मास्टर क्विज़ श्रृंखला की अंतिम किस्त है। यह हालिया करेंट अफेयर्स चक्र से राज्य की नीतियों, आर्थिक लक्ष्यों, आदिवासी कल्याण योजनाओं और प्रमुख राज्य पुरस्कारों के आपके ज्ञान का गहराई से परीक्षण करता है।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"Consider the following statements regarding the 'Anjor Vision @ 2047' document released by the State Government:\n\n1. It was prepared by the State Niti Aayog, Chhattisgarh.\n2. The document sets a target to increase the Gross State Domestic Product (GSDP) by 15 times, aiming for ₹75 Lakh Crore.\n3. The developmental blueprint identifies 13 core areas categorized under 3 major themes.\n\nChoose the correct answer:","राज्य सरकार द्वारा जारी 'अंजोर विजन @ 2047' (Anjor Vision @ 2047) दस्तावेज़ के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. इसे राज्य नीति आयोग, छत्तीसगढ़ द्वारा तैयार किया गया था।\n2. यह दस्तावेज़ सकल राज्य घरेलू उत्पाद (GSDP) को 15 गुना बढ़ाकर ₹75 लाख करोड़ करने का लक्ष्य निर्धारित करता है।\n3. यह विकासात्मक ब्लूप्रिंट 3 प्रमुख विषयों के तहत वर्गीकृत 13 मुख्य क्षेत्रों की पहचान करता है।\n\nसही उत्तर चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. The 'Anjor Vision @ 2047' blueprint, prepared by the State Niti Aayog, aims to make CG self-reliant by increasing GSDP by 15 times across 13 core sectors categorized into 3 themes.","सभी कथन सही हैं। राज्य नीति आयोग द्वारा तैयार किए गए 'अंजोर विजन @ 2047' ब्लूप्रिंट का उद्देश्य 3 विषयों में वर्गीकृत 13 मुख्य क्षेत्रों में जीएसडीपी को 15 गुना बढ़ाकर छत्तीसगढ़ को आत्मनिर्भर बनाना है।"
"Match the winners of the 6th National Water Awards 2024 (awarded in early 2026) from Chhattisgarh with their respective categories:\n\nList-I (Category)\n(a) Best District (Eastern Zone)\n(b) Best Gram Panchayat (Eastern Zone)\n(c) Best School/College (Eastern Zone)\n\nList-II (Winner)\n(i) KPS Raipur\n(ii) Rajnandgaon\n(iii) Dumar Pani (Kanker)\n\nCodes:","छठे राष्ट्रीय जल पुरस्कार 2024 (2026 की शुरुआत में सम्मानित) के छत्तीसगढ़ के विजेताओं को उनकी संबंधित श्रेणियों के साथ सुमेलित करें:\n\nसूची-I (श्रेणी)\n(a) सर्वश्रेष्ठ जिला (पूर्वी क्षेत्र)\n(b) सर्वश्रेष्ठ ग्राम पंचायत (पूर्वी क्षेत्र)\n(c) सर्वश्रेष्ठ स्कूल/कॉलेज (पूर्वी क्षेत्र)\n\nसूची-II (विजेता)\n(i) केपीएस रायपुर (KPS Raipur)\n(ii) राजनांदगांव\n(iii) डूमर पानी (कांकेर)\n\nकूट:","a-ii, b-i, c-iii","a-ii, b-i, c-iii","a-iii, b-ii, c-i","a-iii, b-ii, c-i","a-ii, b-iii, c-i","a-ii, b-iii, c-i","a-i, b-iii, c-ii","a-i, b-iii, c-ii",3,"Under the National Water Awards, Rajnandgaon won Best District in the Eastern Zone, Dumar Pani (Kanker) secured the 3rd rank for Best Gram Panchayat, and KPS Raipur ranked 1st in the Best School category.","राष्ट्रीय जल पुरस्कारों के तहत, राजनांदगांव ने पूर्वी क्षेत्र में सर्वश्रेष्ठ जिला जीता, डूमर पानी (कांकेर) ने सर्वश्रेष्ठ ग्राम पंचायत के लिए तीसरा स्थान हासिल किया, और केपीएस रायपुर सर्वश्रेष्ठ स्कूल श्रेणी में पहले स्थान पर रहा।"
"Assertion (A): Bilha Nagar Panchayat secured the first position in the state in the Swachh Survekshan 2024-25 awards.\n\nReason (R): It achieved this rank in the category of cities with a population between 20,000 and 50,000.\n\nCodes:","कथन (A): स्वच्छ सर्वेक्षण 2024-25 पुरस्कारों में बिल्हा नगर पंचायत ने राज्य में प्रथम स्थान प्राप्त किया।\n\nकारण (R): इसने 20,000 से 50,000 की आबादी वाले शहरों की श्रेणी में यह रैंक हासिल की।\n\nकूट:","Both A and R are true and R is the correct explanation of A","A और R दोनों सत्य हैं और R, A की सही व्याख्या है","Both A and R are true but R is not the correct explanation of A","A और R दोनों सत्य हैं लेकिन R, A की सही व्याख्या नहीं है","A is true but R is false","A सत्य है लेकिन R असत्य है","A is false but R is true","A असत्य है लेकिन R सत्य है",3,"Assertion A is true as Bilha won the first rank. Reason R is false because Bilha won this rank in the 'population under 20,000' category. Kumhari ranked 3rd in the 20,000 to 50,000 category.","कथन A सत्य है क्योंकि बिल्हा ने प्रथम रैंक जीती है। कारण R असत्य है क्योंकि बिल्हा ने यह रैंक '20,000 से कम आबादी' श्रेणी में जीती है। 20,000 से 50,000 श्रेणी में कुम्हारी तीसरे स्थान पर रहा।"
"Which of the following statements regarding the recently approved 'Dipti Yojana' is NOT correct?","हाल ही में स्वीकृत 'दीप्ति योजना' (Dipti Yojana) के संबंध में निम्नलिखित में से कौन सा कथन सही नहीं है?","It aims to initiate a women-led energy revolution in the state.","इसका उद्देश्य राज्य में महिला नेतृत्व वाली ऊर्जा क्रांति की शुरुआत करना है।","The operational period of this scheme is set from 2026 to 2031.","इस योजना की संचालन अवधि 2026 से 2031 तक निर्धारित की गई है।","A dedicated cadre of 'Solar Didi' (Urja Sakhi) will be prepared at the urban municipality level.","शहरी नगर पालिका स्तर पर 'सोलर दीदी' (ऊर्जा सखी) का एक समर्पित कैडर तैयार किया जाएगा।","It will be operated by the Panchayat and Rural Development Department.","इसका संचालन पंचायत एवं ग्रामीण विकास विभाग द्वारा किया जाएगा।",3,"The statement is incorrect because the 'Solar Didi' (Urja Sakhi) cadre is being prepared at the 'Gram Panchayat' level, not the urban municipality level, to maintain rural solar energy systems.","यह कथन गलत है क्योंकि ग्रामीण सौर ऊर्जा प्रणालियों के रखरखाव के लिए 'सोलर दीदी' (ऊर्जा सखी) कैडर 'ग्राम पंचायत' स्तर पर तैयार किया जा रहा है, न कि शहरी नगरपालिका स्तर पर।"
"The district administration of Dantewada has launched the 'Ujjarsav Yojana' to provide higher education opportunities to meritorious students from economically weaker sections. How many total seats are allocated under this scheme?","दंतेवाड़ा जिला प्रशासन ने आर्थिक रूप से कमजोर वर्ग के मेधावी छात्रों को उच्च शिक्षा के अवसर प्रदान करने के लिए 'उज्जर्सव योजना' (Ujjarsav Yojana) शुरू की है। इस योजना के तहत कुल कितनी सीटें आवंटित की गई हैं?","50 Seats","50 सीटें","100 Seats","100 सीटें","150 Seats","150 सीटें","200 Seats","200 सीटें",2,"The Ujjarsav Yojana in Dantewada has a fixed quota of exactly 100 seats, distributed as 76 for ST, 6 for SC, 14 for OBC, and 4 for the Unreserved category.","दंतेवाड़ा में उज्जर्सव योजना में ठीक 100 सीटों का एक निश्चित कोटा है, जिसे ST के लिए 76, SC के लिए 6, OBC के लिए 14 और अनारक्षित श्रेणी के लिए 4 के रूप में वितरित किया गया है।"
"The 'Niyat Nellanar Yojana 2.0', which focuses on the rapid development of remote Naxal-affected areas, has been newly expanded to include which of the following districts?","सुदूर नक्सल प्रभावित क्षेत्रों के तीव्र विकास पर केंद्रित 'नियत नेल्लानार योजना 2.0' (Niyat Nellanar Yojana 2.0) का हाल ही में निम्नलिखित में से किन जिलों को शामिल करने के लिए विस्तार किया गया है?","Gariaband, Khairagarh-Chhuikhadan-Gandai, and Mohla-Manpur-Ambagarh Chowki","गरियाबंद, खैरागढ़-छुईखदान-गंडई, और मोहला-मानपुर-अंबागढ़ चौकी","Gariaband, Dhamtari, and Mahasamund","गरियाबंद, धमतरी, और महासमुंद","Kondagaon, Narayanpur, and Bijapur","कोंडागांव, नारायणपुर, और बीजापुर","Mohla-Manpur-Ambagarh Chowki, Kanker, and Sukma","मोहला-मानपुर-अंबागढ़ चौकी, कांकेर, और सुकमा",1,"The 2.0 expansion of the Niyat Nellanar Yojana officially covers the naxal-affected zones of Gariaband, Khairagarh-Chhuikhadan-Gandai (KCG), and Mohla-Manpur-Ambagarh Chowki (MMC) districts.","नियत नेल्लानार योजना का 2.0 विस्तार आधिकारिक तौर पर गरियाबंद, खैरागढ़-छुईखदान-गंडई (KCG), और मोहला-मानपुर-अंबागढ़ चौकी (MMC) जिलों के नक्सल प्रभावित क्षेत्रों को कवर करता है।"
"Match the winners of the Best Sericulture Awards (awarded by the Central Silk Board in Bengaluru) from Chhattisgarh:\n\nList-I\n(a) Best Sericulture State\n(b) Excellent District Award\n(c) Outstanding Farmer\n\nList-II\n(i) Raigarh\n(ii) Lalit Gupta (Aamaghat)\n(iii) Chhattisgarh\n\nCodes:","छत्तीसगढ़ से सर्वश्रेष्ठ रेशम उत्पादन पुरस्कारों (बेंगलुरु में केंद्रीय रेशम बोर्ड द्वारा सम्मानित) के विजेताओं को सुमेलित करें:\n\nसूची-I\n(a) सर्वश्रेष्ठ रेशम उत्पादन राज्य\n(b) उत्कृष्ट जिला पुरस्कार\n(c) उत्कृष्ट कृषक\n\nसूची-II\n(i) रायगढ़\n(ii) ललित गुप्ता (आमाघाट)\n(iii) छत्तीसगढ़\n\nकूट:","a-iii, b-ii, c-i","a-iii, b-ii, c-i","a-i, b-ii, c-iii","a-i, b-ii, c-iii","a-iii, b-i, c-ii","a-iii, b-i, c-ii","a-ii, b-i, c-iii","a-ii, b-i, c-iii",3,"At the 76th foundation day of the Central Silk Board, Chhattisgarh won Best State, Raigarh won Best District, and Lalit Gupta from Tamnar won the Outstanding Farmer award.","केंद्रीय रेशम बोर्ड के 76वें स्थापना दिवस पर, छत्तीसगढ़ ने सर्वश्रेष्ठ राज्य, रायगढ़ ने सर्वश्रेष्ठ जिला, और तमनार के ललित गुप्ता ने उत्कृष्ट कृषक का पुरस्कार जीता।"
"The recently deceased 'Eppy Raja', who gained widespread fame among the youth for his Chhattisgarhi rap song 'Tura Bokolo', belonged to which district?","हाल ही में दिवंगत 'एप्पी राजा' (Eppy Raja), जिन्होंने अपने छत्तीसगढ़ी रैप गीत 'टूरा बोकोलो' के लिए युवाओं के बीच व्यापक प्रसिद्धि प्राप्त की, किस जिले के थे?","Bastar","बस्तर","Kanker","कांकेर","Kondagaon","कोंडागांव","Raipur","रायपुर",2,"Eppy Raja, credited with bringing modern rap culture to Chhattisgarhi music with hits like 'Tura Bokolo', passed away recently. He was a native of the Kanker district.","'टूरा बोकोलो' जैसे हिट गानों के साथ छत्तीसगढ़ी संगीत में आधुनिक रैप संस्कृति लाने का श्रेय एप्पी राजा को जाता है, जिनका हाल ही में निधन हो गया। वे कांकेर जिले के मूल निवासी थे।"
"Consider the following statements regarding the Ramgarh Mahotsav 2026:\n\n1. It was organized in the Surguja district on the first day of the Ashadh month.\n2. The year 2026 marks the 50th anniversary of its successful organization since it began in 1976.\n3. The Chief Minister announced ₹1 crore for the infrastructure development of Ramgarh during its concluding ceremony.\n\nChoose the correct answer:","रामगढ़ महोत्सव 2026 के संबंध में निम्नलिखित कथनों पर विचार करें:\n\n1. इसका आयोजन सरगुजा जिले में आषाढ़ माह के प्रथम दिन किया गया था।\n2. वर्ष 2026 में 1976 में शुरू होने के बाद से इसके सफल आयोजन की 50वीं वर्षगांठ है।\n3. मुख्यमंत्री ने इसके समापन समारोह के दौरान रामगढ़ के बुनियादी ढांचे के विकास के लिए ₹1 करोड़ की घोषणा की।\n\nसही उत्तर चुनें:","1 and 2 only","केवल 1 और 2","2 and 3 only","केवल 2 और 3","1 and 3 only","केवल 1 और 3","1, 2 and 3","1, 2 और 3",4,"All statements are correct. The Ramgarh Mahotsav (Surguja) is historically significant as it completed 50 years in 2026. The CM announced 1 crore for its structural development.","सभी कथन सही हैं। रामगढ़ महोत्सव (सरगुजा) ऐतिहासिक रूप से महत्वपूर्ण है क्योंकि इसने 2026 में 50 वर्ष पूरे कर लिए हैं। सीएम ने इसके संरचनात्मक विकास के लिए 1 करोड़ रुपये की घोषणा की।"
"Match the Kharif crops with their newly approved Minimum Support Price (MSP) per quintal for the marketing year 2025-26 in Chhattisgarh:\n\nList-I (Crop)\n(a) Arhar (Tur)\n(b) Urad\n(c) Moong\n(d) Soybean\n\nList-II (MSP)\n(i) ₹8,768\n(ii) ₹8,000\n(iii) ₹7,800\n(iv) ₹5,328\n\nCodes:","छत्तीसगढ़ में विपणन वर्ष 2025-26 के लिए खरीफ फसलों को उनके नव स्वीकृत न्यूनतम समर्थन मूल्य (MSP) प्रति क्विंटल के साथ सुमेलित करें:\n\nसूची-I (फसल)\n(a) अरहर (तुअर)\n(b) उड़द\n(c) मूंग\n(d) सोयाबीन\n\nसूची-II (MSP)\n(i) ₹8,768\n(ii) ₹8,000\n(iii) ₹7,800\n(iv) ₹5,328\n\nकूट:","a-ii, b-iii, c-i, d-iv","a-ii, b-iii, c-i, d-iv","a-iii, b-ii, c-iv, d-i","a-iii, b-ii, c-iv, d-i","a-i, b-ii, c-iii, d-iv","a-i, b-ii, c-iii, d-iv","a-ii, b-i, c-iii, d-iv","a-ii, b-i, c-iii, d-iv",1,"As per the 2025-26 MSP approval for pulses and oilseeds: Arhar is ₹8,000, Urad and Peanut are ₹7,800, Moong is ₹8,768, and Soybean is ₹5,328 per quintal.","दलहन और तिलहन के लिए 2025-26 MSP अनुमोदन के अनुसार: अरहर ₹8,000, उड़द और मूंगफली ₹7,800, मूंग ₹8,768, और सोयाबीन ₹5,328 प्रति क्विंटल है।"
