Quiz Title: Ramayana & Mahabharata Era of Chhattisgarh
क्विज़ शीर्षक: छत्तीसगढ़ का रामायण एवं महाभारत काल
Quiz Description: This quiz evaluates your knowledge of the Ramayana and Mahabharata period sites, legends, and geographical associations in Chhattisgarh. It covers key topics like the Ram Van Gaman Path, ancient names of regions, and prominent ashrams crucial for CGPSC Prelims preparation.
क्विज़ विवरण: यह क्विज़ छत्तीसगढ़ में रामायण और महाभारत काल के स्थलों, किंवदंतियों और भौगोलिक संघों के आपके ज्ञान का मूल्यांकन करता है। इसमें राम वन गमन पथ, क्षेत्रों के प्राचीन नाम और प्रमुख आश्रमों जैसे प्रमुख विषयों को शामिल किया गया है जो सीजीपीएससी प्रारंभिक परीक्षा की तैयारी के लिए महत्वपूर्ण हैं।

Q(EN),Q(HI),OptA(EN),OptA(HI),OptB(EN),OptB(HI),OptC(EN),OptC(HI),OptD(EN),OptD(HI),Correct(1-4),Exp(EN),Exp(HI)
"According to the Ramayana period legends, what was the capital of Dakshin Koshal, which was ruled by Lord Ram's son Kush?","रामायणकालीन किंवदंतियों के अनुसार, दक्षिण कोसल की राजधानी क्या थी, जिस पर भगवान राम के पुत्र कुश का शासन था?","Shravasti","श्रावस्ती","Kushasthali","कुशस्थली","Madhumant","मधुमंत","Ratnavalipuri","रत्नावलीपुरी","2","During the Ramayana period, the Koshal region was divided between Ram's sons. Kush received Dakshin Koshal (Chhattisgarh) with its capital at Kushasthali (or Kushavati), while Luv ruled Uttar Koshal from Shravasti. Madhumant was the capital of Dandakaranya.","रामायण काल के दौरान, कोसल क्षेत्र को राम के पुत्रों के बीच विभाजित किया गया था। कुश को कुशस्थली (या कुशावती) राजधानी के साथ दक्षिण कोसल (छत्तीसगढ़) मिला, जबकि लव ने श्रावस्ती से उत्तर कोसल पर शासन किया। मधुमंत दंडकारण्य की राजधानी थी।"
"Which of the following places is considered the first entry point of Lord Ram in Chhattisgarh during his exile?","वनवास के दौरान भगवान राम का छत्तीसगढ़ में पहला प्रवेश बिंदु निम्नलिखित में से किस स्थान को माना जाता है?","Ramgarh","रामगढ़","Shivrinarayan","शिवरीनारायण","Sitamarhi Harchauka","सीतामढ़ी हरचौका","Turturiya","तुरतुरिया","3","Sitamarhi Harchauka, located on the banks of the Mawai river in the Manendragarh-Chirmiri-Bharatpur district, is recognized as the first stop or entry point of Lord Ram in Chhattisgarh during his exile.","मनेन्द्रगढ़-चिरमिरी-भरतपुर जिले में मवई नदी के तट पर स्थित सीतामढ़ी हरचौका को वनवास के दौरान भगवान राम का छत्तीसगढ़ में पहला पड़ाव या प्रवेश बिंदु माना जाता है।"
"Consider the following statements regarding the Mahabharata period in Chhattisgarh:\n1. The Bastar forest region was known as Kantar.\n2. The Mahanadi river is mentioned as Chitrotpala in the Bhishma Parva.\n3. The Ratanpur region was ruled by King Babhruvahana.\nWhich of the above statement(s) is/are correct?","छत्तीसगढ़ में महाभारत काल के संबंध में निम्नलिखित कथनों पर विचार करें:\n1. बस्तर वन क्षेत्र को कान्तार के रूप में जाना जाता था।\n2. महानदी का उल्लेख भीष्म पर्व में चित्रोत्पला के रूप में किया गया है।\n3. रतनपुर क्षेत्र पर राजा बभ्रुवाहन का शासन था।\nउपरोक्त कथनों में से कौन सा/से सही है/हैं?","1 and 2","1 और 2","2 and 3","2 और 3","Only 3","केवल 3","1, 2 and 3","1, 2 और 3","1","In the Mahabharata, Bastar was called Kantar, and Mahanadi was mentioned as Chitrotpala in the Bhishma Parva. Statement 3 is incorrect because King Babhruvahana ruled Chitrangadpur (Sirpur), while Ratanpur (Ratnavalipuri) was ruled by King Moradhwaj.","महाभारत में, बस्तर को कान्तार कहा जाता था, और महानदी का उल्लेख भीष्म पर्व में चित्रोत्पला के रूप में किया गया था। कथन 3 गलत है क्योंकि राजा बभ्रुवाहन ने चित्रांगदपुर (सिरपुर) पर शासन किया था, जबकि रतनपुर (रत्नावलीपुरी) पर राजा मोरध्वज का शासन था।"
"Match the following ancient names of the Mahabharata period with their modern locations:\nList-I\n(a) Chitrangadpur\n(b) Khalvatika\n(c) Bhander\n(d) Ratnavalipuri\n\nList-II\n(i) Arang\n(ii) Ratanpur\n(iii) Khallari\n(iv) Sirpur\n\nCodes:","महाभारत काल के निम्नलिखित प्राचीन नामों को उनके आधुनिक स्थानों से सुमेलित कीजिए:\nसूची-I\n(a) चित्रांगदपुर\n(b) खल्लवाटिका\n(c) भांडेर\n(d) रत्नावलीपुरी\n\nसूची-II\n(i) आरंग\n(ii) रतनपुर\n(iii) खल्लारी\n(iv) सिरपुर\n\nकूट:","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(iv), (b)-(iii), (c)-(i), (d)-(ii)","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iii), (d)-(iv)","(a)-(iv), (b)-(i), (c)-(iii), (d)-(ii)","(a)-(iv), (b)-(i), (c)-(iii), (d)-(ii)","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","(a)-(iii), (b)-(iv), (c)-(ii), (d)-(i)","1","Based on Mahabharata references: Sirpur was known as Chitrangadpur (capital of Babhruvahana), Khallari as Khalvatika (site of Lakshagriha), Arang as Bhander (associated with Moradhwaj's lore), and Ratanpur as Ratnavalipuri or Manipur.","महाभारत के संदर्भों के आधार पर: सिरपुर को चित्रांगदपुर (बभ्रुवाहन की राजधानी), खल्लारी को खल्लवाटिका (लाक्षागृह का स्थल), आरंग को भांडेर (मोरध्वज की विद्या से जुड़ा) और रतनपुर को रत्नावलीपुरी या मणिपुर के रूप में जाना जाता था।"
"According to local legends, at which place did Lord Ram eat the tasted berries offered by Mata Shabari?","स्थानीय किंवदंतियों के अनुसार, भगवान राम ने माता शबरी द्वारा अर्पित जूठे बेर किस स्थान पर खाए थे?","Kharoud","खरौद","Shivrinarayan","शिवरीनारायण","Turturiya","तुरतुरिया","Rajim","राजिम","2","According to local tradition, Lord Ram ate the tasted berries (juthe ber) of Mata Shabari at Shivrinarayan in the Janjgir-Champa district, near the ashrams of Shabari and Matang Rishi.","स्थानीय परंपरा के अनुसार, भगवान राम ने जांजगीर-चांपा जिले में शिवरीनारायण में माता शबरी के जूठे बेर खाए थे, जो शबरी और मतंग ऋषि के आश्रमों के पास स्थित है।"
"Assertion (A): The site of Turturiya holds immense significance in the Ramayana lore of Chhattisgarh.\nReason (R): It is the location of Valmiki's ashram where Luv and Kush were born.\nChoose the correct code:","कथन (A): तुरतुरिया का स्थल छत्तीसगढ़ की रामायण विद्या में अत्यधिक महत्व रखता है।\nकारण (R): यह वाल्मीकि के आश्रम का स्थान है जहाँ लव और कुश का जन्म हुआ था।\nसही कूट चुनें:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","The assertion is completely accurate. Turturiya, situated in the Balodabazar district, is revered as the site of Maharshi Valmiki's ashram. The reason correctly explains its significance, as it is traditionally believed to be the birthplace of Ram's sons, Luv and Kush.","कथन पूरी तरह से सटीक है। बलौदाबाजार जिले में स्थित तुरतुरिया को महर्षि वाल्मीकि के आश्रम स्थल के रूप में पूजा जाता है। कारण इसके महत्व को सही ढंग से समझाता है, क्योंकि इसे पारंपरिक रूप से राम के पुत्रों, लव और कुश का जन्मस्थान माना जाता है।"
"Regarding the legend of King Moradhwaj of Ratanpur during the Mahabharata period, which of the following statements is INCORRECT?","महाभारत काल के दौरान रतनपुर के राजा मोरध्वज की किंवदंती के संबंध में, निम्नलिखित में से कौन सा कथन गलत है?","He was a contemporary of Pandava King Yudhishthira.","वह पांडव राजा युधिष्ठिर के समकालीन थे।","A dispute arose with Arjun over the Ashwamedha horse.","अश्वमेध घोड़े को लेकर अर्जुन के साथ विवाद उत्पन्न हुआ था।","This dispute was ultimately resolved by Lord Shiva.","यह विवाद अंततः भगवान शिव द्वारा सुलझाया गया था।","He willingly had his body cut with a saw to fulfill a condition.","उन्होंने एक शर्त को पूरा करने के लिए स्वेच्छा से अपने शरीर को आरे से कटवा लिया था।","3","King Moradhwaj of Ratanpur (Ratnavalipuri) fought Arjun over the Ashwamedha horse. To test his devotion, Lord Krishna (not Lord Shiva) intervened and asked him to cut his body with a saw, resolving the conflict. Therefore, statement 3 is incorrect.","रतनपुर (रत्नावलीपुरी) के राजा मोरध्वज ने अश्वमेध घोड़े को लेकर अर्जुन से लड़ाई की थी। उनकी भक्ति का परीक्षण करने के लिए, भगवान कृष्ण (भगवान शिव नहीं) ने हस्तक्षेप किया और उन्हें संघर्ष को हल करते हुए अपने शरीर को आरे से काटने के लिए कहा। इसलिए, कथन 3 गलत है।"
"The ancient site 'Rishabh Tirth', mentioned in the Vana Parva of the Mahabharata, is identified with which modern location by Pt. Lochan Prasad Pandey?","महाभारत के वन पर्व में वर्णित प्राचीन स्थल 'ऋषभ तीर्थ' की पहचान पं. लोचन प्रसाद पांडेय द्वारा किस आधुनिक स्थान से की गई है?","Sirpur (Mahasamund)","सिरपुर (महासमुंद)","Gunji/Damau Dahara (Sakti)","गुंजी/दमऊदहरा (सक्ती)","Arang (Raipur)","आरंग (रायपुर)","Bhartpur (MCB)","भरतपुर (एमसीबी)","2","Rishabh Tirth is explicitly mentioned in the Vana Parva of the Mahabharata. Renowned archaeologist Pt. Lochan Prasad Pandey systematically identified this ancient site with the modern location of Gunji (Damau Dahara), situated in the Sakti district.","ऋषभ तीर्थ का स्पष्ट रूप से महाभारत के वन पर्व में उल्लेख किया गया है। प्रसिद्ध पुरातत्वविद् पं. लोचन प्रसाद पांडेय ने व्यवस्थित रूप से इस प्राचीन स्थल की पहचान सक्ती जिले में स्थित गुंजी (दमऊदहरा) के आधुनिक स्थान से की।"
"At which place in Chhattisgarh did Lord Ram worship 'Bhodevi' (Mother Earth) before leaving the region during his exile?","भगवान राम ने अपने वनवास के दौरान क्षेत्र छोड़ने से पहले छत्तीसगढ़ में किस स्थान पर 'भूदेवी' (धरती माता) की पूजा की थी?","Dantewada","दंतेवाड़ा","Jagdalpur","जगदलपुर","Ramaram","रामाराम","Panchavati","पंचवटी","3","According to local tradition, as Lord Ram was leaving the Dandakaranya region towards the southern end of Chhattisgarh, he worshipped 'Bhodevi' at Ramaram, located in the modern Sukma district. A grand Ramaram fair is held here.","स्थानीय परंपरा के अनुसार, जैसे ही भगवान राम छत्तीसगढ़ के दक्षिणी छोर की ओर दंडकारण्य क्षेत्र छोड़ रहे थे, उन्होंने आधुनिक सुकमा जिले में स्थित रामाराम में 'भूदेवी' की पूजा की। यहाँ भव्य रामाराम मेला लगता है।"
"Consider the following statements about the Khallari (Mahasamund) region in the context of the Mahabharata:\n1. Its ancient name was Khalvatika.\n2. It is believed to be the site of the Lakshagriha (Palace of Lac).\n3. It features 'Bhimkhoh', which are believed to be the footprints of Bhima.\nWhich of the statement(s) given above is/are correct?","महाभारत के संदर्भ में खल्लारी (महासमुंद) क्षेत्र के बारे में निम्नलिखित कथनों पर विचार करें:\n1. इसका प्राचीन नाम खल्लवाटिका था।\n2. इसे लाक्षागृह (लाख का महल) का स्थल माना जाता है।\n3. इसमें 'भीमखोह' है, जिसे भीम के पैरों के निशान माना जाता है।\nऊपर दिए गए कथनों में से कौन सा/से सही है/हैं?","1 and 2","1 और 2","2 and 3","2 और 3","1 and 3","1 और 3","1, 2 and 3","1, 2 और 3","4","All three statements are historically and legendarily accurate. Khallari, anciently known as Khalvatika, is famously associated with the Mahabharata due to the Lakshagriha incident orchestrated by Duryodhana, and rock impressions called Bhimkhoh (footprints of Bhima).","तीनों कथन ऐतिहासिक और किंवदंती रूप से सटीक हैं। खल्लारी, जिसे प्राचीन काल में खल्लवाटिका के नाम से जाना जाता था, प्रसिद्ध रूप से दुर्योधन द्वारा रचे गए लाक्षागृह प्रसंग और भीमखोह (भीम के पैरों के निशान) नामक चट्टान के छापों के कारण महाभारत से जुड़ा है।"
"Arrange the following key sites of the 'Ram Van Gaman Path' in Chhattisgarh from North to South (in chronological order of Lord Ram's journey):\n1. Turturiya\n2. Sitamarhi Harchauka\n3. Shivrinarayan\n4. Ramgarh","छत्तीसगढ़ में 'राम वन गमन पथ' के निम्नलिखित प्रमुख स्थलों को उत्तर से दक्षिण (भगवान राम की यात्रा के कालानुक्रमिक क्रम में) व्यवस्थित करें:\n1. तुरतुरिया\n2. सीतामढ़ी हरचौका\n3. शिवरीनारायण\n4. रामगढ़","2-4-3-1","2-4-3-1","2-3-4-1","2-3-4-1","4-2-3-1","4-2-3-1","2-4-1-3","2-4-1-3","1","The Ram Van Gaman Path route traces Lord Ram's journey. It begins at Sitamarhi Harchauka (MCB district), proceeds south to Ramgarh (Surguja), further down to Shivrinarayan (Janjgir-Champa), and then reaches Turturiya (Balodabazar).","राम वन गमन पथ मार्ग भगवान राम की यात्रा का पता लगाता है। यह सीतामढ़ी हरचौका (एमसीबी जिले) से शुरू होता है, दक्षिण में रामगढ़ (सरगुजा), फिर नीचे शिवरीनारायण (जांजगीर-चांपा) और फिर तुरतुरिया (बलौदाबाजार) तक जाता है।"
"Match the Ramayana period sages (Rishis) with their respective ashram locations in Chhattisgarh:\nList-I\n(a) Lomash Rishi\n(b) Atri Muni\n(c) Sharbhang Rishi\n(d) Vashistha Rishi\n\nList-II\n(i) Ramgarh Hills\n(ii) Rajim\n(iii) Sitamarhi Harchauka\n(iv) Mainpat\n\nCodes:","रामायण काल के ऋषियों को छत्तीसगढ़ में उनके संबंधित आश्रम स्थानों से सुमेलित करें:\nसूची-I\n(a) लोमश ऋषि\n(b) अत्रि मुनि\n(c) शरभंग ऋषि\n(d) वशिष्ठ ऋषि\n\nसूची-II\n(i) रामगढ़ की पहाड़ी\n(ii) राजिम\n(iii) सीतामढ़ी हरचौका\n(iv) मैनपाट\n\nकूट:","(a)-(ii), (b)-(iii), (c)-(iv), (d)-(i)","(a)-(ii), (b)-(iii), (c)-(iv), (d)-(i)","(a)-(iii), (b)-(ii), (c)-(i), (d)-(iv)","(a)-(iii), (b)-(ii), (c)-(i), (d)-(iv)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(ii), (b)-(i), (c)-(iv), (d)-(iii)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","(a)-(iv), (b)-(iii), (c)-(ii), (d)-(i)","1","Based on Ramayana geography in Chhattisgarh: Lomash Rishi's ashram is in Rajim, Atri Muni is associated with Sitamarhi Harchauka, Sharbhang Rishi's ashram is located at Mainpat (Surguja), and Vashistha Rishi's ashram is in the Ramgarh hills.","छत्तीसगढ़ में रामायण भूगोल के आधार पर: लोमश ऋषि का आश्रम राजिम में है, अत्रि मुनि सीतामढ़ी हरचौका से जुड़े हैं, शरभंग ऋषि का आश्रम मैनपाट (सरगुजा) में स्थित है, और वशिष्ठ ऋषि का आश्रम रामगढ़ की पहाड़ियों में है।"
"In the context of Chhattisgarh's ancient history, the name 'Dandor' was the Mahabharata-era equivalent of which modern district?","छत्तीसगढ़ के प्राचीन इतिहास के संदर्भ में, 'डंडोर' नाम किस आधुनिक जिले का महाभारत-युग का समकक्ष था?","Kanker","कांकेर","Surguja","सरगुजा","Bastar","बस्तर","Jashpur","जशपुर","2","In the epic texts, different regions of Chhattisgarh had distinct names. While Bastar was Kantar and Kanker was Kankar, the Surguja region in northern Chhattisgarh was known by the ancient name 'Dandor' or 'Dandora'.","महाकाव्य ग्रंथों में, छत्तीसगढ़ के विभिन्न क्षेत्रों के अलग-अलग नाम थे। जबकि बस्तर कान्तार था और कांकेर कांकर था, उत्तरी छत्तीसगढ़ में सरगुजा क्षेत्र को प्राचीन नाम 'डंडोर' या 'डंडोरा' से जाना जाता था।"
"Consider the following statements regarding the Mata Kaushalya Temple in Chhattisgarh:\n1. It is located in Chandkhuri, Raipur.\n2. It is situated on an island in the Jalsen Sarovar.\n3. It is the only temple dedicated to Mata Kaushalya in the world.\nWhich statement(s) is/are correct?","छत्तीसगढ़ में माता कौशल्या मंदिर के संबंध में निम्नलिखित कथनों पर विचार करें:\n1. यह चंद्रखुरी, रायपुर में स्थित है।\n2. यह जलसेन सरोवर में एक द्वीप पर स्थित है।\n3. यह दुनिया में माता कौशल्या को समर्पित एकमात्र मंदिर है।\nकौन सा/से कथन सही है/हैं?","1 and 2","1 और 2","2 and 3","2 और 3","Only 1","केवल 1","1, 2 and 3","1, 2 और 3","4","All three statements are correct. The globally unique Mata Kaushalya temple is located in Chandkhuri (Raipur). It stands majestically on an island structure amidst the waters of the historical Jalsen Sarovar.","तीनों कथन सही हैं। विश्व स्तर पर अद्वितीय माता कौशल्या मंदिर चंद्रखुरी (रायपुर) में स्थित है। यह ऐतिहासिक जलसेन सरोवर के जल के बीच एक द्वीप संरचना पर भव्य रूप से खड़ा है।"
"Assertion (A): Kharoud in Janjgir-Champa district is intimately linked with the events of the Ramayana.\nReason (R): It was the capital of the demons Khar and Dushan, who were slain by Lord Ram here.\nChoose the correct code:","कथन (A): जांजगीर-चांपा जिले में खरौद रामायण की घटनाओं से घनिष्ठ रूप से जुड़ा हुआ है।\nकारण (R): यह खर और दूषण राक्षसों की राजधानी थी, जिनका वध भगवान राम ने यहीं किया था।\nसही कूट चुनें:","Both A and R are true, and R is the correct explanation of A","A और R दोनों सत्य हैं, और R, A की सही व्याख्या है","Both A and R are true, but R is not the correct explanation of A","A और R दोनों सत्य हैं, लेकिन R, A की सही व्याख्या नहीं है","A is true, but R is false","A सत्य है, लेकिन R असत्य है","A is false, but R is true","A असत्य है, लेकिन R सत्य है","1","The assertion is correct; Kharoud is a prominent Ramayana site. The reason accurately explains this connection: Kharoud derives its name from Khar and Dushan, the demon brothers slain by Ram in this very territory during his exile.","कथन सही है; खरौद एक प्रमुख रामायण स्थल है। कारण इस संबंध को सटीक रूप से समझाता है: खरौद का नाम खर और दूषण के नाम पर पड़ा है, जो राक्षस भाई थे जिनका वध राम ने अपने वनवास के दौरान इसी क्षेत्र में किया था।"
"According to local folklore and Puranic accounts, what was the name of the capital of Dandakaranya during the Ramayana period?","स्थानीय लोककथाओं और पौराणिक वृत्तांतों के अनुसार, रामायण काल के दौरान दंडकारण्य की राजधानी का नाम क्या था?","Bhogavati","भोगवती","Pushkari","पुष्करी","Madhumant","मधुमंत","Shravasti","श्रावस्ती","3","During the Ramayana period, the Dandakaranya region (modern Bastar) was a dense forest territory. According to mythological sources, its capital was called 'Madhumant'. Pushkari and Bhogavati are associated with later dynasties like the Nalas and Nagas.","रामायण काल के दौरान, दंडकारण्य क्षेत्र (आधुनिक बस्तर) एक घना जंगल क्षेत्र था। पौराणिक स्रोतों के अनुसार, इसकी राजधानी को 'मधुमंत' कहा जाता था। पुष्करी और भोगवती नलों और नागों जैसे बाद के राजवंशों से जुड़े हैं।"
